CED_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
CED101,346,1782,7116,7184,6728,4329,716,42,4,28248,981,1678,1632,989,1096,1243,638,115,5,8371,44,62,159,140,139,157,66,3,4,778,42,122,235,139,161,98,26,5,3,830,1410,3642,9144,8457,8122,5833,1449,165,21,38234,75,236,406,256,286,213,21,0,0,1487,298,227,167,65,74,121,33,3,0,993,373,469,573,325,358,333,50,3,0,2481,1784,4110,9717,8776,8476,6165,1497,167,21,40711,2885,1226,1080,691,1063,2429,4288,3199,1376,18231,164,210,532,409,411,395,293,226,126,2763,4832,5550,11333,9875,9952,8985,6071,3598,1513,61707,147,1475,4993,4047,4337,2539,287,12,3,17839,1396,1753,2508,3189,2994,2204,590,56,8,14707,69,82,457,299,150,166,40,10,0,1282,49,97,148,125,132,80,30,7,3,666,1664,3413,8110,7657,7620,4986,949,84,9,34496,47,143,263,167,170,131,7,3,0,930,264,183,261,254,239,195,11,0,0,1409,316,325,525,421,404,328,15,5,0,2338
CED102,265,1847,9964,8412,6467,3787,678,36,6,31464,904,2026,3238,1506,1306,1187,490,77,13,10742,55,90,241,172,141,137,72,6,0,911,47,140,361,219,177,135,27,10,0,1113,1268,4101,13809,10313,8089,5243,1269,123,18,44229,86,246,560,339,300,240,19,0,0,1788,271,371,327,92,85,124,21,0,0,1295,356,615,884,428,393,357,41,3,0,3085,1627,4722,14695,10744,8478,5602,1310,127,18,47319,2774,1806,1760,918,1211,2175,4253,3398,1327,19625,212,408,1104,759,551,490,352,332,230,4440,4610,6935,17559,12421,10241,8273,5916,3854,1582,71383,150,1613,7276,4808,4375,2301,293,14,3,20830,1092,2187,4000,3283,2702,1726,441,47,3,15477,51,88,520,371,135,132,47,3,0,1346,41,126,257,126,123,80,26,7,0,788,1327,4009,12053,8588,7341,4233,812,74,7,38446,46,174,418,189,232,111,4,0,0,1173,264,328,396,207,226,162,3,0,0,1586,313,499,815,396,455,277,12,0,0,2761
CED103,201,1666,8939,8871,7185,4505,865,49,9,32294,1054,1818,1736,1101,1142,1240,678,140,16,8919,55,100,182,145,118,142,58,6,0,813,28,94,250,142,156,93,29,8,5,804,1343,3677,11107,10255,8591,5984,1629,207,30,42823,51,191,490,354,311,221,23,3,0,1641,368,390,224,87,74,116,30,5,0,1288,419,579,712,434,384,342,54,3,0,2927,1761,4255,11816,10693,8978,6320,1687,208,29,45746,3132,2180,1582,803,991,2169,3960,3009,1399,19220,167,256,621,500,401,333,256,190,120,2827,5056,6690,14015,11991,10362,8823,5896,3406,1551,67790,128,1573,6846,4982,4802,2763,389,19,4,21503,1321,2061,2663,3398,3139,2292,653,82,4,15613,81,110,540,329,126,155,53,3,0,1397,44,94,177,112,97,81,22,4,11,645,1578,3846,10214,8815,8161,5286,1119,108,19,39154,24,104,399,198,180,121,6,0,0,1030,285,357,325,303,211,137,17,3,0,1635,309,465,723,502,388,257,23,3,5,2666
CED104,441,1800,4485,7185,8140,5362,1122,102,11,28642,1380,1551,772,698,891,1286,998,166,17,7760,86,67,88,112,131,162,73,11,3,742,45,68,113,117,117,83,29,8,4,584,1949,3491,5452,8112,9277,6892,2225,291,31,37734,57,130,167,168,247,204,36,0,3,1017,313,174,60,37,46,94,33,6,0,763,363,304,227,207,296,299,70,7,5,1774,2318,3795,5679,8318,9570,7195,2293,300,34,39510,3052,735,452,381,656,1779,4159,2846,1061,15124,126,131,254,340,331,285,254,241,198,2159,5497,4665,6384,9042,10556,9262,6704,3389,1298,56798,203,1369,2877,3737,4898,3003,446,29,3,16570,1800,1760,1496,3470,3914,2768,959,96,3,16268,106,95,349,295,180,181,77,5,0,1287,31,44,69,100,104,52,15,10,5,435,2142,3262,4798,7602,9097,6011,1505,136,12,34561,22,89,106,145,131,59,4,0,0,570,303,109,101,187,153,93,16,3,0,972,328,201,207,334,282,157,23,4,4,1543
CED105,365,2011,7638,6104,5162,3467,568,26,0,25331,881,1921,2858,1703,1502,1146,352,33,3,10401,49,89,165,136,97,132,22,3,0,689,77,240,506,288,258,136,21,5,6,1530,1364,4260,11163,8227,7025,4886,956,68,12,37961,146,480,873,537,433,266,16,3,0,2752,324,405,326,140,140,156,28,5,3,1522,473,881,1203,674,574,420,40,7,3,4271,1840,5150,12364,8900,7594,5308,997,76,11,42234,3675,1939,2783,1921,2067,2981,4328,2621,1055,23374,287,467,1070,729,669,539,416,243,126,4539,5796,7556,16213,11553,10327,8823,5744,2935,1196,70150,133,1414,4077,2966,3062,1832,215,4,0,13698,1009,1830,2576,2169,1941,1309,283,18,3,11139,54,110,305,143,114,101,14,0,0,838,63,154,205,147,154,83,8,3,4,824,1266,3505,7165,5421,5273,3317,519,30,4,26497,78,201,371,232,243,166,3,0,0,1297,331,290,350,310,296,193,6,0,0,1782,410,491,724,535,534,358,10,5,0,3078
CED106,174,1296,5473,8244,8438,4820,1093,113,16,29680,1188,1608,1035,844,934,1229,1061,303,38,8230,58,85,122,120,129,117,87,22,3,744,31,72,113,107,122,71,19,10,0,547,1456,3059,6741,9320,9622,6240,2261,448,60,39207,35,116,215,244,314,185,42,4,0,1148,301,212,79,58,52,81,44,4,0,846,343,329,300,295,373,265,84,11,0,1990,1799,3382,7038,9612,9990,6504,2351,458,60,41196,3767,977,622,539,767,1624,3669,3302,1663,16938,218,146,358,342,398,276,258,184,188,2367,5786,4503,8023,10500,11157,8403,6275,3944,1909,60504,113,1202,4300,4497,4940,2676,459,19,0,18199,1592,1903,1758,3450,3779,2388,1032,175,20,16096,94,95,368,317,143,143,77,11,3,1242,29,65,104,95,83,61,28,7,0,476,1826,3260,6527,8359,8948,5264,1592,217,23,36019,13,65,194,214,175,76,5,0,3,757,265,174,171,248,221,113,17,3,0,1207,283,241,365,467,393,187,27,5,3,1969
CED107,795,2093,5816,5931,6336,4639,1097,188,36,26921,991,718,878,729,926,1199,807,198,31,6477,76,96,161,182,223,255,113,19,0,1128,63,86,135,131,148,83,55,29,11,737,1934,2985,6993,6972,7636,6170,2074,425,73,35256,205,312,374,333,331,275,21,3,3,1844,223,129,83,53,75,105,24,3,0,695,423,442,456,382,403,373,43,7,3,2542,2360,3429,7445,7352,8040,6548,2114,435,74,37799,2614,990,1464,1311,1623,2908,5637,3326,1055,20936,377,401,721,692,866,823,804,437,156,5283,5351,4821,9628,9356,10536,10277,8555,4204,1288,64022,312,1310,2847,3215,4067,2663,473,64,8,14970,1526,1272,2629,3193,3218,2624,803,107,15,15399,102,122,462,244,216,272,87,7,3,1519,84,73,92,97,106,83,43,24,8,607,2022,2772,6037,6743,7605,5646,1414,213,39,32487,127,151,204,208,204,95,3,0,0,997,223,149,208,181,155,109,13,0,0,1037,342,301,414,388,364,208,16,0,0,2027
CED108,582,2470,7794,7728,6387,4029,592,17,5,29608,1033,1465,1507,1160,1025,835,353,36,0,7418,70,68,150,128,150,164,29,0,0,762,85,189,327,234,218,121,28,5,0,1210,1775,4199,9778,9256,7786,5142,998,62,5,38994,225,404,542,430,355,255,25,0,0,2230,387,231,144,70,80,112,18,0,0,1049,613,634,687,497,433,370,41,0,0,3275,2380,4832,10466,9752,8222,5512,1034,64,9,42271,3756,1178,1345,1227,1612,2493,4077,2029,576,18293,345,375,670,628,596,473,373,200,64,3714,6480,6391,12484,11608,10421,8472,5482,2288,652,64277,333,1787,4776,4149,4131,2447,278,5,0,17904,1346,1640,2558,2563,2100,1458,290,21,0,11964,60,102,438,207,145,131,35,0,0,1127,81,103,213,184,142,85,20,7,0,841,1825,3634,7992,7098,6519,4124,623,32,3,31842,150,289,457,315,263,155,3,0,0,1634,409,285,343,328,227,166,6,5,0,1769,561,574,801,644,491,318,14,5,0,3403
CED109,455,1839,6097,7044,6776,4463,875,80,7,27630,1002,1072,737,702,898,1101,823,154,20,6510,49,56,150,150,173,174,62,15,3,832,36,83,149,130,158,85,34,9,8,695,1544,3044,7134,8014,8002,5826,1794,260,39,35664,58,120,161,161,193,162,18,4,0,886,173,103,44,34,48,61,27,7,0,493,237,225,208,192,242,226,43,7,0,1378,1785,3267,7346,8214,8243,6050,1841,274,42,37045,2079,476,412,470,733,1734,4094,3257,1498,14753,150,181,510,492,418,416,342,199,129,2834,4014,3919,8269,9172,9387,8196,6276,3730,1666,54634,230,1479,4436,3519,4054,2546,363,19,3,16648,1424,1315,1910,3540,3286,2509,803,85,14,14888,65,79,479,300,188,190,65,10,3,1385,27,64,124,102,109,84,28,7,4,547,1749,2939,6945,7467,7638,5333,1260,120,19,33474,41,65,131,102,120,81,3,3,0,539,232,80,91,153,149,100,17,3,0,829,271,147,220,251,272,183,15,3,0,1373
CED110,475,1443,3854,4558,4990,3747,751,84,15,19917,1149,746,1067,1093,1391,1834,816,124,15,8234,87,75,142,157,185,261,90,9,3,1007,67,76,138,119,136,113,40,22,5,716,1774,2344,5203,5924,6696,5954,1697,243,31,29871,211,306,370,308,340,342,18,3,0,1906,230,88,100,81,102,172,47,3,0,814,442,400,467,389,437,508,62,7,0,2719,2218,2742,5669,6313,7136,6467,1761,253,34,32592,2218,684,1046,1142,1855,4181,7957,4854,1698,25637,265,260,506,493,701,878,821,643,357,4919,4701,3693,7216,7957,9698,11519,10538,5740,2088,63151,214,876,2108,2608,3689,2527,324,28,5,12372,1640,1085,2267,3080,3550,3142,742,71,6,15584,76,89,310,189,216,296,75,8,0,1272,73,53,64,93,112,74,44,23,3,540,2008,2109,4749,5974,7569,6038,1182,136,15,29769,134,138,191,181,195,137,3,0,0,982,224,119,172,206,227,177,18,3,4,1148,360,256,356,389,417,314,26,3,4,2121
