CED_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
CED101,822,22,9,29,851,155,3,1006,7,0,0,4,5,0,0,0,5,3,11,18,3033,436,34,58,3554,75,27,97,3652,281,17,3951,713,73,3,0,796,15,4,18,820,47,0,868,763,128,3,11,906,14,4,18,921,41,3,958,18,7,5,0,30,0,0,0,29,0,0,30,10,3,0,19,33,0,0,0,33,3,0,31,1508,214,16,29,1759,30,4,35,1797,94,9,1892,20,0,0,0,19,12,0,12,31,3,0,37,43,11,0,0,49,3,3,9,58,4,0,64,65,11,0,0,72,13,3,17,86,10,0,102,1570,224,16,24,1835,44,12,54,1884,104,9,1993,361,87,13,6,472,14,5,22,488,109,0,601,0,0,0,3,8,0,0,0,8,0,3,11,1936,311,27,34,2307,63,13,76,2382,211,9,2604,1082,138,13,4,1236,26,10,33,1266,77,0,1345,998,173,5,21,1193,25,3,28,1223,53,0,1284
CED102,822,24,10,38,853,183,7,1047,0,0,0,5,6,0,0,0,6,0,16,24,2676,498,43,67,3278,61,34,97,3379,299,21,3698,667,101,8,8,773,11,3,13,786,39,0,831,550,102,8,0,665,15,3,17,681,33,0,716,19,8,6,0,28,0,0,0,28,0,0,33,11,3,0,4,21,0,0,0,21,3,0,24,1236,208,20,19,1488,27,7,32,1521,71,0,1597,22,3,0,0,24,0,0,3,27,0,0,32,29,14,0,3,48,4,6,7,49,3,0,53,56,12,0,3,73,3,9,8,83,10,0,89,1291,221,20,19,1559,31,11,40,1599,79,0,1680,341,82,5,11,430,11,3,15,447,118,3,566,3,0,0,3,6,0,0,0,6,0,10,10,1634,304,31,27,1994,41,16,54,2053,197,13,2262,945,120,10,4,1077,16,5,25,1097,62,0,1161,741,160,11,14,923,11,7,14,935,73,0,1007
CED103,822,18,7,21,841,116,0,960,4,0,0,5,5,0,0,0,11,0,3,11,3294,424,23,50,3794,107,24,131,3924,233,11,4169,763,79,6,3,854,16,6,28,882,45,0,929,779,101,7,5,897,23,4,24,919,23,0,945,9,7,3,0,17,0,0,0,17,0,0,23,15,0,0,9,20,0,0,0,19,0,0,21,1569,190,13,13,1791,37,12,54,1839,71,0,1915,16,8,0,0,20,3,0,3,26,0,0,25,37,6,0,0,43,7,0,9,52,0,0,53,48,12,0,0,67,9,0,14,78,0,0,76,1621,204,13,17,1855,52,13,64,1915,80,0,1996,380,82,0,12,477,6,4,13,489,60,0,557,0,0,0,3,3,0,0,0,4,0,7,11,2001,284,18,34,2336,57,18,78,2408,140,9,2559,1138,135,16,6,1294,46,10,55,1347,72,0,1423,1058,145,6,7,1227,27,10,31,1259,41,0,1298
CED104,853,16,5,24,877,74,3,953,7,0,0,3,8,0,0,0,8,0,0,8,4279,385,36,51,4753,91,21,113,4862,180,10,5046,1060,82,8,9,1161,19,3,22,1186,42,4,1225,1245,119,7,7,1369,21,5,24,1398,30,0,1423,22,7,3,0,31,0,0,0,31,0,0,26,16,0,0,6,28,0,0,0,28,0,3,26,2337,205,17,23,2588,43,9,44,2633,67,10,2705,26,0,0,0,26,3,0,3,28,0,0,31,56,3,0,0,59,0,0,0,58,0,0,58,83,6,0,0,88,3,0,4,92,0,0,93,2416,215,17,23,2674,42,9,51,2721,71,10,2796,451,45,3,9,511,7,3,13,526,55,4,579,4,0,0,4,4,0,0,0,4,0,0,7,2873,262,25,37,3188,56,10,65,3252,126,12,3387,1623,112,14,7,1760,56,8,58,1815,84,0,1902,1645,192,7,4,1851,37,0,41,1885,53,7,1946
CED105,1689,86,40,131,1821,715,32,2561,14,7,0,7,24,0,0,0,26,4,35,67,2663,901,55,147,3762,185,84,273,4035,919,78,5025,520,69,8,8,610,19,7,27,639,68,3,705,421,119,7,5,560,16,4,24,583,39,0,620,11,3,8,0,21,0,0,0,21,0,0,25,7,5,0,15,30,3,0,3,30,8,3,39,964,197,27,38,1223,41,9,49,1270,114,3,1393,30,9,0,3,41,8,3,15,51,4,0,57,34,30,3,0,70,4,6,10,82,8,4,94,69,40,3,7,117,12,7,27,140,11,4,151,1031,232,29,37,1338,57,22,77,1413,132,5,1546,553,314,15,41,932,39,18,55,985,458,10,1454,4,3,0,4,17,0,0,0,17,0,26,40,1588,551,44,91,2278,96,39,131,2410,585,45,3048,761,95,5,9,877,33,11,44,918,87,0,1008,540,181,9,13,741,18,3,22,765,74,0,834
CED106,1119,22,3,27,1148,94,0,1250,0,0,0,4,7,0,0,0,7,0,3,14,4653,367,46,50,5115,119,25,137,5249,240,5,5502,1032,108,5,3,1150,25,3,28,1179,73,0,1250,1120,98,14,13,1246,20,0,20,1265,25,3,1298,12,3,5,0,21,0,0,0,21,0,0,23,10,0,0,10,17,0,0,0,17,0,0,22,2177,211,26,19,2441,41,3,48,2487,97,0,2585,40,0,0,0,43,8,0,8,53,3,0,54,59,3,0,0,58,7,0,7,66,0,0,68,102,3,0,0,107,14,0,14,116,5,0,121,2277,221,26,19,2544,55,3,61,2604,108,0,2708,644,53,11,7,720,22,0,22,741,52,0,795,0,0,0,0,7,0,0,0,7,0,3,3,2923,272,37,32,3269,73,3,75,3348,160,7,3506,1516,158,14,5,1694,50,8,55,1752,108,0,1859,1594,143,19,11,1767,23,3,27,1797,50,3,1842
CED107,617,27,4,25,644,190,3,835,3,0,0,0,8,0,0,0,8,0,11,20,3245,333,68,69,3716,84,15,100,3815,307,27,4150,824,67,17,5,915,24,0,27,938,32,0,973,837,94,16,18,961,16,0,18,977,35,3,1012,29,0,11,3,43,0,0,0,42,3,0,50,14,3,0,13,27,0,0,0,27,0,0,32,1706,163,39,39,1940,38,7,42,1980,79,3,2064,16,3,0,0,20,0,0,0,27,0,0,29,18,0,0,0,20,3,0,4,29,5,0,32,35,3,0,0,41,8,0,5,52,10,0,56,1741,162,42,39,1983,42,3,47,2030,83,3,2122,277,43,6,9,337,22,0,23,362,115,6,479,0,0,0,0,3,0,0,0,3,0,6,9,2019,205,48,45,2322,65,3,72,2394,204,10,2608,1175,81,20,13,1295,22,0,24,1315,57,4,1380,1013,126,22,13,1170,19,6,18,1194,55,0,1250
CED108,1255,45,12,56,1313,386,12,1711,11,3,0,5,21,0,0,0,20,9,21,44,3332,588,46,93,4066,137,32,174,4237,570,42,4847,867,87,11,14,980,20,5,29,1005,56,0,1064,541,117,6,8,679,14,6,16,695,43,3,741,33,3,5,0,41,0,0,0,39,0,0,39,13,0,0,28,45,3,0,3,49,4,3,60,1456,210,19,53,1738,39,15,49,1785,108,5,1904,38,16,0,0,53,3,0,4,59,9,0,65,56,14,0,3,67,9,3,9,81,8,0,89,92,29,0,3,127,11,4,14,138,9,0,153,1551,236,19,56,1867,43,15,65,1930,117,5,2056,586,161,12,18,772,40,11,50,819,255,8,1087,8,0,0,8,18,0,0,0,19,0,18,36,2144,395,36,82,2653,85,26,114,2762,378,31,3175,1353,135,15,14,1510,47,6,54,1571,115,3,1691,709,133,17,10,866,20,12,28,893,50,0,946
CED109,609,9,5,13,619,58,0,680,10,0,0,0,8,0,0,0,6,0,5,16,3183,290,48,65,3587,54,10,61,3651,139,10,3798,706,71,5,8,791,14,0,14,804,32,0,844,909,90,7,15,1020,14,0,15,1033,29,0,1057,17,6,7,0,34,0,0,0,34,3,0,35,3,3,0,16,23,0,0,0,23,0,0,23,1644,169,20,34,1867,21,0,23,1893,65,0,1959,23,0,0,0,20,3,0,3,24,0,0,24,23,4,3,7,35,4,0,5,40,0,0,39,42,7,3,7,55,7,3,4,65,3,0,68,1688,177,27,38,1922,29,3,34,1954,64,0,2022,293,35,3,10,336,3,0,6,343,38,0,385,3,0,0,0,3,0,0,0,3,0,9,9,1978,210,28,47,2266,30,5,37,2300,108,9,2417,1007,89,15,4,1121,18,3,20,1139,59,0,1201,1115,125,16,13,1270,16,3,21,1289,47,3,1337
CED110,481,23,4,28,510,182,6,702,7,0,0,5,9,0,0,0,9,0,9,23,2414,467,64,45,2993,89,22,118,3108,372,24,3504,626,85,9,4,724,15,7,21,744,50,0,791,594,121,5,10,732,20,5,20,759,80,3,841,15,7,6,0,24,0,0,0,24,4,0,31,7,0,0,5,13,0,0,0,13,0,0,19,1245,207,25,22,1497,28,10,42,1542,135,4,1682,15,4,0,0,17,13,0,13,27,0,0,27,21,3,0,0,28,3,0,3,29,3,0,33,35,3,0,0,38,15,0,15,51,5,0,58,1276,212,25,25,1542,45,10,51,1594,142,4,1734,214,52,8,13,289,25,0,22,313,121,4,442,4,0,0,0,9,0,0,0,9,0,6,14,1497,264,33,35,1834,64,11,81,1915,265,11,2190,878,141,14,7,1044,14,3,19,1061,70,0,1127,870,198,14,10,1101,17,9,22,1126,96,4,1228
