CED_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
CED101,36,10,0,44,37,19,3,4,65,6,0,5,73,11,0,87,1325,235,27,30,1622,28,11,40,1658,100,0,1766,289,70,3,7,376,12,7,18,394,124,0,518,3,0,0,3,3,0,0,0,3,0,3,7,1618,304,33,39,1996,45,17,60,2060,230,3,2288,330,37,4,3,375,10,3,11,383,28,0,417,239,52,6,0,296,7,0,14,310,28,0,337,16,0,4,0,17,0,0,0,18,0,0,18,4,0,0,6,15,0,0,0,15,3,0,15,587,92,15,14,705,20,9,25,728,60,0,789,9,4,0,0,15,5,0,5,17,3,0,22,8,3,0,0,14,0,0,3,15,4,0,20,16,7,0,5,32,4,0,7,32,7,0,43,605,101,15,18,731,23,4,32,762,69,0,830,151,48,4,4,207,3,0,6,211,100,0,310,0,0,0,0,3,0,0,0,3,0,0,5,749,154,23,22
CED102,39,8,0,47,29,9,0,3,48,12,10,19,68,7,0,79,1064,226,14,24,1328,27,15,46,1375,123,0,1498,269,97,8,14,399,6,3,7,409,138,0,545,0,0,0,0,0,0,0,0,0,0,3,3,1337,324,23,46,1729,40,19,52,1777,256,8,2042,285,29,6,0,315,3,0,3,318,39,0,357,167,55,0,0,224,4,0,4,227,30,0,260,12,0,7,0,16,0,0,0,16,4,0,22,5,0,0,12,23,0,0,0,23,0,0,27,461,89,16,17,579,4,0,4,589,75,0,662,4,0,0,0,10,0,0,3,9,3,0,15,12,8,0,0,17,0,0,0,17,3,0,20,18,8,0,0,28,0,0,3,30,3,0,30,480,94,16,21,608,4,0,7,617,78,0,691,107,45,6,10,164,8,4,13,177,98,0,271,5,0,0,0,5,0,0,0,4,0,0,4,587,137,21,29
CED103,47,3,0,55,45,6,0,0,50,11,3,13,64,4,0,70,1503,235,27,11,1784,48,13,64,1845,110,0,1955,315,64,7,11,398,18,3,19,424,108,0,530,0,0,0,0,3,0,0,0,3,0,3,4,1822,300,33,28,2184,58,20,82,2265,216,4,2490,428,43,0,7,476,16,6,16,492,48,0,541,314,85,4,0,405,11,9,19,423,37,0,459,6,4,4,0,10,0,0,0,10,3,0,13,3,0,0,13,19,0,0,0,19,0,0,24,746,132,11,21,915,27,14,39,953,81,0,1034,5,0,4,0,12,5,0,5,15,3,0,15,6,3,0,0,12,4,3,7,19,3,0,23,17,3,0,0,21,6,3,10,30,9,0,40,765,136,19,21,938,38,16,49,984,88,0,1071,181,40,3,0,225,3,0,3,235,58,0,298,0,0,0,0,0,0,0,0,0,0,3,10,948,178,20,22
CED104,34,4,0,43,47,12,0,0,56,7,0,7,64,10,0,71,2026,231,34,25,2318,63,6,76,2393,119,0,2515,405,44,12,5,463,14,3,14,480,50,0,534,5,0,0,0,6,0,0,0,6,0,0,3,2437,281,45,33,2784,79,11,90,2872,175,0,3050,510,55,7,5,573,15,0,19,592,35,0,630,389,73,8,3,467,7,0,12,476,40,0,512,14,3,5,0,22,0,0,0,22,0,0,22,3,0,0,11,15,0,0,0,15,0,0,11,910,132,18,21,1074,26,4,29,1103,79,0,1178,12,0,0,0,11,3,0,3,17,0,0,17,9,6,0,0,11,4,0,4,12,3,0,14,19,3,0,0,22,6,0,6,25,3,0,32,932,138,15,21,1101,28,4,35,1131,76,0,1209,214,33,0,0,254,12,3,16,265,49,0,319,0,0,0,0,0,0,0,0,0,0,5,5,1143,173,20,21
CED105,68,14,0,83,58,31,0,3,92,18,7,27,117,26,0,141,940,227,23,43,1231,47,29,75,1301,146,7,1458,505,224,19,41,785,30,14,49,833,384,0,1220,3,0,0,0,5,0,0,0,5,0,7,15,1452,449,36,79,2014,80,38,122,2141,535,19,2687,287,43,4,3,342,7,0,6,348,31,0,383,133,62,4,4,203,7,5,6,206,26,0,233,6,3,3,0,8,0,0,0,8,3,0,13,5,0,0,14,15,0,0,0,15,5,3,28,428,109,12,18,571,14,5,15,585,65,3,655,7,0,0,3,8,4,0,4,14,3,0,17,17,13,0,0,30,4,3,4,34,3,0,39,15,18,0,3,42,10,3,6,49,9,0,52,450,127,12,25,605,22,5,23,634,66,3,705,249,78,9,21,350,14,6,18,374,237,3,616,0,0,0,8,4,0,0,0,4,0,0,10,694,211,13,49
CED106,40,6,0,47,48,8,0,0,60,8,0,8,66,10,0,77,1866,224,41,28,2165,61,13,72,2235,128,4,2365,477,46,5,4,540,17,11,21,566,104,0,669,3,0,0,0,3,0,0,0,3,0,5,8,2349,277,48,37,2712,77,21,92,2805,234,4,3044,485,66,5,7,552,21,3,21,575,51,0,630,438,80,8,3,527,13,3,14,543,38,0,578,9,4,4,0,16,0,0,0,16,0,0,14,6,0,0,8,9,0,0,0,9,0,0,14,933,149,15,12,1108,33,6,39,1150,92,0,1242,9,0,0,0,5,3,0,3,8,0,0,10,15,3,0,0,18,6,0,6,22,0,0,23,21,4,0,0,26,6,0,6,33,4,0,35,950,151,15,12,1131,37,6,43,1178,91,0,1276,226,42,3,7,282,7,0,7,290,76,0,365,0,0,0,0,3,0,0,0,3,0,0,4,1181,199,22,20
CED107,3,0,0,3,5,0,0,0,5,4,0,4,13,0,0,13,461,39,12,4,517,16,3,20,538,22,0,565,52,9,0,8,74,4,3,7,76,24,0,101,0,0,0,0,0,0,0,0,0,0,0,0,516,46,11,10,587,18,3,27,612,49,0,659,66,5,0,0,70,3,0,3,73,7,0,75,44,6,0,0,53,0,0,0,52,7,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,107,13,3,0,119,3,0,5,128,9,0,136,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111,13,3,0,127,3,0,5,126,16,0,144,8,3,0,3,14,0,0,0,14,4,3,25,0,0,0,0,0,0,0,0,0,0,0,0,119,13,3,0
CED108,44,4,0,46,37,18,3,3,65,5,0,3,71,8,0,80,1216,187,19,27,1447,35,12,50,1492,95,7,1598,338,94,8,18,449,27,3,30,483,212,0,694,3,0,0,3,6,0,0,0,6,0,7,9,1551,277,27,50,1901,57,19,79,1979,306,12,2296,361,28,11,4,401,12,0,8,414,43,0,456,147,35,0,0,179,0,0,3,181,28,0,211,11,0,0,0,11,0,0,0,11,0,0,11,7,0,0,4,7,0,0,0,7,0,0,11,523,63,11,8,602,13,3,14,617,71,0,688,12,8,0,0,23,3,3,7,23,6,0,35,7,4,0,0,11,0,0,0,11,0,0,9,18,8,0,0,34,3,3,7,34,5,0,41,545,77,11,8,633,17,3,18,655,74,3,734,153,38,9,4,201,3,0,7,206,143,0,352,0,0,0,0,0,0,0,0,0,0,7,6,692,110,19,14
CED109,14,0,0,15,10,3,0,0,23,0,3,5,24,0,0,26,1208,147,23,25,1409,12,8,20,1425,77,4,1501,193,39,3,3,238,8,0,8,247,43,0,293,0,0,0,0,0,0,0,0,0,0,3,4,1401,181,32,31,1642,21,8,26,1672,121,9,1797,299,34,8,0,340,7,0,11,350,22,0,373,260,40,7,3,306,5,0,5,311,25,0,339,4,0,3,0,12,0,0,0,12,0,0,12,5,0,0,7,16,0,0,0,19,0,0,19,570,74,11,15,673,15,0,14,692,51,0,740,7,0,0,0,3,0,0,0,3,0,0,9,7,4,0,0,9,0,0,0,9,3,0,14,9,6,0,0,17,0,0,0,17,0,0,19,576,78,14,15,687,15,0,14,700,55,0,761,89,28,3,0,124,0,0,0,124,39,0,166,0,0,0,0,0,0,0,0,0,0,3,3,670,106,14,21
CED110,4,3,0,6,3,3,0,0,8,0,0,0,8,4,0,12,337,62,10,4,410,7,4,6,419,45,0,467,42,13,3,0,66,0,0,0,72,33,0,101,0,0,0,0,0,0,0,0,0,0,0,0,384,74,14,8,478,7,4,10,492,72,0,568,36,7,0,0,45,0,0,0,46,6,0,50,28,10,3,0,35,0,0,0,38,7,0,40,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,64,12,4,0,86,0,0,3,85,13,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,69,12,4,0,87,3,0,0,88,13,0,104,12,0,0,0,17,0,0,0,17,21,0,37,0,0,0,0,0,0,0,0,0,0,0,0,86,12,3,3
