CED_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
CED101,74,1330,1150,794,554,241,88,17,4245,11,154,177,157,160,67,16,3,759,944,3202,2243,1730,1369,680,267,83,10525,393,1200,1118,1124,848,411,183,77,5354,824,1719,1856,2108,1863,1366,899,390,11022,52,83,62,65,43,54,10,5,375,71,125,171,207,239,195,93,24,1111,946,1929,2091,2375,2142,1612,1002,416,12509,52,128,89,104,91,65,33,12,579,558,649,519,568,547,471,400,241,3950,2977,8594,7385,6854,5718,3555,1982,852,37930,124,1644,1164,652,330,135,26,11,4084,29,227,271,288,254,101,14,5,1189,1180,4015,2995,2002,1349,557,224,66,12379,523,1340,1583,1564,1189,531,256,88,7077,607,1003,982,979,665,277,130,80,4720,103,107,168,189,137,61,15,12,793,96,143,329,436,439,286,108,59,1895,811,1255,1475,1599,1237,619,254,153,7408,37,130,122,161,182,137,83,27,878,534,686,546,648,670,643,607,507,4821,3238,9291,8153,6918,5210,2716,1466,845,37837,198,2973
CED102,105,2424,1657,806,472,201,70,18,5753,20,242,233,180,139,58,19,0,896,1401,5440,2954,1791,1180,572,214,60,13605,562,1926,1382,1139,692,314,125,43,6191,724,1822,1852,1820,1366,952,584,208,9329,58,87,80,67,35,33,6,0,368,71,180,201,232,188,130,54,19,1071,856,2089,2130,2118,1595,1114,641,231,10774,84,207,124,137,88,70,23,14,747,839,1291,938,731,681,557,549,374,5952,3854,13626,9424,6914,4840,2883,1630,735,43908,223,2937,1547,743,342,121,28,3,5938,33,344,323,287,206,55,19,5,1279,1711,6250,3505,2037,1105,457,173,41,15283,679,1815,1673,1549,859,412,151,59,7198,485,1086,929,860,559,234,112,53,4315,81,93,164,145,112,45,13,5,660,101,193,338,406,309,175,71,46,1637,665,1373,1437,1411,977,464,191,101,6615,77,186,136,175,164,90,48,26,905,767,1268,845,776,682,640,681,704,6360,4157,14176,9461,6970,4338,2239,1299,938,43580,332,5364
CED103,106,2617,2433,1633,1179,594,158,38,8754,16,239,286,257,228,105,39,6,1173,1488,5125,3881,2700,2078,1153,484,163,17065,503,1171,1187,1156,874,513,258,122,5790,562,1291,1355,1614,1335,941,691,288,8077,57,69,50,55,56,32,21,6,340,80,125,140,165,192,162,92,38,996,700,1485,1539,1834,1583,1140,801,331,9413,56,142,163,141,116,97,53,17,787,572,726,622,529,491,397,335,225,3883,3441,11499,10104,8247,6543,3988,2129,910,46867,184,3320,2471,1285,725,263,69,16,8331,49,371,445,389,361,189,60,16,1873,1973,5934,4416,3127,1990,862,361,133,18800,584,1205,1506,1646,1276,768,368,169,7523,465,747,725,764,591,253,109,71,3726,75,83,109,122,113,69,33,10,610,82,119,230,424,385,288,160,92,1783,616,953,1064,1313,1089,615,306,168,6115,61,132,145,165,191,146,92,44,984,577,754,531,532,567,525,591,574,4658,4052,12668,10582,8451,6206,3369,1845,1118,48287,289,5933
CED104,37,659,1531,1561,1244,682,233,43,5999,5,86,268,334,307,178,53,6,1240,812,2033,2695,2822,2322,1353,547,142,12727,222,572,1019,1213,1042,705,314,139,5221,789,1214,1491,2036,1716,1386,730,233,9602,69,43,46,52,43,51,18,3,324,54,77,116,201,257,236,108,29,1078,918,1333,1655,2283,2019,1677,859,270,11005,21,56,75,106,113,99,46,19,535,388,330,430,437,404,388,365,300,3049,2403,5066,7675,8761,7446,5088,2410,928,39777,74,903,1586,1244,776,325,63,20,4984,28,196,443,500,478,248,62,14,1964,1090,2564,3805,3227,2220,1117,387,117,14527,355,740,1315,1897,1523,978,427,156,7393,470,570,717,992,602,348,107,57,3853,89,46,115,142,139,81,31,4,646,64,82,189,438,484,407,173,74,1911,622,697,1025,1576,1219,829,311,137,6416,26,50,95,179,194,181,111,50,881,375,291,379,485,544,582,597,760,4014,2569,5436,8645,9099,6957,4256,1958,1261,40175,117,1556
CED105,67,1240,800,432,253,123,28,7,2957,20,113,114,88,70,34,4,0,439,938,3300,1739,1117,856,379,160,35,8517,536,1540,1039,875,556,257,89,18,4911,883,1877,1784,1686,1479,1011,530,206,9452,81,114,94,84,44,26,10,0,456,77,224,182,187,180,111,32,16,999,1042,2210,2057,1957,1704,1147,566,218,10906,77,219,133,120,105,50,29,10,751,1120,1490,1016,937,734,625,394,230,6547,3810,10111,6897,5529,4270,2611,1282,527,35034,150,1262,614,257,145,51,7,3,2496,59,188,164,94,85,31,4,0,624,1175,3594,1846,1101,648,298,114,28,8802,737,1740,1440,1126,691,258,116,33,6135,592,1237,1037,847,497,165,89,35,4493,138,191,172,165,120,33,10,3,821,88,239,273,331,267,151,61,23,1430,815,1665,1477,1336,885,343,155,58,6742,58,169,107,124,104,87,42,15,701,1009,1044,856,850,724,600,508,439,6040,3999,9663,6504,4890,3285,1663,950,583,31544,215,2506
CED106,44,1350,2600,2546,1600,1058,484,144,9823,11,152,361,390,286,152,83,27,1459,977,3150,4122,4032,2882,1883,1017,402,18472,218,713,824,1059,799,632,458,197,4902,334,675,659,840,735,594,405,192,4435,40,43,28,46,29,30,21,8,242,41,80,109,160,173,167,126,44,899,419,794,796,1049,937,788,545,245,5580,35,62,134,135,107,106,86,44,706,479,420,418,489,383,368,362,340,3259,2176,6647,9258,9703,7002,4985,3031,1397,44195,104,1853,2521,1881,1043,511,161,40,8121,17,248,488,635,453,317,117,29,2303,1261,4064,5144,4617,2724,1531,736,293,20365,284,692,1171,1715,1371,1126,679,301,7332,276,365,438,536,371,225,109,58,2362,38,32,64,109,69,80,32,8,425,75,87,162,317,320,385,231,159,1731,382,478,661,960,754,692,363,228,4528,40,71,127,167,181,191,134,77,978,479,407,481,564,454,544,641,842,4406,2571,7811,10599,10530,6978,4904,2833,1803,48031,150,3204
CED107,3,163,269,292,333,242,61,17,1385,3,72,124,149,174,113,25,3,653,194,1001,1008,829,839,588,187,63,4706,106,505,702,865,760,521,196,47,3706,1520,3367,3013,3346,2895,2030,902,222,17298,174,153,101,124,82,41,15,3,695,74,116,163,178,228,224,86,12,1074,1765,3635,3276,3648,3204,2295,1002,232,19070,19,52,53,50,57,73,40,11,364,1558,1625,1323,1378,1195,1259,756,277,9368,3655,7058,6750,7217,6563,5082,2271,655,39246,13,312,403,317,308,150,33,7,1534,24,202,274,278,308,175,39,7,1309,419,2021,1939,1484,1224,688,254,80,8107,286,946,1126,1269,1269,796,329,105,6122,1192,1918,1710,1696,1026,452,117,54,8157,271,242,235,243,205,108,34,4,1345,150,218,280,462,474,335,115,46,2076,1613,2381,2221,2398,1704,900,262,102,11581,31,45,52,83,134,138,49,30,562,1127,789,864,1081,1151,1369,1063,522,7972,3511,6698,6880,6904,6096,4209,2019,863,37183,20,478
CED108,56,767,984,389,280,118,23,9,2617,11,87,169,90,63,27,3,0,444,555,2140,1948,1268,994,478,99,32,7506,446,1415,1080,863,573,224,75,22,4697,1237,2288,2136,2275,1848,1065,475,112,11438,149,134,108,88,68,27,4,4,580,91,205,235,219,171,103,38,4,1069,1475,2631,2480,2581,2092,1194,517,125,13083,53,119,135,119,87,64,30,3,608,1041,881,844,829,742,621,349,103,5411,3636,8024,7648,6140,4829,2713,1095,282,34372,98,1072,761,321,174,63,14,7,2505,38,174,180,102,62,29,8,0,601,914,3032,2324,1646,1213,513,108,30,9784,658,1604,1333,1048,687,260,97,36,5719,1004,1847,1438,1159,727,192,63,22,6449,220,231,250,205,166,39,7,4,1123,175,254,345,334,282,134,46,13,1583,1398,2339,2042,1695,1165,364,110,43,9155,43,118,143,124,139,67,21,8,662,921,960,845,845,822,801,503,221,5922,4060,9301,7629,5779,4257,2105,866,346,34344,153,1840
CED109,18,454,674,640,498,302,110,38,2738,4,93,143,161,204,106,33,5,756,580,1840,1855,1589,1377,773,339,131,8493,240,965,1211,1177,859,535,258,94,5340,856,2313,2457,2563,2139,1601,1051,428,13415,70,65,55,65,42,45,22,15,368,60,121,175,250,221,220,127,31,1210,986,2505,2690,2875,2403,1863,1197,473,14995,24,53,79,99,86,96,65,12,506,457,613,610,556,568,502,406,264,3979,2318,6522,7259,7097,5993,4186,2410,1016,36798,63,766,705,571,367,143,34,8,2645,21,232,276,249,299,145,23,7,1254,825,2956,2767,1897,1368,598,253,73,10738,437,1367,1664,1708,1282,722,310,121,7608,526,1004,1053,983,678,388,189,87,4904,74,110,142,180,160,77,32,10,789,82,135,346,463,483,352,185,86,2143,683,1254,1545,1625,1328,821,399,186,7836,29,68,106,143,222,172,119,56,908,421,661,578,614,662,702,729,659,5027,2472,7297,7638,6802,5514,3296,1877,1123,36015,80,1217
CED110,5,126,220,264,286,246,88,19,1253,3,50,103,135,194,143,42,10,682,157,820,1013,904,1130,788,257,99,5165,91,404,687,804,932,765,324,95,4102,1050,2315,2444,3111,3515,2851,1474,431,17186,222,134,114,85,114,66,26,6,764,69,104,130,187,277,231,140,44,1188,1346,2555,2688,3382,3906,3147,1644,477,19141,19,26,46,62,68,87,60,15,383,919,878,780,1011,1211,1246,1022,587,7648,2535,4854,5541,6562,7722,6421,3436,1302,38369,14,216,301,318,312,172,45,3,1380,19,148,215,282,372,170,52,4,1252,259,1506,1783,1474,1487,900,317,98,7826,275,871,1209,1591,1702,988,413,127,7175,1009,1672,1676,1888,1538,629,178,83,8675,245,224,217,242,288,166,37,5,1424,122,193,293,442,566,477,185,64,2339,1377,2090,2189,2570,2392,1271,401,153,12446,23,42,52,99,153,164,92,37,663,831,652,632,989,1266,1526,1466,1167,8517,2797,5526,6379,7311,7678,5195,2788,1592,39255,19,340
