CED_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,10933,6267,3448,1700,75769
CED102,9177,5123,2933,1677,87486
CED103,12748,7356,3972,2031,95152
CED104,14402,9339,4376,2185,79956
CED105,7555,4278,2231,1114,66576
CED106,13980,9890,5861,3204,92222
CED107,12664,9291,4295,1510,76429
CED108,9085,4825,1959,631,68712
CED109,11510,7480,4284,2140,72816
CED110,15397,11615,6224,2886,77626
CED111,12417,7879,4100,1734,79657
CED112,11370,8262,4662,2433,70250
CED113,14275,9450,4147,1616,74373
CED114,12453,8410,4507,1841,72575
CED115,7723,4493,2007,813,58115
CED116,15637,13212,6625,2533,76814
CED117,10881,6017,2201,861,91064
CED118,9633,5009,1898,637,80977
CED119,11807,7053,2847,1344,73454
CED120,11451,7638,3415,1474,70702
CED121,11813,8461,4182,1938,71606
CED122,10931,6754,3437,1595,99076
CED123,9730,5710,2321,805,72145
CED124,14203,12173,6102,2336,69329
CED125,9848,5617,1890,578,68289
CED126,12944,9541,5186,2607,80845
CED127,13801,9268,3828,1291,73327
CED128,8611,4751,2074,839,63820
CED129,11989,7760,3047,1049,79549
CED130,12561,8977,4351,1602,70328
CED131,12120,7128,3583,2130,79364
CED132,13433,9337,4229,2158,101958
CED133,16005,10589,4817,1825,75108
CED134,10957,6949,3683,1413,65579
CED135,9957,5467,2687,1112,96394
CED136,11352,8660,4163,1514,70080
CED137,11805,6719,3029,1479,103175
CED138,15725,10929,5567,2756,78184
CED139,11722,7987,4073,1529,69126
CED140,12533,9419,4983,2394,72042
CED141,11886,8835,4764,1778,68683
CED142,11050,6384,2480,725,138888
CED143,12208,8530,4026,1992,88382
CED144,8305,4426,2394,1093,74197
CED145,11305,8563,4190,2325,95520
CED146,8494,4128,1787,689,66265
CED147,11686,8716,4642,1733,70152
CED194,1142,722,150,41,7741
CED197,43,60,25,3,212
CED201,10361,5894,2965,1221,66456
CED202,11950,8297,3757,1436,73174
CED203,9118,4755,2593,1404,86390
CED204,12867,9078,4241,1789,73657
CED205,9746,6923,4112,1633,74803
CED206,8530,4576,1857,617,64490
CED207,10885,7404,3027,1106,68231
CED208,10688,6691,4567,2287,88351
CED209,12928,9347,4200,1800,77456
CED210,11080,7735,3989,1696,70919
CED211,10053,7466,4387,2050,76366
CED212,11298,8420,4544,1756,72348
CED213,13213,11220,5704,2275,75003
CED214,9338,4858,2484,1270,82637
CED215,12376,9357,4429,1663,67620
CED216,13864,8920,4235,2434,82298
CED217,8757,4739,1541,390,79729
CED218,11662,7948,4086,1755,96317
CED219,9948,5051,2192,728,84151
CED220,8783,5414,3098,1564,70311
CED221,12875,9160,3921,1627,68120
CED222,9966,6122,3230,1525,74367
CED223,12303,7938,3525,1532,75764
CED224,12994,8818,4399,2413,85496
CED225,11300,6233,2636,944,75166
CED226,10347,5207,1907,625,105910
CED227,10308,6879,3538,1641,58734
CED228,9647,5691,3005,1342,77303
CED229,12307,7201,2659,917,95285
CED230,12266,9303,4285,1536,76384
CED231,10288,6324,2414,1020,135227
CED232,11984,7812,3060,1516,106699
CED233,11358,7919,4614,1801,71023
CED234,10841,7714,4047,1667,62694
CED235,9069,4985,2170,675,72196
CED236,11066,7879,3688,1557,60321
CED237,8625,4292,2623,1417,90060
CED294,526,263,61,19,4580
CED297,10,0,0,0,25
CED301,9430,5666,2636,770,65757
CED302,10490,6127,3102,1305,74643
CED303,12104,8159,3744,1688,69937
CED304,11001,5838,2320,1133,101437
CED305,10151,5564,2666,1118,66258
CED306,11080,6215,2742,927,71265
CED307,10302,6128,2137,798,68875
CED308,11610,8653,3869,1453,81329
CED309,13191,9528,4520,1840,77504
CED310,11391,9033,4591,1831,68654
CED311,10156,5522,2228,582,65657
CED312,9593,6219,2514,824,70672
CED313,10207,5026,2221,1053,92659
CED314,10369,6608,3443,1603,67918
CED315,10090,5712,2416,815,73127
CED316,11358,9694,5076,1602,61890
CED317,11410,7388,3257,885,66207
CED318,13641,7543,2811,882,85710
CED319,10143,5925,3445,1870,79973
CED320,10669,8128,3562,1423,69791
CED321,10338,7150,3338,1123,61351
CED322,11454,7764,4000,1948,76188
CED323,11854,8988,4453,1869,85086
CED324,9893,6160,2865,1354,83073
CED325,9049,5183,2178,887,73461
CED326,10234,7583,3925,1880,75822
CED327,9616,5529,1971,654,75354
CED328,12069,8129,3670,1597,87358
CED329,13468,10651,4585,1531,66990
CED330,11379,7336,2679,820,69694
CED394,1426,1050,215,24,7409
CED397,15,15,6,3,71
CED401,12779,8218,3372,1721,89165
CED402,10315,7290,3350,1492,60797
CED403,12886,9236,4364,2148,76615
CED404,10674,7291,3434,1355,59375
CED405,11098,7578,4185,2365,76037
CED406,10571,7281,3210,1304,67125
CED407,9688,6893,3336,1206,68473
CED408,13971,10905,4418,1655,70315
CED409,9542,5214,2535,1128,67049
CED410,11137,8417,4731,2356,76154
CED411,9903,6055,3156,1248,65708
CED494,247,159,30,10,1595
CED497,0,0,0,0,3
CED501,8909,5429,2869,967,74154
CED502,9149,5351,2552,864,75291
CED503,10428,8209,4361,1415,66044
CED504,8324,5012,2214,808,63333
CED505,12758,8784,4878,2185,85712
CED506,11897,5450,2078,643,85903
CED507,11503,7644,3428,1239,69062
CED508,10575,6021,2860,1192,76872
CED509,10434,7219,3414,1123,68702
CED510,12855,7060,2449,848,71831
CED511,11970,7561,3422,1194,69180
CED512,10018,6326,2809,940,82887
CED513,10765,6237,3018,1588,88117
CED514,9359,6369,3672,1426,76131
CED515,10368,6344,3377,1949,89525
CED516,12184,7997,4188,2107,72936
CED594,633,368,58,13,3820
CED597,31,4,3,0,338
CED601,7611,5430,2652,1060,45230
CED602,7555,5163,2771,922,41089
CED603,8573,5554,2815,1255,52113
CED604,9270,6524,3115,1126,50693
CED605,8897,6698,2764,768,44272
CED694,78,50,10,0,517
CED697,5,7,0,0,44
CED701,7432,3050,787,168,51120
CED702,7435,3488,1105,279,59967
CED794,284,173,22,0,1635
CED797,3,0,3,0,60
CED801,17152,11217,5101,2237,109134
CED802,13211,8469,3554,1338,111272
CED894,57,17,3,0,339
CED897,0,0,0,0,0
CED994,4,4,0,0,31
CED997,0,0,0,0,4
