CED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED101,253,60,807,359,282,224,88,162,21,2256,8,12,13,9,13,9,7,23,3,100,87,125,64,60,100,57,57,44,13,612,97,131,143,115,150,110,95,91,215,1157,6727,15574,6738,4626,7681,3446,1942,2434,835,49998
CED102,291,92,1103,412,260,252,114,203,40,2761,9,7,18,15,11,13,17,51,5,151,108,182,80,84,152,75,79,69,40,867,117,166,180,118,154,106,101,182,295,1416,7273,18438,7131,5542,8056,4362,2281,3887,1078,58051
CED103,253,77,817,311,251,232,61,146,31,2170,5,7,7,13,9,6,3,13,3,70,131,216,68,58,147,60,35,46,23,787,87,166,110,96,134,89,47,88,238,1056,9635,25818,6200,4474,9001,3858,1285,2050,995,63320
CED104,208,69,586,219,246,175,36,98,21,1659,6,7,3,4,3,6,0,4,0,37,113,181,55,49,121,58,29,26,25,648,110,144,97,59,135,50,34,57,161,850,10145,20951,5826,3729,7618,2871,952,1523,711,54322
CED105,165,27,693,335,214,181,129,171,30,1942,7,0,21,6,13,17,14,36,3,123,39,82,72,49,71,37,51,64,21,498,91,92,227,142,117,92,138,220,299,1423,3575,9314,6104,4464,5124,2838,2440,2994,884,37738
CED106,208,77,466,201,160,135,33,72,11,1360,10,9,3,11,3,8,4,0,0,46,177,262,40,61,139,73,16,23,31,819,106,167,58,46,75,58,18,33,173,730,12547,27082,3521,3347,7399,3325,619,1207,1014,60064
CED107,295,70,882,430,263,230,183,278,26,2653,7,3,7,3,5,14,7,18,0,63,77,65,51,55,66,21,71,48,22,463,190,88,244,146,149,152,190,262,161,1585,6232,10805,8075,5407,5174,2371,2811,3024,596,44494
CED108,155,46,653,290,217,206,241,245,32,2082,4,3,9,6,4,10,17,18,4,75,55,82,83,84,94,52,117,84,29,681,80,86,207,135,155,83,276,262,256,1541,3583,9546,6807,5346,6837,2727,4139,3364,877,43225
CED109,297,76,725,387,379,268,98,137,17,2391,6,12,3,8,9,3,6,5,3,50,110,135,59,64,104,34,30,27,26,593,146,136,114,120,148,101,53,74,194,1079,8553,14930,6968,4513,7047,3237,1326,1605,771,48955
CED110,298,72,1004,437,264,267,82,290,23,2735,6,3,3,5,5,3,3,7,3,43,47,75,52,50,55,22,41,41,15,397,117,86,198,189,117,141,94,217,151,1324,4690,10619,6479,5590,4882,2598,1418,2803,594,39676
CED111,214,54,766,418,281,197,95,163,24,2218,4,10,10,13,9,4,4,10,0,59,81,138,57,59,90,29,39,29,18,539,68,108,184,124,92,94,92,128,158,1048,6029,16516,7660,5627,5948,2515,1906,2282,679,49170
CED112,299,77,935,440,322,293,118,240,27,2731,0,3,8,4,5,3,4,4,0,43,44,66,78,51,45,20,57,35,18,426,93,91,210,162,126,152,128,196,156,1323,4807,9718,7820,5674,5123,2695,1808,2641,655,40951
CED113,316,70,901,338,348,228,105,299,35,2640,7,5,4,3,6,3,3,8,4,47,160,129,55,86,118,24,48,53,32,712,224,137,226,171,199,131,133,228,159,1616,8136,10978,7354,5034,6078,2294,1706,2840,795,45207
CED114,345,48,986,419,257,294,116,359,25,2855,15,11,3,18,14,3,11,22,3,96,98,67,42,54,45,27,54,71,14,474,283,102,241,188,146,167,210,385,166,1885,7263,9771,7509,5057,4819,2298,2249,3790,611,43371
CED115,141,43,530,393,208,167,105,174,30,1789,3,11,17,16,13,16,12,24,3,106,35,65,61,42,69,27,59,65,22,441,74,85,196,114,105,113,171,202,239,1294,3028,7828,5567,3757,4854,2169,2302,2444,798,32740
CED116,280,53,880,426,225,226,95,239,20,2438,5,3,3,8,9,5,3,10,0,38,65,93,54,53,53,33,30,45,13,436,141,88,201,154,97,146,78,175,145,1231,4933,9549,7455,5276,4208,2323,1408,2445,600,38204
CED117,329,111,804,314,224,191,57,117,14,2161,5,12,9,9,5,9,4,17,3,81,239,495,82,76,209,76,28,31,32,1267,114,218,101,100,107,76,44,69,216,1046,11785,29134,5250,4593,7526,3338,940,1770,945,65274
CED118,273,73,762,325,333,272,219,207,40,2508,10,11,6,7,14,8,20,18,3,93,98,138,101,96,178,75,149,92,26,955,99,118,154,136,169,103,154,142,231,1301,7388,17263,7912,5402,8904,3393,3162,2836,975,57243
