CED_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
CED101,44,168,180,140,269,200,60,54,342,1460,1282,4722,5306,4678,7384,6094,2103,2253,666,34496,3,14,23,17,26,36,5,29,0,158,3,6,9,9,9,22,5,22,0,88,74,232,295,271,1218,1034,451,571,34,4184,15,7,29,26,149,168,83,83,5,567,126,330,427,439,817,1719,676,1167,111,5810,47,117,179,196,698,732,282,337,19,2613,187,1387,1090,847,1341,1025,430,630,66,7000,128,1266,1109,631,813,546,288,491,81,5365,158,256,368,438,1094,1109,559,875,50,4908,47,98,92,80,378,461,157,199,7,1521,172,131,300,346,1265,1441,520,641,37,4858,24,101,107,105,288,372,154,222,11,1393,125,433,527,503,1241,1690,620,932,30,6102,78,356,450,315,528,504,156,209,35,2642,182,144,251,288,1346,900,480,399,43,4025,200,951,792,752,1083,905,415,677,52,5830,286,853,1431,1313,1742,1545,411,580,76,8245,38,267,136,132,187,194,61,90,16,1119
CED102,60,188,237,178,303,260,67,77,417,1786,1346,4645,5978,4854,8668,7095,2404,2665,788,38446,0,6,19,17,26,20,11,20,3,118,5,6,6,3,19,23,8,17,0,83,69,198,348,234,1022,905,367,470,26,3644,15,10,23,26,117,116,45,83,8,437,118,331,610,457,832,1791,684,1085,108,6021,50,119,175,162,708,753,243,318,14,2544,206,1365,1424,1064,1722,1150,505,684,105,8213,164,1317,1972,893,1325,962,436,693,104,7863,184,253,519,618,1340,1288,619,912,71,5799,61,114,133,128,576,600,240,303,18,2162,187,111,233,332,1426,1725,541,653,30,5237,36,90,120,100,314,405,171,204,19,1460,161,477,572,496,1494,2410,724,1055,42,7432,91,470,814,455,775,672,219,274,56,3831,196,156,297,280,1448,875,482,426,31,4181,191,894,740,654,1263,1003,445,620,61,5875,309,796,1451,1371,2183,1798,450,630,103,9095,34,224,158,174,234,254,101,137,13,1325
CED103,36,216,183,152,299,274,74,97,330,1665,1397,5345,5533,4733,8014,7704,2699,3086,645,39154,3,18,16,16,34,39,12,14,8,152,4,4,4,10,14,38,12,19,0,106,72,201,245,218,1046,1078,451,614,23,3956,15,10,16,26,155,168,63,83,3,537,108,274,393,338,664,1430,583,1115,72,4976,60,157,193,180,1043,1162,447,576,10,3828,191,1455,1108,838,1298,1114,479,711,85,7287,144,1279,991,579,662,617,316,585,75,5254,91,149,202,226,531,646,313,449,25,2627,81,164,177,144,846,1083,343,461,12,3311,176,131,257,401,1426,2006,725,901,44,6068,38,123,169,143,347,489,169,295,16,1788,247,631,746,700,1972,3400,1103,1476,69,10343,60,372,441,387,470,560,171,248,38,2751,166,161,228,209,1259,924,470,385,25,3823,211,1489,911,761,1334,1198,576,914,72,7471,354,1081,1555,1439,1967,1913,616,771,92,9793,41,287,137,137,145,219,57,121,11,1160
CED104,39,183,166,118,170,213,66,77,202,1230,1287,5919,5526,4824,5408,5885,2267,3008,435,34561,25,87,76,74,82,121,62,172,8,697,7,4,8,8,20,31,21,48,0,151,62,245,223,213,679,863,446,798,19,3556,23,12,17,27,126,171,77,98,0,551,116,377,431,439,628,1741,614,1649,68,6066,56,158,188,227,621,843,393,716,23,3223,189,1606,970,741,831,873,393,783,63,6446,123,1213,501,389,332,330,177,343,41,3443,64,144,137,162,326,483,228,407,22,1976,61,123,124,140,448,694,274,402,17,2278,130,186,284,380,825,1414,608,904,32,4769,24,142,115,135,189,329,175,330,11,1448,199,753,766,728,1206,2403,934,1718,58,8757,66,325,269,272,332,425,171,259,25,2133,160,160,223,234,1020,780,433,391,20,3426,231,1517,1065,879,1097,1204,615,1172,49,7826,326,1150,1730,1466,1500,1574,510,746,54,9054,50,306,132,111,127,161,70,107,15,1079
CED105,49,219,193,151,336,189,49,60,437,1674,838,3810,3880,3445,6393,4366,1311,1631,824,26497,0,14,28,17,35,19,13,8,3,137,0,0,0,3,7,7,8,12,0,36,100,303,381,308,1938,1204,473,486,73,5260,7,9,21,19,111,131,44,42,8,384,139,549,691,710,1072,2057,695,828,166,6906,45,147,172,155,729,607,231,205,20,2311,167,1305,1202,880,1413,928,332,534,141,6897,108,1015,1080,638,728,510,225,363,88,4744,108,308,398,479,1051,1091,433,783,102,4749,22,88,61,63,385,293,93,83,23,1115,94,87,159,173,832,807,211,246,32,2643,16,59,87,53,179,238,68,100,19,817,61,281,288,240,865,997,284,373,42,3427,36,379,519,330,596,433,113,146,41,2611,86,148,193,231,954,521,274,185,43,2637,122,635,449,515,847,628,224,346,63,3829,221,738,1082,1014,1696,1384,366,617,118,7238,27,136,110,86,163,128,38,36,15,733
CED106,45,211,163,140,172,270,56,100,248,1406,1242,6028,5553,4521,5510,6533,2559,3597,476,36019,9,57,19,21,29,30,16,54,3,232,8,5,11,5,21,54,34,70,0,213,62,195,197,192,484,636,362,657,10,2793,7,14,11,20,90,118,48,103,3,407,69,191,229,271,381,836,373,890,35,3272,63,148,180,195,557,963,391,734,12,3244,156,1526,966,637,839,837,388,734,52,6137,122,1122,676,413,435,440,209,482,52,3960,54,145,108,151,304,432,201,355,19,1766,56,193,151,152,493,962,370,590,16,2985,178,300,408,502,1098,2112,963,1889,25,7472,38,203,177,167,196,465,209,426,14,1892,267,1024,969,924,1630,3383,1277,2835,73,12406,44,311,304,274,330,438,182,309,21,2214,132,136,172,152,764,640,366,397,14,2779,218,1577,947,713,899,1036,538,1044,55,7037,335,1336,1785,1434,1460,1684,691,1163,62,9958,35,321,118,125,110,177,65,124,12,1091
CED107,48,142,97,103,105,94,24,63,242,915,1519,5246,4823,5331,6043,4295,1871,2760,607,32487,144,394,365,410,359,706,340,1695,74,4491,164,55,71,96,302,541,849,1654,44,3764,120,238,251,262,980,992,593,864,45,4341,29,20,38,59,324,240,103,117,6,932,153,282,287,389,858,1322,640,1198,84,5217,44,98,70,97,267,286,153,287,11,1322,267,1490,888,967,1232,674,467,688,94,6770,182,1470,645,658,574,409,252,522,82,4800,88,213,213,237,359,356,227,696,45,2433,38,70,52,49,176,112,70,95,8,663,53,59,99,133,227,184,85,138,6,994,21,52,62,68,178,158,81,187,6,819,77,274,263,361,479,414,231,444,23,2565,71,404,275,252,336,302,121,176,22,1961,280,231,323,440,1886,997,554,434,40,5187,246,731,775,905,1184,897,556,917,70,6285,453,834,1457,1711,1835,1735,503,763,97,9399,33,190,75,77,129,81,29,85,4,704
CED108,42,135,141,144,382,224,51,55,424,1605,1127,3683,3893,4393,9075,5636,1559,1634,841,31842,6,32,42,52,78,66,29,46,7,367,3,3,8,3,33,30,12,20,3,105,127,253,255,321,2384,1538,726,744,70,6424,10,14,23,37,245,188,73,134,11,727,87,284,302,406,1072,1674,655,965,128,5577,53,97,144,152,1207,863,346,331,29,3224,253,1235,1133,1070,1795,1037,464,502,124,7611,118,1143,706,554,684,435,181,245,85,4147,148,301,367,504,1765,1498,643,1050,120,6397,26,72,52,59,459,359,94,101,11,1244,122,120,192,249,1356,1100,257,219,42,3650,22,52,41,38,217,214,82,97,7,762,53,193,231,223,905,980,266,276,30,3164,60,314,345,348,730,531,140,131,43,2652,179,156,250,331,1560,789,395,311,46,4013,105,488,414,532,934,606,210,335,36,3668,346,694,1168,1476,2701,1821,409,601,139,9355,21,128,89,98,143,114,35,45,10,686
CED109,41,173,171,131,181,202,55,84,263,1309,1385,4833,5219,4829,5772,5848,2288,2742,547,33474,6,24,13,17,23,26,11,26,0,149,10,0,5,3,19,24,15,44,0,128,91,232,242,272,671,824,467,728,33,3543,9,19,13,22,145,168,67,120,3,576,156,365,405,493,778,2071,856,1946,84,7151,52,137,185,187,409,647,262,504,14,2392,159,1364,866,787,1074,893,521,819,68,6556,84,1158,583,444,455,438,236,558,46,3999,242,253,399,536,883,1132,569,948,65,5028,36,70,61,76,245,364,133,238,8,1244,138,138,246,267,667,1056,420,801,28,3764,49,146,161,129,230,404,215,417,10,1765,152,480,583,529,767,1454,633,1261,38,5895,78,299,280,280,391,460,184,272,33,2280,231,148,281,279,1149,918,584,517,48,4151,242,876,800,682,906,890,456,748,53,5657,298,806,1290,1287,1343,1528,497,633,80,7754,33,254,131,147,163,212,101,169,16,1237
CED110,40,136,91,94,87,54,17,41,234,801,1272,5317,4621,5639,5449,3321,1522,2076,540,29769,67,290,237,265,227,283,124,557,46,2103,21,0,7,10,24,28,21,86,4,200,86,206,193,256,647,482,275,338,26,2506,30,14,28,74,301,283,105,113,5,963,172,384,436,557,926,1369,603,1355,92,5898,17,90,87,97,213,178,175,159,8,1022,265,1602,924,1141,1395,687,441,644,103,7202,173,1803,742,930,690,436,298,571,88,5726,79,208,263,268,320,316,173,465,39,2134,21,61,43,44,156,99,37,72,4,538,52,55,88,133,226,183,89,143,7,974,33,108,79,83,230,167,96,209,9,1007,77,337,284,328,438,417,193,444,23,2533,77,477,336,340,375,295,109,163,33,2213,188,157,275,349,1225,608,332,271,30,3443,221,690,693,902,929,851,456,744,49,5532,510,936,1665,2372,2107,1528,544,722,107,10491,41,225,89,101,125,73,49,73,16,783
