CED_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
CED101,57,317,315,256,570,570,231,341,20,2675,93,307,342,266,681,670,202,279,793,3640,2065,7565,8279,7243,15470,15635,6207,8770,1499,72728
CED102,58,325,389,296,603,564,255,381,51,2915,121,351,522,345,750,818,200,298,1030,4438,2255,7601,10517,8102,18162,18127,6751,9254,1901,82673
CED103,67,351,355,310,533,543,270,355,25,2813,80,364,338,280,654,831,223,418,750,3923,2205,8711,8476,7336,16400,19462,7413,10520,1447,81976
CED104,48,339,265,258,414,473,259,425,29,2509,68,322,254,208,393,613,196,395,470,2922,2030,9163,7791,7078,11194,15520,6653,11845,1020,72293
CED105,51,353,352,292,566,524,237,259,53,2676,118,519,553,445,989,827,259,297,1310,5322,1532,7080,7811,6651,15149,13321,4600,5966,2354,64461
CED106,59,345,292,224,289,401,197,327,22,2151,76,353,285,238,388,698,195,475,507,3218,1985,9504,8021,6809,10799,16341,7072,13665,1021,75220
CED107,62,327,249,248,486,464,277,524,26,2666,111,245,164,172,368,352,146,319,559,2438,2640,7664,6615,7585,12552,11237,6290,11806,1346,67745
CED108,45,220,217,222,642,542,241,282,34,2441,101,309,308,321,1084,850,266,341,1063,4638,1891,6108,6283,6991,19982,15224,5525,6785,2048,70841
CED109,59,293,274,305,476,572,234,427,28,2670,91,274,266,229,444,665,208,437,594,3204,2219,7346,7086,6967,11239,14745,6675,11617,1245,69136
CED110,55,359,240,236,463,372,214,312,26,2283,92,253,175,201,286,234,109,204,547,2100,2276,8266,6872,8683,11300,8886,4457,7657,1254,59642
CED111,78,368,285,293,486,503,217,340,19,2598,63,227,214,181,357,392,131,281,530,2376,2476,8972,7809,7594,13023,12363,6184,8895,1128,68439
CED112,69,330,279,341,561,523,260,380,29,2782,79,263,236,197,495,479,160,311,526,2747,2404,7679,7145,7946,12893,11924,5456,8291,1213,64950
CED113,74,274,188,242,437,487,265,391,40,2392,105,241,168,200,375,368,171,361,612,2604,2887,7398,6115,7882,13101,12078,6691,11323,1398,68868
CED114,75,304,266,271,515,478,281,439,41,2662,135,304,217,213,441,478,174,315,676,2955,2847,8025,6829,8354,12808,12333,6513,12188,1617,71500
CED115,40,453,359,270,576,499,209,280,46,2733,112,532,439,365,1158,781,223,274,1167,5055,1424,6734,5983,5847,15452,12106,4418,5995,1996,59969
CED116,64,295,236,257,372,343,179,317,33,2093,113,302,166,178,259,300,112,214,511,2156,2335,8213,6709,7380,9840,8638,4723,7207,1161,56202
CED117,69,286,242,287,512,483,266,346,29,2522,66,268,304,242,397,653,231,458,594,3211,2406,6714,7907,7723,14142,17989,9453,14903,1200,82447
CED118,71,307,286,257,688,601,294,427,22,2960,81,287,315,297,885,905,244,425,819,4262,2268,7198,7464,7559,19899,18987,7214,9820,1619,82035
CED119,60,357,298,334,533,653,296,454,27,3016,72,246,209,218,465,643,211,365,470,2900,2423,8005,7773,7434,13294,16095,7653,11415,975,75075
CED120,76,342,254,276,566,581,327,517,32,2972,142,293,229,222,504,617,208,495,611,3322,2580,7458,6972,7601,13506,13694,6840,12638,1403,72696
CED121,94,363,275,320,567,606,353,457,17,3049,96,230,178,224,401,429,170,295,566,2586,2535,7559,6964,7463,11913,11019,6615,9868,1298,65233
CED122,66,316,331,314,503,546,254,422,36,2801,91,315,309,256,499,739,219,444,704,3587,2586,8282,8707,7759,14905,19363,8445,13749,1564,85361
CED123,64,311,259,275,618,684,347,503,38,3103,113,337,255,285,836,840,298,552,784,4290,2544,7286,6828,7545,17522,16743,7694,11680,1567,79401
CED124,54,277,243,238,411,433,191,334,32,2203,105,245,160,159,265,277,112,208,516,2041,2306,7028,6253,7189,8966,7967,3942,7455,1162,52277
CED125,57,295,210,212,616,606,307,386,35,2732,108,302,255,296,893,831,271,387,815,4153,2296,6872,6417,7315,17617,15434,6883,9283,1650,73759
CED126,80,416,322,366,453,604,307,453,21,3030,121,392,333,305,453,741,282,572,561,3756,2175,9338,8512,7983,10659,14846,7117,12932,1146,74712
CED127,68,325,245,315,419,540,292,484,25,2722,99,294,221,249,469,573,197,421,460,2973,2199,7963,7264,7557,11765,12663,6485,11162,1107,68160
CED128,48,322,270,260,650,572,255,351,42,2769,111,390,354,339,911,829,236,322,958,4456,1772,6695,6184,6542,16068,14503,5617,7669,1868,66912
CED129,54,358,322,285,456,595,257,466,26,2821,68,322,241,233,505,783,223,474,549,3404,2006,8600,7638,7080,13657,17940,7171,12338,1082,77513
CED130,62,296,206,223,519,422,225,376,39,2367,102,258,177,186,368,372,142,282,608,2490,2387,7395,6123,7684,12278,10305,5575,11219,1456,64424
CED131,66,346,270,295,549,451,257,391,22,2648,69,261,155,191,349,360,140,260,507,2289,2632,9138,7943,8649,13735,13251,6665,9396,1141,72551
CED132,43,303,254,230,395,400,236,372,29,2265,88,324,283,202,421,766,262,599,530,3474,2475,7782,7702,6952,12397,20113,9775,18141,1084,86432
CED133,71,301,225,294,467,427,206,356,23,2366,119,298,183,220,314,314,110,238,587,2385,2270,8128,7111,9165,11704,8874,4455,8219,1296,61233
CED134,90,254,216,229,535,555,262,440,25,2610,122,200,161,170,340,400,162,348,683,2584,2448,6152,5281,6856,11646,10793,5615,14114,1592,64497
CED135,66,284,292,253,608,559,236,289,36,2624,101,361,468,327,971,949,253,321,1010,4765,2159,7382,8642,7464,20586,20890,6562,8049,1883,83605
CED136,83,348,261,292,621,537,289,479,32,2940,70,273,163,205,452,471,158,284,511,2589,2477,7802,6903,7481,12588,11339,6119,8621,1145,64477
CED137,51,310,369,280,529,583,254,358,34,2763,115,462,547,317,744,943,263,465,976,4831,2406,8238,10322,7739,17105,21441,7970,12762,1822,89789
CED138,54,365,264,299,367,383,147,311,30,2227,116,381,274,330,341,394,142,342,643,2972,2214,8983,7743,9741,10280,9159,4199,8147,1346,61819
CED139,49,301,235,252,518,518,288,398,28,2578,102,251,172,173,380,401,155,308,615,2545,2463,7313,6271,7594,12590,11379,6185,11912,1463,67164
CED140,73,379,290,279,517,451,242,311,34,2565,100,264,187,188,391,459,154,308,491,2540,2241,7842,7032,7356,11385,12176,5325,8460,1059,62881
