CED_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
CED101,4,3,0,3,0,10,0,3,0,80,0,99,0,0,0,0,0,0,0,4,0,19,0,30,0,0,0,3,0,3,0,25,4,43,0,80,0,3,0,3,0,3,0,24,0,31,0,62,0,8,0,4,0,21,0,54,4,73,0,161,6,14,4,13,3,79,0,101,8,98,0,320,10,28,0,28,0,161,3,118,11,139,0,493,16,34,4,59,5,271,3,131,15,163,3,698,45,98,0,197,18,427,15,149,20,230,0,1189,110,84,14,328,19,439,9,124,22,203,4,1360,140,70,9,356,28,425,10,94,21,156,7,1314,244,58,9,406,38,402,14,72,15,136,8,1385,787,121,18,920,119,705,30,137,21,240,13,3110,785,92,18,881,88,278,16,65,6,130,3,2360,604,38,15,629,99,163,18,44,10,74,3,1700,481,31,5,303,60,268,5,36,11,44,0,1249,1261,61,24,1036,117,357,31,68
CED102,3,0,0,5,3,5,0,4,0,111,0,134,0,0,0,3,0,4,0,9,3,40,0,58,0,0,0,3,0,9,0,44,5,43,0,99,0,3,0,0,0,9,0,45,5,39,0,96,3,13,0,10,0,23,0,68,7,88,5,216,7,20,3,13,0,75,5,142,13,110,0,374,7,53,0,13,0,182,3,146,13,181,3,612,24,76,0,78,5,344,4,165,24,187,3,920,47,83,12,193,12,480,25,154,26,247,8,1283,132,104,14,352,29,454,13,131,30,227,8,1492,165,72,11,377,29,409,10,89,28,217,6,1407,247,77,13,393,34,370,3,82,9,173,0,1402,711,104,28,857,99,687,28,126,31,273,7,2949,733,83,13,759,88,275,20,71,13,118,5,2185,615,50,20,539,88,157,16,35,15,96,0,1638,458,36,10,258,63,252,7,25,12,33,4,1160,1105,64,22,744,126,284,19,56
CED103,0,0,0,0,0,13,0,6,0,146,4,175,4,0,0,3,0,0,0,8,0,29,0,50,0,4,0,3,0,7,0,15,3,36,0,62,0,0,0,0,0,6,3,25,0,29,0,59,4,6,0,0,0,19,0,39,3,82,0,155,0,16,3,11,0,66,4,71,11,89,0,266,4,39,0,31,3,121,0,100,4,119,0,428,22,52,4,67,7,215,6,123,17,125,0,635,47,87,3,148,10,402,10,118,21,191,4,1044,107,89,6,239,12,405,15,118,19,124,0,1131,116,70,9,299,29,476,8,75,19,127,5,1240,193,58,9,325,33,440,9,75,22,118,0,1281,590,100,20,848,98,953,26,127,28,210,3,3008,704,77,18,888,100,322,22,70,18,133,0,2350,743,50,16,696,98,188,17,49,10,90,0,1970,649,37,14,338,87,451,7,36,17,50,3,1688,2113,102,36,1594,167,593,33,86
CED104,7,0,0,7,0,5,0,3,0,35,0,64,6,0,0,3,0,0,0,3,0,7,0,25,0,0,0,0,0,3,0,9,0,31,0,45,0,0,0,0,0,0,0,12,4,13,0,32,0,3,0,3,0,16,0,12,0,44,0,83,3,9,0,5,3,23,3,40,0,36,0,122,11,16,0,10,0,47,0,49,5,66,3,212,22,17,0,58,3,117,3,68,8,64,0,364,42,59,7,117,9,173,5,64,7,119,4,595,69,65,3,211,17,230,13,79,13,106,0,811,79,67,7,262,17,278,8,71,14,101,0,899,146,59,4,351,31,299,3,67,4,86,4,1047,441,131,11,910,76,822,17,100,33,170,4,2710,666,96,17,1072,70,319,14,85,11,110,4,2470,753,59,8,923,90,181,21,55,9,74,3,2185,687,47,9,484,74,621,11,39,11,59,4,2045,2706,121,47,2238,199,862,36,117
CED105,8,3,0,0,0,3,0,11,3,257,3,294,0,0,0,0,0,4,0,6,4,55,0,80,3,3,0,3,0,16,0,49,8,151,5,236,0,3,0,3,0,21,0,59,4,79,3,173,0,11,0,8,0,60,4,155,17,321,9,581,3,24,4,15,0,175,4,290,35,330,7,890,15,61,12,36,0,312,7,308,47,420,14,1226,21,88,8,88,4,608,12,404,68,435,12,1755,85,83,13,203,16,819,15,330,58,497,9,2141,157,115,17,352,15,686,19,242,41,393,13,2050,194,68,22,301,30,602,14,143,35,290,11,1701,239,69,15,316,34,453,8,101,25,217,8,1485,664,85,7,568,75,685,23,169,36,334,7,2656,535,53,20,448,58,293,18,87,14,167,5,1694,393,18,11,268,40,170,12,34,16,108,4,1068,295,12,6,110,24,157,7,25,10,70,5,719,518,27,11,265,35,171,12,44
CED106,6,0,0,7,0,16,0,13,0,125,0,169,3,0,0,0,0,0,0,0,0,24,0,35,0,0,0,4,0,3,0,19,0,23,0,52,0,3,0,0,0,3,0,14,0,21,0,42,0,11,0,8,0,17,0,29,4,45,0,114,3,8,0,6,0,40,0,50,7,54,0,172,10,23,0,18,3,72,4,52,6,60,0,247,14,33,0,42,0,137,3,57,11,70,0,365,36,66,5,95,11,230,6,81,11,98,0,632,65,61,0,161,14,262,7,76,8,103,0,760,68,51,4,188,9,305,9,56,9,84,0,779,107,50,0,235,21,305,8,56,10,84,3,875,390,71,10,530,51,837,16,124,20,158,4,2224,467,74,13,739,73,264,14,59,8,105,0,1810,556,56,12,627,65,134,16,66,3,88,0,1622,540,46,17,324,50,1072,15,71,24,89,0,2249,3363,177,42,3302,277,1434,56,183
CED107,3,0,3,5,0,0,0,0,0,26,0,48,4,0,0,4,3,0,0,3,0,12,0,24,0,7,0,4,0,5,0,4,0,20,0,47,3,0,0,0,0,0,0,5,0,14,0,25,7,8,0,10,0,10,0,19,5,71,0,133,7,9,0,17,0,29,3,36,10,78,0,177,20,16,4,29,3,61,3,65,12,175,3,386,26,32,8,84,13,150,7,112,19,147,3,593,58,76,14,224,28,315,13,104,34,194,7,1059,149,68,3,445,44,334,9,80,13,112,6,1275,151,64,14,458,44,309,18,56,17,78,5,1221,219,60,3,504,40,277,22,33,16,50,5,1241,629,99,20,1038,104,475,24,51,27,54,5,2529,649,51,25,838,115,171,22,24,9,34,7,1952,564,26,14,495,74,57,20,15,4,14,3,1286,370,13,9,201,60,123,5,7,8,6,0,810,640,22,13,548,73,121,13,13
CED108,3,3,0,3,0,11,0,4,0,115,0,139,0,0,0,0,0,7,0,7,0,35,0,45,0,0,0,0,0,9,0,33,5,58,0,110,0,0,0,0,0,7,0,25,4,40,3,79,0,0,0,0,0,28,3,51,6,163,0,261,3,8,3,8,0,87,0,103,20,167,7,409,6,23,3,27,0,188,0,132,13,270,4,679,11,53,7,61,3,471,8,184,33,254,9,1088,43,90,10,198,19,730,15,195,45,344,12,1712,181,91,18,380,37,732,21,166,45,282,10,1966,253,61,16,453,44,694,16,97,34,195,6,1888,420,67,14,509,56,557,9,84,22,197,8,1939,1354,111,31,968,138,866,42,137,34,267,13,3954,1160,64,22,640,100,345,22,58,15,122,4,2550,815,25,18,321,65,181,9,40,7,88,0,1561,471,15,6,155,31,169,4,13,14,26,0,912,748,21,13,264,54,167,7,14
CED109,4,0,0,3,0,5,0,0,0,32,0,49,0,0,0,0,0,0,0,0,0,13,0,22,3,0,0,6,0,4,0,8,0,27,0,48,0,3,0,0,0,0,0,13,0,9,0,27,0,5,0,3,0,9,0,9,3,31,0,59,0,13,0,6,0,18,0,20,3,26,0,98,3,16,0,15,0,35,0,40,0,55,0,174,8,21,3,48,5,116,0,69,3,75,0,347,19,41,7,130,8,200,9,62,13,108,0,596,62,58,4,230,17,203,10,60,17,97,4,753,73,50,8,275,19,232,12,57,11,87,4,828,121,39,10,361,27,255,11,42,10,87,3,962,463,75,14,893,100,530,17,106,20,134,0,2359,566,72,12,986,108,209,37,62,8,92,4,2164,588,40,14,708,104,123,12,48,9,56,0,1699,448,35,17,374,63,367,11,52,14,50,0,1424,1560,82,49,1636,186,493,37,92
CED110,3,4,0,3,0,8,0,0,0,29,3,53,3,0,0,3,0,6,0,0,0,18,0,26,0,0,0,0,0,3,0,10,0,27,0,47,0,0,0,0,0,3,0,0,0,11,0,14,9,7,0,4,0,3,0,27,4,74,3,134,5,8,0,14,3,27,3,50,3,55,3,174,11,29,0,33,0,67,6,85,3,180,4,429,31,69,3,78,4,171,5,146,13,189,7,715,50,130,11,260,17,312,28,172,24,251,9,1268,129,129,9,421,38,316,11,118,27,183,7,1392,165,92,8,463,39,233,19,102,19,108,4,1260,232,76,12,448,45,210,21,55,10,68,0,1167,600,113,23,825,71,325,33,57,17,93,8,2159,498,68,15,558,57,110,15,31,3,32,6,1381,345,30,5,292,35,41,13,15,0,14,0,802,208,10,5,110,20,88,8,5,4,3,0,470,318,31,9,248,26,64,7,15
