CED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED101,14,98,6,3069,298,58,29,280,29,203,22,95,31,206,914,2173,19,3,23,17,8,11,3,0,8,18,53,173,4798,808,175,5474,641,4214,180,1333,223,2167,1017,21031
CED102,10,108,3,2538,258,49,27,229,39,214,13,111,36,270,965,2216,14,7,19,25,12,11,3,9,10,27,71,189,4522,879,190,4854,634,4246,168,1504,293,2583,1080,20955
CED103,14,105,3,4842,309,58,23,291,28,209,11,93,32,180,1203,2428,26,0,7,34,6,8,0,0,7,16,60,179,5635,842,159,5808,685,4910,175,1240,251,1995,1296,23001
CED104,25,96,3,6443,476,63,21,464,39,253,22,102,39,154,1142,2792,34,8,15,33,7,21,5,4,3,10,40,170,6146,827,147,7152,635,4261,171,986,187,1390,1208,23118
CED105,11,88,0,1177,186,51,28,174,25,283,11,163,59,413,951,2355,20,0,12,10,8,18,0,3,19,63,161,308,3335,784,182,3165,367,5540,159,2638,511,4676,1232,22585
CED106,31,193,3,9057,403,64,15,429,26,315,14,84,27,162,1572,3115,29,6,15,44,15,22,3,4,10,13,47,200,6066,804,130,6758,613,5472,155,1097,186,1602,1639,24522
CED107,11,14,0,1476,361,55,15,392,31,181,16,74,14,135,876,2159,31,0,15,22,3,16,3,3,10,37,37,170,3904,596,163,5317,634,2645,185,709,206,1270,961,16604
CED108,15,57,3,1357,368,40,26,196,33,294,20,103,51,292,793,2211,18,5,15,17,3,23,0,10,10,53,99,261,5866,681,192,4205,601,5562,180,1447,367,3020,981,23113
CED109,21,90,4,4241,337,65,22,394,38,187,27,85,26,141,882,2200,14,0,20,36,11,14,3,3,4,21,38,159,4262,615,170,6100,688,3006,191,821,177,1231,942,18211
CED110,4,19,0,737,240,75,7,273,29,134,14,84,22,168,684,1716,19,0,14,19,6,11,4,4,6,27,37,147,2860,871,127,4061,385,2120,184,966,175,1572,765,14085
CED111,17,45,6,2526,300,45,11,349,38,192,16,68,22,182,869,2083,19,0,13,19,4,9,8,4,3,21,27,127,3518,703,145,5926,630,2940,190,859,198,1818,929,17861
CED112,6,24,0,1318,306,56,22,372,34,199,11,79,23,152,793,2059,22,0,12,23,3,20,0,6,7,24,38,153,3480,673,158,5585,612,3096,197,854,217,1448,871,17189
CED113,12,28,3,2244,418,59,29,331,39,156,14,66,19,108,912,2157,28,3,7,21,4,7,4,4,5,12,44,142,4547,649,197,4638,666,2219,207,632,174,989,998,15915
CED114,3,9,0,960,432,44,21,452,48,158,22,65,25,108,861,2238,26,10,10,41,10,15,0,3,13,35,46,215,3787,598,178,5620,622,2508,224,706,174,1176,980,16562
CED115,3,101,3,1221,211,48,28,174,21,308,11,128,62,456,811,2255,22,0,11,6,3,12,0,11,16,67,135,292,3389,692,154,2971,329,4802,120,2044,404,5245,1033,21186
CED116,4,27,3,924,251,75,18,300,32,134,18,77,27,160,802,1902,15,7,14,19,3,3,0,3,5,26,29,133,2487,750,139,4212,441,2092,145,899,183,1485,889,13729
CED117,24,52,10,5301,200,34,8,182,16,121,13,42,19,109,757,1509,15,0,6,10,3,5,0,3,0,3,27,71,4158,568,122,4588,729,2627,112,621,141,1065,813,15546
CED118,8,56,3,3199,404,41,19,287,37,244,19,74,31,179,999,2339,30,3,15,34,4,10,4,5,13,25,74,205,7699,731,205,6632,885,5886,210,1160,285,1860,1127,26692
CED119,22,63,0,4425,400,46,25,421,38,212,23,94,22,130,933,2339,34,4,9,44,4,11,5,3,6,12,27,169,5615,668,178,7979,810,3554,211,802,189,1200,979,22193
CED120,7,31,3,2205,449,53,29,431,50,245,32,68,21,126,801,2306,33,5,11,47,3,17,7,7,7,29,44,208,5136,619,192,6296,801,3363,243,716,208,1127,899,19595
CED121,8,21,3,1544,320,49,27,344,29,188,27,76,19,156,840,2069,25,3,21,36,4,12,0,7,10,23,46,183,3344,627,164,5554,605,3316,225,860,236,1631,917,17479
CED122,16,78,7,4642,344,50,17,310,36,165,9,73,17,145,1002,2166,23,0,16,32,3,11,5,0,3,18,37,161,4874,714,164,5291,745,3292,145,872,163,1461,1095,18811
CED123,13,51,7,2150,350,33,23,311,39,215,20,94,34,172,722,2000,33,0,17,30,4,18,0,3,13,32,61,207,5514,535,193,5840,844,4345,181,879,261,1554,839,20986
CED124,5,10,8,813,274,61,18,303,21,162,29,80,18,168,733,1858,21,3,15,23,0,9,0,7,10,38,40,159,2562,692,146,3853,378,1976,178,871,217,1600,821,13297
CED125,9,39,0,1801,361,37,11,279,42,276,14,95,43,252,752,2165,39,0,14,21,9,20,4,5,7,42,68,224,5300,638,202,5163,717,4924,178,1177,308,2162,879,21649
CED126,22,91,9,5514,422,73,22,486,38,184,17,100,19,132,1072,2568,26,4,15,33,11,18,3,7,4,11,40,182,4964,859,174,7545,647,3113,183,812,163,1104,1141,20721
CED127,7,26,0,2197,358,57,17,405,37,197,19,57,20,125,763,2055,38,7,13,28,3,12,0,3,5,20,36,172,4199,716,144,5798,596,3108,178,731,192,1048,827,17536
CED128,21,90,0,1705,303,47,22,237,26,306,14,139,56,389,869,2400,13,0,10,20,9,6,3,10,23,89,109,291,4367,645,152,4237,534,4924,157,1769,410,4652,1053,22901
CED129,24,94,12,5986,452,65,27,404,30,258,13,78,27,144,1166,2657,32,3,19,31,6,19,7,0,9,5,31,163,7301,825,178,7452,729,5013,176,996,210,1443,1235,25552
CED130,4,17,5,888,415,46,22,345,39,149,20,58,14,121,848,2081,21,6,15,15,0,11,4,8,13,29,44,171,3648,570,159,4389,485,2264,179,647,169,1258,938,14704
CED131,10,24,0,2191,253,46,9,264,34,130,10,59,21,104,913,1843,14,0,10,14,11,13,3,9,4,11,39,133,3140,670,128,5555,635,2508,169,767,178,1250,983,15990
CED132,32,123,3,7836,279,63,12,279,30,197,11,80,18,109,1215,2296,24,3,16,25,3,15,3,6,5,10,31,134,4828,604,148,5301,816,4211,139,796,167,1020,1266,19281
CED133,3,17,3,638,261,78,15,299,29,158,21,99,16,171,752,1901,12,5,15,17,3,7,0,3,9,34,39,140,2939,899,127,4210,421,2310,208,1040,195,1641,839,14825
CED134,9,8,8,949,537,56,27,380,45,176,18,56,20,138,889,2344,35,0,20,32,6,17,0,3,12,43,49,208,3786,468,179,4236,555,2239,164,543,193,1215,996,14582
CED135,13,70,3,2277,246,34,18,206,28,226,5,101,58,236,1100,2267,16,7,7,14,3,14,0,0,7,35,100,206,5391,826,176,4697,674,6761,171,1819,386,2961,1267,25134
CED136,9,22,0,1324,279,57,17,331,30,189,14,83,24,150,1017,2195,16,3,7,22,5,11,3,3,3,27,29,130,3397,626,154,5332,599,3235,183,894,218,1569,1084,17292
CED137,26,119,6,4901,304,68,25,279,46,189,15,70,29,193,1061,2272,18,0,19,25,3,6,3,3,14,16,45,155,5272,851,153,5068,742,4555,179,1219,246,2005,1149,21426
CED138,7,19,0,1015,247,98,17,310,23,145,15,110,18,127,852,1957,20,3,8,21,7,10,3,11,4,17,47,141,2522,1063,141,4501,396,2164,194,1053,175,1312,950,14468
CED139,4,13,4,1004,397,47,13,404,43,175,25,42,13,110,842,2121,20,0,17,27,4,13,0,3,6,29,50,177,3830,530,154,5031,592,2363,176,608,165,1187,934,15569
CED140,11,24,0,1763,299,59,19,366,40,174,19,73,33,143,785,2010,19,4,17,33,3,7,0,4,3,15,44,149,3211,679,149,5363,553,2916,177,808,218,1193,865,16123
CED141,15,26,3,1759,275,55,15,305,30,157,20,82,25,144,834,1939,20,5,6,30,3,10,4,7,3,26,40,152,3192,665,128,5787,578,2650,204,789,185,1488,904,16562
CED142,26,37,3,2688,118,16,8,68,12,72,6,30,11,57,555,951,12,0,3,3,3,5,0,0,0,4,16,51,2214,354,94,2192,521,1855,90,452,106,698,587,9161
CED143,43,152,8,7471,308,66,14,359,30,276,10,91,21,105,1168,2438,16,6,5,30,4,18,3,6,3,7,30,129,4191,647,140,6109,716,3907,159,775,151,865,1223,18885
CED144,10,107,5,1922,229,57,37,201,33,293,13,130,69,361,1107,2524,19,0,11,20,5,17,3,13,26,43,129,273,3712,937,171,4041,470,5593,180,2389,484,4026,1320,23328
CED145,38,117,8,6220,248,48,15,313,9,209,9,69,16,89,912,1942,26,0,11,38,6,13,0,5,7,5,27,146,3370,531,100,4400,607,2933,110,609,134,652,961,14402
CED146,21,95,7,2012,369,62,34,289,47,301,14,114,66,383,907,2568,18,9,12,20,5,20,3,16,19,54,109,283,5669,828,192,4828,600,5539,163,1799,419,3926,1098,25065
CED147,9,28,0,1513,276,48,11,373,39,244,17,78,26,179,814,2104,15,3,15,26,5,18,4,3,8,28,32,150,3463,644,148,5888,587,3283,212,932,213,1685,882,17943
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,8,51,3,2063,328,57,12,397,39,227,22,82,23,154,797,2138,26,7,12,40,4,11,4,3,15,22,44,181,4093,734,128,6221,646,3886,163,1037,202,1464,871,19445
CED202,10,11,0,1269,302,73,18,406,35,178,17,60,12,121,696,1915,24,0,14,30,11,22,0,0,3,34,30,160,3089,743,166,5935,599,2969,186,806,197,1203,761,16645
CED203,13,47,0,2720,207,56,14,260,21,162,14,68,17,213,726,1761,21,5,11,26,4,15,0,6,11,32,54,193,2954,887,141,5443,608,3165,187,1019,218,2103,839,17557
CED204,8,13,7,1103,258,60,23,360,42,154,22,59,11,119,716,1827,18,3,11,20,9,12,3,5,10,22,29,143,2800,843,147,5445,569,2750,256,815,165,1145,781,15712
CED205,10,82,3,1947,236,69,30,259,23,240,13,95,27,284,977,2253,20,0,14,27,4,10,3,8,5,30,67,182,3892,866,141,4482,407,4625,165,1476,261,2962,1100,20366
CED206,7,52,3,1490,282,67,31,313,50,327,18,161,65,423,904,2641,25,3,13,29,3,20,0,8,13,68,144,328,3789,765,167,4929,525,4987,169,1971,422,4533,1138,23394
CED207,11,22,3,1465,329,79,19,544,30,202,29,86,24,118,741,2200,35,12,39,59,3,26,5,3,4,14,48,245,3320,757,207,6831,689,3456,213,820,203,1117,835,18451
CED208,8,55,4,3449,249,51,14,277,25,185,6,71,21,174,1048,2119,24,3,4,37,0,5,0,3,3,8,39,132,4030,834,120,5742,564,3854,137,1122,172,1808,1123,19499
CED209,9,14,0,1659,316,70,17,483,32,188,16,82,20,111,891,2228,24,4,9,47,3,15,3,4,12,12,24,171,3182,848,192,7029,728,3099,190,818,201,895,961,18139
CED210,8,12,0,1255,252,50,15,351,24,166,16,65,15,178,672,1816,27,0,12,32,3,20,3,6,4,33,55,200,2537,640,157,5197,535,2929,205,874,201,1518,771,15559
CED211,10,36,0,2544,251,48,15,315,30,193,17,65,17,130,796,1874,21,0,10,38,14,15,4,0,0,17,34,149,3583,773,114,6484,675,3852,200,957,149,1463,853,19108
CED212,5,28,3,1788,288,57,9,374,37,204,18,91,26,122,746,1971,28,3,22,49,6,11,4,6,11,24,35,193,3145,643,151,5959,585,3108,169,768,177,1153,818,16687
CED213,11,19,3,1353,319,92,12,506,45,205,20,94,30,133,716,2163,28,12,11,44,10,27,4,7,13,17,48,223,2936,830,174,6090,554,2893,200,900,200,1083,805,16667
CED214,23,41,4,2814,238,36,29,237,31,184,9,83,32,226,822,1918,22,5,10,32,7,12,9,8,10,34,65,209,3562,769,160,5376,747,3779,193,1169,246,2207,939,19142
CED215,9,18,6,934,287,53,24,329,35,165,14,65,22,110,860,1966,21,3,16,19,0,11,4,4,10,31,43,163,2259,548,149,4521,495,2374,233,752,203,1238,956,13732
CED216,38,101,3,6935,350,69,16,499,34,244,16,73,22,108,1224,2653,31,5,10,57,3,27,4,9,7,11,40,209,4445,741,121,7023,608,3862,157,876,151,1070,1279,20340
CED217,9,42,0,1474,362,75,38,347,43,351,31,147,56,311,1009,2763,42,3,24,40,4,26,5,11,16,56,128,360,5688,917,272,6794,868,6416,259,1694,460,3009,1215,27603
CED218,27,115,7,5831,257,58,12,306,19,242,22,71,22,96,941,2042,31,4,13,36,0,14,5,0,10,16,34,156,3361,552,107,5091,547,3419,139,687,130,941,999,15976
CED219,3,33,0,1136,428,55,27,380,49,405,31,102,60,272,1097,2908,22,5,19,34,6,28,4,6,21,34,104,293,5946,1018,226,7098,838,7101,257,1870,415,2875,1281,28929
CED220,7,45,3,2335,266,45,22,284,23,211,17,78,26,229,881,2080,33,3,12,30,10,28,0,5,3,19,52,196,4246,746,140,5640,548,3888,166,1187,242,2381,981,20162
CED221,8,9,6,671,295,76,22,374,33,139,11,62,20,90,741,1867,19,0,13,33,10,14,0,4,9,17,42,157,2904,676,166,4763,530,2146,201,607,183,915,845,13932
CED222,13,38,0,2277,353,54,26,338,35,212,18,68,28,189,870,2196,23,3,22,36,4,22,3,7,4,20,47,208,4513,767,200,6320,655,4216,191,1009,220,1794,969,20863
CED223,14,33,0,3686,265,64,20,423,37,226,21,69,15,137,884,2154,34,5,16,51,7,11,8,4,9,16,40,194,3568,792,144,7102,718,3433,220,856,150,1232,949,19164
CED224,26,152,7,6948,305,78,19,415,15,250,15,100,15,128,1296,2633,28,0,19,43,12,23,3,7,5,12,36,188,4011,716,124,5826,518,3649,146,924,147,1272,1361,18683
CED225,9,25,3,2309,432,64,28,486,48,266,21,69,27,131,905,2481,41,7,19,60,13,23,5,9,5,14,46,244,4968,870,190,8039,757,4593,250,1012,234,1255,1006,23176
CED226,16,39,4,2333,423,72,30,381,61,355,22,110,54,233,1370,3103,42,3,25,43,8,28,3,4,18,47,110,335,7499,1117,273,8277,1100,8936,283,2003,489,2814,1586,34385
CED227,3,13,3,581,303,47,13,372,36,167,23,46,27,121,755,1903,22,3,14,32,4,10,6,3,10,29,43,181,2743,515,154,4574,474,2131,184,639,174,1136,862,13591
CED228,9,81,3,2885,267,54,19,312,29,234,12,107,37,268,810,2157,15,0,16,33,3,20,5,3,3,51,99,249,3785,751,173,5207,608,4097,150,1353,272,2771,970,20142
CED229,14,25,0,2188,495,85,34,542,51,357,32,110,53,194,1150,3098,61,6,25,67,15,40,11,7,24,40,78,363,6059,1055,271,9512,1178,6527,371,1435,384,1997,1305,30088
CED230,11,21,0,1042,334,54,23,455,41,203,11,86,24,138,787,2163,32,6,27,39,11,17,10,3,9,22,46,223,3233,797,198,6263,658,3637,229,996,262,1310,898,18474
CED231,9,43,4,2990,143,33,9,133,11,96,5,44,16,97,644,1228,10,3,6,17,3,5,0,4,8,14,37,110,2442,460,112,3021,522,2293,93,628,143,1145,717,11591
CED232,22,52,4,4043,174,44,14,210,20,138,7,39,13,78,736,1469,18,5,8,27,3,12,3,4,11,14,36,138,2558,505,103,3739,537,2458,131,558,121,751,790,12254
CED233,15,91,7,3738,315,63,22,414,40,244,20,93,19,203,1042,2489,21,0,23,50,10,22,4,6,3,21,46,208,3816,898,141,6173,533,3943,178,1071,187,1885,1126,19942
CED234,3,15,0,718,425,55,23,362,28,184,34,60,10,151,687,2011,38,4,12,39,5,19,4,0,10,37,45,214,3192,553,173,4756,506,2230,201,704,209,1317,783,14619
CED235,16,50,5,1763,324,71,29,395,48,298,18,132,41,339,919,2596,28,7,14,39,10,27,3,14,11,44,91,287,4333,917,207,6443,740,5139,225,1500,364,3287,1087,24251
CED236,3,8,4,655,340,52,14,393,21,157,23,66,13,90,662,1835,16,3,18,23,10,9,3,0,11,23,23,139,2521,614,174,4674,447,1998,202,632,174,967,741,13146
CED237,3,47,5,2408,178,45,19,275,33,198,14,90,29,216,812,1911,13,0,8,27,7,19,4,5,3,30,61,180,3090,800,143,5410,704,3766,177,1131,249,2154,939,18542
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,5,12,3,849,293,33,20,269,30,175,15,72,30,144,921,2002,26,3,14,24,4,18,3,3,9,28,61,191,3866,539,130,4414,582,3661,168,973,263,1641,1027,17259
CED302,19,38,0,3361,319,40,13,294,26,185,16,51,9,101,1086,2147,19,3,5,35,3,5,3,0,11,16,42,137,4990,634,136,5893,730,3369,186,837,177,1253,1161,19373
CED303,5,26,4,2188,362,49,14,323,40,171,20,60,9,118,996,2160,28,3,21,24,12,9,3,5,3,22,42,165,4787,585,135,5856,627,3035,175,720,175,1089,1063,18243
CED304,20,64,4,4923,238,30,8,202,22,113,6,33,14,59,874,1596,12,0,7,13,4,15,3,0,3,3,20,86,3415,506,104,4334,576,2776,127,558,126,788,922,14233
CED305,18,10,3,1605,293,44,23,280,34,188,13,52,32,119,1648,2724,16,0,18,22,4,21,0,4,5,17,57,176,3554,485,170,4540,562,3184,183,653,263,1065,1742,16406
CED306,11,16,0,1601,297,40,18,275,24,173,16,65,26,100,1908,2936,31,0,18,31,3,11,0,12,7,23,41,168,3784,476,193,4939,538,2930,169,664,208,1036,1982,16932
CED307,14,33,0,2530,319,45,13,324,32,198,23,60,26,81,1050,2177,22,0,10,26,0,21,3,3,9,11,48,157,4882,642,151,6605,751,3677,220,807,233,1137,1119,20220
CED308,13,45,0,1824,281,49,15,269,23,166,13,78,22,123,1129,2173,23,3,15,25,10,8,0,0,7,20,54,172,4470,816,134,5549,543,3621,157,1055,220,1445,1219,19238
CED309,24,29,0,1367,223,57,7,301,28,171,14,66,24,104,1170,2177,26,3,13,22,7,14,12,3,7,15,45,157,3196,892,123,5546,483,2874,205,943,185,1172,1241,16860
CED310,16,19,0,1182,245,60,11,247,32,111,21,51,11,124,1064,1979,9,5,5,31,9,17,6,0,4,16,31,133,2937,780,117,4559,431,2400,192,830,200,1119,1131,14696
CED311,15,20,5,1776,361,42,26,306,25,211,23,62,33,132,1450,2662,32,5,21,29,8,25,3,0,12,24,73,227,3519,449,176,4658,549,3826,230,756,315,1369,1583,17422
CED312,11,16,4,1385,343,46,12,294,37,221,16,76,29,147,994,2232,31,0,9,32,8,17,3,10,9,21,61,194,4960,718,173,5408,691,4193,213,1067,286,1641,1091,20428
CED313,9,49,4,4386,246,30,10,198,20,113,7,44,11,64,926,1663,12,4,9,20,5,5,0,0,0,10,21,93,3895,522,116,5223,668,2868,128,563,123,825,970,15893
CED314,9,17,0,1283,261,46,9,268,26,127,14,53,12,78,954,1870,22,4,10,10,3,10,0,6,6,11,36,118,3640,529,117,4880,526,2948,186,721,180,1143,1010,15885
CED315,7,16,0,1240,245,36,4,179,27,129,8,43,27,115,1524,2340,34,3,15,15,9,18,3,3,9,25,49,175,4085,518,127,4206,614,2871,196,799,234,1362,1593,16604
CED316,3,22,3,565,153,26,8,167,15,87,8,65,13,138,888,1569,11,6,5,14,3,4,4,8,9,28,51,133,2345,554,99,3182,302,1950,147,933,192,1696,979,12367
CED317,7,17,7,989,364,54,18,289,34,143,19,60,25,162,1144,2318,23,5,14,29,4,18,7,4,12,32,81,226,3519,546,177,4066,457,2420,182,767,267,1428,1296,15126
CED318,8,24,0,1219,301,50,13,218,31,172,14,74,33,156,1320,2390,25,8,8,23,9,9,3,6,7,29,76,212,4041,749,155,4341,547,2780,217,942,252,1618,1460,17105
CED319,5,22,0,2790,262,33,11,244,38,144,10,59,20,105,917,1840,19,0,16,20,5,9,3,0,8,11,51,156,4386,623,147,5442,784,3252,167,812,201,1156,993,17952
CED320,21,30,0,1021,252,45,23,235,36,206,14,66,27,149,972,2025,24,3,16,30,4,10,0,4,12,22,53,178,3807,604,152,4711,565,3709,211,971,279,1755,1070,17833
CED321,3,13,5,714,406,48,7,332,34,142,12,64,24,120,1058,2241,42,5,11,27,3,11,0,4,10,28,54,195,3379,529,137,4174,485,2523,180,639,199,1299,1163,14704
CED322,13,25,0,1646,267,68,11,269,27,170,8,55,18,123,992,2005,23,9,17,18,3,14,4,7,6,11,32,130,3616,873,135,5426,542,2911,203,843,190,1127,1052,16923
CED323,4,43,4,1521,193,51,12,221,24,129,6,63,16,110,794,1618,17,3,17,30,8,9,5,3,5,13,42,155,2983,716,96,4092,418,2526,124,886,157,1204,864,14058
CED324,6,71,0,2722,219,39,13,199,28,156,14,65,15,213,952,1919,11,6,8,24,10,9,8,3,4,20,36,139,3851,814,122,5031,591,3715,172,1106,200,1982,1029,18609
CED325,6,38,0,1859,328,43,18,229,44,213,15,89,36,178,1050,2238,20,3,20,24,3,3,3,6,12,29,71,182,5083,732,168,5164,726,4241,201,1194,306,2030,1173,21010
CED326,15,30,0,1594,277,32,14,237,33,178,13,66,23,119,1072,2061,23,3,15,33,7,11,3,4,10,13,68,189,4421,596,172,5199,668,3793,221,930,266,1444,1174,18893
