CED_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
CED101,93,125,161,173,855,1462,816,1774,55,5511,131,457,368,409,1713,2450,899,1394,71,7892,138,348,522,510,1753,2218,915,1232,169,7813,68,373,380,282,423,329,200,222,29,2311,82,190,197,174,996,915,358,481,34,3426,44,456,371,251,513,584,225,371,36,2847,92,218,282,313,907,807,390,627,99,3742,110,632,656,409,771,629,257,331,99,3890,23,45,41,42,147,141,45,76,241,805,778,2843,2968,2562,8088,9543,4104,6513,830,38234,110,126,208,266,681,767,396,570,36,3161,420,766,1210,1110,1922,2058,749,882,103,9217,52,170,204,191,294,217,98,89,19,1338,170,1045,1009,900,796,509,163,183,94,4864,286,919,1306,1219,2384,1779,464,333,84,8772,159,1169,820,590,645,426,124,107,72,4121,15,60,68,54,175,86,26,22,4,504,45,419,451,302,402,173,63,45,36,1933,20,46,40,43,90,86,20,19,216,580,1282,4722,5306,4678,7384,6094,2103,2253,666,34496
CED102,92,109,186,251,991,1630,781,1677,70,5782,154,475,449,464,2138,3175,1019,1565,110,9544,135,367,805,615,1878,2280,921,1147,199,8341,88,375,478,375,552,458,217,247,54,2839,107,178,191,194,1167,999,397,484,46,3757,75,473,553,332,687,631,232,342,60,3391,115,232,423,423,974,880,404,684,107,4247,113,680,1380,556,936,812,327,372,127,5309,35,60,64,52,165,168,53,78,349,1020,911,2958,4535,3251,9493,11028,4348,6594,1113,44229,120,141,236,307,840,934,458,650,40,3723,449,834,1174,1086,2470,2599,878,1018,101,10601,35,182,243,192,362,241,102,133,27,1516,167,945,1248,961,958,566,204,231,113,5388,293,766,1090,981,2400,1802,471,376,97,8273,155,1118,1027,752,817,502,169,140,70,4747,7,60,77,52,156,78,23,23,13,482,81,547,822,475,546,274,84,78,60,2967,41,53,76,53,119,100,18,24,277,751,1346,4645,5978,4854,8668,7095,2404,2665,788,38446
CED103,96,150,206,244,1038,2094,1066,2391,82,7355,220,722,591,588,2988,4836,1693,2342,129,14112,139,314,446,422,1371,1852,766,1074,118,6498,72,561,362,266,355,343,164,186,38,2353,84,233,211,208,1002,962,382,410,48,3533,69,561,392,275,556,615,253,417,44,3185,48,178,208,207,490,440,180,304,31,2079,77,605,495,349,466,435,171,223,67,2877,15,44,49,39,119,179,42,82,249,821,813,3365,2948,2602,8380,11761,4715,7433,804,42823,141,169,306,352,787,1057,514,847,26,4198,580,1237,1598,1497,2886,3401,1170,1312,111,13789,49,191,233,212,336,262,107,101,19,1515,152,1135,924,683,622,498,158,170,71,4415,265,1015,1277,1154,2383,1805,545,391,86,8912,134,1099,759,528,581,413,134,168,62,3876,3,44,41,29,62,44,8,8,0,250,45,397,341,234,248,142,50,48,31,1546,21,68,43,33,114,81,18,41,228,653,1397,5345,5533,4733,8014,7704,2699,3086,645,39154
CED104,123,205,221,268,848,2052,1235,3359,67,8377,163,636,469,571,1904,3374,1406,2461,86,11069,116,291,325,354,1103,1898,739,1289,79,6200,60,474,281,225,290,229,163,179,26,1913,58,204,173,163,558,718,321,444,32,2672,60,567,290,224,342,500,222,423,36,2675,51,154,133,127,326,334,160,345,33,1655,90,663,348,290,357,389,105,239,48,2531,13,46,25,28,67,128,32,89,184,630,742,3244,2267,2252,5788,9637,4386,8838,584,37734,152,211,307,394,598,914,506,874,32,3976,491,1281,1786,1525,1829,2425,946,1371,84,11735,28,190,204,206,224,226,95,75,23,1269,150,1180,816,720,499,381,125,122,38,4031,247,1343,1506,1268,1665,1442,432,342,73,8316,149,1230,665,484,336,318,112,151,38,3481,9,28,29,32,45,22,11,8,6,184,48,397,188,165,153,87,33,41,22,1125,26,55,40,42,62,66,10,25,133,446,1287,5919,5526,4824,5408,5885,2267,3008,435,34561
CED105,47,120,168,194,724,1021,373,819,78,3540,75,314,241,253,1342,1649,464,618,97,5048,153,624,815,815,2065,2457,941,939,358,9174,49,290,373,315,388,320,181,185,60,2173,55,164,192,163,947,713,267,318,44,2860,60,525,570,273,538,440,156,256,75,2899,98,363,463,511,1338,1156,505,767,180,5385,116,770,1013,616,1250,1002,350,364,180,5665,31,93,93,64,174,194,47,58,464,1216,689,3266,3933,3206,8754,8956,3290,4334,1530,37961,58,70,110,153,447,437,163,286,38,1754,202,480,546,580,1385,1255,366,448,93,5354,38,165,171,155,301,185,57,70,40,1181,154,757,947,849,777,544,190,379,129,4722,176,680,763,679,1755,1187,282,215,96,5827,119,1018,695,529,524,277,84,96,92,3437,21,86,76,77,312,92,34,25,14,745,47,498,508,389,774,329,116,90,65,2813,22,67,65,36,123,58,19,18,257,663,838,3810,3880,3445,6393,4366,1311,1631,824,26497
CED106,123,266,272,302,885,2314,1328,3903,65,9469,250,893,648,771,2068,4500,1885,4016,129,15155,91,230,267,255,652,955,432,621,42,3537,49,573,295,213,237,204,117,151,29,1869,68,247,204,157,556,724,299,510,28,2794,69,560,323,221,333,561,229,443,37,2768,20,152,90,89,204,168,88,166,16,994,47,487,327,223,273,233,94,128,40,1849,19,70,48,47,83,149,45,137,166,770,744,3477,2472,2286,5289,9811,4512,10063,547,39207,153,272,444,489,705,1165,613,1121,35,5005,562,1648,1905,1713,2177,3041,1176,1671,100,13995,25,146,171,138,194,190,71,74,15,1025,139,1238,870,582,452,351,120,122,52,3924,211,1170,1288,1010,1393,1267,406,371,47,7166,114,1130,656,415,383,356,130,164,33,3378,0,33,19,10,27,16,5,6,4,123,23,317,165,110,109,60,19,29,7,843,19,68,44,46,71,79,21,36,178,557,1242,6028,5553,4521,5510,6533,2559,3597,476,36019
CED107,133,189,196,249,566,997,697,2682,69,5788,107,216,174,251,787,917,523,1053,31,4054,227,262,274,408,1863,2134,1268,2083,137,8663,106,291,181,239,518,418,179,238,38,2218,43,79,73,105,418,277,171,236,11,1414,71,364,177,213,400,272,218,354,28,2104,205,199,236,275,901,975,872,1648,116,5442,198,772,455,495,976,857,435,656,106,4938,33,43,28,23,76,95,48,105,199,641,1128,2420,1799,2258,6508,6947,4416,9048,737,35256,134,234,250,352,502,570,308,823,37,3218,384,639,1092,1071,1319,1428,605,889,79,7499,62,212,217,287,348,215,111,132,20,1613,257,1138,975,1245,981,532,222,272,103,5739,308,799,989,1187,1781,913,363,318,51,6701,197,1225,669,674,611,264,124,135,80,3977,22,57,53,54,68,49,30,67,10,393,110,896,545,419,357,290,89,115,62,2883,35,43,37,39,67,39,19,16,170,462,1519,5246,4823,5331,6043,4295,1871,2760,607,32487
CED108,44,77,77,122,709,950,434,770,52,3235,77,203,181,224,1467,1635,428,534,62,4810,116,289,353,406,2278,2157,994,1059,186,7835,76,221,232,270,511,354,216,245,65,2187,56,109,131,135,1207,908,306,362,52,3271,70,427,356,212,557,433,153,212,50,2461,161,372,464,604,2516,1894,973,1409,225,8609,140,668,573,590,1477,1105,399,488,193,5634,30,56,31,45,167,160,67,67,329,957,762,2422,2393,2602,10900,9591,3969,5153,1210,38994,60,91,105,145,568,505,183,268,35,1954,272,365,511,583,1640,1483,386,454,82,5777,39,127,153,207,397,216,77,54,28,1292,191,732,866,1081,1172,687,198,322,122,5365,249,553,811,914,3015,1632,416,281,100,7976,154,1103,737,701,699,338,123,86,92,4032,40,130,163,175,569,266,59,57,36,1487,95,549,514,556,882,405,88,94,79,3259,25,41,34,33,131,96,28,21,270,688,1127,3683,3893,4393,9075,5636,1559,1634,841,31842
CED109,111,144,184,213,705,1698,962,3013,79,7102,175,409,310,420,1046,1987,931,1858,91,7226,184,220,289,408,1318,2313,1051,1634,123,7546,90,351,228,259,436,378,275,313,39,2377,57,166,144,135,562,715,319,508,35,2626,41,509,212,203,373,599,259,555,34,2794,87,173,164,212,499,568,292,555,64,2617,67,493,296,251,439,515,226,333,54,2679,30,42,33,39,91,129,61,104,187,703,832,2507,1861,2134,5470,8900,4387,8874,695,35664,160,161,283,402,620,902,462,802,34,3822,456,894,1364,1182,1502,1920,779,993,83,9174,38,145,191,187,229,176,96,87,23,1170,205,1039,830,854,673,542,197,202,66,4619,295,1091,1508,1328,1902,1620,503,374,103,8730,148,1103,777,618,547,489,185,187,59,4123,7,37,35,38,61,43,18,15,4,254,41,318,195,183,178,94,30,42,16,1096,30,52,33,36,64,67,12,32,158,484,1385,4833,5219,4829,5772,5848,2288,2742,547,33474
CED110,113,163,167,248,537,835,486,1564,65,4164,140,293,274,398,836,1046,470,924,31,4407,188,363,387,572,1648,1657,750,1178,143,6886,115,319,255,432,462,245,200,206,48,2288,32,95,98,146,396,264,152,200,14,1395,74,472,213,259,438,338,226,317,24,2361,119,256,299,300,626,417,326,639,73,3052,184,938,529,627,840,691,295,479,123,4705,41,45,40,49,78,71,23,76,191,613,1007,2949,2244,3040,5848,5562,2927,5581,716,29871,81,188,199,335,506,480,295,596,28,2709,372,676,1003,1163,1230,1205,490,717,69,6918,41,250,205,271,283,134,80,86,18,1374,251,1165,1052,1410,886,349,206,212,107,5636,247,751,928,1204,1644,756,275,219,60,6084,166,1341,670,741,593,219,117,126,72,4045,11,37,49,41,38,15,13,18,6,225,83,856,490,427,222,130,38,81,43,2371,23,53,29,36,48,41,9,23,142,408,1272,5317,4621,5639,5449,3321,1522,2076,540,29769
