CED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
CED101,39,2500,782,435,2228,0.9,1923,2.8
CED102,36,2383,813,480,2156,1,1937,2.6
CED103,37,2600,942,470,2484,1,2124,2.6
CED104,43,2817,960,550,2933,0.8,2609,3
CED105,33,2110,556,400,1544,1.1,1452,3.2
CED106,41,3100,1062,550,3150,0.9,2644,2.8
CED107,40,1647,757,300,1967,0.7,1493,2.4
CED108,34,2200,749,380,2027,0.9,1864,3.1
CED109,42,2750,991,500,2664,0.9,2135,2.5
CED110,47,1625,629,350,1524,0.8,1219,2.3
CED111,39,2167,780,390,2253,0.8,1743,2.5
CED112,41,1957,718,390,1919,0.8,1509,2.6
CED113,43,1820,873,320,2186,0.8,1720,2.4
CED114,42,1300,744,250,1816,0.7,1390,2.4
CED115,38,1950,521,370,1529,1,1403,3
CED116,49,1733,655,350,1601,0.7,1293,2.3
CED117,38,3000,1254,500,3264,1,2388,2.3
CED118,35,2500,931,450,2483,0.9,2326,3.1
CED119,39,2600,997,490,2725,0.8,2393,2.9
CED120,38,2167,855,400,2262,0.8,1966,2.8
CED121,40,1748,730,350,1960,0.8,1593,2.6
CED122,36,2870,1042,550,2725,1,2196,2.4
CED123,35,2167,866,395,2177,0.8,1868,2.7
CED124,51,1625,600,325,1448,0.7,1173,2.3
CED125,34,2200,806,400,2097,0.8,1904,3
CED126,43,3033,1018,600,2908,0.9,2420,2.7
CED127,42,2167,838,400,2253,0.8,1857,2.6
CED128,36,2167,602,410,1786,1,1593,3.1
CED129,38,2990,1026,560,2928,0.8,2715,3.1
CED130,42,1400,690,280,1685,0.7,1302,2.4
CED131,37,2000,867,400,2303,0.8,1804,2.4
CED132,39,3033,1402,561,3594,1,2660,2.3
CED133,46,1517,635,320,1543,0.8,1236,2.4
CED134,39,1300,753,250,1829,0.8,1410,2.4
CED135,34,2167,813,420,2140,1.1,1917,2.7
CED136,40,1733,722,365,1859,0.8,1494,2.5
CED137,35,2500,958,510,2456,1.1,2169,2.5
CED138,46,1950,699,430,1764,0.8,1376,2.4
CED139,40,1309,734,260,1810,0.7,1374,2.4
CED140,44,2150,761,400,2087,0.8,1591,2.4
CED141,43,1950,745,375,2001,0.8,1535,2.5
CED142,33,2700,1228,555,3029,1.1,2225,1.9
CED143,40,3300,1330,625,3643,0.9,2870,2.5
CED144,36,2167,626,400,1745,1.1,1543,2.9
CED145,38,3500,1517,650,3991,1,2870,2.2
CED146,34,2200,671,420,1986,0.9,1875,3.3
CED147,41,2080,730,410,1981,0.8,1603,2.6
CED194,0,0,0,0,0,0,0,0
CED197,56,0,1649,0,0,0,0,0
CED201,40,2000,797,400,2194,0.8,1884,2.7
CED202,41,1500,734,295,1876,0.7,1445,2.4
CED203,42,1452,732,300,1860,0.7,1433,2.4
CED204,37,1800,691,350,1879,0.9,1672,2.9
CED205,32,1834,623,369,1768,0.9,1681,3.2
CED206,40,1950,809,380,2204,0.8,1884,2.7
CED207,39,2400,734,440,2218,0.8,1832,2.6
CED208,37,2100,888,381,2390,0.9,1845,2.4
CED209,40,1820,812,400,2161,0.7,1804,2.6
CED210,39,1700,763,320,2039,0.8,1530,2.4
CED211,40,2070,832,392,2308,0.8,1878,2.6
CED212,40,1898,819,360,2169,0.8,1718,2.5
CED213,48,1949,745,375,1964,0.7,1479,2.3
CED214,36,1850,717,350,1886,0.9,1634,2.6
CED215,35,2100,936,392,2422,0.8,2159,2.8
CED216,46,1300,644,250,1598,0.7,1238,2.3
CED217,43,2800,1068,490,3194,0.8,2377,2.5
CED218,35,1900,742,380,2065,0.9,1927,3.1
CED219,35,1733,777,341,2008,0.8,1738,2.8
CED220,37,2450,1218,420,3179,0.9,2201,2.2
CED221,33,1900,788,380,1988,0.9,1888,3.1
CED222,37,2000,695,383,1892,0.9,1672,2.7
CED223,45,1408,736,270,1794,0.7,1367,2.3
CED224,40,2167,891,406,2440,0.8,1966,2.6
CED225,41,2167,929,400,2583,0.8,2109,2.6
CED226,40,2936,1058,451,3113,0.8,2333,2.5
CED227,34,2000,852,375,2170,0.8,1976,2.9
CED228,32,1814,801,355,2033,0.8,1891,3
CED229,36,2167,1241,421,2963,0.9,2072,2
CED230,45,1083,662,230,1590,0.7,1220,2.3
CED231,39,2167,931,387,2515,0.8,1956,2.4
CED232,36,2000,881,381,2303,0.8,2094,2.9
CED233,31,2100,1055,400,2622,1,1840,1.9
CED234,42,2383,769,441,2272,0.8,1917,2.7
CED235,46,1500,663,290,1676,0.7,1283,2.3
CED236,43,1300,684,255,1682,0.8,1325,2.4
CED237,36,1815,694,369,1872,0.8,1671,2.9
CED238,46,1300,717,250,1770,0.7,1339,2.3
CED239,35,2032,906,400,2382,0.9,1927,2.4
CED294,0,0,0,0,0,0,0,0
CED297,50,0,2200,0,0,0,0,0
CED301,35,1517,764,320,1860,0.8,1576,2.7
