CED_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
CED101,2015,1013,1077,2088,1053,1118,2169,1068,1094,2163,1051,1099,2149,5166,5411,10580,1086,1127,2211,983,1048,2031,877,946,1825,981,1051,2033,920,1029,1940,4837,5201,10039,851,929,1782,882,904,1788,763,843,1606,774,847,1627,655,754,1410,3920,4285,8207,721,737,1463,695,766,1465,634,748,1377,647,717,1367,599,679,1280,3299,3650,6952,522,638,1160,518,562,1077,500,543,1037,427,491,918,381,461,844,2339,2698,5033,1614,2204,3820,1104,1590,2694,492,902,1393,101,268,371,10,47,58,79869,83028,162893
CED102,1996,997,1019,2013,990,1085,2079,1108,1100,2211,953,950,1899,5018,5186,10199,902,972,1871,941,978,1919,831,957,1793,810,914,1724,826,907,1740,4307,4741,9047,802,841,1648,775,897,1670,785,892,1681,643,743,1391,686,759,1449,3696,4140,7830,719,747,1462,653,701,1353,602,663,1261,647,710,1359,681,663,1345,3298,3478,6775,552,618,1172,555,586,1140,478,561,1044,456,479,934,413,475,890,2462,2711,5176,1852,2330,4184,1225,1537,2759,535,771,1308,110,248,360,14,18,26,90505,91139,181643
CED103,2099,1020,1153,2174,1132,1183,2320,1123,1170,2293,1045,1093,2144,5322,5702,11021,984,1118,2101,973,1064,2042,930,1009,1943,907,1088,1994,910,1068,1977,4704,5351,10055,911,1029,1941,874,948,1812,769,918,1688,782,890,1669,729,853,1576,4064,4629,8692,733,796,1527,760,752,1515,667,709,1375,605,701,1309,650,711,1362,3410,3663,7071,540,525,1069,420,491,919,439,518,957,379,482,861,409,483,894,2186,2504,4688,1648,2218,3866,1069,1496,2564,524,882,1409,127,294,422,17,35,54,93521,97697,191219
CED104,1991,963,1063,2023,1049,1094,2144,1080,1166,2249,1085,1093,2176,5168,5421,10580,983,1021,2005,962,998,1961,897,932,1830,908,1028,1939,889,941,1831,4642,4924,9563,865,884,1749,898,908,1812,780,852,1629,790,887,1679,690,810,1501,4028,4342,8371,729,731,1457,700,777,1479,668,755,1423,706,742,1451,707,818,1527,3515,3814,7330,605,682,1282,564,638,1197,600,554,1159,475,492,967,466,511,981,2702,2886,5585,1770,2104,3872,986,1337,2314,468,804,1274,123,292,413,5,58,66,75201,77373,152571
CED105,2034,1060,1071,2134,1035,1009,2043,1096,1084,2182,1040,1018,2059,5262,5191,10446,957,995,1952,1000,1015,2013,988,974,1963,982,932,1914,873,914,1795,4808,4828,9638,856,848,1700,745,868,1615,816,837,1650,719,740,1461,674,657,1328,3812,3956,7765,615,693,1308,616,652,1269,591,583,1170,598,602,1203,579,589,1169,2999,3122,6119,530,528,1052,468,450,924,481,420,896,400,397,801,344,386,725,2221,2179,4400,1394,1633,3025,889,1143,2031,416,685,1101,89,249,339,19,38,54,96511,92095,188607
CED106,2112,953,1083,2028,1017,1127,2146,1070,1085,2154,1067,1031,2101,5133,5410,10542,932,1029,1966,946,950,1902,802,905,1711,862,938,1794,815,875,1690,4367,4696,9059,807,919,1729,773,909,1684,759,805,1561,677,795,1475,652,852,1512,3673,4281,7950,711,816,1536,702,858,1564,700,750,1445,651,757,1405,716,821,1536,3476,4004,7485,625,762,1388,596,704,1296,543,695,1237,491,533,1029,516,547,1068,2778,3244,6020,1973,2499,4473,1287,1777,3057,665,1100,1764,175,396,568,16,38,54,81650,87529,169182
CED107,2058,998,1076,2076,1091,1132,2224,1097,1167,2262,1138,1157,2297,5383,5532,10917,1178,1165,2345,1121,1119,2243,1118,1101,2218,1051,1055,2111,996,1086,2087,5460,5531,10991,995,1041,2044,1026,937,1964,957,938,1897,967,979,1947,976,923,1900,4931,4811,9750,1002,962,1960,892,942,1829,894,888,1785,899,906,1803,909,990,1896,4589,4686,9278,781,740,1523,753,735,1489,650,657,1302,561,641,1207,538,612,1151,3280,3393,6668,1969,2293,4260,1045,1530,2573,406,746,1149,70,221,293,5,27,32,84728,84502,169232
CED108,2088,1039,1034,2073,995,1055,2046,1041,1091,2129,1037,1023,2062,5138,5257,10398,1034,974,2011,919,989,1910,915,972,1889,869,1005,1880,812,902,1710,4554,4840,9395,785,899,1683,819,899,1717,680,796,1472,663,765,1435,699,728,1428,3639,4088,7733,636,745,1379,661,711,1379,583,664,1245,600,670,1269,539,675,1213,3026,3456,6484,462,510,977,401,482,884,407,421,824,335,363,704,284,361,642,1887,2136,4029,1123,1440,2561,545,939,1484,223,512,731,56,166,220,5,16,28,100120,101944,202063
CED109,1845,927,1020,1946,962,984,1943,973,1036,2005,954,983,1936,4729,4948,9680,993,1019,2014,841,919,1761,874,914,1790,847,962,1810,821,880,1696,4378,4694,9071,831,925,1753,756,843,1599,686,823,1514,722,818,1536,665,786,1448,3649,4187,7845,668,797,1457,710,778,1484,645,739,1380,685,764,1446,748,762,1512,3446,3835,7285,566,691,1260,538,690,1232,567,681,1243,486,566,1052,462,532,984,2614,3158,5776,1885,2345,4228,1224,1705,2929,595,1092,1689,127,290,420,16,42,55,72635,76813,149450
CED110,2067,970,1217,2185,1117,1206,2326,1102,1223,2323,1196,1397,2590,5347,6149,11501,1171,1340,2508,1216,1390,2604,1235,1329,2566,1200,1397,2589,1265,1329,2601,6082,6792,12872,1261,1296,2554,1216,1308,2529,1204,1273,2478,1242,1270,2510,1139,1216,2358,6067,6361,12436,1244,1262,2501,1173,1188,2362,1115,1225,2341,1123,1186,2312,1191,1235,2426,5844,6094,11939,993,1025,2025,910,1036,1947,818,970,1786,731,848,1578,776,773,1549,4228,4650,8881,2689,3245,5928,1542,2065,3605,657,1138,1796,148,403,558,16,48,58,82185,88020,170205
