CED_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED101,7,5,4556,4567,146,223,5047,5418,3503,1423,5807,10737,6807,914,2475,10195,6435,713,2300,9449,6406,545,2574,9527,4820,246,1746,6818,2602,76,957,3634,880,6,563,1446,31612,4164,26021,61796,6,24,4159,4193,338,349,4311,4996,4628,1512,4413,10557,7389,880,2620,10891,6716,707,3047,10469,6189,468,3523,10180,4231,163,3137,7524,1891,44,2508,4438,405,9,1615,2031,31790,4155,29332,65276,7,32,8716,8757,479,572,9361,10418,8133,2944,10225,21296,14201,1792,5091,21078,13148,1415,5344,19912,12596,1015,6102,19712,9048,413,4883,14342,4490,120,3463,8070,1284,15,2178,3476,63398,8318,55355,127072
CED102,0,11,4143,4160,213,400,6178,6788,4824,2934,8799,16563,7485,1628,3768,12882,5977,918,3045,9938,5501,632,2605,8730,4457,304,1759,6527,2808,72,951,3833,914,8,522,1443,32181,6904,31784,70866,10,25,3634,3660,536,596,4879,6009,6294,3033,6912,16246,7568,1463,3671,12702,6221,851,3701,10773,5229,502,3660,9394,4061,164,2988,7207,1999,29,2475,4499,365,8,1418,1792,32285,6673,33335,72296,10,34,7779,7821,749,997,11059,12801,11126,5972,15708,32808,15057,3097,7438,25590,12201,1772,6746,20713,10726,1130,6267,18123,8515,469,4745,13731,4802,99,3422,8333,1283,7,1945,3236,64466,13573,65117,143161
CED103,0,19,4539,4559,92,470,5216,5769,4821,2989,7142,14950,10298,1185,3201,14678,7403,707,2355,10464,6791,472,2241,9501,5295,217,1538,7051,2620,85,831,3537,881,11,507,1396,38205,6140,27565,71912,0,27,4138,4167,186,673,4568,5417,6590,3113,6055,15750,10542,1125,3516,15182,7517,648,3242,11416,6607,398,3576,10580,4663,160,3058,7886,1948,37,2282,4262,385,4,1576,1971,38437,6186,32002,76629,0,52,8673,8727,274,1136,9780,11194,11409,6102,13193,30701,20830,2310,6723,29860,14924,1359,5596,21880,13398,869,5814,20080,9960,374,4600,14934,4574,117,3108,7804,1263,17,2085,3363,76639,12334,59566,148543
CED104,0,8,5344,5357,45,154,4237,4443,1734,787,3360,5880,7013,604,1450,9071,8457,716,1442,10615,7482,533,1411,9423,5913,258,1018,7189,3383,83,689,4152,771,15,427,1214,34800,3164,19384,57340,0,13,4905,4918,67,211,3611,3887,2553,875,2501,5932,8203,625,1408,10225,8625,743,1939,11313,7392,469,2129,9994,5390,182,2184,7758,2396,55,2082,4536,386,9,1194,1584,35016,3179,21946,60144,3,18,10251,10270,118,369,7848,8328,4288,1668,5861,11812,15214,1227,2856,19304,17085,1454,3380,21929,14874,1000,3543,19415,11301,440,3203,14947,5782,136,2767,8687,1161,26,1619,2806,69812,6340,41328,117481
CED105,8,7,5682,5689,333,194,6985,7505,4889,898,9382,15170,6966,554,4046,11570,6085,465,3273,9816,6081,347,2910,9332,4302,167,1773,6237,2350,62,782,3187,616,8,440,1068,31617,2693,35269,69584,19,13,5152,5188,938,286,5311,6532,6933,961,5778,13680,7158,558,3255,10965,6055,438,3381,9876,5394,291,3650,9334,3577,118,2813,6513,1453,38,1878,3366,236,8,1157,1404,31762,2715,32386,66859,24,22,10832,10874,1263,479,12295,14042,11823,1859,15158,28846,14120,1116,7303,22542,12142,900,6645,19686,11471,638,6562,18673,7876,288,4592,12751,3802,94,2661,6556,859,15,1601,2473,63383,5410,67650,136441
CED106,0,11,5490,5498,50,207,4383,4641,2351,1262,3627,7242,8567,761,1749,11073,8977,580,1585,11146,7217,513,1356,9079,5532,227,978,6739,3524,93,747,4359,1154,20,505,1679,37369,3676,20420,61463,0,13,5175,5183,114,289,3816,4217,3352,1366,2995,7716,9615,751,2377,12742,9275,604,2731,12610,6737,339,2636,9708,5238,171,2422,7829,2753,66,2382,5198,559,4,1677,2244,37645,3598,26197,67444,0,24,10662,10684,166,491,8194,8859,5702,2625,6621,14952,18182,1512,4123,23812,18244,1184,4319,23756,13951,850,3995,18791,10772,402,3397,14568,6275,158,3129,9562,1714,20,2183,3918,75009,7272,46622,128900
CED107,0,53,4629,4677,110,731,3034,3868,2751,2357,3350,8455,4668,1360,2187,8215,5215,1163,2681,9061,5599,975,2999,9576,5425,469,2473,8360,2976,145,1403,4525,617,20,502,1130,27349,7269,23253,57872,3,114,4090,4204,208,1057,2422,3684,3544,2428,3254,9226,5137,1392,2471,9009,5675,1143,2930,9754,5853,894,3314,10065,4969,329,3239,8541,2122,92,2708,4920,302,12,1355,1667,27821,7458,25783,61063,3,162,8712,8884,315,1787,5454,7552,6294,4783,6602,17680,9806,2753,4657,17221,10890,2309,5621,18817,11457,1869,6313,19636,10390,801,5712,16899,5096,236,4115,9446,922,27,1859,2801,55174,14729,49038,118938
CED108,0,51,5967,6019,142,467,6045,6650,4734,1769,7008,13508,10515,1021,3258,14791,7059,839,2834,10734,6079,540,2492,9110,4425,194,1649,6268,1872,67,786,2723,342,5,260,601,35166,4949,30296,70406,3,74,5570,5648,383,662,5033,6081,7279,1810,5780,14869,10463,1049,3285,14795,6782,796,3383,10961,5536,466,3557,9558,3682,157,3192,7035,1145,42,1964,3153,148,3,751,901,35423,5058,32522,73003,10,124,11532,11667,526,1124,11074,12732,12014,3571,12791,28373,20979,2065,6546,29588,13838,1633,6223,21697,11611,1003,6046,18666,8108,353,4840,13299,3018,111,2752,5880,487,5,1014,1503,70584,10007,62820,143403
CED109,0,13,4182,4197,30,257,3634,3918,2078,2294,3723,8095,5606,1261,1843,8713,6266,878,2245,9397,5800,665,2158,8629,4872,323,1463,6666,3074,113,962,4146,993,19,571,1587,28717,5834,20789,55336,0,28,3965,3993,62,488,3288,3832,2983,2422,3251,8660,6205,1193,2100,9494,6607,837,2746,10196,5682,582,2936,9195,4534,250,2782,7563,2413,79,2493,4986,479,9,1749,2237,28961,5890,25311,60161,0,37,8150,8190,87,740,6915,7753,5059,4717,6974,16752,11811,2454,3941,18211,12874,1725,4989,19587,11476,1249,5103,17823,9406,574,4249,14226,5487,192,3450,9133,1469,29,2314,3816,57672,11726,46094,115498
CED110,0,51,4389,4445,68,570,2683,3315,1787,1838,3326,6946,3782,1357,2253,7394,4598,1283,2789,8668,5583,1165,3489,10238,6684,878,3183,10741,4176,274,1695,6143,1068,52,732,1854,27743,7468,24545,59749,0,103,4060,4158,127,783,2353,3266,2478,1959,3131,7572,4321,1399,2769,8494,5112,1371,3557,10037,6102,1238,4446,11788,6224,671,4411,11304,3204,194,3564,6965,505,36,1957,2498,28075,7754,30246,66076,7,150,8446,8600,195,1348,5038,6582,4267,3797,6456,14516,8100,2761,5022,15883,9706,2655,6346,18701,11684,2408,7937,22032,12905,1550,7592,22047,7381,469,5267,13110,1573,90,2683,4350,55821,15212,54789,125826
