CED_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
CED101,76,70,145,4427,4001,8429,169,125,294,4673,4196,8868,62,70,137,4710,4381,9088,185,177,359,4956,4627,9591,73,93,163,4524,4329,8859,140,172,313,4738,4594,9334,74,88,161,4537,4154,8691,142,150,291,4748,4391,9139,63,69,138,5451,5043,10495,205,188,394,5722,5304,11023,77,67,137,5487,5227,10711,247,231,478,5809,5527,11336,43,50,98,5354,5488,10844,252,238,491,5654,5781,11437,42,44,87,5444,5662,11107,254,260,513,5744,5966,11706,30,49,79,4826,5278,10109,181,156,334,5036,5484,10524,37,54,86,4846,5305,10147,158,179,338,5040,5539,10582,37,51,91,4670,5170,9842,151,149,305,4857,5382,10237,41,38,81,4957,5225,10184,164,152,318,5166,5411,10580,34,38,74,4645,5015,9667,158,151,305,4837,5201,10039,53,83,132,12315,14870,27185,522,680,1205,12889,15634,28523,752,859,1618,76185,79163,155349,2929,3007,5935,79869,83028,162893
CED102,51,44,100,4864,4502,9368,201,181,379,5116,4725,9848,51,63,114,4424,4123,8545,196,179,376,4665,4361,9031,38,57,104,4195,3994,8184,177,160,334,4411,4209,8620,61,38,102,4146,3680,7822,176,157,332,4379,3875,8255,70,83,148,6839,6080,12913,347,295,640,7254,6453,13703,78,83,154,8347,8045,16391,464,455,919,8888,8580,17464,57,60,119,8387,8408,16798,470,427,894,8912,8895,17805,46,44,87,7318,7205,14525,336,337,669,7697,7586,15280,32,36,69,5765,5622,11388,289,255,545,6085,5918,11994,31,36,66,5206,5519,10730,238,244,481,5474,5801,11274,31,49,83,4871,5320,10186,218,198,416,5119,5567,10690,26,34,60,4795,4960,9754,197,192,388,5018,5186,10199,33,27,56,4107,4582,8690,165,132,302,4307,4741,9047,43,54,96,12515,14472,26987,625,720,1342,13180,15250,28428,638,717,1356,85772,86498,172271,4090,3923,8012,90505,91139,181643
CED103,38,40,77,5203,4973,10175,170,146,318,5407,5160,10569,38,33,71,5740,5447,11196,169,165,332,5942,5650,11594,44,46,87,5246,4851,10095,155,128,288,5438,5028,10472,49,60,109,4659,4313,8967,113,109,220,4820,4479,9295,52,45,97,6121,5805,11927,196,209,404,6369,6060,12422,45,44,92,7057,7360,14415,307,302,607,7406,7710,15113,37,32,69,8275,8713,16985,316,306,615,8621,9052,17674,25,20,47,8156,8458,16619,289,279,567,8473,8761,17234,24,30,53,6723,6899,13619,224,197,419,6965,7121,14086,27,21,49,5635,5990,11628,151,151,301,5810,6167,11977,19,19,39,5023,5576,10598,155,143,296,5194,5732,10928,19,13,31,5146,5571,10716,152,121,277,5322,5702,11021,9,17,27,4587,5205,9791,103,126,236,4704,5351,10055,33,23,59,12629,15194,27825,380,507,885,13043,15729,28767,459,450,903,90187,94351,184537,2876,2899,5773,93521,97697,191219
CED104,39,41,83,3459,3327,6791,74,70,144,3577,3436,7012,55,41,99,5286,4699,9986,91,93,181,5438,4828,10267,57,63,113,5823,5347,11174,101,88,190,5983,5496,11478,63,46,112,5366,4958,10320,119,74,190,5546,5080,10623,42,48,95,4527,3977,8503,88,84,173,4655,4109,8767,34,30,59,3074,2761,5832,62,66,123,3166,2857,6016,32,22,55,2921,3286,6209,69,88,155,3025,3393,6421,17,23,40,4164,4714,8872,109,103,210,4290,4838,9124,27,18,49,5008,5587,10597,105,104,209,5147,5712,10853,46,32,77,5514,5693,11215,104,91,198,5665,5820,11487,24,31,56,5194,5704,10898,104,92,191,5324,5819,11142,32,23,56,5047,5302,10346,89,92,177,5168,5421,10580,23,12,35,4544,4841,9382,75,70,149,4642,4924,9563,43,41,79,13233,15209,28440,323,390,710,13595,15638,29232,538,480,1014,73156,75412,148560,1510,1488,2999,75201,77373,152571
CED105,39,49,95,6353,6003,12356,448,425,866,6842,6475,13322,45,43,81,6094,5872,11972,540,453,990,6672,6369,13039,56,49,100,5742,5483,11220,477,439,916,6268,5969,12242,47,40,87,5665,5185,10852,427,355,782,6136,5583,11724,60,53,109,7602,6620,14218,578,455,1039,8237,7128,15369,42,32,77,8087,7036,15124,593,524,1117,8723,7587,16311,32,29,56,7444,6817,14262,544,501,1047,8015,7351,15367,23,30,55,6433,5933,12367,550,478,1027,7006,6445,13451,28,32,57,5402,5092,10494,451,392,844,5876,5520,11392,27,27,55,5087,4976,10060,414,361,770,5527,5363,10886,24,32,60,4907,4962,9868,355,288,647,5294,5285,10575,22,35,60,4899,4852,9753,336,302,635,5262,5191,10446,16,17,39,4532,4554,9078,264,256,516,4808,4828,9638,47,61,102,10956,11962,22917,835,987,1819,11835,13001,24843,515,533,1049,89189,85346,174538,6807,6217,13020,96511,92095,188607
CED106,21,8,29,4202,3808,8011,100,82,179,4331,3896,8228,3,14,20,5829,5540,11365,106,86,193,5938,5640,11577,21,15,38,6297,6021,12318,112,104,212,6427,6138,12566,20,25,49,5648,5367,11009,119,98,216,5788,5485,11279,25,25,45,4748,4393,9146,104,106,210,4876,4526,9400,26,18,45,3621,3544,7169,100,98,200,3750,3662,7415,15,10,24,3789,4373,8164,104,113,218,3906,4500,8405,14,16,30,5322,6289,11614,125,150,272,5469,6455,11922,11,10,26,5908,6628,12537,125,110,231,6040,6747,12790,13,17,30,5744,6514,12252,103,126,225,5867,6649,12516,15,17,36,5595,6261,11859,112,111,226,5723,6383,12113,10,9,24,5031,5300,10329,94,99,188,5133,5410,10542,9,6,20,4257,4612,8871,92,77,171,4367,4696,9059,18,19,41,13641,16760,30402,381,558,938,14039,17335,31377,235,215,446,79642,85407,165047,1780,1903,3687,81650,87529,169182
CED107,754,719,1470,4175,3805,7984,277,274,547,5207,4798,10004,789,734,1519,4636,4360,8994,385,359,740,5807,5454,11259,823,709,1534,4794,4545,9341,403,389,793,6020,5646,11669,661,624,1285,4365,3927,8289,336,261,597,5362,4805,10167,618,509,1134,3823,3518,7342,316,269,587,4765,4297,9063,559,477,1045,4106,4177,8282,291,284,571,4954,4943,9899,480,419,897,4495,4543,9037,312,315,626,5289,5274,10567,381,322,695,4472,4463,8929,345,278,623,5191,5057,10254,311,304,615,4004,4151,8155,323,314,632,4636,4768,9403,322,334,654,4440,4604,9040,328,329,660,5085,5267,10356,341,337,681,4602,4763,9370,328,312,641,5274,5420,10695,262,283,547,4771,4956,9725,350,297,647,5383,5532,10917,192,210,406,4924,5022,9948,338,297,640,5460,5531,10991,400,383,781,14855,16229,31082,1046,1088,2140,16299,17701,34000,6894,6365,13259,72456,73064,145529,5374,5067,10441,84728,84502,169232
CED108,555,543,1104,7106,6657,13763,484,463,949,8150,7669,15819,561,511,1076,7136,6861,14001,561,548,1112,8262,7928,16183,512,506,1022,6464,6183,12645,520,505,1026,7500,7196,14694,433,456,891,5652,5264,10919,421,356,777,6508,6078,12586,363,351,708,6411,5866,12271,457,410,869,7220,6627,13850,321,355,678,6505,6586,13090,513,512,1026,7332,7453,14791,200,305,505,6753,7808,14562,476,503,976,7425,8618,16040,169,239,408,7952,8121,16073,512,548,1052,8630,8907,17537,143,190,333,6768,6341,13110,400,413,810,7311,6940,14257,154,218,372,5491,5461,10951,372,336,713,6019,6013,12034,178,219,397,5085,5158,10248,299,272,572,5562,5654,11216,125,156,279,4743,4889,9636,273,214,482,5138,5257,10398,102,125,226,4225,4490,8720,224,223,447,4554,4840,9395,178,249,421,9781,11738,21513,553,782,1335,10510,12758,23267,3994,4432,8427,90069,91426,181492,6058,6086,12146,100120,101944,202063
CED109,101,88,180,4052,3719,7769,143,137,276,4292,3941,8231,85,66,152,4241,3928,8177,164,148,312,4494,4143,8635,99,92,191,4321,4002,8325,143,107,255,4570,4202,8768,96,86,182,4143,3966,8107,133,112,246,4372,4165,8537,89,83,173,3975,3902,7872,122,131,252,4182,4115,8298,74,77,150,4095,4157,8254,211,176,391,4375,4420,8798,64,73,134,4111,4567,8678,214,224,437,4391,4861,9253,52,54,107,4409,4863,9278,203,180,379,4659,5098,9760,44,51,98,4406,4687,9089,185,166,357,4638,4908,9549,75,52,123,4835,5109,9944,187,170,358,5098,5331,10428,48,52,99,4670,5122,9790,168,155,325,4885,5325,10212,37,40,80,4519,4781,9294,167,130,298,4729,4948,9680,38,32,74,4229,4531,8759,108,131,241,4378,4694,9071,66,79,146,13018,15875,28895,483,703,1184,13570,16665,30231,970,930,1897,69024,73220,142240,2641,2666,5308,72635,76813,149450
CED110,646,625,1271,3244,3109,6351,241,243,484,4127,3976,8104,621,693,1312,3844,3686,7532,308,294,600,4767,4672,9442,703,637,1338,4291,4277,8569,328,350,678,5326,5261,10581,630,618,1251,3984,3824,7800,325,299,620,4938,4737,9679,519,499,1023,3171,3091,6263,232,216,447,3928,3802,7729,442,406,849,3361,3346,6709,267,276,547,4073,4030,8099,367,359,724,3495,3801,7297,279,265,550,4144,4423,8569,354,307,662,3679,4062,7740,285,283,572,4323,4657,8980,256,303,558,3712,4068,7774,266,270,542,4237,4643,8881,276,312,585,4148,4705,8858,304,274,578,4724,5288,10015,242,345,580,4421,4951,9370,303,289,593,4962,5583,10551,265,342,601,4788,5516,10308,293,290,584,5347,6149,11501,247,280,528,5512,6191,11703,326,317,640,6082,6792,12872,407,480,891,19651,22110,41759,1137,1415,2556,21196,24006,45204,5979,6205,12182,71298,76732,148032,4909,5080,9985,82185,88020,170205
