CED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
CED101,0,0,0,5,0,0,0,0,0,4,4396,8505,7545,10388,4980,4198,2960,1627,783,45385,0,7,49,279,48,29,9,0,0,424,0,0,4,44,27,49,24,10,7,167,0,7,19,144,17,13,4,0,0,210,0,0,0,15,3,7,7,0,0,37,4,0,3,27,24,12,4,3,0,78,0,10,5,48,29,35,25,13,0,159,20,186,419,2361,1075,1642,1043,387,183,7314,0,3,0,20,20,61,58,85,31,280,4,28,42,212,97,149,148,100,27,813,13,54,39,256,209,233,210,166,54,1230,0,3,21,125,99,82,40,18,3,389,0,5,4,33,12,13,4,0,0,71,3,3,4,40,18,25,35,30,10,166,6,19,24,69,52,151,199,252,105,886,4,36,66,423,195,374,274,45,13,1426,9,30,84,513,169,127,89,47,22,1093,3,14,44,308,163,83,84,39,4,740,0,4,8,66,16,17,5,3,0,117
CED102,0,0,0,11,3,0,3,0,0,24,4685,7735,7069,11910,5023,3154,1731,820,380,42503,10,30,132,816,135,47,18,0,0,1186,0,0,0,47,24,24,18,16,10,127,3,15,76,744,41,29,6,0,4,907,0,0,9,15,11,11,8,0,0,62,0,5,7,54,17,5,14,4,0,103,3,9,12,86,46,50,43,20,4,267,26,150,600,2914,844,1509,1043,428,226,7746,0,0,0,26,19,47,49,60,28,237,0,9,17,120,53,122,129,110,40,601,10,36,35,454,265,248,156,116,34,1343,0,12,14,136,70,90,61,24,4,402,0,0,3,76,28,19,8,5,4,144,0,0,4,55,27,26,23,25,4,168,10,21,33,123,116,265,556,844,499,2463,3,21,86,462,180,257,201,57,13,1275,28,123,83,1077,161,91,36,39,11,1642,0,16,106,600,166,89,111,41,5,1140,0,0,8,91,26,15,7,5,0,150
CED103,0,0,4,81,28,29,32,14,0,184,4890,8685,7522,10582,4440,3774,2567,1424,727,44611,0,26,99,289,32,13,12,0,0,481,0,0,0,15,15,7,9,7,0,55,0,12,6,164,22,7,4,0,0,218,0,0,3,15,18,7,7,0,0,54,3,0,11,74,24,18,14,6,0,163,0,4,0,30,20,20,26,14,0,104,39,504,815,5308,1326,1727,1162,422,233,11550,0,0,0,19,15,30,34,45,13,158,3,28,5,90,28,42,45,32,21,288,16,76,97,418,386,358,270,174,58,1849,0,4,9,72,49,56,36,22,5,259,0,8,14,88,33,10,12,6,0,164,3,3,10,73,42,20,49,45,18,263,0,0,4,25,16,33,43,82,33,238,12,123,205,1059,373,581,525,96,25,3003,82,430,321,2791,500,307,199,73,35,4745,7,25,107,357,124,98,84,39,15,850,3,36,47,789,151,156,121,46,24,1370
CED104,0,0,0,27,15,14,17,4,0,83,3416,9793,8170,8516,5744,5030,3736,2306,912,47615,0,6,8,35,25,11,11,9,0,100,0,0,0,0,7,9,0,4,0,17,0,5,0,24,14,3,5,0,0,49,0,0,0,5,9,5,4,0,0,21,3,10,12,34,36,32,22,3,0,152,0,0,5,7,21,21,14,9,0,82,11,266,205,1623,710,635,517,210,73,4248,0,0,0,8,13,36,13,16,10,93,0,7,4,19,18,34,32,15,11,130,12,166,240,403,633,686,554,410,130,3231,0,3,5,40,44,40,34,12,0,184,0,3,10,31,14,14,6,9,3,83,0,7,18,38,46,48,52,76,18,309,0,0,0,3,0,16,17,23,13,82,4,71,69,298,138,338,276,51,11,1260,12,200,200,1071,656,372,215,107,30,2870,0,3,19,80,58,37,48,26,5,278,3,41,43,317,160,108,88,40,4,806
CED105,10,84,222,1010,282,129,48,10,7,1801,6166,10340,8419,8982,2424,1781,1467,803,383,40754,4,32,85,647,106,47,15,0,0,944,0,0,4,32,24,42,22,12,4,146,0,0,3,49,9,3,0,0,0,78,0,0,3,30,48,46,46,17,8,196,0,6,0,11,8,3,0,0,0,31,0,0,0,20,18,23,27,22,3,118,11,69,570,2594,1095,1244,608,235,135,6573,0,3,0,7,18,32,49,80,22,205,4,44,38,198,82,74,77,54,12,581,0,14,11,44,44,84,89,76,16,384,0,5,23,129,91,86,78,18,7,433,0,0,3,15,0,6,12,3,0,37,0,3,7,27,13,9,41,43,10,150,0,10,17,29,39,68,126,193,67,559,0,7,24,155,40,100,48,3,7,385,33,137,218,1545,203,126,61,27,13,2367,0,12,30,159,96,54,50,14,4,425,0,22,64,225,34,29,10,9,0,392
CED106,0,0,0,13,7,7,4,0,0,27,3914,9388,7520,7273,4847,4163,3051,2358,1161,43668,0,3,10,44,11,9,3,5,0,83,0,0,0,8,3,4,5,0,0,16,0,10,12,82,23,9,0,3,0,139,0,0,0,5,3,3,0,0,0,18,7,18,20,62,70,46,19,12,3,256,0,0,0,15,23,10,10,10,0,74,52,623,557,3108,1131,1069,918,377,125,7969,0,3,0,5,9,14,19,23,5,83,0,5,0,23,9,12,28,25,9,111,30,312,438,545,867,784,468,408,201,4063,0,0,4,30,23,24,13,14,5,110,0,6,7,69,28,18,10,7,0,151,0,19,9,58,67,36,41,59,25,310,0,0,0,7,7,13,17,15,11,79,25,252,177,674,356,369,408,93,35,2389,28,286,129,1452,453,263,148,110,37,2895,3,9,27,161,90,39,45,36,6,435,4,69,45,494,205,124,111,52,16,1122
CED107,0,5,0,8,0,0,0,0,0,19,4894,10757,9007,16391,8554,8858,7433,3889,1108,70895,0,0,3,42,3,0,4,0,0,62,0,0,0,7,3,4,4,4,0,21,0,0,5,7,6,0,0,0,0,18,0,3,0,7,0,0,0,0,0,15,0,0,8,24,26,11,12,4,0,77,0,0,0,13,5,4,0,0,0,29,0,3,10,69,43,35,27,22,4,203,0,0,0,5,4,20,16,15,4,65,0,0,0,9,0,0,3,0,0,28,3,25,42,159,197,376,406,327,109,1640,0,3,4,30,12,13,10,0,0,82,0,0,5,36,4,9,9,0,0,68,0,10,3,11,15,31,69,59,15,204,0,0,0,5,3,4,23,6,8,50,0,0,3,15,7,13,5,0,0,50,8,27,62,387,61,21,17,9,0,598,0,0,0,26,3,0,7,3,5,50,0,3,0,30,11,0,4,5,0,53
CED108,6,41,106,391,132,87,47,15,6,840,7450,12387,8635,10655,4148,3268,2133,1008,218,49892,5,66,48,533,175,102,40,5,0,972,0,0,0,33,17,36,28,10,0,138,0,0,4,19,0,3,0,0,0,38,0,0,0,17,10,6,7,3,0,49,0,0,5,14,11,8,0,0,0,46,0,0,3,25,41,21,36,14,7,144,4,16,49,339,135,183,139,44,23,929,0,0,0,22,20,42,55,52,16,212,0,19,72,125,78,98,91,62,16,556,0,31,28,125,143,289,229,157,49,1057,5,49,160,787,581,482,208,100,17,2392,0,0,0,5,3,3,0,0,0,20,0,0,6,15,14,33,66,57,17,203,0,7,5,15,12,22,43,46,18,158,0,9,12,49,22,39,25,4,0,165,49,597,1089,6321,1071,462,309,84,20,10008,0,10,14,132,58,35,60,20,5,327,0,26,37,135,44,33,27,3,0,296
CED109,0,0,0,8,0,0,0,0,0,9,4074,8173,7579,12830,7045,5930,4370,2470,1099,53577,0,0,6,33,18,11,7,0,0,69,0,0,4,29,25,34,13,12,3,117,0,11,7,250,20,15,3,0,0,314,0,0,7,9,7,0,3,3,0,37,3,4,3,44,28,21,7,7,0,128,0,3,0,40,36,31,30,18,0,163,6,43,71,462,183,407,200,72,71,1519,0,0,0,22,18,42,42,55,21,198,0,15,15,133,65,133,149,121,41,676,20,109,109,557,443,420,374,266,99,2394,0,3,0,50,29,34,18,7,3,141,0,6,5,34,20,12,13,8,0,92,0,3,13,46,31,33,40,53,17,239,0,19,25,68,51,167,266,314,162,1076,3,21,24,92,51,90,83,17,5,388,3,15,46,170,56,43,31,28,12,402,0,0,14,50,27,22,20,11,5,158,0,3,4,39,16,13,9,0,0,87
CED110,0,4,8,4,0,0,0,0,0,23,3814,8992,7724,13301,7698,9074,9156,4894,1654,66298,0,0,0,5,0,0,0,0,0,10,0,0,0,4,0,5,6,0,3,7,0,0,0,26,5,4,0,0,0,42,0,0,0,5,0,0,0,0,0,6,0,5,7,51,24,26,29,15,0,161,0,0,0,10,11,0,10,3,0,35,0,11,3,62,34,29,14,12,5,170,0,0,0,0,0,5,10,10,11,43,0,3,8,6,3,4,13,14,6,52,15,72,75,255,354,599,772,649,228,3012,0,0,7,29,17,15,15,4,3,95,0,3,7,23,12,11,21,6,4,88,0,5,5,27,23,44,118,115,22,364,0,0,0,0,4,8,10,3,3,28,0,4,4,19,0,10,9,6,3,51,5,33,29,289,61,20,32,15,7,492,0,4,0,15,0,4,6,3,0,41,0,0,0,9,8,0,0,0,0,26
