CED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
CED101,0,0,10,34,23,34,10,6,0,118,3,9,0,80,41,23,26,12,8,221,0,3,10,61,40,77,110,126,78,499,0,0,0,29,22,14,9,0,0,82,0,7,19,58,36,32,27,15,3,198,0,20,41,358,286,316,247,139,35,1443,3,15,55,248,97,89,108,33,5,654,0,0,0,4,4,17,48,29,15,108,0,0,0,17,20,10,14,6,3,77,0,0,6,21,14,16,4,4,5,70,3,23,892,1965,114,15,13,4,0,3030,0,0,0,7,13,7,9,13,9,55,4,50,150,413,207,218,93,29,6,1174,0,5,9,124,125,207,197,94,27,787,3,30,56,184,28,36,10,0,0,349,0,0,0,3,9,12,0,3,0,32,8,67,117,508,198,125,53,20,5,1106,0,0,0,59,17,22,22,11,5,134,3,0,6,25,15,15,8,4,3,75,0,3,0,17,24,36,31,18,7,138
CED102,0,0,0,54,25,13,9,3,0,112,0,17,4,190,52,34,17,11,0,326,0,6,15,173,51,119,202,249,171,984,3,5,12,61,39,16,7,0,0,144,0,10,10,137,44,44,17,12,0,283,6,38,70,436,494,543,375,196,50,2207,5,11,71,407,83,92,85,37,0,785,0,0,0,0,7,22,51,47,17,153,0,0,3,28,11,15,16,5,6,81,0,0,3,22,3,12,4,3,0,65,4,44,1684,3079,133,19,10,3,0,4972,0,0,0,22,3,8,12,13,3,57,4,26,125,437,277,230,117,20,4,1240,0,13,24,173,168,298,493,300,75,1538,0,0,40,211,21,14,7,0,0,299,0,0,0,14,12,6,4,0,3,43,8,62,114,810,188,165,100,30,7,1489,0,0,0,93,17,20,28,3,3,168,0,0,0,16,10,9,12,0,0,47,0,0,5,45,25,33,29,11,11,155
CED103,4,6,6,46,36,27,11,11,0,142,0,4,8,104,56,59,28,22,10,275,0,11,12,148,48,105,226,208,150,914,5,20,26,76,50,28,19,10,0,234,18,151,344,1778,814,501,291,141,24,4060,3,9,7,90,91,138,140,88,35,603,3,44,113,539,203,165,185,103,13,1350,0,0,0,0,0,11,25,22,3,70,0,0,4,27,7,12,18,5,0,74,0,0,8,37,26,16,25,10,0,119,0,4,130,350,22,9,0,0,0,512,0,0,10,21,22,16,17,17,15,105,11,75,124,349,197,204,102,54,12,1122,0,0,0,12,7,7,12,7,0,49,17,93,52,407,44,21,16,0,0,660,0,0,4,21,22,20,12,4,4,76,18,96,120,834,179,123,89,18,3,1479,0,0,0,71,21,30,33,8,0,166,0,0,0,3,3,0,0,0,0,12,3,3,0,28,32,44,40,34,7,200
CED104,0,0,0,15,9,8,6,0,0,40,0,14,13,54,63,52,42,29,3,263,4,0,6,16,35,81,158,133,70,493,0,14,16,21,31,13,10,6,0,107,3,72,106,290,271,146,91,44,4,1034,0,0,8,58,75,116,78,76,18,435,0,33,69,161,151,139,185,85,12,849,0,0,0,6,4,19,29,21,3,80,0,0,3,11,8,15,4,0,0,53,0,0,8,18,13,13,14,4,3,70,0,8,35,146,46,3,4,0,0,237,0,9,14,13,41,33,30,44,15,209,4,49,94,211,242,219,132,62,22,1030,0,0,0,0,3,4,4,0,0,10,0,23,30,113,47,36,25,9,4,274,0,0,4,5,18,17,11,0,0,61,3,33,49,220,120,85,69,19,0,598,0,0,0,26,32,37,63,17,0,183,0,0,0,13,0,5,0,0,0,19,0,14,17,38,56,62,56,53,17,312
CED105,0,38,83,397,272,194,50,17,0,1056,0,0,3,14,13,14,18,9,8,82,0,0,5,24,31,72,99,163,123,511,0,0,4,15,7,4,3,5,3,33,0,11,58,343,138,153,69,58,19,849,20,80,249,1698,1275,1207,947,450,79,6006,13,23,76,364,76,50,56,18,5,669,0,0,0,0,0,9,37,41,10,103,0,0,0,20,9,29,24,16,4,98,0,8,19,116,70,53,29,9,5,307,5,16,1367,1918,43,20,6,0,0,3375,0,0,6,10,0,0,8,8,9,39,7,93,156,341,96,110,62,11,0,877,0,8,11,54,79,145,186,91,24,597,26,193,361,1390,264,118,48,9,0,2394,0,0,0,5,4,0,9,0,0,19,0,41,83,398,133,153,104,30,5,941,0,0,0,20,14,25,30,12,16,118,0,4,19,49,29,44,20,5,0,167,0,4,0,4,6,15,25,12,5,66
CED106,0,0,0,6,7,6,5,0,0,27,0,12,18,77,66,45,33,20,6,276,0,3,8,44,24,32,79,79,46,309,25,74,53,128,111,61,39,15,0,511,10,125,187,592,408,226,145,70,16,1767,0,5,0,24,26,38,35,11,10,141,4,39,60,312,206,158,132,96,25,1025,0,0,0,3,4,7,6,9,0,22,0,0,0,19,6,10,4,7,4,48,0,0,6,14,14,9,6,6,3,58,0,6,182,512,35,5,0,0,0,739,0,16,19,18,35,30,23,24,16,182,7,59,155,252,269,277,153,108,41,1328,0,0,0,6,7,3,0,0,0,20,0,28,8,116,25,12,17,5,0,212,0,0,0,11,58,47,29,29,3,181,6,49,49,364,124,58,31,11,3,698,0,3,5,46,23,28,43,9,12,165,0,0,0,3,5,0,0,0,0,12,0,14,14,34,58,76,50,46,22,313
CED107,0,0,3,10,11,3,0,0,0,30,0,7,8,26,29,15,25,20,3,133,0,0,0,18,4,31,47,22,15,141,0,0,3,0,0,6,6,0,0,20,0,5,3,45,3,6,0,0,0,60,0,0,0,21,16,16,12,7,0,73,0,0,13,31,18,20,3,0,0,90,0,0,0,5,3,9,22,7,0,46,0,0,0,7,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,7,6,0,24,213,13,3,3,0,0,255,0,0,0,13,14,20,69,45,12,172,3,22,47,218,174,184,145,58,7,860,0,0,0,0,0,0,0,4,0,11,0,11,3,78,4,0,3,0,0,101,0,0,0,4,9,8,3,4,0,32,8,46,48,159,48,21,8,0,0,338,0,0,0,3,3,6,14,8,3,40,0,0,6,11,5,0,0,0,0,16,0,6,9,24,26,36,68,47,11,229
CED108,0,51,115,332,161,129,65,17,6,875,0,10,5,32,15,20,24,24,6,124,0,0,7,27,18,50,71,68,22,269,0,6,8,9,0,0,0,0,0,21,0,7,28,125,66,68,39,24,0,361,3,12,11,149,110,109,104,33,5,537,4,15,10,97,27,33,32,14,5,240,0,0,0,13,14,83,245,148,48,543,0,0,13,27,18,32,40,23,3,152,0,9,11,83,51,46,20,9,0,224,0,22,86,629,58,21,14,0,0,830,0,0,6,7,8,11,31,20,9,97,33,282,475,1021,340,213,105,31,3,2493,0,0,0,7,4,9,13,9,5,55,26,249,235,1015,289,182,83,8,7,2094,0,5,7,9,9,4,3,0,0,44,29,292,741,2790,1460,1414,904,221,35,7894,0,0,0,26,19,30,58,26,28,198,6,59,110,245,210,209,115,31,4,998,0,0,5,6,27,55,47,32,8,173
CED109,0,0,6,26,9,5,9,0,0,47,0,13,12,120,65,32,34,23,8,313,0,4,0,77,33,82,119,136,84,538,0,11,5,11,13,11,6,0,0,61,0,5,7,21,12,6,3,0,6,65,0,3,7,66,85,103,68,42,11,386,0,5,13,37,33,31,45,19,8,190,0,0,0,8,6,12,42,40,12,123,0,0,0,8,3,9,8,3,0,35,0,0,0,5,3,6,0,0,0,21,0,0,13,40,10,3,0,0,0,66,0,0,6,12,10,14,29,32,10,121,9,39,83,363,230,183,121,48,11,1085,0,6,5,68,65,101,88,45,14,394,0,8,5,20,0,12,4,0,0,45,0,0,0,9,18,10,4,6,3,50,0,18,40,142,45,41,15,5,3,310,0,5,0,51,33,14,21,10,5,137,0,0,0,9,0,0,5,0,0,18,0,8,6,44,46,48,46,47,22,269
CED110,3,80,25,69,4,3,4,0,0,198,0,10,4,38,31,19,27,27,0,151,0,6,0,19,5,18,53,32,11,147,0,8,0,12,9,0,4,3,0,41,0,0,0,22,4,4,0,0,0,39,0,0,0,7,4,9,0,9,0,34,8,36,16,51,23,27,6,3,0,175,0,0,0,0,0,3,26,16,6,52,0,0,0,0,3,0,0,0,0,8,0,11,40,112,35,11,9,0,4,223,0,0,20,121,5,0,0,0,0,143,0,0,5,17,5,27,84,79,23,242,7,24,32,201,181,234,209,120,37,1041,0,0,0,0,0,0,3,0,0,8,0,3,11,26,0,5,0,0,0,46,0,5,5,9,25,13,8,0,0,61,7,25,44,111,25,12,4,0,0,232,0,0,0,0,6,0,17,9,5,40,0,0,0,6,0,0,0,0,0,8,0,5,14,21,26,74,99,63,20,332
