CED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
CED101,8,33,94,544,407,357,218,84,38,1774,0,0,0,5,7,7,5,11,5,30,0,0,0,23,10,6,8,0,0,42,17,101,133,918,496,487,401,273,124,2945,119,348,350,940,352,351,294,283,259,3288,4196,9222,9690,22757,10912,10613,7934,4901,2801,83028,0,0,0,12,6,0,0,0,0,22,8372,16647,14695,20624,10110,8420,6149,3775,2269,91050,5,23,82,500,85,39,16,0,0,753,0,0,0,96,52,107,43,20,10,344,3,18,19,283,43,28,14,0,0,418,0,0,7,32,22,20,9,6,0,94,3,9,12,70,35,28,9,10,6,182,0,8,11,96,64,65,61,31,4,336,35,326,749,5357,2634,3549,2151,889,474,16161,0,3,0,59,46,118,160,188,55,625,4,50,87,402,189,286,294,186,69,1561,17,98,79,422,355,416,397,305,118,2203,0,10,48,268,187,178,114,57,15,877,0,6,13,50,26,21,11,5,3,130
CED102,10,48,186,651,360,319,182,66,24,1845,0,0,0,14,0,3,0,3,0,22,0,0,7,15,5,10,0,0,0,45,43,190,247,2195,639,705,633,480,168,5301,176,344,469,1561,476,377,313,241,116,4074,4725,8572,10323,30972,11368,9928,7618,5043,2581,91139,0,0,0,23,8,0,3,0,0,40,9036,14977,13622,23096,10009,6136,3346,1804,1091,83119,9,55,213,1316,201,73,25,0,0,1906,0,0,6,86,32,60,43,28,12,276,10,28,125,1446,87,58,21,5,3,1778,0,0,24,45,23,33,12,3,3,149,0,3,18,125,39,15,16,10,3,223,3,11,19,169,88,77,104,47,8,536,49,300,1215,6772,2307,3426,2185,920,537,17708,0,0,3,51,34,88,117,143,60,486,0,21,24,206,124,222,293,215,111,1224,13,72,66,794,445,404,265,203,66,2336,0,11,26,276,176,189,128,56,18,875,0,9,5,140,42,32,13,11,4,267
CED103,8,20,148,398,173,153,95,30,11,1030,0,0,0,8,10,10,9,13,3,46,0,0,22,39,12,8,7,0,0,89,32,221,209,1446,505,464,367,252,117,3605,147,301,330,1197,323,283,227,226,181,3222,5160,10682,10536,32643,11904,11054,8296,4725,2710,97697,0,3,9,149,66,62,50,15,0,359,9590,16944,14413,20061,8837,7514,5242,3390,2197,88189,6,43,168,540,64,24,17,0,0,863,0,0,0,38,20,25,23,13,0,118,3,25,29,355,41,11,5,0,0,472,0,0,9,39,29,17,13,8,0,113,6,10,22,154,55,39,30,11,3,324,0,0,6,69,45,37,55,20,0,236,82,872,1609,12350,3362,3868,2642,967,491,26243,0,0,0,42,40,60,79,84,29,337,5,52,12,164,48,84,82,77,41,571,23,155,196,769,591,611,480,343,139,3309,0,8,19,167,126,114,85,56,14,588,0,17,19,149,41,19,19,4,4,282
CED104,3,10,14,122,103,75,40,13,4,375,0,3,4,9,13,12,11,9,7,71,0,3,4,26,40,23,6,4,0,109,7,109,115,529,437,401,276,207,85,2172,65,169,148,366,198,178,163,173,136,1581,3436,10329,9188,16797,11646,10343,8158,4987,2491,77373,0,0,0,45,43,30,33,9,3,162,6687,18567,15623,16625,11832,10139,7801,5180,2397,94860,0,11,9,70,45,23,21,9,0,192,0,0,0,6,17,12,0,4,0,43,0,5,8,65,24,10,8,0,3,119,0,3,0,18,25,10,10,0,0,61,3,27,17,77,75,58,40,14,6,325,0,5,3,25,47,38,36,25,5,181,31,488,366,3823,1648,1474,1134,421,169,9555,0,0,0,18,27,53,27,33,22,176,0,7,6,43,28,62,56,48,20,268,20,319,442,795,1130,1265,1051,784,322,6123,0,3,10,85,93,95,77,41,13,409,0,12,21,56,38,33,10,9,5,190
CED105,21,137,564,2489,1886,1911,1128,345,189,8675,0,0,0,0,0,0,3,5,0,10,0,0,8,13,8,4,3,0,0,38,36,319,416,1576,722,594,454,308,153,4573,432,916,853,2058,724,648,486,267,191,6581,6475,12339,12715,26898,10644,10018,7073,3818,2114,92095,14,174,403,1433,417,200,70,24,6,2749,11990,20305,16372,18200,4814,3567,2887,1699,1152,80982,8,64,147,1227,169,80,22,5,0,1732,0,4,7,78,54,81,45,28,10,297,0,14,11,98,18,8,0,0,0,151,0,0,7,67,98,105,85,40,10,425,0,4,3,22,13,9,0,0,0,60,3,6,0,35,40,51,53,47,3,239,23,135,884,4678,2258,2484,1189,543,279,12476,0,0,7,23,26,60,138,162,43,453,10,84,82,358,126,148,153,99,45,1094,0,29,25,93,70,145,159,136,57,712,0,25,43,263,200,191,160,43,9,938,0,0,3,24,6,10,14,10,0,69
CED106,0,7,36,212,147,59,46,13,3,526,0,0,8,11,24,22,10,13,7,97,0,3,9,37,37,37,24,3,0,155,16,190,144,826,522,380,302,259,159,2793,83,188,196,506,248,200,220,205,243,2078,3896,11779,10016,21360,13038,10103,8284,5737,3309,87529,0,0,0,20,9,18,8,4,0,67,7459,18403,14494,13995,10067,8214,6438,5463,3106,87633,0,6,12,83,21,13,9,3,0,148,0,0,0,12,0,4,4,3,0,32,0,17,14,183,52,24,4,3,0,300,0,0,3,18,14,4,0,0,0,52,10,35,49,115,125,88,46,30,4,507,0,3,3,34,40,30,32,29,0,177,90,1270,1143,7709,3070,2517,2058,801,283,18940,0,3,3,18,17,34,48,37,19,178,0,6,9,43,14,27,54,36,22,206,53,606,806,978,1493,1378,869,786,434,7398,0,0,9,55,57,46,34,25,5,244,5,16,14,110,59,33,24,19,9,292
CED107,0,0,9,56,16,12,5,0,0,100,0,0,0,3,7,15,11,6,5,51,0,7,9,39,14,19,5,0,0,97,9,34,42,222,99,111,130,78,40,759,256,700,529,1312,739,742,707,499,292,5768,4798,11097,9107,20040,10681,11069,9504,5684,2522,84502,0,5,3,21,0,5,0,0,0,27,9380,20857,17188,32762,17424,17851,14934,8291,3051,141740,0,12,3,80,7,7,4,0,0,116,0,0,0,6,3,8,3,5,0,35,0,0,3,18,4,0,0,5,0,31,0,6,0,20,4,6,0,0,0,44,3,3,16,75,52,32,12,7,0,201,0,0,0,33,4,10,11,3,0,65,5,10,21,154,84,58,64,32,4,441,0,0,0,4,5,39,35,21,8,109,0,3,3,14,0,4,7,5,0,42,3,48,91,332,399,786,793,625,218,3300,0,7,12,55,38,35,18,8,0,172,0,3,5,56,9,13,20,11,0,115
CED108,0,3,14,136,87,91,57,13,7,407,0,0,0,0,0,3,0,3,0,16,6,8,13,41,12,11,3,0,0,87,17,261,458,1496,798,653,512,295,205,4701,466,1061,787,2057,680,519,450,270,233,6527,7669,15124,12702,31920,11663,10097,7547,3582,1634,101944,10,94,207,773,243,173,86,25,8,1625,14419,24097,16876,21509,8380,6585,4611,2310,705,99496,10,147,96,1146,279,179,67,12,0,1930,0,3,0,73,49,75,51,27,3,292,0,7,4,48,6,10,0,0,0,77,0,3,12,53,29,21,14,6,0,129,0,5,8,34,15,8,5,3,0,89,0,0,4,58,68,62,82,33,23,335,4,35,87,782,363,422,266,104,46,2105,0,0,0,51,49,94,125,111,32,456,3,50,147,257,149,195,194,116,36,1137,0,60,55,226,259,519,465,323,117,2020,3,97,297,1784,1176,912,476,225,35,5011,0,0,5,13,6,15,3,7,9,55
CED109,0,0,12,100,86,57,35,13,6,307,0,4,0,21,11,7,6,7,3,71,0,0,3,15,6,4,3,0,0,35,3,81,88,948,511,459,437,268,99,2889,140,259,238,796,354,273,275,283,191,2802,3941,8346,8280,19291,10660,9639,8028,5506,3133,76813,0,0,0,10,0,6,0,0,0,10,7801,15802,14959,25831,14265,12088,9241,5664,3204,108854,0,4,5,60,25,15,11,0,0,132,0,0,0,73,43,67,35,20,8,242,0,19,25,535,56,45,15,5,0,705,0,3,11,36,15,7,13,3,4,95,4,4,13,143,66,52,27,14,0,324,0,5,4,87,85,65,58,45,4,359,9,81,140,1081,563,902,434,181,147,3535,0,0,0,45,36,81,102,105,37,404,0,22,29,245,141,254,319,220,83,1311,36,197,182,1092,765,788,668,565,246,4551,0,3,0,95,70,83,38,25,7,324,0,14,13,88,36,28,20,17,4,216
CED110,0,0,5,61,13,14,7,0,0,96,0,0,8,12,13,26,22,16,7,90,0,0,9,12,10,10,18,9,0,61,12,78,102,344,200,193,186,143,54,1304,229,614,522,1202,650,793,799,672,394,5869,3976,9934,8543,17750,10877,12940,12455,7896,3654,88020,0,8,12,15,7,0,0,0,0,45,7493,17832,15190,27134,16337,19237,18737,10641,4327,136935,0,0,4,10,3,0,0,0,0,21,0,0,0,0,4,7,4,0,0,19,0,3,0,57,9,4,0,4,0,83,0,0,4,10,0,0,0,0,0,26,0,16,8,120,52,68,61,27,10,357,0,0,0,14,26,6,21,4,0,74,5,8,16,147,86,77,32,11,8,393,0,0,0,3,0,12,22,21,11,79,0,5,8,15,11,9,20,15,3,91,12,128,144,525,708,1195,1493,1328,517,6051,5,0,6,46,43,43,24,9,4,192,7,7,9,50,32,23,39,20,8,181
