CED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
CED101,0,0,19,122,499,417,562,485,117,131,166,196,46,8,50,2813,5,10,14,24,90,37,44,34,9,0,7,8,0,0,9,276,0,3,23,31,70,49,70,36,3,11,4,9,3,0,3,321,0,0,14,61,124,104,101,45,7,3,22,4,7,0,3,515,0,3,15,24,58,56,52,32,4,9,5,8,6,0,11,281,0,0,0,9,62,81,80,92,17,22,22,10,4,0,11,400,0,0,3,20,83,113,240,149,38,26,17,20,8,0,26,752,92,207,587,385,314,216,382,220,56,22,44,42,11,7,79,2644,4,0,12,36,36,64,91,86,17,11,20,8,5,4,12,405,0,0,9,431,975,532,426,303,76,87,50,66,42,18,99,3109,102,258,644,1123,1182,1449,1240,726,249,255,191,225,83,19,176,7907,388,1498,4325,5311,10001,10943,13772,7538,1880,2275,2566,2400,781,156,1530,65372
CED102,0,4,33,154,605,481,670,607,193,166,237,299,91,16,77,3638,5,5,10,16,89,38,69,72,24,17,16,8,4,0,9,374,0,0,10,37,80,73,134,78,17,20,16,16,7,8,10,496,0,7,17,48,85,60,87,43,12,20,15,6,3,0,10,406,0,0,6,24,54,32,49,33,12,10,18,17,6,4,11,272,0,0,0,8,84,122,125,132,41,29,19,26,11,0,13,606,0,0,4,17,115,198,525,317,91,59,45,65,15,3,60,1514,40,115,424,288,329,301,541,376,84,74,60,50,27,10,99,2822,5,0,17,32,50,71,127,117,31,37,22,33,17,11,16,589,0,0,5,457,827,485,425,378,125,151,142,157,66,10,119,3340,101,359,1048,1796,1630,1631,1711,1576,762,955,1101,1226,294,34,405,14620,319,2575,7588,7396,10983,11162,15880,11364,3546,4271,5206,5271,1497,289,2749,90093
CED103,0,0,30,127,472,440,651,624,140,233,281,366,123,32,47,3563,3,3,11,29,126,53,50,41,18,15,8,10,0,0,3,369,0,7,19,82,150,125,230,144,33,35,28,43,42,6,12,956,0,6,21,73,144,165,235,112,57,26,28,45,42,0,10,975,0,9,27,100,386,373,320,153,58,43,78,66,38,8,28,1680,0,0,3,11,256,363,251,226,55,65,62,78,33,3,26,1436,0,0,4,32,93,137,315,159,50,44,34,41,15,4,24,944,83,228,651,507,491,508,704,379,64,74,40,73,36,10,107,3946,0,6,39,51,62,109,167,134,42,34,45,51,47,10,15,817,0,0,7,416,361,135,189,193,54,81,103,124,69,12,31,1780,95,196,561,898,1164,1198,1388,1274,486,544,533,517,242,41,148,9267,445,1515,3416,5062,12338,14644,22002,14420,4039,4374,4488,5288,2317,607,1688,96647
CED104,0,0,19,150,302,264,290,232,71,56,62,72,32,8,28,1581,4,11,24,33,206,49,39,13,7,6,10,0,0,0,9,403,3,5,26,72,148,110,203,96,17,20,19,14,6,5,11,761,0,10,38,139,207,403,678,279,97,83,53,82,46,17,23,2170,0,9,19,83,466,494,473,156,35,18,25,48,13,5,31,1869,0,0,0,9,188,189,103,36,7,9,6,8,7,0,11,585,0,0,3,16,43,57,105,57,16,9,6,16,11,0,3,351,152,439,1272,882,937,852,1428,620,72,67,49,52,35,11,194,7081,6,6,43,78,92,110,246,126,21,21,18,20,6,5,17,807,0,0,10,183,178,72,80,51,6,19,19,14,7,7,8,654,125,216,507,696,818,857,1105,556,114,134,106,124,35,6,102,5487,523,1571,3452,4135,8343,9604,13606,6565,1403,1273,1141,1270,529,197,968,54579
CED105,0,3,6,105,505,458,402,289,49,68,107,174,24,12,45,2243,32,13,31,34,78,32,7,16,0,5,0,0,0,0,26,276,0,3,0,30,19,21,45,17,12,9,10,13,0,0,5,172,0,0,8,29,31,28,31,8,4,0,0,0,0,0,3,151,0,3,10,18,141,248,292,150,21,37,15,21,10,0,32,993,0,0,0,3,44,39,66,85,36,44,54,49,9,0,25,459,0,0,0,9,63,81,124,94,32,16,14,12,5,4,21,468,33,104,267,134,100,50,73,37,12,11,11,4,4,0,71,909,0,0,6,8,22,25,51,41,3,6,18,8,11,0,9,203,5,3,21,1980,4622,2949,2205,1720,405,383,329,370,175,83,556,15808,102,213,942,1891,1864,2263,2517,1653,565,492,504,444,201,41,566,14261,325,1202,4271,8478,13077,13394,18147,12220,3208,4316,5192,4653,1424,363,3417,93689
CED106,0,0,21,107,254,182,387,315,119,93,104,145,39,14,24,1812,11,20,13,31,126,50,53,25,4,5,4,7,0,0,8,358,3,17,35,92,148,147,309,161,32,46,48,42,40,15,12,1140,5,15,58,249,617,867,1211,470,142,90,144,117,55,45,55,4148,0,5,31,106,207,230,214,74,13,10,29,16,11,6,6,975,0,0,4,19,354,446,257,159,31,25,50,44,28,3,13,1442,0,0,10,22,62,71,205,148,36,25,36,29,21,0,12,676,202,443,1045,947,936,1098,2016,961,140,118,119,133,71,32,160,8432,7,8,65,114,120,183,358,207,47,58,68,60,48,32,36,1403,0,6,13,245,185,100,121,76,14,28,22,39,20,0,25,890,182,264,465,802,843,921,1561,810,240,240,229,195,88,46,116,7008,713,1561,3087,4969,10203,11998,19558,10731,2628,2697,2850,3121,1603,561,1272,77546
CED107,0,0,5,28,96,98,154,200,30,43,63,102,15,5,36,880,22,10,11,7,22,6,8,4,0,0,3,3,0,0,9,96,5,0,8,6,3,8,20,11,0,6,0,0,7,0,4,86,0,0,14,25,48,70,166,62,22,14,14,28,21,0,12,499,0,3,4,9,21,22,46,42,7,21,15,13,0,0,3,209,0,0,0,0,3,3,8,13,0,0,6,0,0,0,6,44,0,0,0,0,13,30,77,66,14,19,15,19,7,0,19,291,149,466,1192,691,368,260,345,176,26,27,28,29,11,7,197,3974,0,6,26,45,41,49,94,48,9,13,13,8,8,0,14,370,0,0,0,6,21,18,35,51,8,9,7,14,9,0,32,212,76,145,276,259,218,209,322,232,73,44,70,104,47,6,133,2221,434,1118,2152,1705,1574,1303,2376,1816,429,518,522,565,255,47,853,15670
CED108,0,3,26,501,3943,4029,4043,2346,485,420,528,681,240,39,291,17581,67,17,43,38,192,66,28,10,6,4,0,0,0,0,8,480,0,0,8,20,42,35,36,52,21,19,7,10,3,0,0,262,0,0,19,30,122,122,120,89,6,18,10,11,16,3,4,564,0,0,18,35,197,333,707,352,71,37,39,50,11,3,25,1885,0,0,0,0,10,37,17,17,4,6,10,31,5,0,4,145,0,0,4,8,48,65,131,73,15,12,13,12,0,0,8,390,47,248,953,437,267,133,198,89,20,18,12,11,7,5,92,2534,0,6,14,28,19,40,101,60,14,9,17,12,3,6,9,332,0,0,0,111,228,132,101,52,10,15,13,12,7,0,17,707,120,387,1052,1274,2030,2852,3220,1530,500,475,369,346,120,44,526,14846,374,1144,3230,3769,10714,14775,24632,14352,3340,3088,3285,3551,1197,277,1873,89587
CED109,0,3,20,50,241,160,207,155,46,35,33,29,21,6,15,1025,11,7,11,26,97,44,63,40,11,9,11,5,0,0,9,352,0,3,16,31,60,24,52,17,3,0,3,4,4,0,4,233,0,6,20,121,141,123,195,80,32,12,26,35,20,0,7,815,0,0,9,16,22,18,23,9,4,0,0,5,0,9,0,105,0,0,0,7,47,30,23,12,0,3,0,0,0,0,3,138,0,0,4,8,28,83,131,116,25,18,20,21,11,3,7,473,168,389,1001,710,604,450,866,625,123,88,110,94,41,22,127,5422,0,0,24,42,53,72,100,80,27,21,25,29,19,18,13,521,0,4,4,125,157,64,50,38,0,7,6,20,9,0,25,507,127,317,743,1159,926,1037,1228,926,228,243,207,180,82,25,146,7554,538,2106,4655,4112,4944,4746,5889,3723,840,705,672,692,344,135,877,34974
CED110,0,0,7,26,134,111,168,180,77,52,60,50,13,6,37,919,9,9,7,14,34,8,17,5,0,0,0,0,0,0,5,103,0,3,12,15,8,8,18,5,0,3,5,3,0,0,9,81,6,6,35,83,101,101,233,52,22,16,20,11,16,7,15,722,3,0,4,6,19,0,15,27,11,0,0,6,0,0,0,104,0,0,0,0,7,12,14,5,3,10,4,10,0,0,3,67,0,0,0,3,26,31,76,61,32,21,17,17,16,4,31,340,281,833,1975,1092,703,478,787,350,49,65,42,59,24,10,323,7071,0,8,29,85,84,52,122,69,25,7,13,16,11,6,12,536,0,0,0,16,13,13,26,35,6,7,6,13,3,0,23,169,82,244,365,357,318,245,595,500,131,146,156,214,64,82,122,3610,591,1791,3218,2575,2441,1719,3222,2102,548,661,678,788,286,141,926,21684
