CED_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
CED101,2701,392,3,0,393,5,3098,587,3308,154,5,3469,0,4061,4,225,128,0,357,0,359,0,6,0,0,6,0,9,594,3537,283,7,3827,0,4429,9,6,3,0,6,4,23,3305,3939,282,7,4231,6,7544,2827,308,0,0,309,6,3140,526,3386,209,0,3590,0,4119,5,288,183,0,472,0,481,0,9,5,0,8,0,10,535,3678,393,0,4075,0,4615,0,13,0,0,13,4,19,3367,4000,394,0,4398,14,7771,1852,162,0,0,166,0,2016,236,1737,119,0,1859,0,2095,5,124,123,0,249,0,258,0,0,0,0,0,0,0,243,1864,241,0,2109,6,2348,0,4,0,0,4,0,9,2092,2033,246,0,2283,0,4372,1229,96,0,0,98,0,1324,151,1064,89,0,1160,0,1313,5,80,85,0,171,0,171,4,0,0,0,0,0,3,153,1147,174,0,1329,0,1486,0,6,0,0,6,3,7,1385,1251,178,0,1428,5,2817,1625,128,0,0
CED102,2247,377,3,0,383,0,2633,633,4264,245,6,4516,7,5162,20,300,182,0,479,0,500,0,0,0,0,4,0,3,651,4570,422,10,5002,7,5664,8,13,0,0,13,0,17,2904,4960,426,10,5397,14,8312,2141,271,0,0,268,0,2414,437,3506,265,8,3777,9,4221,11,291,194,0,485,0,497,0,0,0,3,5,0,5,445,3798,458,11,4265,11,4720,3,9,0,0,8,6,17,2583,4080,461,11,4546,15,7153,1347,169,0,0,171,0,1517,235,1822,133,4,1952,0,2195,9,143,107,0,251,0,256,0,0,0,0,0,0,0,241,1962,241,4,2201,0,2447,3,0,0,0,5,5,11,1593,2131,241,4,2379,9,3978,852,79,8,0,86,4,937,145,1166,83,0,1246,4,1398,0,87,93,0,177,0,178,0,0,0,0,0,0,0,153,1254,173,0,1421,4,1575,0,0,0,0,0,0,5,999,1335,178,0,1511,4,2516,1032,117,4,0
CED103,2669,290,0,0,294,0,2968,668,4921,247,5,5173,7,5844,10,374,154,0,529,0,539,0,0,0,0,0,0,0,673,5298,404,5,5704,7,6384,3,18,0,0,18,8,28,3353,5607,403,8,6016,18,9386,2887,224,0,0,224,0,3116,619,5164,269,3,5435,8,6064,12,397,219,0,618,0,631,0,3,0,0,3,0,4,629,5561,488,4,6057,8,6695,5,18,0,0,18,11,30,3516,5805,490,4,6295,21,9836,1900,108,3,0,112,3,2020,294,2364,146,0,2509,3,2807,4,223,151,0,376,0,376,0,3,0,0,3,0,3,300,2581,299,0,2881,3,3186,0,0,0,0,0,13,15,2204,2694,304,0,2999,14,5214,1340,87,4,0,89,0,1439,150,1307,76,0,1384,0,1534,3,125,106,0,230,0,237,0,0,0,0,0,0,0,157,1430,179,0,1608,0,1768,0,0,0,0,0,6,6,1505,1523,178,0,1700,10,3212,1856,78,0,0
CED104,3415,226,0,0,229,3,3647,432,2059,64,0,2125,0,2561,3,94,31,0,134,0,136,0,0,0,0,0,0,0,440,2156,98,0,2255,0,2700,3,10,0,0,10,7,21,3857,2388,101,0,2490,13,6365,4810,180,0,0,180,3,4994,517,3211,133,0,3342,3,3865,9,182,57,0,238,0,248,0,4,0,0,3,0,3,531,3394,192,5,3586,3,4115,0,9,0,4,8,6,14,5340,3575,192,5,3773,12,9125,3480,99,0,0,99,0,3581,249,1798,73,0,1876,0,2123,3,85,54,0,139,0,145,0,0,0,0,4,0,4,251,1885,131,3,2016,0,2271,0,4,0,0,4,0,6,3737,1991,131,3,2116,0,5855,2470,81,0,0,81,4,2554,166,1104,42,0,1144,0,1307,0,57,36,0,93,0,92,0,0,0,0,0,0,0,164,1156,78,0,1238,0,1400,0,0,0,0,0,0,7,2634,1237,78,0,1319,3,3960,3247,99,0,0
CED105,1273,341,13,0,364,11,1645,397,6095,677,12,6782,16,7192,22,919,621,0,1546,3,1569,0,8,3,0,6,0,6,417,7017,1306,13,8337,18,8769,0,24,6,3,28,36,70,1692,7381,1323,21,8724,62,10486,1199,285,19,0,303,3,1502,308,5446,628,10,6081,19,6404,21,885,758,3,1646,5,1669,0,3,0,5,9,3,14,327,6337,1388,14,7738,21,8094,4,14,14,0,21,33,64,1530,6633,1413,14,8063,62,9654,671,143,8,0,157,0,830,163,2908,402,7,3311,8,3486,5,531,466,0,1006,4,1016,0,0,3,0,0,0,0,171,3446,872,3,4322,7,4504,3,8,0,0,7,9,25,850,3596,883,4,4490,23,5361,455,92,5,0,94,0,546,103,1774,243,0,2019,4,2124,8,311,322,0,634,0,644,0,0,0,5,5,0,5,110,2086,568,4,2654,3,2768,0,3,4,0,3,8,14,561,2179,576,8,2759,7,3335,533,108,3,0
CED106,2837,184,5,0,186,0,3027,603,3366,130,0,3501,0,4106,3,174,52,0,223,0,224,0,0,0,0,0,0,0,605,3539,180,0,3726,0,4333,6,5,0,0,5,8,14,3450,3725,184,0,3916,7,7374,4238,210,0,0,219,5,4458,651,4371,190,3,4568,0,5219,9,281,116,0,393,4,405,3,0,0,0,3,0,5,661,4652,301,7,4956,4,5626,7,0,0,0,0,6,16,4908,4869,307,7,5176,20,10098,3380,117,0,0,122,0,3504,345,2074,123,0,2197,0,2541,5,144,85,0,231,0,236,0,0,0,0,3,0,3,344,2221,210,7,2430,0,2779,0,0,0,0,0,3,6,3730,2338,213,7,2557,6,6292,2397,77,0,0,77,0,2476,224,1124,61,0,1191,0,1413,4,96,64,0,159,0,161,0,0,0,0,0,0,0,226,1220,122,0,1348,0,1574,3,0,0,0,0,3,10,2628,1300,126,0,1420,3,4055,3527,83,0,0
CED107,6468,106,0,0,112,3,6588,135,526,6,0,536,0,668,8,26,6,0,27,0,34,0,0,0,0,0,0,0,135,549,15,0,565,0,699,8,0,0,0,0,13,19,6618,656,24,0,679,14,7307,6868,99,5,0,106,8,6986,117,412,15,0,422,0,546,8,23,10,0,34,0,39,0,0,0,0,0,0,0,124,429,28,0,456,0,580,11,4,0,0,4,10,24,7002,535,35,0,567,21,7590,4235,35,0,0,39,6,4278,81,149,9,0,157,0,239,0,7,4,0,15,6,20,0,0,0,0,0,0,0,81,158,15,0,171,3,257,10,0,0,0,0,6,9,4318,201,15,0,211,13,4545,2793,29,0,0,29,0,2826,44,114,0,0,114,0,158,0,8,10,0,15,0,15,0,0,0,0,0,0,0,43,121,10,0,124,0,169,4,0,0,0,0,4,11,2842,151,10,0,161,7,3002,3173,28,0,0
CED108,3350,398,4,0,408,6,3764,497,6906,224,3,7133,9,7638,7,378,156,3,531,0,540,4,5,0,0,7,0,9,505,7294,372,12,7675,9,8188,6,13,0,0,20,17,43,3859,7707,378,12,8099,37,12000,3128,316,4,0,321,14,3458,398,6970,232,6,7210,11,7615,4,438,204,0,644,0,647,0,4,0,0,3,0,3,406,7410,433,6,7849,11,8266,6,18,0,0,19,16,47,3533,7739,442,6,8194,39,11763,1774,160,0,0,170,4,1941,192,3546,135,4,3690,4,3882,4,272,132,0,410,0,410,0,4,0,3,4,0,4,194,3822,271,7,4102,4,4294,3,12,0,0,12,9,26,1968,3998,270,6,4274,21,6265,1147,104,0,0,108,0,1252,117,1976,86,5,2074,3,2189,9,160,99,0,264,0,268,0,0,0,0,0,0,3,122,2143,188,5,2339,6,2462,3,6,0,0,6,8,10,1272,2242,197,5,2442,6,3729,1276,110,9,0
CED109,4909,312,0,0,311,4,5227,446,1372,23,0,1397,0,1844,4,44,14,0,60,0,60,0,0,0,0,0,0,0,449,1418,40,0,1454,5,1914,0,0,0,0,0,3,8,5365,1725,37,0,1768,9,7141,4746,268,0,0,270,8,5016,445,1502,33,0,1532,5,1978,3,74,21,0,89,0,94,0,0,0,0,0,0,0,449,1576,52,0,1623,5,2074,3,4,0,0,4,6,15,5194,1842,50,0,1899,15,7103,2849,136,0,0,139,0,2989,227,804,22,0,828,0,1055,4,33,14,0,46,0,51,0,0,0,0,0,0,0,235,836,37,0,875,0,1109,5,4,0,0,4,0,8,3087,975,38,0,1015,4,4104,1954,78,0,0,78,0,2032,143,539,18,0,559,0,702,0,20,10,0,33,0,33,0,0,0,0,0,0,0,148,561,30,0,587,0,731,0,0,0,0,0,3,3,2095,637,30,0,670,0,2765,2537,102,0,0
CED110,4707,90,4,0,89,9,4811,185,379,29,0,418,0,605,4,44,79,0,124,0,128,0,0,0,0,0,0,0,193,425,112,0,539,0,731,9,0,0,0,0,15,21,4902,519,115,0,634,25,5565,5207,70,0,0,70,8,5289,186,381,24,0,406,0,593,6,54,130,0,190,0,190,0,0,0,0,0,0,0,191,439,154,0,592,0,785,8,5,0,0,5,7,20,5402,513,154,0,668,17,6084,3460,58,0,0,63,4,3522,122,192,14,0,207,0,334,3,27,54,0,82,0,89,0,0,0,0,0,0,0,129,221,71,4,290,0,423,0,0,0,0,0,4,11,3594,281,71,4,350,12,3956,2344,37,0,0,43,0,2386,67,93,8,0,101,0,171,0,9,29,0,39,0,43,0,0,0,0,0,0,0,62,101,36,0,139,0,208,0,0,0,0,0,0,4,2414,143,34,0,181,7,2598,2764,37,3,0
