CED_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
CED101,133,0,1757,187,1476,119,0,1602,4,1789,8,122,130,0,255,0,265,0,0,0,0,0,0,0,195,1601,249,0,1855,4,2051,0,0,0,0,0,0,0,1823,1734,248,0,1985,4,3807,898,51,0,0,51,0,941,121,1019,91,0,1109,0,1234,4,104,140,0,252,0,256,0,0,0,0,0,0,0,125,1124,228,0,1357,0,1484,0,0,0,0,0,0,5,1021,1178,228,0,1406,3,2433,471,35,0,0,35,0,509,63,542,67,0,610,0,665,0,78,91,0,168,0,168,0,0,0,0,0,0,0,61,621,158,0,774,0,836,0,0,0,0,0,0,0,528,653,158,0,809,0,1341,11595,1171,9,0,1180,12,12783,1872,12539,846,10,13394,11,15281,29,1029,886,0,1913,0,1942,4,18,5,0,16,0,26,1915,13583,1734,16,15329,10,17248,10,32,3,0,31,17,54,13518,14786,1741,15,16540,35,30088
CED102,123,0,1157,184,1500,100,0,1596,4,1782,0,126,138,0,271,0,269,0,4,0,0,4,0,4,186,1631,236,0,1868,4,2062,0,0,0,0,0,4,6,1218,1747,239,0,1994,4,3216,584,58,3,0,65,0,650,111,1064,96,0,1157,3,1272,0,110,149,0,255,0,252,0,0,0,0,0,0,0,114,1168,240,0,1414,3,1530,0,0,0,0,0,0,0,694,1230,247,0,1475,4,2172,259,26,0,0,26,0,285,56,531,63,0,594,3,648,0,80,101,0,180,0,184,0,0,0,0,0,0,0,60,604,164,0,772,5,832,0,0,0,0,0,0,0,324,631,164,0,794,5,1114,8458,1094,24,0,1119,7,9586,1809,13853,976,15,14844,29,16679,44,1129,960,0,2094,4,2137,0,4,0,9,9,0,9,1851,14984,1936,27,16948,27,18822,13,28,3,0,31,13,62,10320,16110,1957,27,18095,50,28474
CED103,78,0,1935,182,1472,104,0,1571,0,1756,0,181,126,0,314,0,318,0,3,0,0,3,0,3,187,1660,226,0,1891,0,2074,0,0,0,0,0,0,0,2041,1739,226,0,1968,0,4006,1143,41,0,0,45,0,1194,91,1066,101,0,1170,0,1266,5,143,116,0,261,0,261,0,0,0,0,0,0,0,93,1215,219,0,1432,0,1525,0,0,0,0,0,0,0,1240,1260,220,0,1474,0,2715,568,20,0,0,20,0,589,49,672,71,0,736,0,790,0,87,124,3,208,0,213,0,0,0,0,4,0,4,52,751,192,6,950,0,1000,0,0,0,0,0,0,0,618,776,192,6,969,0,1590,12378,855,12,0,863,3,13245,2053,16963,1012,8,17985,19,20055,36,1528,985,8,2521,0,2564,0,12,0,4,13,0,14,2093,18512,1999,20,20524,19,22634,11,32,0,0,32,34,81,14477,19395,2009,21,21424,61,35959
CED104,102,0,3347,220,1402,66,0,1474,0,1694,5,55,38,0,101,0,103,0,0,0,4,4,0,4,225,1459,108,0,1573,0,1797,0,0,0,0,0,0,0,3474,1564,110,0,1676,0,5147,1919,55,0,0,55,0,1973,106,938,38,0,978,0,1086,0,67,40,0,109,0,109,0,0,0,0,0,0,0,106,1007,77,0,1090,0,1198,0,0,0,0,0,0,3,2028,1062,78,0,1142,0,3170,1024,30,0,0,30,0,1054,75,568,22,0,594,0,670,0,46,28,0,69,0,69,0,0,0,0,0,0,0,75,611,49,0,660,0,735,0,0,0,0,0,0,0,1098,639,49,0,694,4,1791,20367,768,3,0,770,11,21142,1769,11078,446,3,11532,4,13301,21,589,287,0,877,0,898,0,3,0,9,9,0,9,1788,11673,736,12,12416,4,14208,8,21,0,4,27,17,45,22163,12459,741,12,13210,29,35403
CED105,116,0,650,120,2257,368,4,2624,4,2752,6,472,450,0,925,0,931,0,0,0,0,3,0,7,128,2733,815,4,3553,3,3683,0,0,0,0,0,0,0,660,2844,821,4,3672,3,4331,249,36,5,0,41,0,287,58,1428,206,6,1634,0,1695,4,361,406,3,773,0,775,0,0,5,0,7,0,7,63,1792,619,3,2413,3,2477,0,0,0,0,0,3,7,313,1831,619,4,2456,4,2769,119,15,3,0,14,0,137,17,742,141,0,880,0,905,0,237,271,0,515,0,514,0,0,0,0,0,0,0,16,979,412,0,1396,0,1415,0,0,0,0,0,0,3,138,991,416,0,1414,0,1556,4496,1021,59,9,1084,8,5592,1173,20643,2665,30,23339,43,24554,71,3731,3305,9,7040,14,7126,0,12,14,10,31,3,39,1241,24383,5975,51,30414,60,31714,9,47,22,4,77,98,182,5740,25455,6056,61,31576,174,37487
CED106,82,0,3612,251,1261,77,0,1342,0,1591,0,95,86,0,179,0,189,0,0,0,0,0,0,0,253,1358,159,0,1522,0,1776,0,0,0,0,0,0,0,3781,1443,159,4,1607,3,5392,2396,51,0,0,51,0,2453,159,783,56,0,833,0,988,0,71,64,0,140,0,142,0,0,0,0,0,0,0,162,854,120,0,972,0,1131,0,0,0,0,0,0,6,2557,912,120,0,1032,0,3587,1231,23,0,0,23,0,1252,69,443,34,0,478,0,541,4,50,52,0,105,0,108,0,0,0,0,0,0,0,70,496,83,0,578,0,652,0,0,0,0,0,0,0,1300,520,83,0,605,0,1903,20008,754,3,0,760,10,20781,2296,13417,667,12,14103,3,16397,26,911,521,0,1433,8,1470,4,0,0,4,3,0,8,2329,14338,1182,14,15534,12,17874,13,14,4,0,15,21,53,22349,15107,1193,11,16316,39,38702
CED107,28,0,3199,50,110,7,0,116,0,169,0,5,8,0,15,0,20,0,0,0,0,0,0,0,53,116,15,0,133,0,191,5,0,0,0,0,4,7,3227,143,15,0,164,4,3397,701,3,0,0,3,0,705,18,40,0,0,40,0,57,0,0,0,0,7,0,7,0,0,0,0,0,0,0,18,42,0,0,47,0,59,0,0,0,0,0,4,4,721,46,0,0,49,4,769,182,0,0,0,0,0,188,4,19,0,0,19,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,19,0,24,0,0,0,0,0,0,0,192,19,0,0,19,0,211,24424,311,11,3,323,20,24769,444,1362,39,0,1401,0,1846,8,69,47,0,116,3,130,0,0,0,3,3,0,3,457,1430,85,5,1522,3,1984,35,4,0,0,4,35,72,24913,1748,90,12,1848,58,26823
CED108,112,0,1393,131,2471,127,4,2605,5,2744,3,211,142,0,354,0,360,0,3,0,0,5,0,5,133,2693,265,7,2966,5,3105,0,0,0,0,0,3,8,1412,2803,272,7,3078,4,4501,471,38,0,0,39,0,509,57,1647,86,5,1733,3,1794,4,172,91,0,270,0,274,0,0,0,0,3,0,0,59,1820,178,5,2003,3,2067,0,0,0,0,0,0,0,534,1853,179,5,2039,3,2582,202,12,0,0,15,0,217,30,901,50,0,949,0,974,4,107,100,0,204,0,206,0,0,0,0,3,0,3,30,1004,146,0,1153,0,1184,0,0,0,0,0,0,0,226,1019,149,0,1167,0,1396,11347,1138,25,0,1160,25,12534,1417,24420,943,25,25392,32,26845,33,1744,924,3,2666,0,2701,4,16,0,9,26,0,29,1448,26184,1864,42,28089,40,29574,22,57,3,0,56,50,132,12817,27372,1891,46,29307,113,42233
CED109,98,0,2642,188,733,34,0,768,0,957,4,36,16,0,48,0,48,0,0,0,3,5,0,5,193,770,46,5,817,0,1007,0,0,0,0,0,0,4,2730,866,47,5,919,4,3653,1328,55,0,0,55,0,1376,87,511,31,0,544,0,625,0,24,8,0,35,0,37,0,0,0,0,0,0,0,85,540,42,0,581,0,663,0,0,0,0,0,0,0,1410,588,42,0,628,0,2044,624,29,0,0,29,0,652,39,269,17,0,287,0,327,0,21,8,0,31,0,31,0,0,0,0,0,0,0,39,289,32,0,321,0,358,0,0,0,0,0,0,0,667,317,32,0,351,0,1013,18943,970,0,0,972,10,19930,1568,5730,181,0,5912,4,7487,19,252,93,0,344,0,360,0,0,0,3,3,0,6,1591,5984,273,5,6265,4,7858,13,11,0,0,11,14,35,20546,6961,280,5,7242,31,27822
CED110,40,3,2804,72,126,10,0,129,0,202,0,17,49,0,63,0,67,0,0,0,0,0,0,0,74,140,54,0,194,0,270,0,0,0,0,0,3,3,2839,183,54,0,235,4,3084,592,4,0,0,4,0,591,18,50,0,0,50,0,66,0,0,17,0,18,0,18,0,0,0,0,0,0,0,18,52,21,0,69,0,84,0,0,0,0,0,0,0,605,53,21,0,70,0,679,182,0,0,0,0,0,182,9,6,0,0,6,0,16,0,3,15,0,17,0,16,0,0,0,0,0,0,0,10,14,15,0,23,0,34,0,0,0,0,0,0,0,193,14,15,0,23,0,221,19254,300,8,0,305,24,19588,657,1239,83,0,1323,3,1982,13,155,372,0,527,0,544,4,0,0,0,0,0,3,676,1392,458,4,1854,7,2536,17,9,0,0,9,39,62,19952,1699,459,7,2166,65,22181
