CED_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
CED101,3,121,..,3910,241,4151,30,4182,..,683,69,744,0,749,..,218,31,249,0,249,..,21,7,30,0,30,..,213,92,305,0,305,..,1303,222,1521,7,1524,..,79,4,77,0,82,..,79,10,93,0,98,..,124,12,136,0,135,..,368,53,423,0,423,..,200,37,240,4,243,..,119,11,130,0,130,..,179,32,210,3,214,..,473,12,486,4,492,..,781,108,890,6,896,..,785,32,819,3,821,..,122,9,132,0,132,..,2170,166,2332,13,2343,..,850,133,983,10,992,..,95,7,101,0,105,..,392,98,490,3,490,..,117,18,138,0,138,..,1429,588,2020,19,2031,..,1388,224,1609,38,1652,..,30738,8250,38984,286,39268,..,445,80,525,3374,3898,39861,31177,8325,39509,3657,83028,79993,..,..,..,..,79993,..,77,4,80,0,77,..,7610,1134,8746,68,8812,..,39,4,36,0,36,..,8002,3761,11766,77,11844,..,9729,5098,14831,103,14929
CED102,0,151,..,5509,357,5861,50,5910,..,1240,247,1487,7,1494,..,345,43,383,8,388,..,43,14,54,0,53,..,334,115,444,0,452,..,1946,559,2507,5,2510,..,157,12,168,0,169,..,97,13,111,0,115,..,156,12,174,0,175,..,1229,311,1537,15,1552,..,348,55,405,4,410,..,65,3,70,0,69,..,364,55,415,3,416,..,602,15,614,4,620,..,1051,152,1199,14,1217,..,1036,29,1066,8,1066,..,169,7,178,0,179,..,2860,197,3057,20,3080,..,1608,273,1877,17,1890,..,144,8,152,3,150,..,728,199,925,8,939,..,264,57,321,0,325,..,1486,565,2056,15,2067,..,1964,453,2416,62,2477,..,42122,10798,52922,401,53325,..,626,176,797,4539,5334,32478,42749,10971,53723,4935,91139,67338,..,..,..,..,67338,..,42,3,43,0,42,..,10002,1345,11351,86,11437,..,57,0,57,0,57,..,7465,3395,10858,68,10931,..,11522,5110,16631,129,16759
CED103,0,400,..,4461,186,4648,33,4689,..,1130,175,1304,16,1319,..,538,73,608,0,614,..,28,4,37,0,37,..,3805,1839,5639,38,5679,..,88,11,104,0,104,..,330,9,337,0,338,..,922,140,1063,6,1070,..,185,19,200,4,204,..,272,22,295,3,300,..,362,46,408,4,413,..,15,4,20,0,20,..,179,24,198,0,201,..,672,16,688,8,694,..,791,72,864,12,873,..,852,13,862,9,876,..,225,3,234,0,240,..,2536,107,2649,29,2682,..,896,84,983,6,988,..,861,44,903,11,912,..,460,108,567,3,569,..,160,20,185,0,185,..,762,103,861,5,867,..,3164,468,3625,71,3703,..,42450,9810,52265,435,52691,..,391,124,514,3358,3877,41133,42843,9933,52775,3791,97697,83398,..,..,..,..,83398,..,144,0,141,0,142,..,2806,308,3113,20,3135,..,16,3,18,0,18,..,12808,3122,15934,99,16033,..,21980,7113,29092,257,29350
CED104,0,283,..,3382,152,3535,16,3551,..,555,65,621,3,627,..,295,29,316,0,320,..,20,0,19,0,19,..,1076,360,1436,8,1445,..,13,6,20,0,20,..,277,8,281,0,285,..,829,83,911,8,917,..,212,5,221,0,221,..,89,3,89,0,89,..,310,42,351,0,351,..,6,0,6,0,6,..,62,0,67,0,67,..,261,13,272,0,272,..,269,24,294,0,299,..,374,13,376,0,383,..,80,6,87,0,86,..,987,49,1039,4,1042,..,516,35,552,0,556,..,732,22,759,9,764,..,197,24,224,0,226,..,69,6,72,0,72,..,281,46,324,5,325,..,1488,111,1601,31,1632,..,20919,3275,24196,185,24386,..,247,44,293,1863,2147,50843,21171,3318,24486,2045,77373,102018,..,..,..,..,102018,..,529,9,540,6,547,..,1853,170,2026,12,2038,..,7,0,7,0,7,..,4960,949,5915,22,5934,..,9286,2549,11834,114,11951
CED105,0,112,..,6504,630,7129,60,7186,..,627,101,731,7,735,..,66,15,82,0,82,..,74,29,101,0,101,..,578,475,1055,3,1062,..,762,223,987,0,989,..,116,9,122,0,121,..,177,91,272,0,274,..,129,27,151,0,151,..,131,36,170,5,168,..,132,31,165,0,165,..,279,16,294,4,302,..,127,24,155,0,156,..,367,12,377,3,375,..,482,71,554,8,567,..,619,21,638,0,640,..,171,31,198,6,203,..,1635,134,1772,19,1784,..,379,89,467,9,473,..,489,90,584,5,589,..,203,51,260,6,262,..,1442,646,2090,8,2094,..,5859,4060,9925,58,9986,..,3364,1017,4374,108,4481,..,45388,16466,61855,513,62365,..,671,233,901,6717,7621,22109,46055,16703,62754,7230,92095,45785,..,..,..,..,45785,..,21,0,21,0,21,..,31488,5872,37357,299,37660,..,23,0,23,0,26,..,4657,3287,7947,31,7979,..,5239,7244,12485,101,12584
CED106,0,288,..,3285,153,3437,27,3460,..,338,23,361,7,366,..,831,168,1000,6,1004,..,13,0,15,0,20,..,1915,644,2556,7,2566,..,31,0,29,0,29,..,169,3,175,0,178,..,1081,134,1213,7,1220,..,177,9,187,0,190,..,178,19,196,4,195,..,371,50,421,5,428,..,12,0,12,0,12,..,84,0,84,0,84,..,333,13,348,9,354,..,390,48,436,4,442,..,416,14,423,3,427,..,94,3,100,0,100,..,1242,76,1314,8,1323,..,725,43,765,3,773,..,418,6,426,4,426,..,311,68,384,0,383,..,70,6,79,0,81,..,377,59,436,0,436,..,1607,165,1777,49,1825,..,29158,5793,34947,264,35216,..,327,64,393,2176,2575,49738,29487,5856,35341,2443,87529,99107,..,..,..,..,99107,..,540,8,544,0,549,..,590,47,636,7,637,..,5,0,5,0,5,..,8555,1587,10139,61,10199,..,17701,5151,22851,210,23062
CED107,0,10,..,716,68,783,14,799,..,131,16,141,0,148,..,48,6,51,0,51,..,16,12,31,0,31,..,54,14,62,0,67,..,3,0,3,0,3,..,183,14,197,0,197,..,24,4,38,0,38,..,47,5,46,0,46,..,18,0,19,0,19,..,61,10,70,0,73,..,8,0,8,0,8,..,32,6,39,0,36,..,117,0,120,0,125,..,35,4,38,0,37,..,197,0,198,0,198,..,32,4,33,0,33,..,381,9,396,5,399,..,180,8,188,4,193,..,75,8,78,4,81,..,128,48,172,0,172,..,21,3,22,0,22,..,81,21,101,0,104,..,656,72,734,18,752,..,3655,461,4117,67,4181,..,189,16,205,5167,5370,74944,3841,481,4324,5233,84502,148123,..,..,..,..,148123,..,225,0,227,0,227,..,275,29,301,3,302,..,197,11,209,4,212,..,151,93,245,4,254,..,294,89,383,3,392
CED108,6,676,..,14835,1542,16380,172,16549,..,298,39,337,0,340,..,42,6,46,0,49,..,54,25,73,0,73,..,299,200,498,6,501,..,68,20,89,0,90,..,522,31,553,5,556,..,311,102,412,8,418,..,240,68,307,0,311,..,94,18,113,4,115,..,120,16,138,0,142,..,1652,149,1797,15,1817,..,180,58,235,0,239,..,2793,102,2892,24,2916,..,376,59,436,9,447,..,5653,241,5896,25,5923,..,362,21,387,0,389,..,9187,431,9616,60,9672,..,672,203,877,6,878,..,1201,143,1343,19,1362,..,170,46,221,0,221,..,457,166,621,5,625,..,332,183,516,3,517,..,5985,1195,7179,118,7297,..,41725,6318,48041,461,48501,..,743,190,937,6306,7241,46199,42471,6512,48974,6771,101944,92904,..,..,..,..,92904,..,109,0,111,0,115,..,5757,1335,7086,48,7135,..,102,0,108,0,108,..,871,503,1373,8,1385,..,1343,812,2157,23,2183
CED109,0,34,..,515,28,539,3,541,..,733,86,819,3,818,..,160,10,170,0,171,..,32,12,43,0,43,..,79,21,101,0,101,..,710,72,781,3,785,..,46,5,42,0,42,..,54,3,60,0,62,..,174,11,185,0,188,..,542,67,605,9,618,..,462,79,549,0,550,..,22,0,22,0,21,..,281,20,300,3,302,..,142,0,144,0,146,..,173,19,195,5,199,..,255,10,263,3,266,..,48,0,48,0,48,..,618,34,649,9,661,..,895,111,1006,8,1017,..,34,0,34,0,34,..,273,42,317,0,317,..,146,27,172,0,172,..,255,49,302,4,301,..,993,114,1106,27,1140,..,15086,2320,17404,134,17536,..,257,30,291,2996,3288,55988,15347,2347,17698,3133,76813,110423,..,..,..,..,110423,..,109,0,112,0,112,..,2556,197,2757,14,2770,..,20,0,18,0,18,..,1862,611,2474,15,2486,..,2627,898,3529,24,3550
CED110,0,16,..,521,67,587,0,592,..,138,15,152,0,155,..,97,12,110,0,110,..,13,4,12,0,12,..,34,12,42,0,42,..,3,0,3,0,3,..,101,7,107,0,110,..,13,0,15,0,15,..,35,0,37,0,43,..,59,7,61,3,63,..,56,5,63,0,63,..,7,0,7,0,7,..,9,3,14,0,14,..,147,12,158,0,158,..,53,0,52,3,56,..,203,10,208,3,214,..,55,7,64,5,67,..,461,27,482,4,489,..,194,24,211,0,212,..,26,10,28,0,28,..,144,25,167,0,166,..,11,3,19,0,19,..,73,20,94,0,99,..,1199,406,1601,46,1651,..,4192,784,4977,84,5054,..,263,36,296,5222,5516,77449,4453,816,5272,5299,88020,149279,..,..,..,..,149279,..,155,0,155,0,155,..,232,40,271,0,276,..,430,10,442,19,457,..,142,59,200,9,205,..,301,131,431,5,438
