CED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED101,16,18,106,180,355,820,1405,1355,811,5072,7,21,161,128,219,379,488,402,256,2067,322,516,1309,1024,772,871,830,855,834,7338,3809,10980,22729,22205,20782,20563,15110,8835,4507,129534
CED102,9,30,143,194,364,941,2075,2493,1197,7435,4,54,225,234,278,483,720,816,477,3290,364,823,2327,1463,1087,986,939,1046,994,10020,3544,13653,35217,27249,21913,19203,14569,9334,4456,149140
CED103,11,13,66,136,199,467,921,928,640,3392,11,35,202,175,165,297,275,270,228,1651,238,492,1592,1259,804,789,714,663,620,7171,3584,12414,32762,31297,22886,21035,15717,8546,4442,152676
CED104,15,8,37,37,96,226,473,522,375,1795,4,4,51,72,98,97,122,151,106,709,188,190,348,501,508,463,531,694,728,4151,3850,8760,12431,19972,22624,20137,15682,9438,4036,116928
CED105,25,93,519,959,1365,1868,2036,1640,827,9332,23,123,628,713,1021,1393,1112,794,435,6231,853,1346,2983,2437,1828,1593,1262,919,753,13966,5390,15248,31580,24751,21388,20018,13844,7408,3518,143151
CED106,3,11,32,40,97,176,374,344,287,1369,4,7,91,116,95,131,147,98,93,777,216,260,558,645,563,507,595,678,720,4736,3527,9397,15803,24697,24615,19582,15416,10485,5448,128966
CED107,69,48,175,251,416,939,1649,1319,854,5719,7,11,52,52,60,68,120,96,38,493,622,875,2092,1932,1733,1573,1638,1319,627,12411,4487,9055,20449,19656,21031,21894,19015,10927,4044,130554
CED108,60,83,320,493,693,1319,1877,1289,574,6702,10,58,209,306,409,465,482,336,155,2429,850,1006,2394,2214,1623,1291,1198,851,556,11980,5840,13793,30777,31754,23199,19767,14179,6577,2461,148342
CED109,11,3,41,70,149,311,878,1126,689,3276,7,12,41,42,63,105,172,216,150,812,265,275,915,837,786,653,705,850,892,6186,3479,8295,18040,19300,20634,18733,15114,9991,5085,118676
CED110,76,62,223,330,411,905,1683,1490,1049,6232,11,22,115,101,99,118,83,76,46,671,641,630,1555,1472,1368,1541,1641,1572,1170,11589,4349,7699,16650,17844,20546,24352,24363,14799,6018,136622
CED111,25,35,126,197,264,617,1263,1613,1041,5180,9,20,71,105,97,117,196,261,226,1108,433,607,1067,846,806,750,859,993,883,7253,4559,12616,21791,20027,20374,19740,15536,9827,4479,128948
CED112,65,27,144,203,365,760,1312,1133,776,4780,8,14,35,45,59,79,127,93,67,526,482,461,1057,1038,992,952,1181,1350,1136,8647,4520,9095,19007,19693,20447,19893,17734,10945,4795,126129
CED113,56,24,139,177,329,660,1265,1239,670,4559,0,9,47,36,38,55,100,97,66,457,485,486,1407,1282,1334,1555,1449,1035,601,9638,3672,7482,18836,19385,22000,23532,19655,9854,3451,127864
CED114,66,60,249,377,503,1024,1972,1938,1131,7321,9,19,118,116,177,176,157,154,90,1019,736,742,1734,1610,1713,1903,1944,1562,887,12831,4550,8922,20338,19448,20966,23296,20807,12108,4697,135139
CED115,42,107,539,1158,1645,2620,2658,1943,1081,11784,20,128,671,853,1567,2404,1876,1142,745,9398,689,808,2017,1745,1535,1531,1230,922,602,11080,4958,12351,24749,21965,22032,22152,16049,7851,3526,135634
CED116,52,36,125,190,323,775,1764,1408,893,5573,10,11,19,49,45,72,93,78,51,422,577,546,1349,1277,1370,1511,1773,1504,774,10675,3796,6836,15590,16454,18911,24967,26601,14957,5408,133526
CED117,9,14,51,95,149,376,884,1313,809,3698,3,12,96,69,94,166,258,410,310,1422,209,500,1480,1112,881,786,758,635,435,6793,2279,9084,29109,25652,21717,16171,11604,6203,2655,124475
CED118,19,46,172,256,389,696,1209,987,461,4240,0,37,148,152,238,317,300,225,149,1567,457,836,2214,1970,1184,837,757,542,271,9070,4908,12790,29675,37636,24815,18193,13081,6110,1992,149196
