CED_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
CED101,6,14,17,39,72,101,145,146,115,651,5,8,18,23,77,209,297,294,165,1098,135,827,838,806,928,855,565,392,319,5668,0,5,0,14,52,91,165,171,162,672,323,454,584,758,971,1318,1211,789,561,6972,11559,7319,8607,8366,7145,5716,3108,1194,424,53440,848,663,757,739,688,593,459,394,375,5515,13417,9690,11309,11446,10912,10613,7934,4901,2801,83028,21,66,207,407,1121,2357,3201,2749,1520,11650,1467,1307,1343,1389,1284,1209,973,614,270,9858,27,39,76,188,430,915,1236,943,470,4325,0,0,3,0,9,55,133,439,653,1295,33,86,170,421,900,1952,2275,1568,616,8022,36,26,68,127,364,1027,1722,1641,1038,6053,25,27,39,67,149,231,309,339,208,1396,18,16,33,53,114,384,557,552,290,2015,316,1291,1386,1363,1562,1473,930,576,428,9329,5,11,11,29,86,223,367,383,272,1387,876,855,1020,1294,1682,2370,2093,1299,832,12317,23440,15657,17663,16530,13894,11260,5963,2265,791,107459
CED102,10,11,18,27,54,74,148,158,128,630,0,6,16,17,54,135,209,205,100,737,115,770,1282,905,897,803,521,397,251,5944,0,0,10,21,41,66,134,175,110,565,278,437,809,867,1030,1212,1139,791,515,7077,11558,8012,13489,10018,7478,5435,3092,1297,386,60757,899,734,1279,925,784,637,504,445,486,6690,13300,10323,17474,13496,11368,9928,7618,5043,2581,91139,7,55,236,447,1033,1992,2722,2545,1330,10361,1234,1246,1806,1486,1179,960,781,505,227,9416,22,20,113,200,456,765,1033,825,361,3805,0,0,9,0,9,44,167,490,699,1416,36,70,214,491,904,1792,2364,1723,714,8314,32,47,94,152,393,986,1500,1580,920,5694,24,21,45,72,133,217,324,332,254,1426,9,18,39,52,121,272,434,468,215,1625,232,1178,2015,1606,1570,1317,859,616,379,9770,3,8,17,38,85,173,332,392,243,1296,780,776,1369,1583,1794,2233,2009,1362,819,12723,23386,17455,27819,20472,14658,10614,5940,2543,762,123660
CED103,4,9,26,36,52,87,110,123,120,571,8,7,15,21,53,140,226,229,129,833,170,1228,1295,974,885,784,464,298,203,6310,0,3,5,19,33,65,96,118,136,485,405,515,822,971,1019,1356,1247,768,490,7590,13954,7865,13178,12264,8256,6346,3711,1321,413,67316,765,565,900,796,571,583,413,333,368,5300,15841,10536,16760,15883,11904,11054,8296,4725,2710,97697,14,69,215,404,912,1969,2618,2301,1510,10003,1552,1433,1822,1591,1249,1112,896,582,263,10510,22,38,94,239,486,900,1100,952,410,4232,0,0,4,3,14,37,116,391,600,1175,25,60,214,567,874,1828,2161,1448,578,7755,43,30,46,148,355,968,1612,1547,1011,5773,24,24,63,80,123,208,269,306,218,1310,21,19,32,42,108,277,407,452,253,1606,385,1842,2063,1650,1531,1370,802,472,280,10395,3,5,18,38,65,189,260,305,266,1152,1032,963,1422,1744,1861,2504,2234,1274,762,13798,28197,16772,26018,24345,15917,12071,6990,2413,771,133498
CED104,8,9,16,36,53,66,104,118,100,512,19,11,6,11,45,109,250,280,160,886,242,1260,766,830,951,728,451,308,219,5753,3,3,0,12,38,47,110,139,107,462,450,570,456,721,1054,1245,1142,696,483,6825,11829,6545,4439,7808,7680,5785,3386,1302,359,49135,632,416,303,450,565,435,397,330,335,3868,13766,9188,6248,10548,11646,10343,8158,4987,2491,77373,10,53,121,391,1133,2224,3244,2880,1366,11422,1787,1517,1033,1352,1615,1333,1157,668,278,10731,19,38,52,171,548,951,1337,1175,452,4754,0,0,4,0,15,40,106,453,641,1259,38,78,94,369,795,1460,1927,1391,452,6599,34,43,41,91,352,950,1709,1787,913,5929,21,26,38,74,105,167,249,282,188,1137,23,21,14,32,94,230,462,551,273,1704,518,1910,1282,1396,1567,1273,789,471,305,9515,3,9,10,26,79,134,304,290,231,1085,1097,1078,792,1196,1865,2268,2040,1216,755,12314,24186,14392,9008,14892,15209,11399,6503,2594,642,98815
CED105,19,16,18,46,65,104,140,159,91,650,11,7,12,29,78,167,226,190,94,819,125,630,705,650,755,887,500,305,184,4737,4,5,4,13,31,91,137,156,82,530,370,397,590,709,964,1329,1077,608,414,6452,15502,9872,11541,8517,6620,4879,2511,912,289,60642,2081,1216,1468,1279,1062,897,631,372,429,9429,18814,12715,14941,11959,10644,10018,7073,3818,2114,92095,26,77,242,529,1184,2377,2821,2044,1070,10372,1922,1621,1290,1098,978,1043,878,468,202,9498,32,32,85,138,327,642,825,622,277,2980,0,0,4,10,26,54,170,427,496,1197,46,107,278,674,1369,2695,2796,1676,544,10181,59,44,63,124,425,1002,1478,1201,666,5069,44,25,49,85,165,268,334,344,184,1496,21,18,24,57,149,360,499,430,185,1745,280,1003,1152,1174,1341,1482,861,480,257,8032,3,8,12,32,91,231,357,368,178,1270,974,820,1075,1302,1757,2448,2017,1069,634,12100,31114,21054,24791,17956,13638,10125,4990,1907,546,126116
CED106,5,7,10,34,43,67,69,106,108,452,11,14,4,21,46,78,170,271,170,790,209,1273,842,736,846,588,410,314,311,5528,3,3,0,9,35,48,86,160,171,509,458,532,509,754,1013,1098,1224,828,635,7045,13791,7361,6153,10441,9257,6121,3753,1769,584,59235,637,440,385,487,576,473,380,323,354,4039,15675,10016,8159,13200,13038,10103,8284,5737,3309,87529,21,68,108,323,868,1681,2561,2754,1698,10081,1736,1490,1069,1344,1546,1224,1004,670,365,10457,23,41,68,212,536,944,1318,1257,620,5025,3,0,3,0,9,27,144,489,860,1539,21,78,98,357,675,1140,1513,1239,554,5681,35,32,35,106,343,844,1607,1950,1373,6318,21,22,26,66,91,160,214,284,208,1080,21,18,19,42,90,146,362,498,311,1502,429,1913,1381,1194,1441,1014,694,486,411,8965,3,8,3,12,72,133,221,352,302,1113,1111,1023,848,1319,1795,1990,2140,1490,990,12712,27907,15715,12090,19621,17617,11881,6926,3245,1028,116027
CED107,12,10,34,47,94,129,196,202,127,861,21,10,26,68,217,412,647,468,153,2024,438,1668,1939,1715,1760,1570,906,408,267,10675,3,4,14,33,86,136,203,220,148,849,577,533,838,981,1112,1340,1129,681,432,7629,12187,5513,5954,5498,5422,4763,3120,1289,392,44134,1661,843,892,896,974,876,795,499,283,7715,15894,9107,10215,9828,10681,11069,9504,5684,2522,84502,34,114,348,744,1957,4073,5337,3902,1622,18127,2821,1995,2181,2118,2120,2269,1936,1089,341,16868,30,34,104,182,565,1139,1700,1296,384,5431,3,0,10,7,22,54,192,546,554,1380,61,142,225,493,1121,2048,2603,1723,511,8926,49,56,97,165,531,1363,2316,2107,1022,7708,26,33,62,81,173,286,413,409,218,1704,49,27,56,132,366,868,1297,982,330,4108,964,2652,2993,2769,2941,2690,1650,732,389,17772,3,8,29,66,143,313,501,487,263,1811,1511,1065,1322,1536,1971,2460,2102,1203,631,13799,24684,12129,12282,11292,11041,9567,6258,2562,675,90490
CED108,23,15,37,94,105,143,267,200,98,972,13,7,18,61,203,393,447,313,93,1551,304,1233,1345,1121,1233,1017,606,295,255,7419,4,10,14,42,79,118,197,162,87,711,615,508,846,1034,1213,1397,1144,611,523,7897,18412,8985,11481,10945,6337,4216,2180,614,185,63351,2314,1190,1429,1361,1019,762,523,304,237,9137,22789,12702,16069,15852,11663,10097,7547,3582,1634,101944,38,112,348,843,1864,3167,3748,2352,832,13305,3119,2382,2283,2144,1888,1716,1343,675,190,15730,41,40,94,210,427,814,1007,666,194,3501,6,7,3,10,21,72,179,446,504,1243,68,155,485,1409,2319,3571,3564,1792,441,13803,69,61,113,297,677,1431,2002,1421,571,6639,59,32,68,169,211,334,508,396,158,1946,38,26,40,117,352,679,860,618,173,2900,706,1994,2198,1888,2019,1724,1014,507,330,12375,11,18,35,77,166,296,481,375,138,1593,1588,1099,1402,1846,2175,2500,2033,1014,711,14370,36962,19000,22469,22414,13116,8477,4219,1232,310,128208
CED109,13,11,18,26,48,66,105,152,150,587,10,13,10,14,68,144,255,327,201,1039,133,861,1020,914,859,763,528,374,299,5735,3,3,10,20,37,62,112,209,181,630,287,408,571,734,855,1065,1002,761,655,6341,10593,6068,6588,7031,7064,5370,3269,1457,472,47901,802,553,627,646,705,579,482,408,453,5254,12284,8280,9279,10011,10660,9639,8028,5506,3133,76813,22,67,187,431,1093,2356,3379,3202,1873,12600,1258,1169,1327,1440,1297,1194,1093,682,296,9766,31,36,84,215,479,899,1360,1232,568,4914,0,0,0,5,9,45,132,485,724,1404,29,69,136,248,556,1245,1654,1351,562,5845,31,29,35,100,324,926,1764,1861,1252,6324,24,19,30,52,102,152,275,337,262,1247,21,16,25,40,118,275,497,607,342,1951,330,1261,1530,1425,1501,1355,862,594,408,9265,7,9,20,29,78,161,291,436,338,1363,785,736,923,1108,1433,1833,1792,1275,965,10847,21661,12813,13233,13897,13934,10489,6079,2731,828,95666
CED110,8,16,28,33,76,144,257,349,257,1173,14,15,27,77,216,641,944,791,281,3007,455,1573,1627,1625,1852,1961,1279,686,434,11481,3,3,9,27,84,149,242,359,256,1136,550,511,637,857,1235,1716,1609,973,639,8731,10676,5166,4964,5290,5652,5669,4187,1821,508,43944,1453,863,817,862,903,970,880,661,401,7808,13905,8543,8450,9302,10877,12940,12455,7896,3654,88020,29,100,330,814,1953,4641,6997,5320,2340,22533,2205,1663,1671,1829,1985,2266,2323,1331,444,15717,32,39,74,202,510,1332,2453,1944,702,7286,7,4,11,8,26,93,314,773,952,2191,49,104,194,409,902,1785,2853,2109,693,9092,49,44,74,170,487,1541,3073,2967,1590,10001,24,34,48,80,163,306,583,737,447,2414,31,28,48,141,417,1192,1889,1484,511,5742,908,2489,2646,2670,3113,3335,2391,1178,605,19334,10,8,19,56,156,362,662,745,441,2465,1382,1005,1069,1424,2125,3062,3041,1690,965,15761,21053,11022,10059,10423,11017,10758,8134,3505,889,86864
