CED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED101,1772,1345,1562,1424,1325,1221,903,678,540,10761,27784,20162,22767,22229,20812,20615,15152,8857,4515,162893
CED102,1912,1601,2635,1886,1560,1305,978,880,786,13544,27497,21958,35274,27276,21959,19253,14612,9357,4459,181643
CED103,1599,1139,1856,1593,1177,1132,806,567,557,10429,32632,21720,32784,31319,22907,21079,15766,8557,4449,191219
CED104,1350,962,622,890,1145,895,713,595,507,7675,28759,19391,12432,19980,22631,20148,15702,9461,4070,152571
CED105,4362,2772,3322,2822,2271,1867,1246,775,676,20102,38608,27091,31675,24842,21465,20086,13887,7429,3523,188607
CED106,1335,944,743,954,1083,900,690,551,517,7713,32369,20680,15818,24709,24628,19602,15435,10492,5448,169182
CED107,3401,2166,2566,2444,2273,1980,1677,975,443,17921,32931,19228,20457,19654,21049,21909,19023,10926,4049,169232
CED108,4691,2592,2849,2695,2129,1559,1008,564,334,18428,46700,26435,30830,31791,23248,19794,14213,6589,2464,202063
CED109,1698,1117,1283,1312,1435,1155,887,718,672,10282,25637,16838,18049,19311,20639,18747,15129,10008,5094,149450
CED110,3001,1946,1947,1929,1906,1989,1707,1197,660,16282,28129,17406,16670,17863,20566,24368,24373,14808,6018,170205
CED111,1941,1756,1510,1352,1409,1266,900,636,388,11162,27437,22402,21802,20029,20382,19750,15558,9837,4479,161676
CED112,2802,1739,1510,1591,1612,1420,1192,926,707,13504,30983,19150,19020,19708,20457,19907,17745,10959,4801,162722
CED113,2486,1540,1761,1696,1835,2002,1542,843,406,14113,28576,16213,18847,19388,22010,23536,19654,9855,3452,161530
CED114,3636,2095,2126,2079,2225,2308,1983,1185,509,18150,32105,19246,20376,19463,20990,23306,20824,12114,4701,173116
CED115,3178,2117,2441,2230,1992,1924,1226,729,462,16308,31048,23699,24843,22062,22132,22246,16092,7871,3531,173523
CED116,2725,1700,1687,1748,1852,1964,1820,1116,516,15120,25681,15112,15593,16466,18925,24979,26616,14966,5405,163743
CED117,1226,1088,1953,1664,1390,1177,765,488,328,10087,22375,15172,29123,25666,21719,16191,11617,6214,2659,150729
CED118,2795,1902,2599,2498,1721,1129,714,388,175,13916,45182,24710,29697,37663,24846,18229,13110,6111,1995,201542
CED119,1645,1111,917,1126,1166,946,725,595,427,8661,30202,18402,16829,21063,21011,17935,13793,7886,3181,150300
