CED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED101,27784,20162,22767,22229,20812,20615,15152,8857,4515,162893
CED102,27497,21958,35274,27276,21959,19253,14612,9357,4459,181643
CED103,32632,21720,32784,31319,22907,21079,15766,8557,4449,191219
CED104,28759,19391,12432,19980,22631,20148,15702,9461,4070,152571
CED105,38608,27091,31675,24842,21465,20086,13887,7429,3523,188607
CED106,32369,20680,15818,24709,24628,19602,15435,10492,5448,169182
CED107,32931,19228,20457,19654,21049,21909,19023,10926,4049,169232
CED108,46700,26435,30830,31791,23248,19794,14213,6589,2464,202063
CED109,25637,16838,18049,19311,20639,18747,15129,10008,5094,149450
CED110,28129,17406,16670,17863,20566,24368,24373,14808,6018,170205
CED111,27437,22402,21802,20029,20382,19750,15558,9837,4479,161676
CED112,30983,19150,19020,19708,20457,19907,17745,10959,4801,162722
CED113,28576,16213,18847,19388,22010,23536,19654,9855,3452,161530
CED114,32105,19246,20376,19463,20990,23306,20824,12114,4701,173116
CED115,31048,23699,24843,22062,22132,22246,16092,7871,3531,173523
CED116,25681,15112,15593,16466,18925,24979,26616,14966,5405,163743
CED117,22375,15172,29123,25666,21719,16191,11617,6214,2659,150729
CED118,45182,24710,29697,37663,24846,18229,13110,6111,1995,201542
CED119,30202,18402,16829,21063,21011,17935,13793,7886,3181,150300
CED120,35979,20490,21582,21855,22428,20748,17034,8874,3108,172094
CED121,33124,20370,22251,21046,21516,21629,19128,10968,4383,174420
CED122,27403,23141,36721,27612,22576,18246,13670,8778,3791,181933
CED123,40140,24394,28860,27817,23115,19113,14685,7278,2446,187851
CED124,24773,14330,12603,14663,18632,24506,26639,15676,5529,157347
CED125,47876,25538,32135,31773,23413,20815,15452,6723,1764,205501
CED126,28262,18095,14602,19477,23204,19874,15853,11157,4854,155387
CED127,26483,16725,15957,17502,20142,19851,16878,8817,2981,145330
CED128,35686,23063,24808,23745,21659,20657,15028,7987,3016,175649
CED129,40687,23182,19730,31629,26366,19508,15586,8628,2888,188212
CED130,29557,18783,18332,17346,18887,20989,19028,11547,4170,158649
CED131,27154,23914,26362,21715,20481,19021,14886,8421,4195,166162
CED132,27693,16383,26637,28485,22770,18016,14675,8564,3978,167209
CED133,28815,16992,16948,18220,21285,25491,23867,12398,4765,168784
CED134,31349,16724,20378,17408,18177,20522,16652,9984,3784,154967
CED135,38450,23953,41351,35876,21774,18912,13183,7022,2750,203278
CED136,34139,20136,22578,20994,21056,21520,20148,11427,3585,175578
CED137,29170,25379,44942,31446,22985,20547,14966,8357,4033,201820
CED138,27361,15437,16911,20279,21616,23944,23116,12984,5793,167436
CED139,31224,19773,19302,17955,18668,20494,18454,10999,4472,161349
CED140,26005,16251,15546,18415,19900,20601,18589,11769,4904,151973
CED141,27159,16782,16592,18037,19352,19836,18216,11649,4300,151922
CED142,15752,26526,66085,38113,21905,17105,11536,5460,1726,204215
CED143,26993,16035,19905,22047,22937,17994,12869,8447,3588,150819
CED144,34760,23454,29658,25802,22568,20243,14172,8469,4030,183154
CED145,21845,13756,29509,22889,19184,14854,12206,7953,3903,146102
CED146,44959,28544,27054,28678,25218,22144,13772,6466,2331,199172
CED147,31311,19562,19618,19998,21099,21244,19079,12146,4497,168545
CED194,1260,1357,2187,1859,1678,1648,1055,277,49,11371
CED197,0,0,0,0,0,0,0,0,0,0
CED201,27114,18981,20219,22280,21548,20530,15998,8898,3540,159103
CED202,28034,17736,18890,18557,19622,19499,17372,8981,3545,152243
CED203,27444,16790,18378,18254,19119,20117,18353,10043,4060,152555
CED204,33520,23308,26482,25001,22936,21311,15323,8050,3212,179139
CED205,44689,25373,32238,29729,21444,17912,10657,4948,1482,188482
CED206,29290,18320,19271,20562,21712,20483,16491,8622,2699,157444
CED207,28060,26787,26052,24258,23436,19846,16313,12503,6401,183655
CED208,23674,16926,29817,25311,21520,16198,11117,7645,4071,156279
CED209,28945,16997,18315,19922,18524,18027,18371,9805,3841,152752
CED210,27567,19460,23778,20514,20133,18988,15914,9111,3776,159242
CED211,29858,18997,20697,24068,22458,19537,16157,10489,4847,167110
