CED_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
CED101,17,67,42,27,13,0,0,0,160,12,22,16,7,11,0,0,0,62,11,75,83,166,205,280,333,312,1471,41,160,141,202,221,280,333,312,1693,9973,10650,10111,9345,9408,6621,3366,1196,60671,456,652,525,351,370,317,255,203,3126,10466,11459,10778,9903,10000,7221,3956,1708,65498,9,10,6,5,0,0,0,0,27,0,0,5,3,0,0,0,0,14,0,13,6,27,39,19,15,18,137,13,25,22,34,42,19,15,18,177,9267,10689,10951,10508,10242,7600,4490,2252,66005,410,591,481,377,330,311,394,528,3426,9690,11309,11446,10912,10613,7934,4901,2801,69611,24,76,43,33,13,0,0,0,185,12,25,19,10,11,0,0,0,80,17,87,93,196,246,304,345,335,1612,47,186,160,232,265,304,345,335,1877,19242,21344,21062,19856,19649,14221,7856,3448,126675,873,1242,1006,723,702,629,652,738,6555,20162,22767,22229,20812,20615,15152,8857,4515,135106
CED102,32,79,39,18,6,0,0,0,171,8,31,10,11,6,0,0,0,63,7,72,93,125,178,186,133,120,908,53,174,141,152,190,186,133,120,1138,10898,16409,12896,9920,8679,6456,3792,1452,70510,682,1220,745,519,449,349,386,310,4663,11634,17800,13783,10595,9324,6993,4312,1877,76315,9,21,4,6,3,0,0,0,44,0,4,4,0,7,0,0,0,16,5,8,10,19,27,20,6,13,108,12,33,26,29,33,20,6,13,166,9743,16348,12789,10842,9507,7260,4628,2014,73118,570,1091,683,507,388,343,415,554,4552,10323,17474,13496,11368,9928,7618,5043,2581,77837,39,98,42,22,9,0,0,0,218,10,29,17,4,6,0,0,0,78,11,72,102,147,205,209,140,134,1012,65,203,161,175,220,209,140,134,1306,20644,32757,25682,20763,18186,13713,8419,3460,143631,1254,2308,1432,1021,846,693,798,867,9217,21958,35274,27276,21959,19253,14612,9357,4459,154148
CED103,35,157,102,47,18,0,0,0,349,18,34,21,6,9,0,0,0,88,14,100,97,153,203,296,282,297,1450,60,294,213,204,230,296,282,297,1885,10747,14926,14588,10414,9449,6925,3361,1260,71669,376,806,636,387,347,246,193,179,3176,11189,16022,15438,11005,10025,7472,3832,1736,76727,15,28,22,0,0,0,0,0,74,0,10,7,0,0,0,0,0,16,4,11,26,23,33,29,16,35,177,17,55,55,30,34,29,16,35,266,10136,15945,15264,11517,10690,7992,4441,2315,78293,385,763,564,355,330,272,270,363,3294,10536,16760,15883,11904,11054,8296,4725,2710,81856,45,191,125,47,17,0,0,0,421,14,42,23,8,9,0,0,0,106,21,116,122,176,233,327,300,324,1624,79,348,268,238,265,327,300,324,2154,20882,30869,29847,21933,20138,14920,7797,3573,149961,762,1570,1204,745,675,515,460,539,6475,21720,32784,31319,22907,21079,15766,8557,4449,158584
CED104,12,17,25,32,14,0,0,0,98,20,11,17,13,20,0,0,0,77,14,65,105,235,289,426,439,326,1896,38,90,142,285,322,426,439,326,2068,9931,5919,9024,10446,9262,6930,3805,1034,56357,232,180,262,252,221,190,221,221,1779,10201,6187,9435,10985,9805,7544,4471,1578,60206,0,4,8,3,0,0,0,0,18,5,5,3,0,3,0,0,0,11,3,7,27,44,35,33,22,33,211,9,17,35,48,37,33,22,33,242,8991,6043,10268,11386,10112,7892,4649,1993,61338,187,191,242,217,194,223,315,461,2033,9188,6248,10548,11646,10343,8158,4987,2491,63609,13,21,27,37,14,0,0,0,115,16,14,20,13,20,0,0,0,89,16,63,131,278,325,459,464,362,2105,46,104,181,329,364,459,464,362,2308,18919,11961,19298,21829,19371,14826,8459,3026,117689,424,370,505,473,414,416,536,687,3815,19391,12432,19980,22631,20148,15702,9461,4070,123813
CED105,11,20,14,11,6,0,0,0,63,8,19,11,0,5,0,0,0,42,8,30,51,51,100,189,160,125,711,31,65,74,63,108,189,160,125,811,13034,14962,11471,9770,9238,6138,3102,1042,68758,1311,1713,1334,984,718,485,358,245,7151,14378,16742,12886,10817,10066,6813,3613,1413,76721,0,5,3,0,4,0,0,0,12,4,0,0,0,0,0,0,0,8,0,10,4,10,13,14,15,12,82,8,11,11,11,17,14,15,12,98,11706,13640,10919,9861,9334,6572,3433,1655,67119,1007,1283,1027,773,669,485,366,447,6063,12715,14941,11959,10644,10018,7073,3818,2114,73283,11,26,23,5,4,0,0,0,76,11,18,11,5,5,0,0,0,44,9,40,60,56,118,207,171,138,791,39,79,84,75,125,207,171,138,912,24734,28604,22392,19635,18569,12710,6539,2696,135875,2320,2994,2362,1756,1391,974,720,690,13210,27091,31675,24842,21465,20086,13887,7429,3523,150001
CED106,18,25,41,39,19,0,0,0,152,22,21,15,25,20,0,0,0,98,17,70,110,234,238,368,462,440,1934,58,115,168,295,281,368,462,440,2188,10326,7275,11033,11045,8996,6599,4119,1534,60926,277,262,310,247,222,181,174,169,1845,10666,7657,11509,11591,9500,7152,4754,2140,64957,7,11,12,4,0,0,0,0,37,0,0,3,9,0,0,0,0,13,6,4,12,45,49,24,17,32,194,18,23,27,53,53,24,17,32,245,9759,7870,12869,12722,9845,8043,5447,2902,69457,237,276,307,258,204,226,275,377,2152,10016,8159,13200,13038,10103,8284,5737,3309,71856,23,41,55,44,21,0,0,0,183,22,19,21,29,20,0,0,0,117,27,77,126,278,288,390,478,471,2130,75,135,198,353,328,390,478,471,2432,20092,15144,23903,23770,18847,14638,9567,4433,130388,516,540,612,505,427,406,447,541,3998,20680,15818,24709,24628,19602,15435,10492,5448,136812
CED107,0,8,13,8,5,0,0,0,32,12,35,27,21,12,0,0,0,106,33,147,263,407,556,902,608,368,3284,47,189,304,427,570,902,608,368,3422,9060,8652,8273,8978,9481,7946,4200,1001,57589,1018,1405,1247,949,788,676,438,156,6687,10122,10247,9825,10363,10845,9525,5246,1526,67700,0,4,0,0,0,0,0,0,8,4,5,9,3,4,0,0,0,22,7,25,40,82,104,73,35,38,404,15,31,48,88,108,73,35,38,429,8467,9525,9137,9935,10355,8841,5167,2189,63611,625,656,647,663,598,583,488,299,4562,9107,10215,9828,10681,11069,9504,5684,2522,68606,9,15,13,7,8,0,0,0,45,13,37,41,21,13,0,0,0,124,40,175,307,486,656,975,644,401,3682,61,218,357,519,679,975,644,401,3852,17526,18174,17404,18915,19839,16788,9370,3186,121204,1643,2067,1895,1616,1386,1264,917,459,11247,19228,20457,19654,21049,21909,19023,10926,4049,136304
CED108,14,37,19,16,8,0,0,0,91,10,27,17,11,3,0,0,0,63,10,85,87,151,237,346,202,95,1220,34,143,123,172,253,346,202,95,1375,12641,13434,14761,10681,8880,5955,2584,624,69551,1061,1181,1052,733,564,362,228,113,5295,13732,14758,15941,11585,9690,6661,3012,833,76218,5,5,12,6,4,0,0,0,36,0,0,0,5,5,0,0,0,8,0,10,12,35,27,17,16,16,134,10,27,25,48,32,17,16,16,176,11806,14871,14748,10924,9567,7093,3259,1323,73587,885,1173,1079,693,500,440,309,299,5382,12702,16069,15852,11663,10097,7547,3582,1634,79150,19,43,31,16,13,0,0,0,120,10,28,16,12,7,0,0,0,72,13,98,104,190,270,365,212,112,1354,40,168,144,216,286,365,212,112,1549,24449,28306,29507,21602,18442,13042,5847,1945,143137,1945,2352,2134,1428,1064,802,535,406,10676,26435,30830,31791,23248,19794,14213,6589,2464,155365
CED109,41,196,115,42,22,0,0,0,422,15,37,28,12,14,0,0,0,106,15,108,141,211,247,365,446,406,1949,74,346,293,266,284,365,446,406,2476,8176,7945,8581,9320,8525,6469,3806,1327,54151,305,476,431,396,300,263,251,232,2651,8556,8769,9300,9987,9103,7105,4501,1967,59283,21,44,8,7,0,0,0,0,81,8,12,4,3,3,0,0,0,24,5,24,31,35,38,29,24,18,208,31,79,48,43,44,29,24,18,309,7970,8755,9581,10256,9322,7709,5113,2621,61326,282,448,383,352,275,283,368,489,2886,8280,9279,10011,10660,9639,8028,5506,3133,64530,64,238,127,52,22,0,0,0,503,19,48,32,14,15,0,0,0,130,22,136,177,244,289,400,467,422,2157,108,422,340,311,321,400,467,422,2794,16144,16699,18159,19579,17849,14185,8916,3951,115480,586,927,809,753,574,548,623,723,5541,16838,18049,19311,20639,18747,15129,10008,5094,123810
CED110,16,11,9,7,6,0,0,0,44,9,24,18,18,18,0,0,0,85,37,164,233,434,621,1244,1070,620,4429,56,203,266,457,642,1244,1070,620,4558,8012,7101,7483,8538,10097,10032,5335,1423,58022,797,914,810,698,695,643,508,325,5387,8861,8214,8556,9691,11430,11917,6910,2368,67957,0,3,0,0,0,0,0,0,14,0,4,3,6,3,0,0,0,18,13,30,39,102,106,118,64,73,539,20,38,44,111,115,118,64,73,572,7904,7803,8663,10186,12199,11657,7100,2977,68490,620,610,597,585,627,682,733,602,5057,8543,8450,9302,10877,12940,12455,7896,3654,74113,18,15,10,5,9,0,0,0,57,11,32,20,20,21,0,0,0,104,51,197,274,540,727,1361,1135,695,4968,71,240,301,565,755,1361,1135,695,5124,15915,14906,16153,18726,22292,21688,12433,4398,126509,1414,1527,1406,1277,1321,1322,1238,930,10434,17406,16670,17863,20566,24368,24373,14808,6018,142073
