CED_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
CED101,542,4004,208,4748,516,4890,315,5722,806,9944,708,11459,1014,9202,570,10778,1156,8359,381,9903,945,8642,418,10000,815,6073,334,7221,385,3293,266,3956,82,1418,208,1708,6263,55820,3413,65498,567,3640,183,4391,727,4317,260,5304,987,9664,659,11309,1475,9435,533,11446,1427,9058,429,10912,1030,9224,360,10613,912,6698,322,7934,420,4079,398,4901,101,2178,523,2801,7644,58302,3665,69611,1109,7642,389,9139,1237,9208,572,11023,1794,19606,1364,22767,2491,18637,1098,22229,2582,17420,811,20812,1978,17863,781,20615,1726,12766,663,15152,809,7376,670,8857,183,3601,729,4515,13906,114120,7082,135106
CED102,401,3739,239,4379,495,6245,510,7254,1216,15262,1323,17800,1049,11917,814,13783,1029,8996,572,10595,788,8047,485,9324,551,6061,374,6993,249,3642,417,4312,49,1510,315,1877,5843,65413,5060,76315,486,3183,204,3875,714,5329,409,6453,1408,14869,1192,17474,1426,11337,737,13496,1261,9559,543,11368,906,8573,451,9928,682,6565,370,7618,308,4312,423,5043,65,1966,553,2581,7261,65687,4885,77837,886,6923,445,8255,1208,11575,922,13703,2625,30126,2520,35274,2480,23249,1550,27276,2292,18550,1120,21959,1691,16622,939,19253,1241,12627,743,14612,561,7953,840,9357,111,3476,872,4459,13107,131099,9946,154148
CED103,758,3917,141,4820,833,5262,273,6369,1366,13773,888,16022,1691,13057,697,15438,1673,8900,427,11005,1405,8241,380,10025,1067,6134,271,7472,498,3118,216,3832,96,1447,190,1736,9384,63855,3490,76727,860,3481,139,4479,1086,4684,281,6060,1646,14284,826,16760,2271,12976,637,15883,2143,9371,387,11904,1625,9059,364,11054,1202,6802,294,8296,588,3831,305,4725,138,2198,378,2710,11561,66692,3603,81856,1614,7403,277,9295,1923,9949,555,12422,3013,28057,1715,32784,3957,26034,1329,31319,3820,18271,817,22907,3028,17305,747,21079,2264,12936,562,15766,1090,6952,516,8557,233,3644,570,4449,20941,130549,7087,158584
CED104,910,4490,148,5546,693,3844,116,4655,695,5294,198,6187,1440,7693,295,9435,2176,8518,286,10985,1784,7786,235,9805,1546,5790,200,7544,828,3409,236,4471,158,1196,228,1578,10231,48021,1948,60206,1154,3830,94,5080,861,3136,109,4109,792,5242,214,6248,2132,8140,278,10548,2599,8786,258,11646,1907,8225,202,10343,1567,6347,251,8158,941,3732,316,4987,151,1880,457,2491,12098,49325,2184,63609,2064,8315,241,10623,1560,6986,225,8767,1485,10538,414,12432,3572,15833,573,19980,4777,17302,551,22631,3693,16015,444,20148,3110,12139,454,15702,1764,7139,555,9461,310,3078,685,4070,22333,97345,4131,123813
CED105,368,5221,540,6136,477,6892,872,8237,853,14053,1828,16742,851,10584,1454,12886,662,9101,1052,10817,550,8729,787,10066,429,5868,515,6813,190,3057,371,3613,34,1118,260,1413,4418,64623,7677,76721,444,4691,448,5583,694,5811,624,7128,1036,12502,1394,14941,1013,9837,1116,11959,694,9124,827,10644,621,8669,722,10018,463,6083,527,7073,181,3243,393,3818,40,1625,448,2114,5193,61584,6504,73283,824,9916,994,11724,1170,12704,1496,15369,1896,26555,3231,31675,1863,20415,2565,24842,1360,18226,1880,21465,1172,17402,1510,20086,886,11955,1042,13887,370,6297,762,7429,79,2743,708,3523,9614,126212,14179,150001
CED106,1159,4484,147,5788,798,3923,155,4876,835,6513,309,7657,1486,9674,348,11509,2360,8960,275,11591,1853,7407,242,9500,1494,5456,200,7152,1035,3539,182,4754,233,1744,169,2140,11244,51682,2025,64957,1474,3893,118,5485,1033,3359,139,4526,906,6945,312,8159,2426,10422,351,13200,3225,9518,290,13038,2005,7867,232,10103,1674,6365,249,8284,1047,4406,293,5737,208,2701,400,3309,13998,55474,2387,71856,2632,8377,264,11279,1826,7284,297,9400,1743,13458,618,15818,3913,20095,699,24709,5588,18473,566,24628,3852,15272,478,19602,3170,11817,453,15435,2079,7939,471,10492,440,4442,564,5448,25245,107157,4406,136812
CED107,643,4249,472,5362,433,3729,601,4765,961,7850,1440,10247,1364,7187,1283,9825,1658,7701,1002,10363,1690,8329,821,10845,1885,6909,726,9525,968,3836,440,5246,143,1223,160,1526,9745,51008,6942,67700,702,3761,345,4805,494,3491,314,4297,1162,8364,689,10215,1898,7246,688,9828,1942,8051,696,10681,2003,8425,639,11069,2198,6705,597,9504,1106,4082,489,5684,175,2043,301,2522,11675,52168,4753,68606,1345,8015,815,10167,927,7217,921,9063,2120,16213,2125,20457,3259,14430,1970,19654,3593,15750,1696,21049,3700,16747,1461,21909,4085,13614,1320,19023,2073,7921,939,10926,321,3272,459,4049,21424,103178,11702,136304
CED108,493,5464,550,6508,502,6130,591,7220,937,12550,1276,14758,1202,13583,1155,15941,918,9875,792,11585,656,8429,610,9690,430,5844,387,6661,173,2585,247,3012,21,711,99,833,5328,65175,5708,76218,571,5063,447,6078,679,5456,496,6627,1116,13685,1262,16069,1301,13393,1157,15852,1028,9882,760,11663,800,8759,541,10097,574,6494,481,7547,190,3091,299,3582,25,1353,250,1634,6289,67179,5688,79150,1061,10524,998,12586,1177,11588,1087,13850,2056,26232,2544,30830,2499,26981,2313,31791,1942,19758,1547,23248,1456,17191,1147,19794,1009,12341,871,14213,369,5676,546,6589,47,2068,352,2464,11613,132356,11398,155365
CED109,552,3636,184,4372,403,3637,147,4182,670,7600,505,8769,1021,7817,460,9300,1352,8207,427,9987,1101,7679,324,9103,975,5845,281,7105,558,3661,282,4501,121,1609,229,1967,6752,49690,2841,59283,630,3385,154,4165,557,3395,162,4115,803,8005,465,9279,1380,8202,429,10011,1576,8702,384,10660,1191,8151,306,9639,1068,6656,302,8028,622,4505,383,5506,149,2474,505,3133,7971,53462,3094,64530,1177,7023,334,8537,955,7034,316,8298,1477,15602,972,18049,2398,16023,890,19311,2932,16902,812,20639,2292,15829,626,18747,2044,12496,588,15129,1182,8164,663,10008,274,4080,739,5094,14725,103154,5936,123810
CED110,588,3887,466,4938,373,3162,391,3928,768,6498,955,8214,1204,6510,845,8556,1550,7393,747,9691,1849,8848,729,11430,2328,8895,691,11917,1052,5299,553,6910,161,1864,348,2368,9875,52367,5713,67957,691,3656,393,4737,470,3057,271,3802,966,6839,645,8450,1696,6970,633,9302,1964,8292,615,10877,2368,9908,667,12940,2851,8904,703,12455,1401,5740,757,7896,195,2780,672,3654,12603,56148,5364,74113,1278,7546,857,9679,844,6223,664,7729,1737,13337,1598,16670,2896,13482,1476,17863,3517,15688,1366,20566,4216,18757,1398,24368,5180,17801,1390,24373,2455,11047,1315,14808,357,4641,1020,6018,22479,108516,11078,142073
