CED_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
CED101,1946,422,45,22,2105,203,4748,1785,823,120,69,2586,341,5722,2713,2628,628,352,4398,735,11459,2118,3230,1137,594,3103,593,10778,2183,3220,1038,498,2556,402,9903,2038,2983,1117,560,2874,426,10000,1191,1939,951,438,2350,359,7221,651,888,418,218,1498,285,3956,256,254,118,84,784,212,1708,14895,16380,5566,2829,22263,3556,65498,1920,550,62,25,1632,199,4391,1715,1149,240,127,1806,264,5304,1866,2950,1237,1284,3300,666,11309,1005,3039,2274,2269,2314,548,11446,917,3149,2368,1984,2053,447,10912,943,2897,2237,1721,2410,404,10613,614,1775,1648,1295,2264,333,7934,474,933,703,612,1770,412,4901,325,386,191,120,1252,530,2801,9781,16831,10957,9446,18794,3798,69611,3870,969,108,50,3734,404,9139,3500,1972,354,194,4403,605,11023,4580,5578,1864,1641,7698,1405,22767,3127,6267,3413,2857,5414,1140,22229,3104,6372,3402,2482,4607,853,20812,2984,5886,3354,2282,5278,832,20615,1806,3715,2596,1735,4613,691,15152,1115,1816,1118,833,3270,697,8857,586,640,307,204
CED102,1590,363,38,12,2129,246,4379,1768,956,156,104,3754,515,7254,3849,3938,864,410,7368,1378,17800,2941,3877,1219,608,4289,850,13783,2306,3181,1009,471,3047,580,10595,1831,2629,926,473,2950,517,9324,1168,1760,766,387,2508,405,6993,694,857,361,208,1755,425,4312,265,229,107,49,913,317,1877,16413,17805,5441,2723,28700,5237,76315,1553,502,59,19,1530,207,3875,1628,1343,297,155,2599,432,6453,2857,4520,1645,1445,5793,1218,17474,1450,3593,2305,2283,3110,761,13496,1043,3332,2309,1778,2322,580,11368,923,2470,1945,1593,2538,456,9928,678,1664,1391,1166,2331,397,7618,510,1016,714,596,1765,447,5043,283,303,162,122,1143,559,2581,10934,18737,10834,9150,23135,5047,77837,3145,868,102,31,3653,454,8255,3399,2299,451,258,6351,948,13703,6702,8458,2507,1854,13158,2590,35274,4396,7465,3527,2888,7398,1608,27276,3349,6515,3318,2248,5372,1161,21959,2754,5099,2874,2067,5494,970,19253,1839,3420,2159,1549,4841,802,14612,1211,1876,1074,805,3517,872,9357,554,537,269,166
CED103,2299,410,20,23,1925,147,4820,2236,1094,156,68,2533,282,6369,3997,4272,891,365,5575,927,16022,3155,5044,1666,730,4107,733,15438,2432,4023,1303,517,2283,447,11005,2184,3435,1225,462,2302,406,10025,1281,2263,1034,491,2122,283,7472,653,935,472,234,1311,231,3832,254,289,127,99,784,182,1736,18497,21770,6903,2986,22938,3640,76727,2210,558,47,17,1510,137,4479,2015,1449,262,93,1954,292,6060,3006,5016,1766,1432,4684,860,16760,1523,4277,3063,3050,3315,655,15883,1121,3561,2841,1983,2014,381,11904,966,3114,2544,1845,2217,373,11054,605,1938,1853,1464,2117,317,8296,481,1019,812,586,1501,317,4725,342,367,209,168,1238,381,2710,12269,21295,13403,10636,20547,3710,81856,4513,965,68,35,3436,280,9295,4245,2543,423,166,4480,570,12422,7001,9288,2661,1795,10257,1786,32784,4676,9328,4731,3781,7420,1390,31319,3550,7581,4145,2506,4299,826,22907,3150,6551,3771,2309,4518,781,21079,1887,4206,2888,1952,4239,599,15766,1135,1958,1284,819,2812,552,8557,599,651,344,265
CED104,2899,530,49,12,1913,140,5546,2132,720,100,23,1565,118,4655,1980,1790,405,161,1640,210,6187,1921,3662,1311,552,1696,294,9435,2379,4605,1624,535,1550,299,10985,2113,3944,1363,565,1567,254,9805,1225,2560,1325,673,1541,219,7544,719,1252,669,382,1218,236,4471,188,303,124,87,653,228,1578,15560,19364,6964,2982,13343,1993,60206,2755,650,55,10,1510,100,5080,1897,981,132,46,955,108,4109,1378,1938,824,775,1113,221,6248,775,3066,2693,2446,1294,283,10548,861,4047,3168,2207,1096,264,11646,862,3463,2639,1906,1264,208,10343,539,2126,2129,1658,1439,267,8158,431,1030,978,892,1339,314,4987,250,307,190,151,1125,465,2491,9741,17611,12812,10087,11128,2223,63609,5652,1178,104,17,3424,242,10623,4031,1700,225,67,2514,221,8767,3358,3731,1231,934,2752,427,12432,2692,6733,3998,2995,2984,571,19980,3243,8654,4789,2738,2644,559,22631,2973,7409,4004,2470,2832,457,20148,1767,4685,3455,2330,2973,488,15702,1153,2282,1651,1271,2554,553,9461,433,609,314,244
CED105,1545,509,60,22,3443,557,6136,1630,890,179,120,4508,910,8237,2939,2568,640,440,8242,1917,16742,2110,2496,866,519,5388,1504,12886,1878,2095,719,467,4569,1091,10817,1706,2137,742,480,4169,823,10066,1036,1377,581,374,2898,549,6813,516,636,268,158,1640,395,3613,146,142,78,43,738,257,1413,13508,12862,4124,2629,35590,8010,76721,1558,720,129,48,2664,466,5583,1432,1289,373,248,3139,645,7128,1665,2529,1364,2246,5675,1465,14941,746,1999,1611,2635,3827,1147,11959,708,1950,1589,1976,3545,875,10644,753,1933,1553,1665,3358,758,10018,599,1264,1062,1071,2523,559,7073,358,597,430,421,1610,407,3818,185,204,99,67,1089,466,2114,7993,12490,8212,10377,27426,6794,73283,3104,1228,187,73,6107,1021,11724,3064,2185,550,368,7648,1558,15369,4600,5096,2000,2682,13919,3381,31675,2855,4499,2477,3149,9213,2652,24842,2580,4046,2309,2447,8109,1971,21465,2456,4074,2294,2149,7528,1584,20086,1640,2633,1646,1441,5416,1112,13887,870,1239,697,577,3247,801,7429,331,350,172,116
CED106,3015,456,40,14,2116,149,5788,2178,830,87,24,1606,155,4876,2217,2247,434,161,2266,325,7657,2385,4198,1546,585,2446,346,11509,2598,4898,1610,527,1673,286,11591,2121,3808,1321,515,1472,259,9500,1390,2498,1080,499,1467,210,7152,874,1529,667,297,1200,188,4754,316,426,182,117,932,172,2140,17085,20890,6964,2740,15188,2092,64957,2958,622,35,11,1735,122,5485,1972,1088,159,33,1141,133,4526,1646,2511,928,784,1963,331,8159,1052,3704,3056,2861,2162,364,13200,1094,4242,3494,2484,1419,296,13038,916,3351,2612,1640,1330,246,10103,640,2256,2123,1486,1538,254,8284,532,1342,1212,943,1405,298,5737,380,502,284,214,1520,412,3309,11196,19619,13895,10459,14219,2453,71856,5974,1081,72,31,3854,268,11279,4149,1916,238,61,2748,293,9400,3862,4762,1364,942,4234,659,15818,3445,7895,4601,3450,4611,706,24709,3693,9145,5105,3012,3095,585,24628,3029,7158,3936,2160,2800,510,19602,2035,4751,3203,1982,2995,465,15435,1399,2876,1877,1247,2614,481,10492,696,923,465,331
CED107,2231,420,44,18,2187,465,5362,1472,770,121,64,1730,604,4765,2553,2829,658,304,2450,1454,10247,2252,3144,981,406,1748,1295,9825,2421,3447,962,451,2072,1009,10363,2409,3329,1051,617,2573,859,10845,1632,2482,1216,725,2728,741,9525,728,1094,573,445,1928,477,5246,197,236,105,73,751,163,1526,15902,17753,5710,3101,18175,7064,67700,2091,609,63,37,1664,341,4805,1120,1259,294,225,1081,315,4297,1408,3156,1534,1822,1595,696,10215,779,3086,2208,2003,1066,682,9828,1084,3842,2374,1373,1307,692,10681,1123,3562,2333,1618,1779,651,11069,684,2126,1975,1807,2273,646,9504,478,999,871,844,1955,532,5684,233,309,180,120,1374,303,2522,9015,18946,11833,9859,14092,4869,68606,4324,1024,108,53,3853,807,10167,2597,2028,415,291,2816,919,9063,3962,5986,2189,2122,4046,2151,20457,3037,6230,3184,2416,2813,1979,19654,3508,7286,3342,1830,3376,1709,21049,3527,6896,3388,2236,4352,1512,21909,2311,4601,3186,2532,5002,1386,19023,1209,2087,1442,1290,3883,1011,10926,430,551,284,192
CED108,1900,711,102,36,3194,567,6508,1768,1026,190,97,3526,615,7220,3012,3090,806,516,6019,1321,14758,2679,4275,1520,892,5383,1191,15941,2087,2953,993,608,4095,850,11585,1768,2293,766,508,3710,646,9690,980,1254,650,461,2894,431,6661,394,482,221,169,1476,270,3012,106,86,30,23,493,104,833,14687,16151,5284,3307,30796,5997,76218,1829,876,179,88,2629,475,6078,1383,1441,429,275,2596,500,6627,1746,3460,1951,2532,5070,1305,16069,995,3262,2684,3457,4229,1214,15852,940,2724,1910,2030,3277,793,11663,822,2157,1608,1597,3339,574,10097,593,1301,1058,1099,2981,516,7547,378,551,347,310,1667,324,3582,132,130,57,38,1027,257,1634,8816,15899,10227,11428,26816,5953,79150,3729,1588,284,126,5820,1039,12586,3158,2460,616,378,6127,1112,13850,4755,6542,2756,3053,11090,2626,30830,3675,7536,4209,4343,9614,2409,31791,3021,5673,2906,2635,7374,1644,23248,2589,4454,2373,2106,7052,1222,19794,1574,2548,1707,1558,5874,948,14213,766,1033,565,483,3149,595,6589,232,215,83,59
CED109,1973,287,17,11,1898,180,4372,1600,559,81,23,1757,159,4182,2779,2402,430,183,2467,514,8769,2351,3246,970,417,1851,468,9300,2569,3560,1053,389,1967,441,9987,2247,3088,973,401,2056,347,9103,1393,2201,884,380,1949,296,7105,718,1130,530,289,1547,279,4501,273,302,167,108,868,246,1967,15894,16774,5106,2202,16367,2941,59283,2021,449,35,9,1491,157,4165,1636,1003,138,74,1104,166,4115,1845,3162,1116,1049,1626,480,9279,947,3076,2154,2165,1244,426,10011,1038,3597,2511,1756,1355,394,10660,977,3179,2155,1366,1658,303,9639,673,2101,1756,1326,1836,336,8028,531,1106,947,754,1781,384,5506,344,473,275,157,1354,531,3133,10020,18139,11085,8649,13462,3178,64530,3989,735,51,25,3392,342,8537,3239,1560,219,98,2864,320,8298,4617,5562,1545,1230,4094,992,18049,3293,6322,3130,2579,3093,895,19311,3608,7155,3564,2151,3320,839,20639,3220,6269,3124,1769,3720,657,18747,2070,4304,2635,1704,3782,629,15129,1251,2242,1478,1045,3328,668,10008,617,775,435,258
CED110,2115,378,45,23,1903,466,4938,1313,656,99,61,1399,402,3928,2175,2237,522,257,2067,963,8214,1927,2792,875,443,1654,859,8556,2277,3266,965,501,1921,763,9691,2436,3565,1271,717,2680,760,11430,1931,3381,1746,970,3156,729,11917,880,1587,886,642,2316,602,6910,276,336,187,147,1078,344,2368,15339,18203,6597,3757,18182,5882,67957,2081,541,73,36,1620,388,4737,1115,1001,262,187,964,276,3802,1215,2532,1302,1336,1417,658,8450,883,2983,1943,1765,1102,628,9302,1297,4002,2223,1347,1378,630,10877,1509,4268,2621,1629,2220,681,12940,948,2942,2810,2120,2901,743,12455,658,1367,1259,1187,2615,815,7896,366,420,259,194,1730,681,3654,10061,20043,12752,9805,15959,5492,74113,4196,922,119,61,3528,849,9679,2429,1661,361,243,2367,671,7729,3386,4766,1823,1592,3490,1615,16670,2811,5773,2820,2214,2757,1488,17863,3573,7265,3188,1851,3300,1388,20566,3947,7839,3893,2343,4905,1442,24368,2884,6321,4553,3092,6057,1472,24373,1539,2953,2142,1830,4930,1414,14808,641,751,446,347
