CED_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED101,216,4324,211,4748,290,5087,344,5722,676,10050,738,11459,1031,9154,602,10778,1391,8074,431,9903,1431,8142,431,10000,836,6031,355,7221,390,3281,285,3956,168,1326,218,1708,6432,55463,3605,65498,207,3977,207,4391,345,4681,279,5304,880,9735,693,11309,1623,9264,563,11446,2136,8298,477,10912,2071,8138,404,10613,1134,6472,330,7934,463,4032,409,4901,112,2153,538,2801,8971,56750,3890,69611,429,8303,408,9139,630,9771,618,11023,1550,19783,1431,22767,2656,18414,1162,22229,3533,16377,907,20812,3505,16277,834,20615,1965,12498,686,15152,848,7320,690,8857,282,3474,756,4515,15398,112209,7497,135106
CED102,230,3902,251,4379,316,6416,522,7254,846,15560,1397,17800,1174,11746,859,13783,1589,8401,604,10595,1378,7437,508,9324,734,5848,405,6993,406,3471,436,4312,161,1395,322,1877,6834,64170,5310,76315,208,3447,221,3875,371,5644,440,6453,1030,15207,1236,17474,1648,11075,776,13496,2318,8457,593,11368,1916,7538,472,9928,1067,6147,405,7618,571,4022,445,5043,112,1909,560,2581,9241,63448,5149,77837,437,7353,467,8255,688,12058,955,13703,1877,30764,2628,35274,2822,22824,1636,27276,3900,16865,1193,21959,3295,14975,986,19253,1798,11998,814,14612,979,7496,885,9357,275,3302,885,4459,16071,127620,10455,154148
CED103,190,4473,158,4820,335,5743,289,6369,745,14340,938,16022,1227,13462,752,15438,1423,9148,440,11005,1472,8158,392,10025,863,6328,278,7472,381,3219,231,3832,170,1371,188,1736,6809,66247,3669,76727,192,4142,145,4479,306,5462,296,6060,985,14909,871,16760,1704,13497,683,15883,2058,9436,404,11904,2116,8569,365,11054,1240,6740,317,8296,513,3885,323,4725,137,2187,386,2710,9249,68825,3783,81856,383,8617,300,9295,643,11202,580,12422,1732,29251,1811,32784,2932,26955,1429,31319,3471,18588,847,22907,3594,16724,759,21079,2101,13066,594,15766,893,7106,554,8557,308,3563,581,4449,16057,135070,7457,158584
CED104,228,5156,163,5546,255,4270,130,4655,367,5601,218,6187,889,8236,305,9435,1396,9284,299,10985,1483,8076,249,9805,875,6461,205,7544,521,3707,248,4471,146,1207,230,1578,6161,52001,2048,60206,246,4717,118,5080,255,3753,103,4109,515,5517,221,6248,1342,8908,302,10548,2197,9172,272,11646,2312,7813,211,10343,1286,6594,278,8158,546,4124,317,4987,119,1914,453,2491,8812,52516,2282,63609,471,9873,277,10623,508,8026,233,8767,878,11121,435,12432,2227,17136,611,19980,3594,18465,570,22631,3798,15893,461,20148,2162,13052,487,15702,1065,7836,564,9461,266,3118,684,4070,14974,104517,4325,123813
CED105,257,5301,578,6136,389,6923,926,8237,930,13843,1970,16742,1135,10215,1533,12886,1237,8453,1125,10817,1062,8164,846,10066,648,5611,554,6813,321,2894,398,3613,104,1047,260,1413,6083,62445,8190,76721,308,4799,478,5583,450,6026,654,7128,1471,11985,1488,14941,1871,8910,1180,11959,1800,7941,909,10644,1645,7604,767,10018,917,5592,557,7073,330,3083,404,3818,64,1593,456,2114,8845,57544,6894,73283,571,10101,1056,11724,840,12949,1588,15369,2400,25827,3458,31675,3000,19126,2713,24842,3032,16397,2030,21465,2707,15764,1611,20086,1563,11207,1113,13887,651,5979,798,7429,169,2639,719,3523,14925,119988,15088,150001
CED106,243,5391,153,5788,268,4433,168,4876,400,6932,326,7657,938,10200,366,11509,1465,9833,293,11591,1520,7724,248,9500,863,6073,217,7152,534,4025,192,4754,230,1734,176,2140,6470,56350,2136,64957,234,5120,131,5485,289,4098,143,4526,527,7302,330,8159,1453,11367,379,13200,2351,10359,324,13038,2172,7675,259,10103,1254,6765,262,8284,683,4762,295,5737,180,2736,400,3309,9151,60172,2533,71856,475,10507,284,11279,562,8530,316,9400,931,14233,655,15818,2396,21562,750,24709,3815,20190,617,24628,3698,15399,510,19602,2118,12838,475,15435,1220,8785,486,10492,410,4467,572,5448,15618,116522,4672,136812
CED107,216,4655,491,5362,236,3925,607,4765,574,8202,1466,10247,942,7601,1292,9825,1372,7977,1013,10363,1578,8421,846,10845,1022,7767,733,9525,533,4236,481,5246,145,1212,164,1526,6619,53992,7085,67700,264,4182,366,4805,306,3677,316,4297,1083,8406,729,10215,1599,7525,702,9828,2294,7687,712,10681,2481,7936,651,11069,1433,7432,639,9504,610,4541,531,5684,102,2110,315,2522,10166,53484,4957,68606,482,8833,856,10167,543,7600,925,9063,1661,16610,2196,20457,2538,15126,1989,19654,3668,15663,1714,21049,4055,16354,1498,21909,2456,15198,1374,19023,1139,8776,1016,10926,247,3321,478,4049,16787,107479,12045,136304
CED108,272,5651,576,6508,379,6206,639,7220,932,12481,1346,14758,1440,13276,1227,15941,1270,9438,871,11585,1014,8038,639,9690,638,5599,426,6661,301,2453,261,3012,60,672,100,833,6303,63818,6092,76218,347,5245,487,6078,435,5668,521,6627,1540,13184,1344,16069,2158,12465,1235,15852,1904,8973,783,11663,1575,7945,578,10097,899,6145,500,7547,289,2953,336,3582,42,1334,250,1634,9192,63924,6036,79150,617,10896,1068,12586,812,11873,1163,13850,2467,25670,2691,30830,3593,25740,2459,31791,3174,18417,1656,23248,2590,15987,1215,19794,1546,11741,926,14213,588,5406,596,6589,101,2012,354,2464,15493,127738,12136,155365
CED109,177,4009,182,4372,211,3822,157,4182,481,7768,522,8769,824,7991,480,9300,1347,8191,452,9987,1579,7176,349,9103,891,5918,291,7105,444,3771,289,4501,191,1536,232,1967,6142,50188,2955,59283,203,3797,169,4165,314,3641,161,4115,690,8094,494,9279,1266,8306,440,10011,2248,7995,410,10660,2320,7008,312,9639,1248,6469,313,8028,579,4524,404,5506,166,2453,517,3133,9024,52286,3214,64530,376,7807,351,8537,519,7463,312,8298,1170,15867,1014,18049,2090,16296,920,19311,3596,16187,860,20639,3902,14186,661,18747,2138,12380,605,15129,1022,8298,692,10008,357,3991,745,5094,15166,102475,6168,123810
CED110,253,4207,475,4938,220,3295,415,3928,590,6634,989,8214,930,6762,864,8556,1354,7574,759,9691,1757,8912,767,11430,1438,9753,721,11917,788,5530,589,6910,224,1794,348,2368,7559,54470,5933,67957,277,4051,408,4737,306,3212,283,3802,1045,6733,678,8450,1707,6939,653,9302,2403,7836,639,10877,2965,9280,697,12940,2116,9615,724,12455,886,6210,805,7896,180,2772,699,3654,11892,56633,5585,74113,532,8260,882,9679,529,6502,697,7729,1640,13365,1668,16670,2636,13702,1521,17863,3763,15409,1398,20566,4721,18189,1460,24368,3557,19364,1447,24373,1671,11742,1396,14808,405,4563,1049,6018,19451,111100,11517,142073
