CED_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,..,316,492,194,147,250,162,54,5,1627,..,143,531,505,666,1288,1713,1571,1002,7411,139,147,228,108,99,103,110,70,49,1064,12935,9333,10788,10996,10568,10285,7638,4509,2081,79131,..,494,8133,14201,13148,12596,9048,4490,1284,63398,..,606,2944,1792,1415,1015,413,120,15,8318,..,66,480,1278,1970,1552,756,487,403,6987,26500,..,..,..,..,..,..,..,..,26500,..,9670,..,..,..,..,..,..,..,9670,..,5481,5071,1408,884,515,94,3,0,13466,..,952,972,369,376,785,861,619,397,5336,..,715,1108,401,270,227,117,31,7,2868,..,917,1452,489,396,577,358,115,24,4326,..,282,1139,1143,1446,2444,2700,2201,1345,12706,284,267,412,215,196,190,183,118,69,1940,26783,19446,21709,21294,20115,19901,14530,8190,3547,155509
CED102,..,913,1738,429,280,287,196,60,17,3922,..,287,1276,995,906,1296,1492,1363,756,8372,134,176,274,143,109,145,92,72,56,1197,12754,9849,16523,12845,10880,9540,7297,4575,1851,86113,..,757,11126,15057,12201,10726,8515,4802,1283,64466,..,1032,5972,3097,1772,1130,469,99,7,13573,..,59,495,1300,2063,1533,748,681,457,7340,26048,..,..,..,..,..,..,..,..,26048,..,8576,..,..,..,..,..,..,..,8576,..,4646,4940,1672,1347,604,105,3,0,13325,..,1295,1429,458,433,833,876,671,395,6386,..,1264,1924,605,274,218,119,28,11,4440,..,2382,4343,1196,682,661,445,141,38,9890,..,623,2579,2220,1942,2416,2456,1898,1034,15171,265,319,494,302,235,234,161,115,74,2200,26315,20941,33308,25898,20946,18359,13894,8445,3309,171411
CED103,..,792,1259,339,192,210,164,55,20,3027,..,421,1644,1184,937,1357,1645,1422,975,9577,134,273,259,140,99,118,87,62,39,1217,15358,9866,16009,15328,11514,10692,7971,4325,2004,93064,..,278,11409,20830,14924,13398,9960,4574,1263,76639,..,1189,6102,2310,1359,869,374,117,17,12334,..,31,335,1369,1905,1420,616,449,363,6487,31365,..,..,..,..,..,..,..,..,31365,..,10415,..,..,..,..,..,..,..,10415,..,4003,4516,1248,780,442,107,0,0,11088,..,920,951,343,293,811,879,550,379,5128,..,565,1112,431,238,205,99,24,12,2687,..,1658,3017,823,447,461,356,118,34,6912,..,865,3265,2506,1940,2470,2542,1964,1291,16843,263,477,481,263,210,213,160,84,58,2204,31633,20394,31181,30130,22091,20296,15090,7884,3417,182112
CED104,..,91,132,49,94,123,91,44,18,635,..,79,209,207,296,718,1143,1354,733,4739,87,176,117,66,66,78,103,46,24,757,13478,8979,6043,10292,11376,10072,7857,4582,1613,74296,..,114,4288,15214,17085,14874,11301,5782,1161,69812,..,386,1668,1227,1454,1000,440,136,26,6340,..,25,209,808,1445,1049,430,323,222,4509,27968,..,..,..,..,..,..,..,..,27968,..,11811,..,..,..,..,..,..,..,11811,..,5277,4223,1037,627,298,47,4,0,11514,..,382,281,146,210,460,694,534,346,3056,..,239,359,159,151,134,83,29,12,1165,..,206,344,173,224,268,223,90,26,1554,..,155,447,538,724,1331,1730,1793,1010,7723,196,311,230,135,141,156,161,70,41,1446,28162,18915,12042,19435,22061,19578,15105,8759,2843,146893
CED105,..,510,559,215,216,272,139,31,13,1960,..,155,467,330,514,1065,1267,938,573,5303,149,173,191,97,98,118,103,63,46,1032,17526,11896,13870,11068,9972,9453,6612,3425,1450,85273,..,1289,11823,14120,12142,11471,7876,3802,859,63383,..,500,1859,1116,900,638,288,94,15,5410,..,146,1015,1800,2148,1669,871,526,355,8536,35562,..,..,..,..,..,..,..,..,35562,..,11514,..,..,..,..,..,..,..,11514,..,6609,6574,1866,1092,470,94,6,0,16718,..,1487,1447,568,654,1115,900,613,395,7172,..,1224,1904,755,609,414,150,24,0,5081,..,1795,3015,1170,862,749,351,85,18,8048,..,356,1217,1139,1276,2140,2229,1406,830,10587,314,342,437,273,250,203,171,94,62,2148,35871,25257,29282,22812,19938,18880,12923,6649,2537,174152
CED106,..,234,404,168,116,130,127,44,16,1248,..,160,617,586,571,960,1336,1694,1155,7081,136,273,136,91,72,83,85,55,31,959,15291,9676,7851,12829,12683,9795,7915,5251,2270,83556,..,171,5702,18182,18244,13951,10772,6275,1714,75009,..,515,2625,1512,1184,850,402,158,20,7272,..,27,181,1149,1957,1197,478,320,308,5612,31262,..,..,..,..,..,..,..,..,31262,..,13419,..,..,..,..,..,..,..,13419,..,3611,3219,960,603,332,70,0,0,8807,..,593,540,195,177,483,607,470,320,3387,..,337,486,205,123,116,63,22,7,1367,..,521,959,392,276,285,248,106,39,2829,..,347,1235,1219,1181,1579,1937,2206,1503,11209,255,446,246,163,148,158,147,85,45,1699,31520,19992,15205,23979,23901,18946,14715,9645,3962,161870
CED107,..,475,414,122,188,244,218,59,26,1752,..,326,673,520,939,1870,2236,2062,955,9579,224,307,223,133,130,182,161,96,45,1505,14810,8194,9448,9139,9885,10243,8699,5018,1717,77155,..,322,6294,9806,10890,11457,10390,5096,922,55174,..,1948,4783,2753,2309,1869,801,236,27,14729,..,310,1297,1779,1870,1002,548,416,317,7529,30209,..,..,..,..,..,..,..,..,30209,..,6033,..,..,..,..,..,..,..,6033,..,5053,1970,816,649,408,71,9,0,8978,..,668,403,188,291,487,542,363,171,3106,..,479,393,160,161,120,69,25,14,1423,..,963,966,322,436,567,476,156,35,3923,..,659,1577,1390,2208,3729,3996,3155,1318,18043,455,605,491,350,310,349,305,162,76,3104,30668,17035,18171,17567,19123,19988,17205,9607,2878,152243
CED108,..,246,376,163,190,211,163,54,3,1407,..,146,411,356,601,1015,1378,967,349,5223,190,187,191,95,94,102,124,49,24,1069,21299,11920,15057,14890,11060,9660,7156,3205,930,95177,..,531,12014,20979,13838,11611,8108,3018,487,70584,..,1253,3571,2065,1633,1003,353,111,5,10007,..,428,1691,2167,2365,1733,919,558,237,10097,43240,..,..,..,..,..,..,..,..,43240,..,11089,..,..,..,..,..,..,..,11089,..,7902,6344,1820,1012,414,67,4,0,17555,..,1499,1517,587,595,1149,1183,635,263,7442,..,623,975,414,263,202,107,26,4,2612,..,741,1215,488,507,496,351,118,16,3939,..,322,1042,1066,1477,2057,2215,1410,486,10077,414,367,446,299,244,178,178,75,38,2237,43653,24764,28822,29887,21937,18843,13478,5956,1544,188880
CED109,..,223,457,141,130,181,152,63,7,1351,..,153,753,646,758,1468,1819,1754,1214,8558,130,170,158,87,83,112,94,59,52,952,11855,7994,8822,9588,10277,9309,7657,5045,2287,72837,..,87,5059,11811,12874,11476,9406,5487,1469,57672,..,781,4717,2454,1725,1249,574,192,29,11726,..,25,339,1051,1888,1160,478,424,345,5719,24411,..,..,..,..,..,..,..,..,24411,..,8405,..,..,..,..,..,..,..,8405,..,5250,3485,881,755,435,89,4,0,10906,..,405,380,151,189,380,549,444,334,2830,..,202,294,133,105,119,58,21,9,942,..,463,1012,356,310,385,290,127,21,2963,..,311,1466,1366,1736,2624,2787,2430,1609,14331,281,307,310,200,188,183,151,88,57,1769,24696,16246,17065,18413,19778,18009,14380,9219,3871,141674
CED110,..,518,402,157,265,492,369,123,25,2353,..,238,534,449,982,2317,2984,2712,1447,11656,219,333,190,129,161,258,217,108,48,1670,13030,7756,7763,8621,10193,12044,11523,7075,2542,80552,..,198,4267,8100,9706,11684,12905,7381,1573,55821,..,1499,3797,2761,2655,2408,1550,469,90,15212,..,254,1248,2024,2344,1327,700,503,350,8740,25937,..,..,..,..,..,..,..,..,25937,..,5879,..,..,..,..,..,..,..,5879,..,4670,2191,1007,804,518,119,8,0,9320,..,762,418,190,310,629,701,439,269,3710,..,592,511,263,242,197,125,46,3,1977,..,893,953,396,604,971,785,284,54,4943,..,443,1137,1142,2052,4294,5168,3988,2003,20219,455,609,464,348,338,456,407,174,73,3318,26389,15792,14985,16235,19038,22487,22450,13279,4417,155075
CED111,..,1653,1062,141,159,207,141,49,17,3435,..,323,816,573,876,1649,2031,1849,1102,9224,163,582,242,124,102,127,100,69,30,1537,12754,10291,10147,9743,10018,9697,7720,4870,1986,77232,..,210,5815,11478,11558,11231,9156,5080,1155,55679,..,1545,5121,2664,2042,1436,642,175,31,13652,..,108,603,1428,2116,1243,482,435,359,6782,25956,..,..,..,..,..,..,..,..,25956,..,7651,..,..,..,..,..,..,..,7651,..,5208,2913,946,744,454,89,3,0,10366,..,607,491,187,247,447,455,360,220,3011,..,546,587,152,108,108,51,15,11,1577,..,3294,2815,408,376,465,284,124,28,7801,..,582,1708,1508,2075,3306,3361,2689,1486,16711,328,1025,491,283,245,248,195,94,52,2959,26281,20769,20550,19053,19510,18947,14717,8980,3334,152142
CED112,..,267,307,123,250,345,251,101,27,1665,..,155,418,387,729,1661,2302,2072,1112,8838,214,243,155,109,123,124,128,66,29,1200,14345,8882,9353,9670,10131,9987,8880,5377,2032,78661,..,232,5581,10489,10727,10469,9708,5184,1025,53418,..,1578,4956,2830,2373,1618,821,294,42,14505,..,283,1358,2089,2431,1424,723,485,350,9144,29116,..,..,..,..,..,..,..,..,29116,..,7076,..,..,..,..,..,..,..,7076,..,6415,2977,1053,764,480,129,3,0,11826,..,663,457,245,331,676,743,503,286,3901,..,655,540,246,232,194,84,44,4,1999,..,541,781,326,591,760,542,241,45,3812,..,303,953,1112,1722,3034,3669,3012,1548,15347,469,446,347,273,239,238,233,109,48,2410,29588,18188,17957,18647,19419,18889,16648,9876,3349,152561
CED113,..,248,332,112,174,266,183,67,21,1396,..,233,632,605,920,1819,2076,1589,742,8617,160,281,218,110,131,276,203,94,44,1525,12993,7155,8757,9281,10464,10760,8822,4445,1408,74083,..,216,5935,10334,11980,12436,10789,4981,885,57566,..,1361,4483,3089,2943,2384,1292,319,35,15899,..,142,792,1374,1637,940,494,345,227,5948,26519,..,..,..,..,..,..,..,..,26519,..,5976,..,..,..,..,..,..,..,5976,..,4691,2082,717,543,340,69,4,0,8452,..,527,358,146,225,381,450,312,167,2552,..,411,537,175,146,135,71,16,6,1505,..,584,942,319,380,558,380,155,42,3369,..,512,1490,1454,2157,3737,3790,2486,1067,16705,328,529,499,270,332,459,416,179,59,3081,26848,14964,17119,17885,20346,21370,17754,8793,2489,147571
CED114,..,460,447,130,188,265,193,73,14,1771,..,390,770,550,929,1834,2331,2178,1213,10198,200,303,187,110,110,186,202,101,42,1437,14310,8392,9347,9169,9837,10734,9151,5588,1948,78478,..,258,6255,10132,11000,12606,11288,6001,1143,58680,..,1831,4657,2577,2303,1867,948,280,35,14499,..,279,1145,1726,1794,952,465,388,256,7009,28970,..,..,..,..,..,..,..,..,28970,..,5981,..,..,..,..,..,..,..,5981,..,5274,2041,733,569,352,78,0,0,9043,..,747,419,216,277,460,447,290,148,3000,..,451,449,186,176,115,58,24,10,1464,..,920,1195,379,471,540,458,161,22,4153,..,794,1822,1441,2257,3772,4201,3229,1655,19162,431,593,480,298,287,353,380,172,74,3063,29401,17128,18455,17692,19133,21019,18320,10544,3333,155024
CED115,..,203,331,147,198,253,159,50,8,1360,..,199,554,449,536,1024,1272,958,419,5409,172,127,217,139,110,131,116,79,41,1143,13966,11096,11529,10775,10859,10694,7912,3688,1484,81995,..,768,7708,11248,12003,12671,9353,3862,830,58431,..,646,2063,1380,1237,837,345,69,20,6591,..,135,1057,2123,2651,1988,1153,629,457,10200,28734,..,..,..,..,..,..,..,..,28734,..,11222,..,..,..,..,..,..,..,11222,..,6703,7747,2554,1353,627,118,0,0,19107,..,1196,1088,657,856,1467,1345,774,510,7897,..,538,800,562,532,469,196,60,14,3178,..,454,888,506,560,635,380,119,24,3556,..,419,1316,1244,1456,2210,2161,1443,595,10839,370,275,458,303,268,270,186,104,59,2293,29098,22344,23136,20585,20914,21164,15235,7054,2505,162039
