CED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED101,3112,3449,1745,1100,1576,1206,754,12949,812,829,518,311,430,256,125,3285,862,813,431,290,345,208,102,3047,2856,2777,1729,1166,1541,803,396,11266,29,29,6,10,0,3,0,83,7676,7898,4434,2874,3900,2478,1377,30635,229,402,302,267,377,305,217,2094,111,194,151,102,123,60,50,784,86,141,104,84,104,44,22,589,331,456,316,253,323,168,95,1951,28,31,25,12,10,9,0,115,787,1224,900,719,938,591,387,5534,8459,9121,5336,3589,4839,3070,1761,36169
CED102,4061,3375,1665,1096,1422,1128,710,13459,941,825,528,341,402,239,89,3363,1043,862,464,241,331,169,74,3179,2390,2207,1397,878,1121,671,274,8948,36,51,14,6,13,5,0,124,8470,7316,4069,2565,3284,2218,1148,29069,272,449,327,233,410,340,238,2271,132,197,153,128,136,83,41,873,96,137,124,82,100,49,26,616,313,402,246,216,263,135,83,1655,50,45,23,9,10,4,6,134,857,1236,873,666,927,615,390,5554,9328,8545,4941,3236,4209,2833,1534,34625
CED103,5697,6350,3103,1754,2004,1548,1019,21476,741,666,381,288,393,222,97,2785,960,867,491,301,346,184,113,3248,2069,2052,1327,936,1338,827,409,8962,38,53,21,6,7,3,0,128,9502,9991,5321,3291,4085,2782,1632,36600,305,655,425,313,499,367,285,2851,79,103,77,51,95,42,27,479,69,114,82,66,66,51,19,471,156,277,227,185,228,129,77,1286,33,17,16,13,16,6,3,96,641,1172,819,629,906,593,413,5181,10146,11158,6143,3919,4989,3378,2043,41781
CED104,2412,4037,2402,1511,1963,1401,874,14597,632,801,564,387,518,304,144,3349,791,986,561,370,483,248,159,3591,2577,3387,2407,1752,2255,1284,654,14312,26,22,12,6,5,0,3,82,6434,9232,5947,4022,5235,3236,1838,35941,79,258,215,163,261,165,130,1278,48,86,66,61,111,52,34,453,46,72,63,55,69,41,28,378,182,334,331,236,355,161,86,1685,8,13,10,5,5,5,0,44,363,763,688,517,807,424,280,3838,6795,9990,6638,4544,6037,3660,2112,39785
CED105,5909,5768,3242,2058,2841,2176,1320,23321,1385,1363,842,521,628,315,111,5167,849,740,412,252,287,99,52,2690,2342,1831,904,554,631,243,102,6613,117,113,55,22,9,11,6,335,10603,9817,5462,3407,4409,2833,1589,38123,623,945,706,481,786,585,375,4504,274,401,238,186,210,88,51,1456,152,169,108,68,120,38,26,680,592,572,313,196,239,67,43,2021,69,87,53,38,33,13,4,289,1712,2162,1421,972,1383,791,500,8945,12322,11980,6881,4380,5790,3626,2088,47071
CED106,4099,5874,3274,1917,2348,1561,926,20004,678,871,623,457,628,396,196,3849,867,1131,766,467,589,342,200,4354,1826,2343,1752,1303,1988,1405,648,11260,25,34,15,3,3,3,8,92,7494,10256,6433,4146,5552,3702,1977,39559,193,569,472,340,556,375,245,2757,48,96,89,80,95,65,51,522,45,97,88,71,124,76,41,539,120,197,194,196,273,182,90,1245,6,16,5,8,4,0,5,50,412,970,851,696,1045,704,434,5119,7914,11231,7280,4844,6600,4409,2412,44680
CED107,569,504,235,170,191,72,22,1762,298,357,248,165,210,53,13,1333,339,363,231,150,183,39,21,1328,6359,6683,4041,2669,2975,645,169,23541,18,44,20,17,11,4,0,120,7588,7942,4780,3175,3563,805,225,28080,22,45,39,19,40,10,4,176,83,119,101,77,76,19,0,475,45,71,50,39,60,19,0,285,1459,2093,1326,939,982,166,42,7004,55,70,42,35,16,5,4,227,1662,2399,1553,1108,1168,217,55,8162,9249,10344,6330,4285,4728,1016,285,36245
CED108,7855,8302,4448,2568,3279,2148,1260,29859,923,757,390,237,279,101,43,2735,747,660,305,192,216,94,30,2238,2631,2250,1274,814,857,300,114,8240,83,59,37,34,12,4,3,227,12231,12030,6453,3843,4647,2648,1443,43296,526,714,617,426,572,328,228,3400,328,356,215,158,153,48,22,1275,130,198,106,80,98,38,13,665,1412,1577,898,653,618,131,65,5350,99,98,62,45,38,5,3,348,2491,2939,1889,1356,1474,554,331,11032,14722,14976,8342,5200,6121,3199,1777,54329
CED109,1266,1354,728,457,644,441,284,5176,748,828,480,325,450,232,113,3178,892,820,451,311,386,203,78,3136,4335,4196,2513,1731,2255,1222,556,16821,22,19,9,10,6,0,0,69,7263,7221,4177,2827,3747,2090,1036,28373,85,148,118,101,151,92,55,754,100,159,108,94,130,74,49,718,45,93,87,71,104,47,25,475,289,554,451,338,464,201,116,2419,20,31,12,7,7,6,0,72,538,982,775,612,867,418,245,4443,7806,8210,4957,3442,4612,2510,1285,32818
CED110,577,657,376,222,313,79,32,2260,397,494,327,201,255,55,17,1739,433,468,321,194,210,37,6,1677,4303,4678,3081,2076,2394,521,166,17215,31,32,22,11,14,0,0,111,5741,6325,4129,2700,3185,697,224,23003,47,99,65,60,88,34,16,420,118,189,138,104,123,22,11,707,46,106,73,53,89,14,5,385,1428,1882,1372,1021,1096,174,55,7024,74,83,51,30,28,8,0,271,1726,2354,1692,1267,1417,253,91,8809,7464,8680,5816,3969,4609,951,316,31817
