CED_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
CED101,6305,22031,18509,5884,3021,55752,800,56556
CED102,9927,29707,16859,4837,2469,63798,1113,64902
CED103,7961,32212,21323,5464,2554,69512,829,70339
CED104,1934,15337,20244,6911,4944,49377,406,49783
CED105,6629,20493,16512,6042,3567,53240,1445,54690
CED106,4436,23531,21568,5891,2743,58171,495,58668
CED107,3439,20639,23213,8904,5452,61643,1083,62731
CED108,4864,22091,21673,7072,3711,59417,1148,60567
CED109,3744,20715,20812,6231,3806,55305,570,55876
CED110,3989,26389,23546,7605,3976,65507,1229,66737
CED111,5453,22578,21832,6862,3943,60663,733,61396
CED112,3560,21291,21922,7441,4690,58899,881,59780
CED113,2243,19482,23463,9117,5742,60039,843,60888
CED114,3599,22141,23986,8728,5174,63627,1337,64963
CED115,6191,19815,15869,6356,3902,52122,1117,53241
CED116,2723,23731,24611,7799,4498,63359,1018,64375
CED117,10556,32136,14386,2696,1030,60810,637,61444
CED118,3519,22544,24956,7515,3731,62264,810,63077
CED119,2267,15334,21336,7006,4446,50386,402,50790
CED120,1881,15316,22867,9839,7870,57770,734,58501
CED121,2864,20022,24118,9359,5980,62333,804,63147
CED122,11229,31963,18813,4504,1977,68480,1052,69536
CED123,4536,22369,23139,8011,5166,63225,875,64098
CED124,2665,22442,22833,8011,4990,60940,1483,62418
CED125,3912,21846,25555,8452,4914,64677,927,65604
CED126,3001,18081,21782,7077,4331,54262,559,54824
CED127,2668,17419,19846,7484,5628,53044,544,53591
CED128,4764,17826,18321,7010,4507,52429,981,53405
CED129,1832,18427,26181,8256,4600,59301,486,59786
CED130,3513,21048,21600,7969,4751,58888,1163,60053
CED131,5287,24355,24206,6784,3398,64036,753,64787
CED132,9897,33902,18019,3736,1569,67126,589,67719
CED133,2943,23153,24084,8534,4599,63308,1235,64545
CED134,3559,19169,19749,7416,4463,54349,1331,55677
CED135,9949,32073,18768,4989,2566,68346,1367,69717
CED136,3000,22482,25553,8826,5159,65027,823,65852
CED137,10363,35970,20798,4906,2316,74361,1132,75494
CED138,3301,23994,23883,7467,4149,62801,1137,63929
CED139,3569,20562,22067,8379,4997,59573,1172,60743
CED140,4363,22903,20856,6583,3661,58365,828,59198
CED141,3072,20629,22828,7327,4163,58023,684,58712
CED142,35647,43317,10629,1475,545,91606,1793,93398
CED143,5312,25502,19233,4782,2376,57215,520,57730
CED144,7543,24180,16816,5425,3088,57061,1242,58304
CED145,11185,28524,15108,3064,1412,59300,821,60119
CED146,3539,16582,21156,8830,5545,55656,993,56648
CED147,3292,20495,23826,8465,5263,61342,798,62141
CED194,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0
CED201,2161,17614,24405,8094,4576,56848,575,57422
CED202,2966,20285,22140,7977,4880,58249,789,59035
CED203,2789,20048,22349,8073,4996,58254,806,59059
CED204,2985,17891,22960,8473,5180,57493,937,58429
CED205,2485,16570,22636,8011,4665,54365,1014,55380
CED206,1587,15274,23364,9061,6495,55781,527,56307
CED207,5038,24569,25115,7030,3238,64998,795,65793
CED208,7525,28731,18610,4582,2211,61658,818,62474
CED209,1324,17039,24607,7573,4389,54934,620,55553
CED210,4308,23293,23173,6709,3659,61143,847,61989
CED211,3051,22145,25321,6924,3813,61255,672,61926
CED212,3161,20170,23678,7467,4061,58539,756,59295
