CED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED101,16,88,11,8,7,0,122,4,189,20,8,4,3,220,26,1356,130,45,12,10,1575,37,587,192,101,13,3,932,43,265,64,85,10,0,466,129,258,97,94,48,0,626,722,206,65,209,45,3,1238,3340,142,83,453,44,20,4081,3530,93,24,457,54,5,4162,2066,40,5,216,21,0,2349,1156,5,0,95,3,4,1265,456,0,0,62,8,0,522,136,0,0,14,3,0,155,140,0,0,30,0,0,175,231,190,24,168,48,49,709,12033,3394,734,2042,307,97,18603
CED102,17,20,17,12,4,0,75,6,41,13,19,5,3,85,48,437,76,68,17,4,642,77,187,123,111,25,0,527,93,68,50,115,20,0,348,312,118,51,169,41,0,694,1113,52,46,298,44,3,1560,4904,59,58,637,84,13,5739,6471,34,34,658,105,15,7313,3765,21,8,431,60,3,4297,1605,5,6,232,23,0,1875,588,4,0,97,8,0,696,281,0,0,38,0,0,322,283,0,0,40,7,0,329,349,68,29,251,52,66,819,19920,1115,522,3166,493,107,25314
CED103,18,57,6,9,0,0,93,0,63,20,4,0,0,95,41,388,70,51,11,0,560,79,358,201,137,25,6,810,83,147,70,118,27,0,437,233,164,109,154,194,3,863,1485,114,70,261,87,8,2020,5567,94,70,641,94,12,6486,6213,73,40,640,70,10,7039,4338,24,13,377,33,0,4795,1816,5,8,225,26,5,2087,871,0,3,115,9,0,998,467,3,0,57,0,4,528,525,0,0,84,4,0,618,331,113,48,242,57,67,848,22055,1586,737,3127,639,122,28274
CED104,0,7,6,9,6,0,25,0,8,10,9,0,0,23,4,41,51,29,15,0,143,12,68,52,33,11,0,165,13,18,34,53,10,6,138,59,30,68,80,24,6,267,195,29,32,161,27,0,444,778,34,56,227,26,6,1127,1230,6,23,226,19,4,1507,1173,8,3,182,11,4,1383,1015,0,0,141,6,0,1159,620,0,0,55,4,0,679,339,0,0,46,0,0,393,289,0,0,51,9,0,344,99,29,21,117,32,16,309,5814,278,354,1427,196,49,8117
CED105,19,119,20,12,6,0,168,6,314,40,5,3,0,371,69,1330,121,64,28,11,1627,74,723,170,128,41,6,1139,109,307,63,147,28,0,650,311,373,117,148,41,5,991,1201,211,133,316,102,10,1965,4551,221,145,854,218,10,6000,4007,129,44,728,273,17,5195,1757,27,23,286,104,9,2213,670,0,7,114,27,4,822,244,0,0,48,13,0,303,69,3,0,13,0,0,79,60,0,0,23,8,0,95,299,253,32,301,129,92,1106,13431,4007,901,3191,1020,173,22730
CED106,16,3,8,4,0,0,33,0,14,13,3,0,0,31,16,44,32,28,3,0,122,14,69,66,45,7,3,203,22,26,23,63,3,7,138,54,21,37,73,20,7,205,218,17,28,123,22,5,408,2097,24,34,256,50,11,2472,3144,19,12,341,43,5,3561,2261,8,6,234,28,0,2532,1122,0,0,173,18,4,1317,843,0,0,85,5,5,938,691,0,3,79,5,0,776,1891,0,0,248,16,6,2160,211,24,19,154,41,33,469,12596,266,273,1900,254,71,15367
CED107,12,57,18,40,46,0,185,12,112,28,22,13,0,185,133,595,114,193,41,7,1090,443,408,124,295,52,7,1324,543,187,59,371,35,7,1198,1417,209,56,490,44,9,2229,2984,224,55,672,78,11,4020,3384,61,19,482,46,13,4014,1417,10,3,146,20,0,1601,242,0,3,38,4,0,290,39,0,0,12,0,0,60,5,0,0,11,0,0,20,6,0,0,0,0,0,8,20,0,0,12,3,0,33,183,150,25,202,125,56,736,10831,2013,513,2989,528,114,16988
CED108,19,108,7,12,0,0,149,8,237,15,4,8,5,266,22,1440,47,54,14,11,1591,57,1004,112,78,25,6,1288,102,447,38,90,9,3,692,340,496,54,150,40,9,1085,2124,589,52,363,53,11,3206,5957,581,92,965,167,26,7793,3208,82,19,410,83,13,3819,1424,8,3,137,21,3,1604,334,3,0,36,5,0,377,49,5,0,11,3,3,72,15,0,0,9,0,0,18,36,0,0,5,3,0,43,247,305,31,149,49,51,834,13938,5323,476,2470,478,143,22829
CED109,12,42,5,9,3,0,63,0,60,4,0,0,0,64,7,486,41,29,5,4,573,18,124,61,37,5,5,254,27,53,23,46,10,5,162,60,61,28,59,86,0,296,418,45,42,144,37,0,686,2262,42,26,336,51,4,2717,3075,28,11,395,20,0,3534,2174,14,0,251,11,3,2454,1347,0,5,160,6,0,1519,760,6,0,105,4,0,878,470,0,0,51,0,0,525,660,0,0,89,4,0,753,159,64,22,139,30,27,439,11454,1017,263,1846,290,58,14930
CED110,20,20,15,43,14,3,113,8,24,21,14,17,0,81,36,144,124,132,69,10,512,140,478,494,221,97,15,1443,248,142,137,284,69,8,887,892,214,192,452,78,23,1854,2474,157,138,786,81,20,3658,4171,149,148,1021,97,14,5602,2358,25,24,393,38,4,2851,729,15,3,123,5,0,885,231,4,5,37,4,0,282,42,0,0,18,5,0,64,14,0,0,5,0,0,25,19,0,3,15,5,0,37,173,122,87,191,72,54,707,11561,1499,1385,3741,660,150,19002
