CED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED101,42,251,2889,12614,10586,4011,873,328,31592,56,212,682,1537,252,66,3,53,2854,10,380,876,2788,2375,413,31,88,6947,63,590,1554,4322,2621,477,34,139,9802,83,720,1097,242,29,11,0,63,2254,27,360,3769,1123,54,0,4,83,5415,37,582,4018,1046,52,7,0,80,5819,0,261,487,168,3,0,0,24,942,8,43,142,60,25,25,9,7,314,156,1963,9520,2647,154,42,13,255,14750,4,64,156,67,19,3,0,8,320,3,21,23,24,15,6,0,3,85,260,2891,14137,19672,13398,4538,925,736,56556
CED102,59,273,3425,13010,7571,2968,851,373,28545,33,137,1477,1484,200,28,4,44,3416,0,143,501,1332,702,106,19,42,2842,37,282,1981,2820,898,136,22,83,6256,72,667,1626,288,52,21,9,52,2787,46,614,4074,593,38,0,6,104,5478,92,1713,8220,1289,64,3,5,171,11555,45,2104,5697,1235,69,0,0,124,9274,4,83,157,90,41,25,9,11,415,264,5176,19764,3492,258,52,32,464,29508,32,127,186,70,17,10,4,18,454,4,29,51,16,14,3,3,24,142,394,5892,25403,19411,8757,3168,909,962,64902
CED103,42,253,2102,10985,11533,4900,1221,282,31313,42,220,834,1947,178,54,12,33,3326,17,282,2011,2524,1126,202,21,72,6248,58,501,2844,4473,1301,250,35,105,9578,50,554,808,266,24,14,7,35,1757,60,1349,5891,779,30,27,3,113,8242,66,2652,7179,1325,39,0,4,121,11391,85,3315,3521,525,14,0,0,82,7548,7,43,99,31,32,21,10,9,250,268,7915,17491,2922,143,59,29,365,29184,3,31,40,40,3,0,0,9,135,6,28,38,13,7,25,0,13,128,377,8732,22516,18427,12992,5238,1286,766,70339
CED104,54,374,1745,10198,19209,7286,1908,279,41050,0,174,527,465,41,10,3,22,1246,10,133,418,1987,433,41,11,17,3047,6,303,942,2448,475,48,14,47,4294,5,219,430,265,18,4,0,16,949,69,113,435,41,0,0,3,12,671,21,534,1383,303,4,0,0,19,2269,0,17,71,17,0,0,0,0,108,5,46,105,30,20,16,8,3,238,101,921,2426,655,41,23,11,51,4235,8,24,53,27,9,3,6,0,119,3,21,31,7,10,7,0,9,84,172,1646,5193,13339,19738,7373,1937,381,49783
CED105,56,375,3621,12942,8915,3121,978,665,30677,37,199,377,688,175,26,3,35,1539,7,292,801,2804,1704,175,17,120,5924,47,487,1180,3491,1880,197,23,159,7460,156,847,2104,446,74,8,3,118,3755,57,265,3938,874,15,0,4,133,5292,75,305,2679,533,16,6,0,81,3695,13,207,1682,567,32,0,0,78,2581,3,74,311,189,100,48,23,29,778,303,1701,10712,2616,241,57,35,438,16104,5,26,124,87,16,8,4,7,279,5,24,71,26,14,3,0,24,170,419,2614,15702,19164,11069,3383,1043,1293,54690
CED106,26,159,1073,8142,15197,8103,1694,212,34611,0,41,128,204,28,10,3,0,423,7,84,332,1347,285,36,9,21,2132,9,131,465,1556,315,49,9,27,2555,16,314,1160,741,39,11,5,36,2316,59,541,3013,940,27,5,4,56,4644,19,1505,5120,2349,63,4,4,75,9140,73,1318,2893,731,25,0,0,52,5087,0,25,52,7,11,25,12,3,136,169,3698,12238,4769,169,35,18,217,21316,3,64,49,12,6,0,0,3,141,4,20,10,8,5,0,0,5,47,211,4068,13840,14486,15690,8192,1722,459,58668
CED107,146,860,5759,23399,19589,4055,972,843,55622,30,519,2119,1115,119,7,7,127,4053,5,201,220,211,48,9,0,23,715,34,717,2344,1325,166,15,14,153,4766,27,365,862,166,26,3,5,51,1509,0,22,45,3,0,0,0,5,74,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,20,9,12,6,0,0,7,45,30,403,918,180,38,5,6,56,1631,33,103,85,103,91,31,8,64,521,7,37,32,48,31,3,5,19,190,252,2120,9136,25056,19917,4110,1006,1128,62731
CED108,73,473,2977,23226,17088,4243,831,846,49761,20,149,552,1260,217,25,8,53,2283,22,225,670,2825,1263,93,15,104,5216,40,375,1223,4084,1482,120,25,153,7494,29,351,106,40,6,0,3,30,566,0,49,326,29,0,0,0,17,413,9,163,1344,240,3,0,0,40,1792,0,0,0,0,0,0,0,0,0,6,27,210,94,36,17,8,23,419,39,587,1980,405,52,17,13,105,3189,0,6,14,21,5,0,0,0,42,3,11,26,15,15,7,0,5,80,155,1445,6220,27745,18642,4384,865,1115,60567
CED109,18,174,1543,10149,11525,4406,836,244,28901,34,199,952,1448,113,19,0,38,2806,3,273,1274,4095,807,110,13,63,6640,37,478,2226,5538,925,128,16,101,9443,23,966,1232,353,36,4,0,37,2646,10,749,4864,1038,15,0,4,60,6739,69,851,4046,1073,22,5,0,74,6139,20,264,956,305,10,0,0,10,1564,3,23,37,26,14,14,0,0,116,124,2848,11140,2789,92,18,8,181,17207,10,53,109,43,15,5,3,10,244,8,12,27,18,10,0,0,3,80,205,3559,15045,18538,12559,4559,865,546,55876
CED110,184,1023,5861,23321,15742,3145,715,788,50771,21,369,2661,1763,156,19,10,144,5145,7,154,771,1340,178,35,4,41,2532,30,516,3433,3109,336,55,11,189,7680,44,798,2566,842,56,3,6,119,4428,7,109,774,186,5,4,0,22,1109,14,189,688,328,16,0,0,26,1263,5,13,141,93,0,0,0,4,252,8,34,24,20,26,3,3,3,107,72,1135,4189,1463,95,13,12,176,7162,80,291,295,110,29,3,4,53,877,7,54,84,53,18,5,0,26,255,376,3019,13871,28057,16220,3226,751,1230,66737
