CED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED101,7461,14579,3652,429,26113,4791,689,31592,633,700,329,30,1692,1113,52,2854,1449,2974,940,81,5447,1362,139,6947,2079,3670,1273,111,7136,2478,197,9802,378,320,212,28,931,1238,85,2254,1282,1148,764,112,3306,1856,253,5415,1523,1344,666,143,3677,1777,373,5819,298,156,81,24,558,314,67,942,81,81,37,7,205,96,13,314,3553,3051,1754,313,8679,5283,786,14750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,64,35,6,172,118,30,323,65,64,35,6,172,118,30,320,12,11,8,0,38,39,8,85,13177,21379,6730,862,42142,12705,1709,56556
CED102,6689,12465,3681,424,23255,4381,906,28545,800,1107,427,51,2384,883,154,3416,603,1191,384,40,2215,535,94,2842,1404,2301,806,89,4598,1413,244,6256,558,443,242,52,1299,1269,218,2787,1249,1143,637,128,3152,1929,394,5478,3153,2633,1030,240,7061,3538,953,11555,3262,1849,563,237,5909,2233,1131,9274,118,102,47,6,272,119,25,415,8343,6163,2519,672,17697,9090,2716,29508,4,0,3,4,13,52,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,56,30,15,177,168,39,391,86,56,35,16,194,218,44,454,29,24,6,7,62,61,18,142,16549,21009,7045,1201,45807,15164,3932,64902
CED103,7504,15381,3053,342,26282,4205,828,31313,735,1149,382,25,2284,976,65,3326,1387,2552,651,85,4675,1368,215,6248,2118,3703,1029,109,6959,2345,275,9578,335,206,125,19,685,1023,49,1757,1759,1568,685,162,4178,3571,491,8242,3264,3128,924,194,7504,3204,685,11391,2624,1496,472,151,4742,2301,497,7548,57,55,33,3,146,86,17,250,8039,6453,2231,533,17256,10184,1746,29184,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,9,5,68,46,15,125,32,22,9,5,70,51,15,135,22,17,13,0,56,59,20,128,17720,25587,6336,985,50622,16844,2868,70339
CED104,10797,21339,3513,260,35909,4619,513,41050,348,164,75,3,591,645,10,1246,661,1263,378,23,2322,696,25,3047,1008,1428,453,23,2915,1344,35,4294,208,112,65,0,386,540,24,949,154,105,50,13,312,332,27,671,597,724,212,19,1551,663,48,2269,26,35,5,0,71,39,4,108,64,61,21,0,153,77,7,238,1041,1032,354,41,2471,1652,107,4235,5,0,0,0,8,4,0,11,9,3,3,0,18,30,3,52,0,0,0,0,0,0,0,0,12,21,5,0,33,23,0,53,24,29,9,0,57,51,6,119,18,12,8,0,37,48,0,84,12887,23840,4334,325,41392,7725,669,49783
CED105,5638,14230,4759,527,25155,4512,1005,30677,223,525,222,9,982,507,52,1539,969,2695,992,81,4743,972,206,5924,1198,3219,1218,95,5721,1480,257,7460,637,734,429,103,1899,1569,281,3755,963,1619,761,141,3480,1448,357,5292,855,1107,429,103,2500,887,310,3695,700,867,220,88,1868,388,327,2581,132,299,103,14,551,171,60,778,3290,4632,1938,447,10306,4460,1341,16104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,80,37,8,172,71,34,279,42,80,37,8,172,75,34,279,31,44,27,3,104,53,15,170,10193,22203,7973,1078,41450,10587,2649,54690
CED106,8333,19056,2938,215,30541,3675,397,34611,123,117,48,4,291,123,11,423,596,697,231,12,1538,562,33,2132,717,807,276,23,1829,684,40,2555,645,294,174,23,1139,1113,56,2316,1060,984,513,78,2641,1796,206,4644,2469,2727,1054,114,6369,2508,260,9140,1334,1656,489,79,3558,1320,205,5087,26,46,15,0,86,37,4,136,5535,5704,2255,301,13798,6781,739,21316,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,35,36,13,0,83,44,3,134,42,36,13,0,87,52,3,141,5,14,5,0,28,18,3,47,14632,25619,5492,529,46271,11208,1189,58668
CED107,16553,16583,6706,549,40388,13756,1478,55622,714,331,377,48,1469,2422,164,4053,92,53,92,10,247,433,34,715,808,380,470,56,1719,2859,194,4766,220,71,92,17,394,1041,71,1509,8,0,6,0,18,47,13,74,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,14,3,3,0,23,24,0,45,242,82,97,20,437,1111,79,1631,22,0,5,0,30,80,5,105,16,3,0,0,21,53,0,80,0,0,0,0,3,10,0,16,88,91,23,7,214,97,16,319,132,101,31,7,266,238,17,521,45,36,14,4,97,74,7,190,17782,17174,7319,628,42907,18041,1781,62731
CED108,9388,23200,7947,803,41338,7177,1243,49761,372,805,302,39,1516,700,61,2283,736,2461,923,66,4185,875,149,5216,1111,3271,1226,104,5705,1584,212,7494,61,37,25,7,140,409,15,566,42,65,46,3,162,239,15,413,375,552,205,41,1173,524,100,1792,0,0,0,0,0,0,0,0,96,116,57,6,277,114,24,419,582,770,336,61,1751,1290,160,3189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,10,6,0,12,8,11,3,0,25,0,4,33,7,16,10,0,30,3,4,42,14,30,6,0,52,23,0,80,11104,27286,9517,974,48872,10079,1616,60567
CED109,7431,14266,2741,251,24696,3801,402,28901,694,555,281,31,1554,1193,57,2806,1848,2004,785,45,4684,1835,127,6640,2534,2563,1067,74,6239,3023,184,9443,614,301,206,16,1135,1384,121,2646,1727,960,807,75,3564,2836,334,6739,1871,912,565,78,3431,2460,250,6139,502,196,143,13,856,648,60,1564,31,36,10,4,76,38,5,116,4744,2397,1734,187,9064,7376,773,17207,10,0,3,0,18,39,3,61,3,0,0,0,3,5,4,11,0,0,0,0,0,0,0,0,45,27,24,0,100,54,22,176,59,32,33,0,121,99,23,244,19,16,11,0,43,32,5,80,14795,19273,5581,515,40164,14327,1386,55876
CED110,16592,13586,6636,501,37312,11875,1583,50771,1227,409,611,38,2285,2671,190,5145,660,337,385,34,1410,984,139,2532,1887,747,990,72,3692,3658,325,7680,742,317,519,65,1637,2589,195,4428,242,80,113,7,446,621,38,1109,357,57,87,9,513,688,60,1263,105,14,14,0,137,110,3,252,30,22,5,0,61,42,4,107,1483,487,745,80,2792,4057,308,7162,63,15,13,0,87,136,4,233,134,8,23,4,173,331,25,532,0,0,4,0,4,6,0,10,23,12,18,0,50,38,9,104,229,40,53,4,324,512,40,877,66,29,21,3,120,120,15,255,20255,14885,8440,659,44240,20219,2276,66737
