CED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED101,65498,69611,135106,22579,17325,39906,8279,13203,21481,6384,5300,11686,2154,1666,3816,39394,37496,76895,22948,28618,51568,5.5,4.4,5,60.1,53.9,56.9,56.9,51.5,54.1,5262,5295,10561,902,1704,2602,12758,14921,27680,6069,7866,13934,10886,5135,16019,480,861,1337,1162,1802,2964,12524,7794,20322,65343,68471,133816,10259,10051,20313,45007,47949,92958,26662,26998,53663
CED102,76315,77837,154148,26292,20765,47052,11499,14683,26181,6269,5634,11902,2987,2137,5121,47043,43213,90257,24554,29986,54543,6.3,4.9,5.7,61.6,55.5,58.6,57.7,52.8,55.2,7248,7930,15171,1094,1660,2752,16497,18634,35129,7219,8135,15360,9449,4776,14228,446,769,1219,1121,1738,2853,11016,7284,18301,69114,70584,139698,15469,14877,30347,44688,46791,91480,35620,34706,70325
CED103,76727,81856,158584,33037,24920,57954,10641,15756,26400,5088,5420,10506,2651,2465,5123,51412,48563,99979,22118,29905,52022,5.2,5.1,5.1,67,59.3,63,63.6,56.3,59.8,12282,12180,24458,1480,2525,4011,21737,24195,45931,6634,8291,14921,8245,4212,12445,433,707,1143,1066,1840,2902,9737,6759,16492,72360,76023,148383,16767,17195,33962,43172,45744,88920,41478,43162,84642
CED104,60206,63609,123813,26808,17625,44431,8579,14882,23467,3219,3857,7079,1655,1299,2956,40262,37670,77930,18156,23871,42022,4.1,3.5,3.8,66.9,59.2,62.9,64.1,57.2,60.6,7931,7000,14927,1451,2363,3807,14703,17186,31892,5520,7586,13101,9544,4221,13768,385,698,1087,1148,1944,3096,11084,6865,17945,64813,66817,131631,7905,7954,15855,47048,48405,95447,22603,23257,45855
CED105,76721,73283,150001,17405,11950,29357,9186,10339,19524,7196,4807,11994,3751,2425,6168,37531,29511,67044,32312,37578,69887,10,8.2,9.2,48.9,40.3,44.7,44,37,40.6,4214,3569,7784,539,926,1467,10504,10911,21410,5783,7067,12849,9016,4828,13849,492,873,1364,1026,1420,2450,10542,7126,17668,74928,72860,147793,12566,11186,23754,48783,49119,97900,32954,29659,62609
CED106,64957,71856,136812,29033,19771,48806,9304,15399,24703,3010,4070,7083,2011,1688,3698,43358,40932,84288,19783,28736,48513,4.6,4.1,4.4,66.7,57,61.6,63.7,54.6,58.9,12292,11215,23504,1794,2807,4604,20969,23073,44045,5202,7732,12934,4442,2555,6995,293,487,782,900,1610,2509,5635,4649,10285,66880,71763,138642,12028,12809,24832,43652,47259,90909,31569,33852,65422
CED107,67700,68606,136304,28972,17578,46554,7806,16877,24689,2283,2745,5023,1769,1410,3176,40828,38618,79440,22153,25475,47627,4.3,3.7,4,60.3,56.3,58.3,57.7,54.2,56,2028,2404,4431,749,1712,2460,5935,10049,15986,4175,6919,11097,18824,10256,29080,751,1362,2111,1026,1916,2946,20603,13536,34136,64514,65947,130461,11241,11760,23004,42134,42519,84651,29299,31220,60518
CED108,76218,79150,155365,27836,20260,48092,9233,12888,22129,6633,5167,11802,3151,2689,5841,46854,41004,87867,23999,32722,56722,6.7,6.6,6.7,61.5,51.8,56.6,57.3,48.4,52.8,4965,5067,10031,684,1189,1869,11830,14693,26520,6051,6750,12797,11966,7773,19740,595,1118,1709,1107,1540,2647,13670,10424,24092,79112,80608,159725,12973,13245,26219,47996,49259,97260,37405,38319,75722
CED109,59283,64530,123810,24778,17176,41949,8548,14462,23012,3940,4829,8775,1475,1147,2618,38743,37611,76358,17852,24011,41860,3.8,3,3.4,65.4,58.3,61.7,62.9,56.5,59.6,3676,3805,7484,936,1712,2649,10692,13868,24559,5845,8488,14328,13992,5533,19526,407,841,1243,1290,2262,3554,15684,8637,24321,58970,62463,121431,9652,10200,19858,39729,42623,82354,25451,26860,52311
CED110,67957,74113,142073,21021,14412,35432,10104,17809,27912,2147,2597,4746,2326,1754,4079,35604,36571,72174,27780,32588,60368,6.5,4.8,5.7,52.4,49.3,50.8,49,47,47.9,1902,2320,4216,900,1872,2781,6457,10065,16518,4684,8063,12749,18490,10895,29389,752,1471,2224,1196,2185,3383,20441,14558,34999,64065,69103,133167,10928,12059,22983,41397,44227,85628,29969,33511,63486
