CED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED101,65343,68471,133816,1868,1822,3689,7464,7351,14818,118,87,204,73,61,131,36,33,68,14,19,33,10,14,22,16,20,31,19,23,47,0,0,0,7749,7615,15360,468,487,961,171,126,305,10259,10051,20313,3373,3690,7064,78979,82216,161193
CED102,69114,70584,139698,3188,2902,6079,10701,10475,21174,194,161,360,108,141,250,39,31,69,33,30,60,31,29,63,21,13,28,50,46,98,0,0,0,11182,10919,22096,839,868,1709,264,192,454,15469,14877,30347,4833,4717,9546,89411,90173,179587
CED103,72360,76023,148383,3352,3521,6876,11421,11545,22967,290,226,511,188,208,396,70,62,132,61,62,117,17,17,35,20,18,43,61,60,122,0,0,0,12119,12205,24328,1127,1322,2447,168,147,313,16767,17195,33962,3361,3482,6844,92482,96700,189185
CED104,64813,66817,131631,1406,1436,2842,5721,5714,11433,85,84,173,57,73,129,24,27,55,20,20,37,5,7,12,6,3,8,33,24,47,0,0,0,5952,5952,11898,472,497,969,78,72,145,7905,7954,15855,1901,2082,3989,74620,76854,151468
CED105,74928,72860,147793,2843,2423,5270,8262,7415,15677,157,90,255,63,66,134,22,31,56,24,19,42,8,9,25,12,9,23,18,8,26,0,0,0,8581,7650,16233,815,893,1707,329,218,546,12566,11186,23754,7713,6780,14493,95215,90831,186044
CED106,66880,71763,138642,2317,2584,4901,7973,8447,16418,179,156,328,123,113,233,31,28,56,39,36,75,14,24,37,11,3,11,44,54,99,0,0,0,8411,8856,17268,1185,1270,2460,108,100,202,12028,12809,24832,1999,2316,4316,80906,86893,167793
CED107,64514,65947,130461,3692,3911,7605,6538,6870,13408,129,128,258,267,276,536,34,36,71,41,35,76,26,24,44,30,31,61,44,41,78,0,0,3,7104,7441,14545,243,249,498,195,163,356,11241,11760,23004,7921,5886,13803,83674,83594,167266
CED108,79112,80608,159725,2095,2155,4251,9733,9951,19682,154,121,272,123,135,252,28,31,60,19,32,47,9,12,18,16,3,23,29,39,64,0,0,0,10103,10320,20422,538,595,1136,236,167,407,12973,13245,26219,6519,6686,13209,98606,100547,199149
CED109,58970,62463,121431,1844,1961,3808,6986,7398,14381,84,90,174,111,124,238,20,20,39,32,35,63,4,3,5,14,13,31,26,33,53,0,0,0,7271,7712,14987,422,429,841,114,97,214,9652,10200,19858,3114,3324,6440,71736,75984,147724
CED110,64065,69103,133167,2884,3223,6106,6438,7139,13578,273,313,586,493,540,1033,41,41,81,76,63,140,34,34,67,35,40,77,86,83,170,6,4,4,7484,8260,15737,290,319,603,272,255,531,10928,12059,22983,6435,6101,12540,81430,87265,168693
