CED_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
CED101,189,1271,5293,5942,5323,3770,740,52,0,22579,694,1374,1789,1315,1181,1280,539,104,9,8279,430,774,1205,982,948,975,274,34,0,5626,21,105,235,175,111,79,29,4,0,756,1333,3522,8518,8414,7558,6111,1584,196,9,37241,52,199,360,277,246,219,35,0,0,1393,171,178,145,69,51,109,40,0,0,760,217,380,507,346,293,328,79,3,0,2154,1554,3902,9028,8757,7847,6439,1657,203,9,39394,3041,1546,1773,1504,1697,3173,5238,3481,1502,22948,154,275,663,516,355,395,329,268,205,3150,4748,5722,11459,10778,9903,10000,7221,3956,1708,65498,117,1386,4576,4231,4007,2614,380,15,0,17325,860,1509,2366,2866,2714,2200,620,62,3,13203,470,673,1016,922,750,706,191,26,3,4763,18,65,182,107,98,46,14,9,0,538,1467,3628,8143,8129,7571,5573,1215,111,5,35835,32,107,224,134,153,134,13,0,0,787,147,149,146,136,123,148,32,0,0,877,176,250,372,271,270,275,49,0,0,1666
CED102,156,1432,7893,7343,5319,3391,706,42,0,26292,646,2035,3404,2021,1463,1296,551,70,7,11499,311,707,1334,988,804,814,252,27,3,5243,30,132,362,217,152,93,42,4,0,1030,1144,4307,12996,10577,7736,5598,1544,143,13,44058,48,250,598,384,333,252,28,4,0,1892,162,326,268,127,62,106,37,4,0,1093,213,577,867,513,391,355,62,5,0,2987,1350,4888,13865,11086,8126,5950,1611,149,13,47043,2832,1914,2732,1944,1924,2917,5006,3748,1537,24554,201,455,1205,745,546,453,373,413,326,4710,4379,7254,17800,13783,10595,9324,6993,4312,1877,76315,94,1490,6987,5147,4226,2431,365,16,0,20765,684,1937,3791,3201,2650,1840,535,38,3,14683,308,640,1375,1001,721,675,156,20,0,4900,23,111,244,137,107,76,28,6,0,735,1119,4179,12397,9482,7706,5020,1084,79,7,41074,26,130,311,190,200,161,19,0,0,1037,135,196,278,177,135,148,26,0,0,1098,161,330,592,368,334,306,43,4,0,2137
CED103,140,1702,9073,10028,6682,4380,965,65,4,33037,810,1637,2461,1898,1414,1474,782,137,19,10641,373,677,936,758,589,643,220,38,0,4235,14,93,296,210,113,85,24,3,3,854,1337,4113,12763,12900,8798,6584,1996,244,23,48761,36,167,462,421,311,246,56,0,0,1708,224,256,169,76,54,107,42,9,0,942,258,424,632,496,367,363,105,9,0,2651,1600,4540,13397,13397,9166,6939,2098,256,28,51412,3101,1590,1830,1415,1451,2726,5113,3370,1525,22118,121,237,796,633,392,357,264,206,179,3191,4820,6369,16022,15438,11005,10025,7472,3832,1736,76727,85,1419,8186,6701,4943,3071,489,27,0,24920,1020,1850,3041,3718,2874,2389,767,95,5,15756,423,741,1283,1001,625,568,197,14,3,4853,10,65,176,159,71,60,20,3,0,569,1545,4074,12680,11581,8514,6086,1472,130,4,46095,25,129,383,329,216,120,11,0,0,1215,192,209,239,266,172,155,33,0,0,1253,214,337,619,593,386,271,42,0,0,2465
CED104,371,1503,3709,6789,7776,5277,1245,136,5,26808,1091,1364,981,1093,1264,1528,1001,237,16,8579,433,518,358,336,409,445,229,46,5,2773,15,27,85,109,100,65,20,13,10,446,1916,3405,5132,8326,9544,7317,2498,434,36,38604,45,111,189,164,219,212,35,0,0,982,260,143,52,35,46,58,62,12,0,665,310,257,242,197,268,271,94,9,0,1655,2222,3666,5380,8523,9812,7593,2591,447,40,40262,3211,890,637,656,919,1992,4760,3786,1299,18156,114,97,177,250,253,229,191,239,245,1788,5546,4655,6187,9435,10985,9805,7544,4471,1578,60206,137,1144,2953,4502,5141,3156,558,28,3,17625,1330,1506,1398,3142,3476,2844,1035,145,3,14882,531,502,536,611,544,564,192,26,0,3507,20,30,74,92,69,49,21,8,0,351,2010,3178,4964,8349,9236,6614,1805,201,11,36370,14,64,90,108,125,83,4,0,0,499,212,100,89,122,139,104,29,0,0,797,230,166,180,234,263,191,36,3,0,1299
CED105,169,1253,4888,4343,3445,2708,569,35,0,17405,610,1774,2638,1583,1130,1042,365,49,0,9186,313,733,1482,1094,1031,897,246,22,0,5819,39,219,473,284,199,113,34,6,0,1376,1125,3974,9473,7297,5805,4762,1212,118,4,33783,97,332,754,533,430,352,48,0,0,2549,194,351,271,121,102,130,29,0,0,1198,284,686,1024,655,532,483,75,7,0,3751,1417,4665,10502,7959,6341,5241,1288,124,4,37531,4254,2797,4667,3689,3545,4085,5015,3113,1151,32312,473,782,1571,1238,938,732,507,373,253,6871,6136,8237,16742,12886,10817,10066,6813,3613,1413,76721,92,1299,3632,2480,2471,1650,315,9,0,11950,715,1738,2487,2091,1654,1270,350,28,0,10339,268,586,1007,723,708,574,143,4,0,4016,36,130,278,138,113,81,15,0,0,789,1116,3756,7407,5428,4943,3577,824,38,0,27092,60,184,317,205,220,156,14,0,0,1151,192,250,268,204,174,163,17,0,0,1272,253,437,583,409,400,315,29,0,0,2425
CED106,136,1274,4622,8343,8186,5104,1203,153,10,29033,1003,1508,1232,1268,1333,1420,1151,355,40,9304,373,548,352,362,328,324,188,45,11,2525,8,39,108,129,107,63,27,6,3,488,1520,3366,6317,10096,9955,6906,2566,565,62,41347,20,143,228,250,281,279,47,0,0,1250,264,181,78,48,51,74,50,12,0,759,287,323,303,295,329,353,100,11,0,2011,1803,3694,6622,10390,10289,7252,2668,574,62,43358,3861,1050,779,819,1052,2020,4287,3995,1916,19783,118,135,265,301,251,221,189,178,163,1823,5788,4876,7657,11509,11591,9500,7152,4754,2140,64957,55,1093,3937,5593,5497,3005,548,38,0,19771,1141,1672,1705,3385,3542,2591,1134,225,13,15399,542,576,659,738,497,437,182,30,0,3658,14,33,107,106,71,46,19,5,4,407,1755,3366,6402,9821,9604,6084,1880,301,22,39242,21,65,138,234,177,96,17,0,0,746,213,128,84,175,177,115,36,7,0,938,233,197,225,415,354,214,50,6,0,1688
CED107,949,2275,6275,6282,6440,5105,1396,227,18,28972,1337,832,1050,869,991,1374,1049,284,33,7806,158,104,270,203,261,334,130,31,0,1490,58,108,166,127,144,89,53,27,9,784,2505,3325,7766,7485,7829,6896,2627,568,58,39066,123,194,237,201,242,192,22,0,0,1213,158,79,82,51,47,82,40,11,0,552,281,268,320,253,289,275,65,12,0,1769,2783,3595,8084,7743,8118,7171,2691,576,64,40828,2242,827,1502,1375,1556,2957,6179,4222,1295,22153,334,342,664,715,688,713,652,449,173,4714,5362,4765,10247,9825,10363,10845,9525,5246,1526,67700,418,1506,3733,3607,4558,3093,592,71,4,17578,1804,1357,2954,3371,3095,3058,1070,156,15,16877,151,170,702,377,271,372,121,20,4,2183,68,52,129,103,78,82,32,24,4,567,2435,3082,7506,7454,8004,6604,1822,267,27,37199,75,98,123,106,106,89,4,0,0,605,184,110,133,124,107,120,24,0,0,803,255,211,263,225,217,213,32,0,0,1410
CED108,321,1767,6495,8963,5710,3839,706,24,0,27836,935,1535,2278,1834,1307,959,356,38,4,9233,376,729,1293,1069,869,774,214,21,0,5340,56,158,409,324,175,124,29,6,0,1291,1695,4193,10476,12187,8057,5698,1299,99,6,43704,150,372,529,471,332,246,44,0,0,2152,291,253,181,80,92,74,29,4,0,1001,440,629,707,552,429,321,72,4,0,3151,2135,4821,11186,12737,8486,6021,1369,97,6,46854,3912,1855,2403,2144,2325,3093,4888,2655,724,23999,465,544,1171,1051,774,588,409,261,104,5365,6508,7220,14758,15941,11585,9690,6661,3012,833,76218,219,1625,5337,5837,4261,2579,385,14,0,20260,1100,1592,3008,3199,2074,1501,391,17,5,12888,355,611,1150,910,634,542,127,12,0,4342,48,103,258,188,134,80,18,5,0,834,1718,3928,9750,10135,7104,4705,927,44,5,38318,116,198,367,323,217,131,11,0,0,1367,281,196,313,258,147,121,13,0,0,1325,395,398,678,577,362,250,27,0,0,2689
CED109,406,1618,5282,6059,6197,4166,948,100,7,24778,942,1001,1355,1267,1381,1478,879,227,27,8548,425,457,561,519,561,557,244,45,4,3370,21,47,144,129,106,79,36,9,3,569,1794,3124,7339,7970,8238,6282,2101,381,35,37270,40,107,219,152,216,208,24,0,0,965,171,80,56,34,41,74,44,5,3,509,214,185,274,185,260,280,74,8,3,1475,2008,3305,7610,8154,8498,6564,2174,388,40,38743,2217,742,679,711,1074,2241,4653,3851,1685,17852,148,143,475,432,416,301,273,268,232,2685,4372,4182,8769,9300,9987,9103,7105,4501,1967,59283,145,1418,4419,3782,4305,2613,461,35,0,17176,1134,1231,1989,3114,3215,2699,955,104,12,14462,493,530,964,813,695,636,234,29,7,4400,21,41,117,95,75,51,17,10,8,435,1798,3217,7485,7810,8289,6002,1670,173,24,36469,15,59,101,103,115,81,3,0,0,481,168,72,76,108,109,98,29,0,0,663,183,133,179,212,224,178,33,0,0,1147
CED110,597,1499,4091,4655,5144,3978,943,107,4,21021,1514,908,1424,1353,1504,2017,1141,207,33,10104,132,108,188,200,260,373,134,21,5,1420,68,82,144,132,133,114,32,19,4,730,2308,2595,5849,6339,7041,6482,2256,361,46,33278,139,211,331,240,262,250,46,0,0,1480,222,111,132,83,101,143,56,6,0,848,363,326,462,322,365,390,97,7,0,2326,2673,2922,6304,6665,7400,6876,2352,366,46,35604,1937,749,1317,1283,1657,3900,8925,6016,2002,27780,325,251,599,611,629,660,643,533,324,4573,4938,3928,8214,8556,9691,11430,11917,6910,2368,67957,292,1062,2522,2999,4141,2859,497,37,3,14412,1931,1346,2695,3356,3476,3754,1114,131,8,17809,170,135,493,319,281,436,135,16,3,1981,46,84,124,101,107,98,29,21,6,621,2443,2624,5834,6770,8005,7147,1769,208,20,34816,72,90,131,126,134,108,11,0,0,676,269,104,126,162,169,206,45,3,4,1080,340,198,260,286,296,312,58,4,4,1754
