CED_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,1640,3874,8512,8400,7843,5846,1260,111,9,37496,2589,1199,2203,2553,2664,4411,6338,4392,2272,28618,161,227,595,494,406,360,333,394,526,3494,4391,5304,11309,11446,10912,10613,7934,4901,2801,69611,311,2651,9865,10175,9329,6384,1120,68,0,39906,1550,2877,4155,4182,3893,3483,1159,167,9,21481,896,1446,2224,1907,1695,1686,471,65,4,10394,38,170,416,277,204,129,42,12,0,1294,2797,7147,16662,16542,15129,11680,2795,312,16,73074,85,304,585,410,396,350,50,0,0,2180,315,323,291,202,172,250,72,0,0,1638,396,626,877,617,569,608,120,3,0,3816,3192,7774,17539,17163,15696,12286,2913,313,18,76895,5634,2740,3971,4056,4358,7579,11577,7879,3774,51568,315,504,1257,1011,766,750,663,665,724,6651,9139,11023,22767,22229,20812,20615,15152,8857,4515,135106
CED102,1282,4509,12993,9846,8038,5327,1123,81,4,43213,2424,1573,3386,2955,2808,4180,6122,4522,2014,29986,168,365,1096,694,519,415,372,441,562,4635,3875,6453,17474,13496,11368,9928,7618,5043,2581,77837,253,2918,14878,12491,9551,5825,1071,62,0,47052,1329,3980,7196,5223,4109,3139,1085,105,7,26181,619,1346,2708,1989,1521,1493,410,53,5,10138,49,244,606,355,259,164,67,5,0,1763,2261,8486,25400,20058,15442,10618,2632,226,17,85136,77,385,915,573,527,410,42,5,0,2934,297,524,546,302,195,255,65,4,0,2192,371,905,1461,878,724,666,110,7,0,5121,2635,9397,26860,20935,16168,11280,2740,236,13,90257,5257,3484,6114,4904,4730,7103,11127,8272,3556,54543,367,817,2297,1436,1060,869,746,855,890,9346,8255,13703,35274,27276,21959,19253,14612,9357,4459,154148
CED103,1756,4411,13306,12171,8902,6358,1514,136,4,48563,2606,1402,2682,3124,2631,4353,6506,4284,2313,29905,115,248,772,581,368,333,278,306,386,3387,4479,6060,16760,15883,11904,11054,8296,4725,2710,81856,225,3120,17259,16730,11630,7449,1449,86,4,57954,1827,3485,5506,5615,4286,3861,1556,235,19,26400,797,1414,2214,1760,1217,1212,415,47,0,9089,28,160,470,374,183,150,46,10,3,1420,2884,8186,25445,24481,17312,12673,3466,376,33,94855,61,307,846,747,530,367,69,0,0,2921,407,461,414,343,225,261,75,8,0,2197,470,764,1254,1088,758,632,143,8,0,5123,3354,8947,26704,25568,18069,13306,3609,389,36,99979,5704,2993,4518,4536,4076,7084,11613,7658,3847,52022,241,481,1572,1217,758,690,539,508,570,6577,9295,12422,32784,31319,22907,21079,15766,8557,4449,158584
CED104,2244,3341,5138,8584,9490,6804,1841,208,11,37670,2761,678,915,1714,1921,3349,6077,4463,1994,23871,75,92,192,249,231,190,240,321,480,2074,5080,4109,6248,10548,11646,10343,8158,4987,2491,63609,508,2645,6663,11296,12920,8429,1805,160,9,44431,2426,2864,2379,4232,4743,4374,2039,383,24,23467,962,1021,889,953,950,1009,418,71,6,6283,32,58,159,198,165,114,42,19,11,801,3925,6589,10092,16676,18777,13928,4298,640,45,74975,59,184,283,273,348,297,41,0,0,1484,478,244,144,159,183,166,93,16,0,1472,534,421,425,432,533,466,127,14,0,2956,4462,7006,10519,17109,19304,14396,4429,653,50,77930,5973,1571,1549,2368,2835,5337,10843,8246,3303,42022,187,190,367,498,493,414,429,553,722,3862,10623,8767,12432,19980,22631,20148,15702,9461,4070,123813
CED105,1369,4193,7992,5835,5343,3894,853,39,0,29511,3830,2369,5649,5064,4498,5435,5677,3387,1664,37578,389,572,1296,1058,806,695,546,387,450,6192,5583,7128,14941,11959,10644,10018,7073,3818,2114,73283,257,2557,8518,6821,5914,4354,887,44,0,29357,1324,3507,5121,3674,2780,2317,718,78,0,19524,578,1323,2489,1813,1741,1473,388,29,0,9833,75,349,746,418,317,196,47,6,6,2160,2241,7730,16884,12730,10750,8341,2040,156,5,60874,159,518,1070,743,650,504,57,0,0,3701,380,602,541,323,280,297,42,0,0,2472,538,1119,1611,1065,933,797,107,5,0,6168,2779,8853,18490,13794,11678,9138,2138,166,5,67044,8086,5163,10323,8752,8038,9519,10695,6499,2815,69887,859,1355,2865,2302,1744,1425,1055,764,704,13070,11724,15369,31675,24842,21465,20086,13887,7429,3523,150001
CED106,1985,3565,6632,10237,9959,6297,1931,307,22,40932,3402,845,1255,2649,2802,3595,6120,5170,2882,28736,103,119,273,312,272,208,232,262,402,2185,5485,4526,8159,13200,13038,10103,8284,5737,3309,71856,191,2363,8553,13939,13684,8115,1752,192,15,48806,2142,3177,2935,4651,4874,4005,2282,583,55,24703,921,1122,1011,1099,822,761,366,72,15,6186,21,74,218,238,179,105,49,10,9,896,3272,6738,12717,19918,19566,12988,4450,862,83,80589,43,205,374,483,457,374,63,0,0,1993,475,314,158,225,231,195,88,19,0,1700,520,521,536,707,685,562,153,17,0,3698,3786,7259,13251,20629,20251,13551,4597,884,83,84288,7270,1898,2029,3468,3857,5620,10413,9167,4793,48513,219,252,534,615,524,429,426,441,568,4008,11279,9400,15818,24709,24628,19602,15435,10492,5448,136812
CED107,2689,3295,7772,7678,8212,6810,1846,267,27,38618,1863,713,1796,1534,1808,3647,7041,4895,2184,25475,254,291,645,616,659,605,614,523,307,4518,4805,4297,10215,9828,10681,11069,9504,5684,2522,68606,1364,3784,10011,9893,10997,8195,1990,301,23,46554,3136,2187,3997,4242,4084,4427,2118,441,48,24689,315,271,970,579,528,707,257,46,4,3673,118,163,298,225,215,169,88,52,15,1347,4936,6412,15282,14946,15827,13498,4450,839,91,76265,195,290,364,302,354,285,31,0,0,1821,347,190,214,175,154,199,60,11,0,1355,541,481,580,480,508,490,89,12,0,3176,5476,6886,15855,15424,16333,13988,4536,843,94,79440,4108,1540,3294,2910,3364,6603,13219,9114,3477,47627,585,630,1305,1325,1349,1318,1267,971,482,9234,10167,9063,20457,19654,21049,21909,19023,10926,4049,136304
CED108,2118,4329,10434,10707,7463,4952,952,50,5,41004,3585,1846,4435,4042,3484,4640,6111,3213,1380,32722,379,457,1204,1098,716,510,482,325,248,5420,6078,6627,16069,15852,11663,10097,7547,3582,1634,79150,543,3392,11836,14799,9973,6417,1089,42,0,48092,2031,3131,5282,5034,3378,2459,748,57,4,22129,732,1339,2444,1975,1501,1314,338,33,0,9677,109,259,667,510,310,203,48,11,0,2122,3416,8122,20231,22319,15160,10401,2226,139,9,82020,268,580,899,794,546,378,59,0,0,3521,568,450,493,332,242,197,39,6,0,2324,834,1024,1391,1129,785,571,96,6,0,5841,4248,9144,21617,23446,15946,10972,2325,144,11,87867,7493,3699,6833,6191,5810,7725,11000,5862,2105,56722,844,1005,2380,2151,1488,1092,888,579,355,10781,12586,13850,30830,31791,23248,19794,14213,6589,2464,155365
CED109,1980,3348,7661,8024,8514,6183,1705,176,21,37611,2067,614,1171,1600,1780,3176,6031,4951,2614,24011,118,147,447,387,364,278,290,376,494,2908,4165,4115,9279,10011,10660,9639,8028,5506,3133,64530,557,3037,9698,9848,10497,6775,1406,135,13,41949,2080,2233,3344,4383,4592,4183,1831,332,33,23012,915,987,1521,1328,1254,1196,485,72,9,7770,43,84,258,225,181,130,51,19,9,1002,3593,6339,14824,15777,16525,12285,3779,555,57,73740,59,167,316,255,334,290,31,0,0,1449,337,148,132,140,149,173,76,5,0,1172,395,318,451,394,482,463,104,7,0,2618,3987,6658,15270,16172,17011,12750,3880,564,65,76358,4281,1353,1848,2313,2853,5418,10685,8805,4297,41860,263,288,922,821,778,584,562,641,731,5595,8537,8298,18049,19311,20639,18747,15129,10008,5094,123810
CED110,2781,2823,6089,7054,8303,7464,1824,213,23,36571,1657,745,1779,1656,2005,4843,9948,6957,2989,32588,304,235,588,582,570,638,683,720,639,4953,4737,3802,8450,9302,10877,12940,12455,7896,3654,74113,894,2558,6612,7656,9281,6841,1439,145,9,35432,3452,2252,4115,4702,4983,5773,2256,343,38,27912,296,246,675,521,543,812,263,39,6,3399,118,166,265,235,237,210,59,46,9,1348,4750,5219,11675,13114,15047,13628,4023,572,64,68093,212,307,458,369,388,359,55,3,0,2149,488,219,257,239,271,343,105,5,5,1930,702,519,719,608,658,702,153,12,5,4079,5452,5745,12395,13720,15706,14330,4180,582,65,72174,3596,1496,3092,2947,3663,8741,18870,12975,4990,60368,628,492,1187,1199,1200,1299,1323,1251,959,9529,9679,7729,16670,17863,20566,24368,24373,14808,6018,142073
