CED_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
CED101,700,14,3,21,721,329,10,1056,8,0,0,14,18,0,0,0,15,5,16,39,2674,559,389,68,3691,67,11,85,3769,577,23,4372,680,90,101,10,877,17,3,18,895,84,0,985,553,159,66,8,788,13,0,14,797,65,0,864,79,17,46,0,139,0,0,0,140,20,0,155,3,5,0,11,22,0,0,0,22,4,0,22,1322,275,210,22,1823,26,4,32,1851,177,3,2029,7,0,0,0,12,5,0,3,12,6,0,15,21,4,0,0,16,3,0,9,28,8,0,29,28,3,6,0,30,7,3,14,45,7,0,51,1345,277,209,22,1852,31,7,41,1898,186,3,2088,284,67,67,12,433,9,0,15,445,254,6,697,0,3,0,10,16,0,0,0,16,4,17,28,1631,348,278,48,2296,43,13,53,2355,439,19,2817,938,129,146,4,1218,16,6,19,1238,142,6,1380,729,212,90,4,1032,12,0,16,1045,87,3,1134
CED102,693,19,4,18,717,339,3,1058,10,7,0,8,17,0,0,0,17,5,25,48,2265,624,305,70,3267,97,6,106,3372,573,36,3978,587,124,66,4,784,21,0,25,812,74,0,886,483,137,42,6,663,12,0,12,679,72,0,741,71,17,52,4,138,0,0,0,143,10,0,154,0,0,0,10,14,0,0,0,17,3,0,19,1138,277,167,23,1601,33,3,35,1640,163,0,1804,12,4,0,0,18,3,0,8,23,0,0,23,10,6,3,0,23,4,0,4,26,6,0,32,25,11,6,0,40,13,7,14,52,6,0,54,1165,286,173,20,1647,41,8,51,1691,164,0,1860,216,91,65,12,379,15,8,19,406,241,5,649,4,0,0,4,5,0,0,0,5,0,5,13,1390,377,234,31,2028,55,14,74,2104,402,7,2516,760,138,65,11,968,17,3,26,996,117,0,1110,513,194,50,8,768,26,6,28,791,99,0,895
CED103,877,22,4,28,901,216,6,1124,9,0,0,5,11,0,0,0,11,0,16,34,3623,678,270,63,4626,105,24,132,4755,428,30,5214,1025,107,47,6,1179,25,0,33,1208,82,3,1300,630,184,51,5,867,16,4,22,890,53,0,943,75,19,42,0,137,7,0,3,141,5,0,150,8,0,0,7,19,0,0,0,19,0,4,23,1741,302,142,15,2201,46,7,57,2255,152,6,2418,36,9,0,0,50,5,0,5,59,5,0,65,43,5,0,0,45,9,0,9,50,6,0,51,77,14,5,0,97,17,0,17,104,6,0,120,1820,314,146,21,2295,60,7,70,2362,160,6,2529,365,88,30,4,494,11,3,13,507,156,0,662,4,0,0,4,7,0,0,0,7,0,13,16,2192,401,175,31,2803,71,12,79,2882,314,18,3212,1260,170,51,6,1486,32,5,38,1528,130,5,1659,851,209,46,4,1112,24,8,23,1133,76,0,1215
CED104,795,16,0,20,816,134,0,949,5,0,0,9,13,0,0,0,13,3,9,27,4531,658,193,58,5437,82,10,90,5530,311,22,5855,1387,159,41,11,1596,18,0,21,1616,64,3,1686,1043,195,36,4,1277,28,0,26,1299,44,3,1349,132,18,22,0,173,0,0,0,173,4,0,183,7,0,0,7,21,0,0,0,21,0,0,17,2570,376,107,19,3066,42,7,42,3109,114,9,3234,28,3,0,0,29,3,0,4,37,0,0,37,30,7,0,0,40,3,0,3,42,0,0,47,58,7,0,4,72,6,0,4,78,0,0,79,2631,380,107,17,3134,46,9,53,3184,118,9,3315,423,74,16,6,524,9,5,9,530,94,0,629,6,0,0,3,8,0,0,0,8,0,9,19,3064,450,123,35,3669,56,5,65,3729,210,16,3960,1824,214,52,5,2095,37,3,36,2130,107,4,2246,1352,229,39,3,1617,29,0,33,1650,93,0,1738
CED105,1393,111,29,144,1536,1445,16,3003,6,3,4,17,29,0,0,0,33,16,55,106,1835,736,543,113,3230,179,47,226,3461,1816,81,5361,383,60,56,3,502,11,6,25,528,98,6,624,276,137,68,7,490,7,0,7,501,105,0,607,54,25,66,0,142,3,0,3,148,20,0,168,5,0,0,8,19,0,0,4,26,8,0,30,720,217,194,26,1158,31,13,43,1200,232,3,1433,10,8,0,0,15,9,6,11,23,4,0,34,12,6,3,0,27,10,7,12,44,11,0,58,23,10,10,0,46,13,9,23,71,18,0,88,742,237,204,28,1200,42,22,66,1262,252,3,1526,411,201,157,23,801,62,22,84,885,864,10,1759,3,0,0,8,22,3,0,3,18,4,34,53,1156,434,364,64,2018,109,44,153,2169,1121,44,3335,539,89,76,15,713,31,6,35,749,155,0,901,360,163,72,11,609,19,0,18,632,134,0,766
CED106,1071,20,0,23,1093,174,4,1269,8,0,0,9,15,0,0,0,15,0,8,25,4864,637,147,70,5716,115,19,137,5851,423,14,6292,1367,138,28,5,1542,33,7,45,1583,97,0,1682,964,201,28,6,1192,13,0,15,1209,51,0,1262,113,22,16,0,152,3,0,3,156,8,0,161,6,0,0,9,11,0,0,0,15,0,0,15,2440,360,70,20,2895,54,14,64,2961,152,0,3119,37,0,0,0,38,10,0,6,47,0,0,47,38,8,4,0,46,3,0,3,51,0,0,51,70,4,4,0,80,13,0,12,97,0,0,100,2516,367,77,20,2979,64,10,81,3062,156,0,3220,575,76,24,8,676,12,0,12,692,141,0,826,0,0,0,5,6,0,0,0,6,0,3,11,3095,441,98,36,3662,78,14,90,3754,291,7,4055,1821,207,35,10,2077,48,7,56,2135,129,0,2261,1321,238,23,13,1592,30,3,38,1633,68,6,1702
CED107,530,10,5,18,547,139,0,687,10,0,0,3,9,0,0,0,9,0,14,24,3577,418,116,58,4168,46,15,62,4236,279,29,4545,1119,102,16,6,1249,12,0,14,1262,38,3,1298,903,123,30,11,1062,14,0,12,1076,50,5,1126,55,13,6,0,72,0,0,0,71,8,0,79,15,0,0,14,26,0,0,0,30,6,0,30,2089,235,53,24,2406,23,3,33,2435,95,9,2533,5,5,0,0,11,5,0,5,17,3,0,19,20,3,0,0,16,5,0,6,26,0,0,26,28,8,0,0,34,3,0,10,40,3,0,37,2118,242,55,24,2432,30,8,34,2474,97,9,2576,246,52,10,12,318,10,0,8,324,84,0,411,0,0,0,0,0,0,0,0,0,0,18,14,2360,294,65,38,2754,39,6,44,2795,179,21,3002,1388,137,23,7,1556,13,4,16,1573,57,0,1633,966,129,28,12,1134,10,0,14,1147,59,3,1208
CED108,1359,73,17,92,1451,605,9,2060,8,4,0,29,40,0,0,0,40,10,29,81,3648,762,479,145,5034,159,43,206,5239,967,55,6265,991,128,81,7,1204,18,4,17,1230,117,3,1355,490,147,56,11,709,23,3,26,738,93,4,830,80,19,48,3,151,6,0,5,158,16,0,175,15,3,0,19,37,0,4,6,36,3,0,50,1575,297,193,37,2104,42,13,56,2158,231,13,2398,29,4,3,0,43,10,4,13,54,10,0,63,31,10,0,0,41,0,0,5,46,3,0,48,59,14,4,0,78,12,6,18,95,8,0,112,1632,319,199,37,2183,60,17,75,2255,239,13,2509,490,142,86,20,742,41,10,48,784,387,5,1182,8,3,0,10,22,0,0,0,22,0,15,36,2128,460,285,66,2946,96,24,124,3065,630,28,3729,1251,165,112,9,1533,15,10,29,1562,145,4,1706,530,147,63,7,745,21,0,25,772,109,0,881
CED109,587,10,0,10,594,106,3,707,3,0,0,5,10,0,0,0,10,0,12,24,2935,571,202,49,3756,46,5,55,3813,274,21,4104,804,110,46,3,961,13,0,15,972,52,5,1029,739,184,45,6,974,17,0,15,989,36,0,1026,113,33,35,0,182,0,0,0,185,18,0,194,5,5,0,15,25,0,0,0,25,0,0,26,1659,328,122,26,2140,27,0,30,2169,106,7,2282,5,0,0,0,12,3,0,3,14,0,0,16,14,5,0,0,16,0,3,0,24,4,0,22,24,4,0,0,27,3,3,7,36,0,0,39,1684,337,129,26,2164,34,6,34,2200,114,7,2316,278,52,23,9,359,13,3,13,370,73,0,439,4,0,0,0,5,0,0,0,5,0,4,6,1963,387,145,33,2525,37,7,47,2571,184,13,2765,1099,157,72,4,1338,16,3,22,1356,86,0,1446,921,242,52,12,1230,25,10,34,1259,59,0,1321
CED110,443,18,10,26,471,190,0,659,0,5,0,5,9,0,0,0,9,3,15,21,2673,663,87,50,3476,51,26,83,3557,377,22,3956,779,148,20,6,956,12,8,18,973,63,0,1037,720,189,22,4,934,11,3,15,948,82,0,1025,30,7,3,0,36,0,0,0,36,0,0,37,6,4,0,11,26,0,0,0,26,0,0,26,1532,350,43,21,1947,21,4,30,1978,140,0,2131,3,0,0,0,8,5,0,5,11,4,0,17,19,5,0,0,22,3,0,3,21,4,0,24,24,11,0,0,26,4,0,4,33,4,0,40,1553,362,43,21,1978,29,4,38,2016,145,0,2170,184,87,5,9,286,9,5,14,295,120,0,422,0,0,0,5,6,0,0,0,6,0,5,9,1737,446,52,30,2271,37,13,49,2313,272,9,2598,1052,196,31,4,1283,9,4,12,1289,94,0,1386,818,219,17,7,1057,11,6,10,1064,92,0,1157
