CED_CODE_2021,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
CED101,129,38,66,0,229,0,3,3,233,22,0,254,4,3,0,22,31,0,0,0,31,7,0,41,1799,382,298,31,2509,24,7,36,2545,255,8,2810,14,3,4,0,21,3,0,5,26,8,0,37,23,7,3,0,35,3,5,4,38,5,0,46,39,5,7,0,52,12,3,10,65,15,0,78,1835,388,309,31,2563,37,12,48,2608,268,9,2889,407,82,90,12,592,14,4,14,604,294,3,905,0,4,0,3,8,0,0,0,8,0,3,18,2240,472,396,50,3155,49,16,63,3223,565,19,3807,615,99,69,0,783,13,4,20,797,96,0,896,447,125,66,6,650,13,4,16,660,58,0,724,94,21,46,0,161,0,0,0,163,30,0,190,3,0,7,13,14,0,0,0,14,3,0,19,1156,243,188,16,1607,25,3,34,1635,193,0,1829,6,0,7,0,11,3,0,4,13,7,0,21,10,4,0,0,18,0,0,3
CED102,97,25,67,0,189,5,3,4,194,22,0,216,7,6,0,6,21,0,0,0,23,5,5,31,1382,363,188,22,1951,44,12,57,2005,244,8,2254,16,0,3,0,18,3,0,3,25,4,0,32,19,6,5,0,30,6,0,4,33,6,0,36,33,16,5,3,49,4,0,9,56,9,0,69,1412,376,190,24,2003,54,12,62,2068,254,8,2326,344,118,88,15,563,16,7,18,579,294,0,874,5,0,0,7,10,0,0,0,10,0,5,15,1756,489,276,47,2572,66,19,88,2659,547,11,3216,532,90,47,4,678,11,9,17,692,79,0,770,326,112,45,3,486,5,4,11,499,74,0,574,49,24,50,0,124,0,0,0,124,22,0,143,6,3,0,9,15,0,0,0,19,8,3,26,910,226,139,24,1302,20,12,31,1333,184,3,1516,6,0,0,0,9,4,0,4,13,0,0,13,17,8,3,0,27,8,0,10
CED103,101,23,51,5,182,9,3,7,190,11,0,198,3,0,0,16,16,0,0,0,16,0,0,18,2206,400,150,34,2794,58,13,74,2870,212,8,3088,41,4,7,0,46,6,0,6,57,6,0,60,29,8,0,3,45,0,0,0,45,6,0,48,69,12,11,3,95,6,0,6,101,12,0,113,2278,413,158,34,2888,66,13,81,2969,226,8,3203,429,99,42,5,588,15,3,19,604,185,0,793,3,0,0,0,5,0,0,0,5,0,9,14,2715,517,207,45,3482,81,17,99,3578,419,11,4006,795,111,29,5,943,26,4,33,971,77,0,1049,557,152,45,0,749,9,5,12,765,57,0,822,76,21,41,0,129,0,6,3,139,8,0,143,0,0,0,10,7,0,0,0,11,0,0,11,1417,290,111,12,1833,40,14,52,1882,140,0,2028,23,0,0,0,24,4,0,4,33,3,0,33,12,3,0,0,20,0,0,0
CED104,154,26,38,0,218,0,0,0,219,9,0,230,6,0,0,21,32,0,0,0,32,0,0,32,3335,471,123,29,3959,64,3,65,4024,212,4,4242,30,3,0,0,32,6,0,6,36,5,0,39,29,6,0,0,35,6,0,10,42,3,0,47,56,12,0,0,68,8,0,12,80,12,0,86,3392,476,123,34,4026,71,6,74,4104,222,4,4329,545,87,24,9,662,7,4,12,675,128,0,803,3,0,0,0,5,0,0,0,5,0,10,15,3936,562,150,42,4697,77,9,84,4785,353,12,5147,1049,125,29,6,1211,19,9,28,1240,81,0,1314,828,140,35,0,999,19,3,24,1018,66,0,1091,87,18,27,0,132,0,0,0,135,8,0,144,10,0,0,8,14,0,0,0,14,0,0,13,1966,292,86,12,2357,41,11,49,2410,155,0,2567,24,0,0,0,20,0,0,0,21,3,0,23,23,5,0,0,27,3,4,3
CED105,79,28,85,0,193,0,0,0,192,38,0,231,6,4,6,13,30,0,0,0,33,6,0,42,985,283,239,40,1550,41,10,52,1600,330,5,1935,15,5,4,0,32,11,0,17,43,8,0,47,14,12,3,6,36,10,10,20,55,15,0,69,32,13,10,6,61,22,12,34,96,24,0,119,1017,300,250,42,1608,66,24,88,1702,351,5,2053,498,244,189,37,959,80,17,102,1064,1167,6,2234,7,0,0,6,12,0,0,0,16,8,22,41,1521,546,437,88,2584,150,39,190,2779,1522,37,4331,360,46,70,4,479,16,3,23,498,94,0,594,234,94,37,6,371,12,3,17,386,83,0,474,77,19,78,0,172,3,0,3,177,32,0,204,0,0,3,15,24,0,0,0,24,3,0,25,674,163,186,22,1040,35,9,45,1081,215,0,1299,13,12,6,0,25,15,3,13,39,7,0,51,12,0,5,0,18,3,3,10
CED106,148,20,21,0,191,5,0,5,197,6,0,202,9,7,0,17,27,0,0,0,27,7,0,37,3296,471,82,39,3888,87,17,103,3984,204,5,4201,44,4,0,0,40,9,0,13,57,4,0,59,56,0,5,4,59,0,0,4,66,4,0,67,92,5,4,4,107,15,5,17,125,5,0,129,3390,476,83,45,3997,100,15,118,4109,215,5,4329,715,99,18,15,846,14,0,16,865,185,3,1053,3,0,0,0,7,0,0,0,7,0,0,11,4110,578,103,58,4848,109,21,133,4977,396,16,5392,1151,159,32,6,1341,32,3,35,1374,74,0,1457,828,188,19,3,1034,21,7,27,1062,59,0,1122,104,24,24,0,154,4,0,6,156,12,0,164,4,0,0,4,13,0,0,0,13,0,5,16,2081,364,74,16,2537,56,11,71,2608,142,0,2751,21,3,0,0,26,3,0,4,29,5,0,32,34,3,0,0,43,10,0,10
CED107,47,6,10,0,66,0,0,0,66,3,0,70,17,0,0,14,30,0,0,0,34,0,0,33,2417,271,59,31,2781,26,5,32,2811,120,8,2943,15,5,0,0,21,3,0,3,23,0,0,28,12,4,0,0,16,0,5,6,17,4,0,22,25,6,0,0,33,8,5,8,46,0,0,44,2441,281,62,31,2816,32,8,42,2858,119,8,2987,241,51,8,6,308,10,0,6,316,85,0,401,0,4,0,0,4,0,0,0,4,0,8,11,2691,332,67,33,3122,41,10,52,3174,206,18,3397,328,22,5,0,365,5,0,5,367,13,0,380,206,42,0,0,249,4,0,3,257,16,0,271,8,0,5,0,14,0,0,0,14,0,0,14,0,0,0,0,4,0,0,0,4,0,0,4,554,69,5,4,632,9,0,7,640,27,0,670,0,0,0,0,8,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0
CED108,135,28,66,3,226,6,0,6,232,12,0,244,8,4,3,22,31,7,0,7,33,10,4,49,1913,344,238,46,2538,47,14,60,2602,272,12,2882,24,8,0,0,36,7,5,13,50,10,0,59,38,9,0,0,47,4,4,10,59,11,0,72,65,17,7,5,81,12,9,28,108,18,0,133,1977,359,247,44,2625,62,25,84,2711,289,12,3009,581,168,105,35,890,41,5,45,939,521,10,1470,3,0,0,5,14,0,0,0,14,4,6,19,2569,528,349,82,3527,103,31,135,3659,815,27,4501,777,110,54,3,939,17,6,21,966,99,0,1066,288,96,32,8,426,12,0,12,435,62,4,498,63,18,27,0,107,0,0,0,114,11,0,120,7,5,0,22,31,0,0,0,31,11,0,38,1134,235,109,29,1505,32,8,35,1545,180,8,1734,14,3,0,0,23,5,0,7,31,3,0,36,14,6,0,0,22,6,3,8
CED109,132,28,46,3,204,4,0,4,204,12,0,219,9,0,3,7,21,0,0,0,21,0,0,22,2160,423,175,27,2791,40,16,57,2845,160,4,3010,9,4,0,0,11,0,5,4,18,3,0,17,24,6,0,0,28,0,3,4,35,0,0,30,29,11,0,0,42,3,4,7,48,3,0,50,2193,432,176,27,2828,44,22,64,2894,167,4,3068,345,83,31,10,469,4,0,10,478,95,0,576,0,0,0,0,0,0,0,0,0,0,12,11,2541,515,205,36,3298,54,22,72,3370,262,13,3653,615,73,44,0,739,3,3,8,746,65,0,814,502,130,33,4,666,13,4,13,681,52,0,731,77,17,15,0,107,0,0,0,111,16,0,121,4,0,0,5,10,0,0,0,10,0,0,10,1199,223,91,16,1530,14,4,26,1554,128,0,1680,3,0,0,0,5,0,0,0,9,5,0,11,4,0,0,0,10,0,0,0
CED110,45,11,8,0,62,0,0,0,65,3,0,66,15,0,0,19,34,0,0,0,34,5,3,44,1923,424,53,32,2433,15,8,23,2460,196,4,2652,5,5,0,0,17,0,0,6,22,0,0,20,20,3,0,4,29,0,0,0,30,5,0,41,24,14,0,4,49,4,0,4,52,5,0,61,1952,437,56,35,2477,24,8,28,2507,199,4,2719,167,64,4,8,248,5,3,13,256,101,4,360,0,0,0,0,3,0,0,0,3,0,0,5,2121,505,65,44,2729,32,13,42,2767,306,6,3084,223,39,13,0,283,4,0,3,291,22,0,313,173,54,5,0,231,0,0,0,231,11,0,242,7,0,0,0,7,0,0,0,7,0,0,11,0,0,0,5,8,0,0,0,8,0,0,9,405,93,22,3,527,5,0,8,532,31,0,567,0,0,0,0,0,3,0,3,3,0,0,3,3,0,0,0,3,0,0,0
