CED_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
CED101,55,1467,1447,1003,736,394,129,31,5262,14,148,195,182,176,143,34,7,902,1098,3525,2877,2021,1713,1011,393,123,12758,546,1029,1381,1196,1037,562,237,84,6069,791,1729,1687,2009,2064,1359,866,370,10886,83,73,75,80,77,61,22,5,480,68,119,163,195,252,210,108,47,1162,937,1927,1927,2285,2390,1632,996,430,12524,38,95,93,78,90,55,40,24,516,519,798,687,501,525,462,396,270,4146,3207,8982,8607,7275,6666,4254,2218,956,42168,100,1738,1745,891,534,230,43,13,5295,72,326,386,352,278,209,64,7,1704,1339,4286,3736,2565,1700,873,310,106,14921,602,1280,1549,1791,1407,825,304,110,7866,570,943,964,1073,914,454,139,70,5135,104,83,125,172,223,103,29,13,861,74,109,218,381,458,338,158,71,1802,750,1131,1313,1623,1593,896,331,153,7794,44,78,100,111,128,105,64,19,647,481,746,664,570,538,588,657,689,4935,3385,9579,9502,7912,6175,3729,1780,1107,43166,155,3206
CED102,102,2746,2157,1098,682,344,103,23,7248,18,266,296,204,169,104,36,4,1094,1494,6049,3984,2086,1587,858,344,99,16497,885,1642,1626,1363,929,538,188,51,7219,744,1828,1693,1770,1551,1009,627,225,9449,70,102,91,79,66,29,8,0,446,74,159,201,224,207,158,67,30,1121,886,2089,1983,2068,1822,1198,710,257,11016,56,193,137,90,78,68,36,10,670,753,1447,944,703,602,528,533,373,5882,4201,14444,11127,7614,5866,3631,1935,812,49630,139,3337,2358,1199,582,246,60,5,7930,74,418,379,343,244,149,36,14,1660,1708,6868,4676,2686,1616,751,236,89,18634,784,1753,1707,1704,1222,633,265,74,8135,559,1041,966,935,736,372,139,39,4776,71,119,135,202,150,78,17,6,769,81,166,212,449,431,264,94,38,1738,709,1318,1316,1589,1319,705,248,84,7284,46,142,111,129,130,94,44,17,707,660,1313,866,675,632,602,605,622,5973,4111,15155,11413,8327,5739,3174,1496,905,50321,243,6091
CED103,125,3294,3899,2090,1572,904,322,71,12282,28,260,360,308,266,188,54,9,1480,1560,6242,5491,3286,2535,1715,671,241,21737,447,1263,1462,1255,1080,691,298,130,6634,601,1477,1342,1370,1483,1041,645,293,8245,76,91,72,50,74,43,25,6,433,55,105,163,175,212,196,112,50,1066,730,1666,1579,1593,1766,1280,779,344,9737,40,134,136,120,88,88,53,24,697,438,935,812,520,490,408,336,246,4186,3360,13806,13740,9173,7805,5278,2518,1070,56746,158,4266,4206,1885,1057,450,140,22,12180,62,510,573,485,425,317,124,30,2525,1832,7308,6258,3899,2693,1447,564,204,24195,529,1239,1558,1735,1551,1051,461,169,8291,464,750,732,832,769,422,163,78,4212,91,68,89,131,174,94,40,19,707,65,115,173,358,442,384,199,105,1840,615,940,991,1322,1390,902,402,199,6759,48,127,150,111,118,142,87,28,816,434,907,763,509,565,526,514,510,4741,3686,15294,14495,9942,7795,4836,2292,1159,59505,282,7564
CED104,27,647,2254,2047,1461,1021,381,90,7931,10,85,264,365,347,278,83,21,1451,900,2204,3000,3213,2578,1786,806,214,14703,249,486,949,1300,1125,809,449,149,5520,768,1230,1301,1862,1901,1278,910,292,9544,83,50,42,52,54,53,48,6,385,65,66,109,197,259,269,152,33,1148,917,1347,1447,2104,2218,1599,1112,333,11084,19,42,66,101,90,74,67,29,489,259,210,349,368,319,314,342,308,2473,2383,5031,8336,9491,8140,5889,3242,1143,43649,46,1003,2470,1766,1037,499,148,34,7000,38,220,461,596,500,383,129,25,2363,1128,2798,4262,3904,2704,1594,609,187,17186,330,604,1115,1782,1678,1230,630,208,7586,483,506,712,965,862,464,178,48,4221,98,51,73,124,154,141,49,13,698,61,61,135,363,484,464,278,100,1944,647,617,916,1453,1499,1067,498,164,6865,18,30,57,91,127,138,105,42,616,200,239,341,354,343,444,577,646,3147,2414,5516,9630,9947,7885,5352,2698,1307,44753,79,1649
CED105,77,1787,1166,555,368,185,60,9,4214,10,154,124,93,76,55,17,3,539,1123,3885,2285,1302,1028,599,220,58,10504,887,1369,1295,924,721,388,149,41,5783,810,1770,1646,1604,1459,959,571,194,9016,77,94,94,89,86,45,6,0,492,105,154,188,204,187,125,64,18,1026,989,2018,1923,1895,1733,1134,638,215,10542,61,159,115,95,66,67,18,4,592,1429,1980,1564,1175,943,704,491,300,8588,4577,11351,8480,6045,4933,3131,1595,642,40755,134,1740,995,385,196,95,21,3,3569,70,267,252,160,104,58,12,7,926,1390,4235,2356,1356,871,485,184,48,10911,880,1745,1589,1363,844,425,168,47,7067,620,1141,1093,925,677,252,83,36,4828,122,123,196,183,151,75,15,0,873,106,184,226,315,308,192,54,27,1420,847,1459,1513,1422,1141,523,156,72,7126,54,133,90,109,91,64,31,7,583,1137,1573,1252,973,908,720,518,518,7597,4512,11150,8055,5764,4154,2361,1086,699,37774,213,3534
CED106,48,1357,3435,3037,2144,1308,749,212,12292,13,152,363,488,364,263,106,27,1794,1145,3261,4598,4406,3364,2288,1384,515,20969,285,615,847,1042,919,735,501,265,5202,342,654,681,736,824,553,443,218,4442,54,46,37,43,40,32,24,17,293,48,52,96,165,185,165,139,43,900,442,753,817,948,1044,752,612,276,5635,30,48,95,113,67,111,83,44,593,304,322,403,359,317,286,319,257,2566,2270,6511,10561,10395,8230,5742,3750,1602,49052,82,1937,3821,2749,1475,765,326,57,11215,30,259,564,717,555,432,195,51,2807,1348,3816,5855,5194,3340,2035,1066,415,23073,306,633,1057,1626,1486,1304,911,406,7732,271,371,394,535,434,307,163,73,2555,65,25,43,110,93,93,42,21,487,42,56,111,265,328,369,304,149,1610,376,448,546,908,858,758,514,243,4649,20,48,142,110,117,140,122,57,756,279,358,414,391,378,434,545,628,3426,2440,7497,12401,11699,8202,5870,3696,1859,53669,133,3292
CED107,15,315,417,376,384,350,143,30,2028,4,61,144,159,149,169,50,8,749,212,1239,1226,1096,882,870,333,67,5935,104,504,707,950,905,647,289,61,4175,1463,3626,3250,3336,3389,2354,1138,265,18824,155,156,121,116,99,74,30,9,751,56,118,116,138,213,224,132,26,1026,1675,3896,3490,3593,3699,2653,1302,301,20603,25,36,49,53,63,51,41,12,334,1052,1503,1387,1123,1015,985,711,259,8028,3096,7553,7415,7348,7106,5733,2866,744,41859,37,551,580,493,398,266,66,7,2404,38,266,332,383,329,260,79,13,1712,458,2462,2298,1878,1423,1070,373,95,10049,271,1021,1186,1427,1407,975,494,128,6919,1236,2431,2057,1972,1622,702,182,53,10256,182,218,199,239,276,187,47,17,1362,115,165,199,335,452,414,176,47,1916,1539,2815,2460,2544,2348,1301,407,115,13536,21,27,47,63,75,109,81,27,449,714,774,770,876,915,1074,922,511,6549,3068,7921,7672,7661,6904,5067,2425,903,41621,55,865
CED108,54,1078,2423,734,397,214,58,11,4965,13,121,266,153,74,47,13,0,684,781,3089,3740,1817,1341,812,214,45,11830,491,1493,1629,1106,782,388,144,21,6051,1118,2537,2205,2217,1961,1246,540,145,11966,106,139,120,101,76,45,6,0,595,86,151,233,224,207,138,55,8,1107,1314,2825,2553,2544,2253,1430,598,150,13670,44,110,134,102,79,64,27,3,565,1177,1363,1286,972,765,614,415,168,6754,3870,10082,12036,7425,5679,3561,1462,394,44521,95,1813,2101,587,292,149,23,10,5067,53,363,375,193,126,62,20,0,1189,1094,4509,4159,2147,1575,941,212,63,14693,513,1654,1737,1315,899,448,141,46,6750,1017,1906,1858,1520,976,364,90,39,7773,194,202,255,200,156,71,31,0,1118,113,200,296,327,312,199,64,25,1540,1325,2315,2413,2050,1447,628,180,71,10424,24,111,164,103,87,89,18,4,600,1012,1445,1323,927,778,773,532,436,7224,4108,12202,12257,7323,5198,3093,1138,630,45947,153,2887
CED109,22,545,957,824,653,448,179,51,3676,7,120,177,191,208,168,63,14,936,673,2493,2243,1922,1581,1170,461,153,10692,189,801,1259,1371,1071,676,348,123,5845,960,2416,2181,2648,2466,1696,1155,471,13992,61,55,58,65,72,56,35,3,407,64,111,160,233,255,272,147,41,1290,1087,2584,2397,2949,2796,2022,1339,513,15684,18,55,62,77,77,69,49,12,411,350,556,566,526,443,419,407,325,3604,2350,7158,7661,7861,6820,4969,2839,1193,40863,45,939,1107,828,489,298,85,15,3805,40,277,367,333,340,273,61,23,1712,1093,3676,3426,2581,1666,996,333,94,13868,478,1261,1592,2015,1552,988,431,167,8488,499,1003,1029,1169,978,530,234,91,5533,80,88,115,175,194,116,48,21,841,101,111,233,433,564,440,251,132,2262,683,1210,1375,1775,1739,1084,535,242,8637,21,49,78,106,139,145,98,45,675,336,568,528,567,520,588,719,722,4539,2695,7978,8482,8203,6438,4374,2266,1300,41719,64,1487
CED110,13,238,356,389,334,388,156,35,1902,5,72,131,155,207,252,82,6,900,164,1072,1181,1186,1067,1187,475,126,6457,76,411,746,944,1005,957,417,133,4684,1118,2582,2624,2958,3715,3264,1756,472,18490,159,163,97,106,94,90,38,12,752,66,99,145,158,198,318,169,41,1196,1343,2843,2867,3220,4004,3672,1965,527,20441,18,42,34,49,75,78,62,22,382,884,1034,927,866,948,957,794,457,6863,2497,5710,6235,6809,7635,7484,3948,1306,41620,12,380,535,512,448,321,92,20,2320,24,219,316,393,433,377,105,11,1872,370,1965,2120,1971,1642,1351,525,131,10065,228,853,1260,1638,1844,1447,608,176,8063,1081,2001,1984,2160,2183,1096,298,83,10895,199,215,183,210,332,257,62,17,1471,108,130,191,346,494,555,276,83,2185,1391,2353,2357,2714,3020,1904,640,182,14558,17,39,53,64,100,152,92,25,553,708,714,753,810,1048,1241,1279,944,7503,2763,6523,7398,8096,8530,6798,3348,1494,44936,18,621
