CED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED101,3195,1898,1269,623,177,36,10561,86,475,582,537,457,351,95,16,2602,2436,7809,6620,4587,3410,1879,707,231,27680,1151,2303,2934,2987,2446,1386,541,194,13934,1363,2676,2649,3082,2980,1819,1006,443,16019,185,160,204,250,298,167,59,17,1337,146,224,385,580,709,544,266,117,2964,1689,3059,3239,3911,3983,2524,1329,582,20322,81,169,196,189,217,161,100,47,1158,995,1541,1348,1071,1064,1051,1046,955,9078,6595,18565,18105,15182,12839,7984,3998,2066,85336
CED102,4515,2296,1259,581,160,30,15171,87,686,674,551,417,255,72,15,2752,3203,12917,8665,4775,3204,1604,575,187,35129,1668,3397,3331,3068,2153,1175,448,122,15360,1299,2870,2657,2708,2292,1381,769,260,14228,142,221,229,278,216,102,25,12,1219,153,324,411,673,641,421,164,63,2853,1593,3409,3294,3662,3145,1899,954,336,18301,103,340,243,224,210,159,76,31,1376,1414,2760,1813,1375,1229,1123,1141,1000,11853,8311,29597,22537,15940,11613,6806,3431,1721,99949
CED103,8107,3970,2628,1356,459,94,24458,90,771,936,796,693,500,181,39,4011,3395,13554,11747,7180,5220,3156,1234,441,45931,972,2502,3021,2995,2635,1741,762,297,14921,1059,2227,2073,2195,2250,1462,804,371,12445,165,161,157,183,245,141,67,23,1143,125,220,338,534,658,583,310,146,2902,1343,2603,2571,2913,3153,2179,1178,545,16492,90,262,284,233,209,232,144,59,1508,871,1847,1576,1030,1055,941,848,752,8926,7049,29100,28234,19112,15600,10112,4811,2225,116250
CED104,4725,3815,2496,1518,523,123,14927,53,311,726,957,841,662,207,50,3807,2023,5004,7264,7117,5277,3380,1410,399,31892,576,1087,2063,3085,2806,2044,1081,359,13101,1247,1741,2011,2828,2772,1742,1088,341,13768,181,94,115,180,202,189,94,18,1087,132,126,238,556,739,734,431,135,3096,1561,1967,2366,3559,3712,2670,1612,500,17945,42,75,128,192,221,210,174,68,1111,461,449,692,719,668,755,925,949,5620,4795,10544,17964,19443,16024,11237,5936,2447,88400
CED105,2159,939,564,276,85,17,7784,85,422,376,257,180,115,27,10,1467,2510,8118,4641,2658,1893,1080,399,106,21410,1768,3119,2886,2287,1569,814,321,90,12849,1421,2917,2741,2531,2141,1214,650,235,13849,204,222,287,272,242,120,22,5,1364,213,338,415,518,495,321,118,39,2450,1840,3471,3441,3318,2865,1657,793,284,17668,114,293,212,212,163,130,50,16,1177,2570,3551,2819,2143,1853,1429,1008,815,16187,9090,22500,16539,11810,9088,5495,2677,1334,78536
CED106,7257,5787,3623,2074,1073,268,23504,51,410,929,1209,923,703,307,82,4604,2493,7086,10456,9599,6706,4321,2453,933,44045,589,1253,1906,2669,2400,2036,1413,669,12934,608,1024,1069,1270,1263,855,608,289,6995,120,71,85,150,133,122,65,33,782,87,104,209,432,510,530,445,195,2509,816,1200,1360,1854,1904,1512,1123,518,10285,53,94,232,228,184,249,211,100,1351,581,679,819,752,696,717,857,886,5995,4709,14008,22958,22100,16430,11612,7443,3462,102715
CED107,999,868,787,614,213,40,4431,39,334,478,538,478,434,128,22,2460,668,3697,3524,2973,2304,1946,710,163,15986,370,1526,1896,2380,2314,1627,786,198,11097,2705,6054,5307,5308,5012,3061,1318,322,29080,341,373,322,352,374,261,73,24,2111,169,283,314,478,671,642,312,75,2946,3210,6710,5946,6138,6051,3960,1703,414,34136,47,64,97,119,139,163,117,37,784,1765,2272,2153,2001,1930,2062,1634,770,14585,6162,15471,15093,15008,14006,10799,5290,1649,83474
CED108,4521,1318,681,365,81,17,10031,63,483,637,346,197,112,32,0,1869,1874,7592,7891,3969,2914,1751,422,105,26520,999,3149,3360,2425,1683,839,282,71,12797,2137,4449,4064,3745,2939,1608,630,184,19740,299,341,375,300,239,115,42,4,1709,199,347,529,557,521,334,111,36,2647,2639,5135,4969,4595,3696,2063,777,219,24092,73,218,300,208,161,151,44,12,1164,2188,2813,2606,1894,1540,1384,952,605,13980,7982,22287,24288,14751,10880,6654,2601,1023,90466
CED109,2072,1657,1144,740,269,58,7484,45,398,547,526,546,444,121,32,2649,1768,6171,5668,4497,3248,2169,793,250,24559,672,2064,2857,3391,2617,1663,776,289,14328,1454,3426,3209,3815,3445,2222,1389,561,19526,146,145,170,242,267,169,86,27,1243,168,227,390,671,817,707,401,168,3554,1768,3794,3766,4720,4530,3107,1879,755,24321,41,100,136,181,214,214,147,59,1092,691,1125,1100,1096,960,1007,1127,1050,8150,5043,15135,16143,16061,13258,9342,5104,2496,82582
CED110,892,899,784,703,244,53,4216,30,292,449,546,637,625,181,21,2781,529,3038,3300,3156,2707,2539,1002,253,16518,306,1272,2007,2582,2845,2403,1027,310,12749,2194,4581,4611,5119,5905,4364,2056,562,29389,358,377,272,311,427,343,101,26,2224,174,229,340,504,695,874,447,128,3383,2733,5193,5220,5934,7026,5574,2604,711,34999,40,82,91,104,170,231,163,54,931,1596,1747,1674,1675,1996,2200,2073,1411,14367,5256,12232,13635,14900,16164,14280,7293,2800,86561
