CED_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,12839,7984,3998,2066,85336
CED102,11613,6806,3431,1721,99949
CED103,15600,10112,4811,2225,116250
CED104,16024,11237,5936,2447,88400
CED105,9088,5495,2677,1334,78536
CED106,16430,11612,7443,3462,102715
CED107,14006,10799,5290,1649,83474
CED108,10880,6654,2601,1023,90466
CED109,13258,9342,5104,2496,82582
CED110,16164,14280,7293,2800,86561
CED111,13851,9650,4780,1960,88190
CED112,12344,9807,5360,2279,78454
CED113,15983,11967,5142,1602,85156
CED114,13395,10202,5026,1756,79357
CED115,8778,5678,2572,1082,65558
CED116,17183,16373,7931,2521,87510
CED117,12371,7761,2981,970,96518
CED118,11664,7060,2694,705,105028
CED119,12895,8630,4172,1613,80738
CED120,12991,9621,4308,1448,83240
CED121,13413,10702,5377,1976,84341
CED122,13065,8190,4224,1650,109864
CED123,10800,7092,3132,1109,86795
CED124,15855,15221,7791,2492,78893
CED125,11464,7470,2882,665,92135
CED126,15178,10881,6766,2665,88393
CED127,14355,11153,5049,1583,78809
CED128,9832,6082,2666,1016,70062
CED129,14572,10090,4794,1386,103960
CED130,12901,10442,5402,1725,75551
CED131,13222,9313,4335,1972,91433
CED132,14965,11189,5913,2464,110336
CED133,16452,13773,5802,1935,84528
CED134,11749,8086,4089,1460,70408
CED135,11801,6928,3205,1212,113636
CED136,13169,10741,5412,1502,82392
CED137,14415,9225,4130,1719,124411
CED138,16527,14158,6573,2785,90658
CED139,12234,9553,4583,1650,74285
CED140,14274,11539,6327,2484,81083
CED141,13016,10464,5684,1868,76689
CED142,12884,7989,3251,887,149461
CED143,14739,9552,5537,2043,93588
CED144,10749,5888,2906,1472,85355
CED145,12270,9317,5379,2575,98292
CED146,11040,5760,2389,891,82193
CED147,13191,10714,5846,2122,82673
CED194,1165,680,173,28,7237
CED197,0,0,0,0,0
CED201,12753,8560,4228,1607,83315
CED202,12300,9914,4405,1512,76859
CED203,12809,10545,5189,1906,77122
CED204,11815,7262,3170,1079,83082
CED205,8142,3820,1403,393,78054
CED206,13274,9550,4359,1191,81090
CED207,14496,10017,6575,3055,106085
CED208,10396,5626,2373,1186,89062
CED209,12340,11192,5464,1887,82273
CED210,11544,8525,4079,1438,80746
CED211,13057,9372,5458,2478,90618
CED212,12028,8385,4378,1630,79900
CED213,13955,13091,7654,2725,79147
CED214,8736,5198,2323,1128,87116
CED215,10685,5930,2287,800,98118
CED216,13487,11726,5497,1746,74614
CED217,15995,11146,5887,2550,90886
CED218,9286,5187,1993,555,78503
CED219,9544,6335,2493,655,75201
CED220,13134,9540,5244,2007,102163
CED221,8629,4551,1880,554,82890
CED222,10677,6910,3529,1523,95769
CED223,14684,12103,5503,1740,79766
CED224,12021,8001,3963,1688,83445
CED225,13846,10279,4837,1583,88700
CED226,16551,11916,6427,2748,101008
CED227,9321,5822,2914,898,81766
CED228,9096,5187,1901,579,97277
CED229,13607,9768,4442,1633,115944
CED230,12951,10119,4897,1917,74129
CED231,11203,7377,3419,1193,83571
CED232,11335,7524,3074,738,79592
CED233,10840,7179,3167,880,143435
CED234,14705,10002,6216,2386,95998
CED235,13257,11813,5482,1622,72584
CED236,11980,9157,4727,1787,71565
CED237,8732,5057,2208,854,77042
CED238,13561,11116,4951,1767,74292
CED239,9201,4904,2147,1180,90703
CED294,779,411,85,18,5907
CED297,15,4,0,0,40
CED301,12026,7568,3384,1007,86594
CED302,12335,7830,3718,1444,87186
CED303,14261,10764,5142,1808,81214
CED304,13653,7750,3355,1045,120247
CED305,11798,7012,3044,1028,74725
CED306,12660,7700,3410,1053,77564
CED307,12555,7849,3166,818,81336
CED308,14337,10656,5424,1546,99160
CED309,15735,12180,5894,2114,91651
CED310,15113,11924,6225,2116,91560
CED311,12029,7395,2949,766,70996
CED312,11384,7736,3680,1131,89332
CED313,12781,6953,2885,1059,111404
CED314,11467,8329,4245,1447,77088
CED315,11675,7093,3030,878,79562
CED316,13490,12352,6582,1827,72917
CED317,13405,9362,4148,1190,77283
CED318,15257,9709,3920,1040,91924
CED319,11139,7108,3805,1875,88880
CED320,13035,10703,5253,1458,86348
CED321,11581,8672,4116,1224,66998
CED322,12703,9492,4830,2072,88605
CED323,14679,11117,6014,2085,103256
CED324,11625,7662,3781,1363,94679
CED325,10901,6670,2921,836,86022
CED326,12710,9528,4962,1900,91465
CED327,10487,6975,2752,830,83502
CED328,13225,9554,5063,1703,96994
CED329,15343,13117,5962,1686,75708
CED330,13867,9222,3733,987,85141
CED394,1684,1277,239,26,9143
CED397,5,3,0,0,170
CED401,13507,9968,4308,1654,110539
CED402,12831,10223,4667,1500,74067
CED403,15076,12382,6252,2459,97997
CED404,13427,10181,4733,1462,73468
CED405,13539,9500,4425,1694,86771
CED406,12768,9950,4411,1428,81132
CED407,11195,8344,4396,1531,81175
CED408,16868,15213,7024,1887,91331
CED409,10042,6426,3043,1209,72700
CED410,15046,11986,6874,2692,104245
CED494,345,212,26,9,1909
CED497,0,0,0,0,9
CED501,11651,6670,3333,1059,84532
CED502,9780,6522,3077,1027,83524
CED503,12466,9960,5297,1678,75077
CED504,11581,8143,3909,1103,85011
CED505,15762,12146,7100,2933,106921
CED506,15125,8951,3475,923,97595
CED507,13134,10052,4433,1391,77737
CED508,12973,8511,3634,1354,90862
CED509,12254,8370,4157,1390,85230
CED510,15990,11431,4358,1345,89160
CED511,14250,10322,4762,1478,81493
CED512,11086,6026,2856,967,84338
CED513,13630,8937,4028,1630,111609
CED514,12771,8879,4253,2020,107112
CED515,15861,11962,5722,2185,101034
CED594,876,505,105,20,5668
CED597,48,15,0,0,428
CED601,8744,6891,3522,1175,53487
CED602,9098,7127,3486,1036,50315
CED603,8768,6909,3332,1252,63751
CED604,9736,7796,3795,1186,58950
CED605,9635,7606,3273,768,51574
CED694,137,108,14,3,760
CED697,0,0,0,0,14
CED701,7552,3777,1034,184,50693
CED702,7644,4334,1528,335,60447
CED794,441,228,30,0,2351
CED797,12,0,0,0,71
CED801,12983,9290,4518,1347,84511
CED802,12071,9269,4856,1906,94186
CED803,9300,6268,2810,708,87587
CED894,64,24,8,4,368
CED897,0,0,0,0,0
CED994,3,0,0,0,11
CED997,0,0,0,0,0
