CED_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
CED101,555,673,391,455,724,261,175,208,40,3493,883,865,576,954,1157,491,206,299,97,5528,1152,489,3319,1224,1413,586,681,704,170,9734,77,65,59,93,233,101,56,70,7,773,196,119,137,182,432,177,113,120,26,1507,58,142,61,64,145,44,30,54,15,613,108,214,92,113,188,91,80,93,183,1161,7974,18164,6052,5131,8190,3294,1990,2586,968,54347
CED102,624,724,482,461,671,330,208,302,72,3870,905,920,740,1129,1054,637,269,503,109,6261,984,549,2958,1145,1202,553,634,698,171,8901,85,50,72,100,185,98,42,88,18,740,190,152,139,214,446,186,104,134,31,1589,105,162,77,87,118,86,49,97,18,786,130,228,151,133,170,116,89,164,239,1419,9164,22793,6727,6141,8699,4302,2349,3787,1295,65248
CED103,740,850,413,387,705,272,126,182,53,3734,916,979,729,866,991,515,180,287,68,5513,1038,584,2723,910,1069,510,367,487,105,7789,92,74,66,69,186,84,31,58,8,655,204,191,140,172,422,146,67,84,17,1433,124,225,82,67,130,57,36,44,21,791,120,256,113,88,194,80,42,61,247,1206,12915,33880,6760,5155,10324,4280,1550,2239,1245,78337
CED104,812,942,341,376,771,233,67,109,40,3703,894,916,448,676,939,321,97,163,54,4502,1534,620,3378,892,1118,559,426,584,119,9231,101,64,54,71,194,69,23,47,4,628,261,218,159,151,430,164,61,93,14,1552,110,180,50,34,106,39,8,20,18,568,135,155,67,63,150,56,29,53,113,816,12013,23797,5812,3998,7911,2680,1022,1595,805,59631
CED105,301,350,311,318,432,180,174,259,48,2358,530,580,572,1069,832,400,312,488,107,4889,616,310,2339,1058,893,415,616,672,158,7079,46,23,64,122,157,75,70,83,4,648,88,80,124,187,279,111,100,144,32,1152,54,94,67,69,90,42,53,72,13,552,97,145,127,143,155,88,121,147,309,1343,4059,11183,4833,5028,5454,2537,2419,3069,1063,39642
CED106,739,900,255,334,644,231,70,123,52,3345,769,782,355,576,667,354,82,157,48,3796,691,426,1339,591,552,323,140,253,65,4375,57,38,32,54,102,53,18,29,6,391,200,177,77,115,279,118,24,63,21,1081,143,251,39,49,100,54,15,27,9,681,123,216,45,67,129,58,28,43,189,892,14878,30760,3588,3776,7927,3302,729,1329,1151,67439
CED107,583,623,262,490,431,127,83,134,34,2778,776,719,509,1266,885,259,168,219,67,4864,2580,929,7076,3068,2306,1100,2342,1930,322,21660,163,57,143,170,298,175,126,207,15,1348,220,100,127,274,390,147,126,173,23,1587,60,75,39,44,62,29,34,38,5,381,180,128,122,178,167,110,156,204,153,1406,7550,12765,8900,6934,5932,2347,3245,3348,768,51790
CED108,350,403,368,401,479,161,371,210,42,2783,619,761,594,1210,1050,430,679,374,116,5824,975,648,3771,1982,1679,706,1655,1190,243,12848,57,43,76,122,264,110,160,148,13,982,115,93,132,247,305,130,262,210,30,1522,50,150,44,79,110,43,107,69,17,673,88,176,127,173,181,81,240,164,320,1559,5524,15249,6813,6816,8477,2974,5290,3648,1236,56022
CED109,847,923,274,538,774,312,100,131,50,3942,1257,1018,535,1006,1264,521,114,153,92,5964,2116,788,5122,1264,1619,788,618,781,207,13314,106,64,47,89,237,126,43,48,8,757,330,191,157,199,586,214,78,101,27,1886,98,136,41,61,140,54,16,27,13,592,175,230,82,135,262,109,51,61,138,1241,10872,17773,7079,4751,7665,3191,1283,1602,885,55103
CED110,452,707,187,494,466,150,50,108,33,2657,739,729,414,1374,843,348,77,259,57,4828,1979,914,5443,3468,2169,1312,1006,1855,263,18408,118,58,88,235,242,196,60,175,7,1179,203,111,93,327,323,180,80,194,25,1527,36,94,38,61,77,25,8,51,8,398,168,163,144,225,155,113,100,205,175,1450,5850,12965,6903,7520,5518,2712,1467,3203,694,46839
