CED_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
CED101,3,10,14,15,17,28,0,5,0,101,0,0,8,11,9,5,4,0,0,40,49,151,439,504,642,638,163,29,0,2615,0,15,66,111,120,74,16,0,0,409,247,503,1146,970,826,620,117,20,0,4456,22,66,202,383,369,298,76,12,0,1422,263,587,798,622,466,315,98,17,0,3167,372,433,537,355,237,266,48,9,0,2258,44,172,528,782,923,884,179,14,0,3529,8,48,201,241,191,102,15,3,0,817,13,195,705,799,626,258,51,4,0,2641,17,60,146,160,161,106,30,5,0,685,14,320,991,1044,723,477,163,30,4,3765,19,124,353,249,224,197,60,11,0,1245,22,107,464,518,529,416,109,3,0,2172,68,133,385,319,311,308,110,8,0,1647,30,204,626,471,417,432,139,13,0,2332,41,79,111,114,83,63,23,3,0,516,48,114,266,274,276,298,72,18,0,1360,40,203,518,478,401,318,108,5,0,2077
CED102,3,7,29,25,12,8,0,0,0,93,0,0,13,10,10,11,0,0,0,47,29,168,561,548,464,482,127,7,0,2383,0,12,70,118,86,39,22,0,0,344,164,461,1634,1192,868,575,153,7,0,5055,14,84,338,338,328,249,55,3,0,1410,262,768,1300,783,495,351,119,20,0,4103,321,676,1052,591,366,254,73,9,0,3341,38,222,829,903,955,797,190,10,0,3937,11,75,319,375,269,98,23,0,0,1166,7,193,1018,997,499,217,33,10,0,2961,12,60,234,240,139,91,33,6,0,803,28,351,1710,1407,730,380,132,17,5,4761,19,217,507,328,266,221,86,4,0,1659,11,121,589,528,503,449,88,3,0,2277,60,171,508,504,397,318,95,4,0,2066,38,238,953,652,480,404,141,10,0,2920,32,88,203,157,133,83,22,0,0,727,38,144,335,324,322,262,64,16,0,1515,61,261,786,557,424,291,87,11,3,2493
CED103,5,4,33,16,18,27,5,0,0,106,0,3,17,22,25,7,0,0,0,79,22,133,599,715,594,516,150,16,0,2745,4,14,76,131,108,72,24,0,0,431,129,433,1310,1157,869,637,129,10,0,4686,24,100,466,711,504,383,82,11,4,2285,345,711,1010,736,468,410,139,18,0,3844,388,439,685,495,286,255,62,8,0,2620,23,112,461,571,524,514,141,12,3,2362,18,113,512,727,408,208,49,0,0,2037,12,267,1207,1498,857,408,93,5,3,4359,12,66,280,319,180,142,56,8,0,1065,43,542,2262,2320,1319,805,299,34,3,7623,14,93,334,306,296,238,87,6,0,1386,11,107,590,660,454,383,110,8,0,2335,130,317,685,611,441,409,150,21,0,2768,52,264,1030,730,626,502,219,35,0,3455,41,101,183,142,84,57,21,5,0,634,38,115,298,348,329,285,79,15,3,1497,40,166,710,678,412,323,91,16,9,2444
CED104,19,20,55,82,90,98,66,26,5,461,4,3,12,32,21,33,9,5,0,115,50,117,262,465,613,565,163,28,5,2273,4,15,53,106,127,106,30,0,0,435,321,680,883,994,1191,817,247,29,4,5163,34,60,189,387,526,421,112,34,0,1763,389,510,393,475,501,375,129,30,0,2801,503,228,142,194,178,134,43,12,0,1427,34,81,142,301,431,473,149,20,0,1639,20,58,181,407,439,230,50,0,0,1392,18,188,395,973,904,497,145,21,0,3138,31,57,92,190,162,157,77,20,0,785,56,393,744,1400,1532,1070,392,61,8,5647,37,65,129,228,255,233,82,11,0,1044,16,91,232,480,611,445,120,15,0,2012,137,271,304,410,531,451,171,13,0,2293,63,241,392,500,577,533,241,37,3,2593,63,87,90,95,109,70,35,7,0,554,57,137,194,225,307,283,105,20,0,1333,55,115,254,399,422,338,118,38,5,1742
CED105,0,20,27,22,11,19,7,0,0,101,0,0,10,5,7,8,7,0,0,36,39,208,628,593,736,816,165,18,0,3200,4,21,78,92,58,43,13,0,0,306,173,486,1255,958,774,504,97,11,0,4254,27,89,310,311,286,266,59,6,0,1352,241,684,1025,595,408,345,73,5,0,3367,303,459,512,330,220,215,53,4,0,2093,47,272,914,822,775,713,175,8,0,3736,14,44,202,208,126,54,10,0,0,655,7,161,502,368,182,86,15,0,0,1325,7,48,104,90,67,55,22,3,0,388,21,232,761,552,309,173,65,8,0,2129,22,238,375,248,188,156,56,5,0,1295,20,123,459,438,296,251,69,3,0,1659,38,122,320,246,192,173,42,6,0,1141,24,223,692,443,329,239,89,14,0,2048,26,58,94,61,38,40,12,0,0,341,43,118,290,273,262,207,66,12,0,1261,81,379,915,650,536,411,115,11,3,3091
CED106,11,8,13,22,32,35,26,17,0,158,0,0,6,30,35,37,19,5,0,127,26,83,251,401,437,349,136,22,0,1705,0,13,37,102,101,69,22,5,0,345,96,307,507,665,589,489,163,29,0,2851,20,79,207,432,506,372,93,23,0,1732,382,560,507,580,530,335,134,25,7,3061,418,336,353,329,238,175,66,4,0,1922,38,65,167,329,349,326,89,13,0,1372,16,75,231,485,499,228,38,3,0,1576,11,254,725,1747,1592,766,201,46,5,5343,22,52,174,296,282,190,83,22,7,1129,38,463,1191,2171,2047,1440,620,164,14,8147,23,103,205,232,264,201,94,18,0,1136,10,78,267,403,428,334,100,12,0,1630,208,338,338,374,426,381,177,42,3,2283,71,265,554,724,815,656,304,65,0,3452,57,97,107,106,97,55,25,3,0,540,27,93,172,201,206,178,89,12,0,980,47,110,296,463,499,298,108,31,6,1867
CED107,88,141,361,493,551,691,589,278,40,3228,38,278,1068,1122,940,557,65,6,0,4077,155,281,679,663,753,628,148,28,3,3321,12,43,134,186,205,206,24,0,0,818,445,718,1298,1057,965,742,259,21,0,5506,51,79,212,202,208,211,47,4,0,1025,492,391,613,405,378,337,133,22,0,2770,702,296,404,273,204,206,108,14,0,2212,44,80,267,337,452,502,223,39,0,1955,15,22,68,56,53,50,16,3,0,282,0,23,52,96,100,85,39,3,0,391,7,22,65,73,99,71,54,11,3,404,39,66,273,247,286,222,155,31,0,1322,38,98,163,146,180,187,62,8,0,885,39,125,521,634,820,685,154,10,0,2980,34,114,282,346,388,378,142,12,0,1699,30,185,552,520,515,486,176,14,0,2476,51,32,63,60,63,79,32,0,0,373,120,185,365,279,287,270,88,10,0,1603,107,156,326,290,369,298,123,54,3,1725
CED108,11,17,45,47,46,32,11,3,0,207,0,3,15,32,20,19,5,0,0,97,103,293,898,1165,1143,956,181,11,0,4744,5,34,151,201,167,127,16,0,0,706,200,600,1322,1108,810,509,112,4,0,4653,29,147,433,640,453,341,65,4,0,2104,334,695,1016,988,576,350,70,5,0,4038,529,258,363,309,162,128,23,3,0,1785,103,491,1456,1612,1206,949,222,9,0,6055,9,42,201,434,165,66,12,0,0,928,10,127,515,941,279,129,21,3,0,2021,12,34,115,146,95,54,14,0,0,468,18,194,737,1203,430,197,47,3,0,2832,43,162,330,379,229,206,53,8,0,1412,12,149,561,663,545,392,107,5,0,2439,42,116,299,300,243,164,58,9,0,1240,41,258,747,798,506,384,113,0,0,2853,14,60,89,75,47,39,11,0,0,338,64,165,374,360,324,228,62,12,0,1585,111,358,806,780,611,424,96,14,3,3190
CED109,0,5,10,20,29,18,8,9,0,95,0,0,17,28,29,26,5,3,0,110,64,125,331,455,584,553,179,37,0,2333,6,23,78,101,158,78,34,0,0,479,467,902,1886,1495,1358,836,224,28,4,7201,15,64,174,310,362,310,82,21,4,1347,346,381,434,465,476,432,142,18,3,2705,448,225,270,271,240,179,66,18,0,1711,46,130,382,626,873,743,200,20,0,3023,15,67,138,207,200,82,28,0,0,732,8,152,478,639,580,301,68,5,4,2241,11,81,176,215,208,165,83,21,11,967,27,250,698,861,784,553,301,60,4,3536,25,54,160,215,247,217,62,18,0,999,14,122,582,566,608,453,102,5,0,2457,66,100,308,294,326,275,126,12,0,1513,42,128,384,400,376,406,179,46,4,1972,59,83,157,141,107,74,17,7,0,644,63,98,324,246,282,269,80,26,0,1396,67,128,361,418,405,305,107,23,8,1821
CED110,46,76,243,272,310,339,265,100,15,1662,0,8,36,65,73,47,6,0,0,235,85,163,367,399,418,383,106,9,0,1927,14,20,131,212,229,194,26,0,0,821,303,611,1167,1082,1079,987,256,18,0,5507,38,65,132,160,199,175,49,4,5,820,604,404,584,532,525,478,189,30,5,3350,782,369,469,380,350,302,116,21,5,2794,30,65,201,267,395,510,188,22,3,1683,17,23,44,58,67,62,17,7,0,291,0,13,86,109,118,100,32,6,3,472,3,21,39,64,83,95,58,6,3,372,19,59,240,286,323,267,170,27,0,1387,41,72,206,224,295,289,85,7,0,1215,13,80,329,488,615,486,93,4,0,2097,36,73,326,402,448,416,150,12,0,1859,52,184,632,717,786,755,240,20,0,3384,58,41,71,75,110,71,28,5,0,465,84,134,251,244,313,243,78,10,0,1349,83,132,297,313,316,291,94,42,5,1584
