CED_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
CED101,29,124,350,379,284,197,60,14,0,1443,1467,3628,8143,8129,7571,5573,1215,111,5,35835,3,12,20,28,26,35,4,3,0,143,0,0,12,16,16,10,4,0,0,59,92,209,642,827,989,952,229,32,0,3967,5,24,97,149,171,88,16,0,0,553,263,561,1385,1232,1085,741,146,26,0,5449,33,121,365,608,644,464,120,14,0,2362,665,1219,1533,1266,1035,757,201,23,0,6702,852,756,866,625,489,502,77,6,0,4169,59,249,761,1132,1277,1116,217,21,0,4836,17,101,354,379,275,153,27,3,0,1313,22,376,1326,1630,1298,571,91,8,0,5321,30,123,312,345,306,190,42,14,0,1369,46,681,1836,1832,1316,839,248,41,4,6849,40,247,664,509,477,386,119,13,0,2452,45,209,832,999,1035,786,180,3,0,4093,215,527,1436,1356,1435,1192,319,18,0,6504,147,1014,2623,2029,1904,1792,451,36,0,9997,113,162,227,204,142,121,39,3,0,1014
CED102,29,209,596,428,304,203,54,10,0,1835,1119,4179,12397,9482,7706,5020,1084,79,7,41074,3,12,47,41,24,16,11,0,0,147,0,5,21,18,17,15,0,0,0,73,48,263,894,833,751,765,176,11,0,3743,0,18,109,152,110,55,25,0,0,472,169,523,1969,1464,1072,678,172,12,0,6058,29,152,602,601,566,390,88,8,0,2439,560,1491,2429,1579,1166,772,200,29,0,8232,715,1170,1795,989,655,485,111,10,0,5931,58,319,1179,1323,1325,1038,228,11,0,5470,17,142,575,612,431,166,37,3,0,1994,14,370,2004,1929,1148,470,63,10,0,6001,29,130,463,449,281,150,44,10,0,1563,62,744,3270,2439,1309,697,207,23,0,8754,28,395,1100,719,592,462,153,10,0,3459,21,219,1104,1075,1074,791,149,6,0,4443,159,513,1651,1527,1464,965,247,16,0,6552,128,1177,3743,2377,1937,1624,440,24,0,11454,66,165,384,315,226,140,36,5,0,1333
CED103,25,141,576,570,315,230,64,14,0,1936,1545,4074,12680,11581,8514,6086,1472,130,4,46095,4,10,45,39,41,36,6,0,0,188,0,7,30,37,35,14,0,0,0,130,65,211,1028,1209,967,774,195,17,0,4473,4,20,123,208,164,102,30,0,0,655,134,499,1640,1528,1135,778,165,17,0,5894,34,180,915,1283,899,589,129,15,4,4048,805,1413,2042,1494,1020,844,251,21,0,7900,832,865,1249,885,578,441,109,8,0,4965,24,156,666,784,700,669,166,15,3,3177,33,196,917,1110,634,321,68,5,0,3286,26,485,2435,2713,1561,750,157,10,4,8137,19,133,600,616,355,263,82,17,0,2083,83,1005,4252,3961,2240,1319,430,62,3,13361,31,171,650,609,543,448,147,12,0,2609,27,211,1030,1160,867,733,182,7,0,4221,322,792,2115,1912,1693,1386,378,47,5,8642,195,1090,3469,2765,2396,2039,654,68,0,12693,112,196,350,264,166,115,30,3,0,1234
CED104,35,105,209,346,316,192,68,17,0,1290,2010,3178,4964,8349,9236,6614,1805,201,11,36370,30,27,86,107,169,170,105,35,3,744,4,7,17,33,36,34,10,4,0,140,128,187,410,777,984,792,232,41,5,3561,4,20,75,147,169,132,36,0,0,579,334,749,1063,1324,1532,1071,310,40,4,6423,43,109,313,733,888,645,177,43,0,2953,939,1046,798,990,1078,828,260,44,4,5982,1079,454,280,364,337,286,64,15,0,2876,49,113,200,421,604,577,178,23,0,2166,31,119,303,653,631,304,79,3,0,2130,26,295,739,1858,1479,821,212,30,0,5461,50,106,209,361,350,297,109,31,0,1516,125,788,1410,2452,2549,1688,586,88,8,9700,45,125,246,433,476,407,130,18,0,1884,28,149,443,920,1084,755,177,18,0,3574,398,732,1003,1637,2246,1715,515,31,5,8275,262,947,1524,2090,2590,2253,715,78,4,10456,126,155,157,186,222,132,48,6,0,1030
CED105,70,235,536,364,299,200,54,4,0,1758,1116,3756,7407,5428,4943,3577,824,38,0,27092,0,24,33,31,23,34,10,0,0,160,0,3,12,8,11,9,7,0,0,47,62,298,877,868,1184,1210,240,21,0,4743,4,27,97,114,85,60,16,0,0,412,189,553,1435,1130,907,577,115,10,0,4913,36,167,487,466,454,408,80,6,0,2098,550,1315,1750,1092,864,652,147,13,0,6381,635,802,839,569,472,394,81,4,0,3795,69,344,1137,1042,987,893,214,11,0,4700,18,88,290,274,172,80,16,0,0,940,21,380,952,690,449,203,52,3,0,2749,16,72,209,160,139,87,30,3,0,710,40,462,1338,902,499,308,106,12,0,3663,36,378,667,448,395,340,97,9,0,2373,38,220,741,724,542,421,105,6,0,2803,128,470,1204,1016,753,580,148,11,0,4312,133,1197,2670,1615,1455,1110,292,14,0,8488,50,110,163,113,66,60,22,0,0,587
CED106,44,117,292,447,359,191,71,13,8,1542,1755,3366,6402,9821,9604,6084,1880,301,22,39242,24,15,24,43,55,49,40,18,3,280,0,5,21,46,49,40,21,5,0,189,78,153,429,701,721,507,187,24,0,2803,0,19,52,147,152,84,25,5,0,481,106,346,645,892,822,619,201,33,0,3664,28,140,391,833,892,596,145,33,0,3071,832,1109,1037,1141,1012,680,264,51,7,6130,905,597,604,610,454,313,114,6,0,3604,39,76,249,497,505,412,115,12,0,1915,39,150,401,791,752,353,67,8,4,2552,30,407,1365,3109,2581,1160,289,59,6,9011,38,111,323,585,557,340,145,45,7,2157,86,952,2180,3753,3439,2239,881,213,20,13759,41,154,349,455,517,371,150,24,0,2062,16,125,500,816,850,580,157,20,3,3062,495,789,1031,1425,1854,1425,497,91,3,7616,232,999,1975,2514,2824,2265,801,135,0,11748,112,185,187,218,199,114,43,3,0,1074
CED107,86,95,201,177,191,177,73,35,5,1041,2435,3082,7506,7454,8004,6604,1822,267,27,37199,127,202,486,674,772,979,859,401,51,4549,46,322,1264,1264,1035,599,75,6,0,4608,241,364,915,916,1002,847,195,32,4,4524,13,53,169,230,258,235,30,0,0,984,474,778,1468,1265,1142,898,303,23,0,6353,64,126,290,282,294,302,72,11,0,1452,1168,840,1402,1073,1054,956,281,35,0,6807,1528,709,935,685,597,559,214,18,5,5253,55,111,351,462,628,669,268,42,0,2597,20,52,123,129,108,85,26,4,0,558,12,71,222,245,265,180,64,5,0,1065,21,56,165,156,221,158,84,15,3,871,73,169,656,609,634,493,236,36,0,2911,57,184,420,426,515,484,114,11,0,2216,62,261,1121,1366,1656,1203,246,11,0,5933,159,434,1290,1583,1839,1387,380,32,0,7108,279,1043,2622,2432,2540,2400,617,44,0,11978,127,73,149,135,133,133,46,6,0,808
CED108,92,216,554,494,328,193,52,11,0,1932,1718,3928,9750,10135,7104,4705,927,44,5,38318,9,22,79,84,80,67,17,3,0,364,0,6,21,37,19,20,5,0,0,107,125,405,1314,1684,1674,1353,233,9,0,6804,5,42,217,274,231,163,22,0,0,956,214,673,1589,1404,1023,610,140,4,0,5657,44,235,697,1027,692,506,85,10,0,3297,767,1458,2080,2005,1270,804,160,11,0,8566,1209,631,722,557,375,284,50,3,0,3837,143,653,1872,2142,1609,1234,276,9,0,7938,24,76,346,589,220,100,17,0,0,1380,21,324,1240,1757,732,342,57,3,0,4477,27,99,245,278,151,79,25,0,0,895,48,396,1413,1857,676,311,81,8,0,4784,77,324,723,777,511,406,82,8,0,2906,35,258,1000,1238,990,716,163,5,3,4409,156,459,1271,1175,960,640,160,20,0,4837,160,1103,3310,3469,2483,1727,412,16,0,12681,43,127,180,131,76,71,16,0,0,655
CED109,46,131,304,300,281,176,64,18,14,1333,1798,3217,7485,7810,8289,6002,1670,173,24,36469,3,11,14,34,44,27,17,9,0,154,0,0,22,36,32,31,5,3,0,137,123,195,501,692,901,782,265,49,6,3500,6,27,102,143,208,107,39,0,0,626,492,985,2164,1824,1687,1022,282,41,4,8506,33,127,336,553,612,491,126,25,4,2308,837,868,1024,1068,1181,1001,292,37,3,6311,1025,501,549,509,480,336,109,24,0,3539,65,217,686,978,1340,1056,267,25,0,4630,32,123,303,344,297,122,36,0,0,1259,22,294,1000,1305,1173,610,122,15,6,4555,35,167,400,426,409,311,128,30,11,1919,80,622,1594,1772,1505,1028,471,78,3,7138,39,111,384,484,565,395,113,25,0,2102,23,248,989,1023,1123,775,167,12,0,4366,218,429,1345,1281,1523,1206,417,26,0,6441,192,785,1837,1800,2015,1889,567,90,8,9192,118,159,284,254,227,148,39,4,0,1233
CED110,87,95,156,205,236,179,71,33,10,1060,2443,2624,5834,6770,8005,7147,1769,208,20,34816,69,117,359,395,435,503,368,156,21,2423,0,10,36,73,81,53,6,0,0,262,137,210,477,517,559,547,157,17,0,2615,14,16,169,292,346,271,30,4,0,1145,321,642,1306,1259,1267,1148,303,26,0,6260,45,79,177,220,266,244,75,9,5,1120,1354,843,1188,1176,1265,1192,367,54,5,7439,1772,868,1005,869,824,716,207,29,5,6299,43,93,257,347,520,651,221,28,6,2164,37,31,85,114,106,110,23,4,0,518,11,46,185,244,285,223,50,13,3,1064,18,63,140,158,211,190,94,9,3,887,35,127,505,659,658,565,270,39,0,2861,63,130,405,520,609,618,151,9,0,2506,33,164,629,931,1167,831,156,4,0,3915,121,306,1141,1481,1804,1454,366,25,0,6695,251,931,2503,2679,3367,3288,790,50,0,13863,114,73,140,149,190,117,60,6,0,854
