CED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,91,227,502,513,499,472,100,23,0,2414,63,327,868,856,688,517,163,17,7,3514,2797,7147,16662,16542,15129,11680,2795,312,16,73074
CED102,62,221,668,619,578,428,104,18,0,2694,94,463,1388,992,724,497,140,19,7,4322,2261,8486,25400,20058,15442,10618,2632,226,17,85136
CED103,71,237,600,647,584,493,128,15,3,2783,66,311,1287,1242,724,549,161,32,5,4377,2884,8186,25445,24481,17312,12673,3466,376,33,94855
CED104,136,255,348,448,616,496,161,33,0,2496,95,218,457,744,736,527,190,56,6,3030,3925,6589,10092,16676,18777,13928,4298,640,45,74975
CED105,66,206,544,465,446,316,97,13,0,2154,153,613,1451,1018,831,610,163,16,3,4852,2241,7730,16884,12730,10750,8341,2040,156,5,60874
CED106,79,193,361,426,472,342,126,24,3,2024,94,220,592,911,856,488,179,50,13,3406,3272,6738,12717,19918,19566,12988,4450,862,83,80589
CED107,206,314,688,543,559,453,136,19,0,2931,192,248,528,463,561,474,201,79,13,2760,4936,6412,15282,14946,15827,13498,4450,839,91,76265
CED108,97,250,558,553,450,351,81,10,0,2345,206,576,1358,1273,939,612,145,23,3,5125,3416,8122,20231,22319,15160,10401,2226,139,9,82020
CED109,140,211,635,529,534,460,126,28,0,2660,108,260,670,722,682,475,171,46,15,3151,3593,6339,14824,15777,16525,12285,3779,555,57,73740
CED110,149,238,513,525,535,439,142,14,0,2550,166,227,450,520,547,471,167,76,22,2650,4750,5219,11675,13114,15047,13628,4023,572,64,68093
CED111,148,358,611,527,515,433,98,20,0,2712,106,305,633,572,483,364,82,18,9,2568,4218,8668,16764,15754,15627,11345,2602,264,26,75267
CED112,146,298,648,571,592,418,109,10,0,2795,151,266,604,625,607,470,123,44,9,2899,4829,6402,14153,15135,15196,11626,2854,315,29,70527
CED113,189,287,572,524,535,421,147,30,0,2697,175,242,600,581,573,513,200,50,21,2944,4639,5881,15127,15925,17761,14580,4573,777,92,79354
CED114,197,309,630,551,522,431,155,24,0,2826,251,342,711,628,618,599,226,93,20,3479,5194,6498,15455,15060,16018,15013,5129,869,106,79341
CED115,62,191,515,477,471,308,79,7,0,2102,136,419,958,881,907,720,136,16,3,4183,2185,6528,14146,11532,11127,8969,2089,136,13,56720
CED116,146,217,483,454,513,435,141,21,0,2409,178,195,437,427,526,455,159,44,15,2434,4256,4827,11500,12450,13843,13369,3872,481,41,64638
CED117,67,182,691,607,532,341,133,8,0,2561,47,249,988,815,636,333,126,25,3,3220,1930,6410,23975,21415,17448,10597,3136,358,20,85290
CED118,122,258,653,716,588,387,93,5,0,2821,127,427,1300,1535,921,521,124,14,0,4976,3934,8422,21545,29388,18917,10898,2513,162,13,95788
CED119,164,273,542,587,643,455,124,20,0,2809,114,195,562,679,615,431,144,30,4,2768,4287,6775,13993,17754,17654,12231,3127,321,11,76164
CED120,240,365,757,703,722,491,151,12,0,3447,230,366,770,730,773,569,187,47,6,3684,5451,7409,17066,17618,17798,13467,3914,563,46,83323
CED121,263,404,883,669,702,415,118,24,0,3484,200,339,693,626,597,430,137,35,8,3070,5301,7169,16734,16082,16175,12240,3041,391,33,77165
CED122,80,240,832,627,539,400,114,18,5,2848,85,392,1464,981,690,410,167,37,8,4239,2853,8747,27884,21775,17324,11400,3264,412,35,93684
CED123,194,351,826,700,572,388,108,8,0,3148,200,446,1032,973,879,552,158,29,6,4270,4902,8938,21139,20951,16984,11688,2774,241,16,87639
CED124,145,215,448,476,560,481,153,6,0,2484,180,196,349,400,552,487,185,69,22,2448,4291,4180,9069,10913,13673,13220,4015,635,71,60066
CED125,147,334,795,696,520,424,127,6,4,3057,219,488,1301,1212,863,582,152,17,5,4841,4362,8215,22886,23008,16569,11855,2750,200,14,89856
