CED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED101,81,182,6,5814,117,28,31,97,53,95,22,47,40,160,488,1177,13,0,13,14,7,9,0,4,6,25,83,177,4383,1040,565,4196,1561,3288,759,1314,880,3063,622,21679
CED102,75,212,7,5120,83,23,38,71,37,82,19,39,46,161,452,1063,10,0,14,7,9,8,4,4,13,28,115,217,4098,1055,539,3752,1352,3174,736,1622,880,3559,628,21395
CED103,62,226,5,8774,161,43,23,96,48,92,27,47,29,115,583,1265,24,0,6,7,4,10,0,0,9,9,96,175,6592,1273,525,5151,1436,4613,578,1539,673,2677,744,25802
CED104,59,190,11,10726,246,41,23,202,39,126,24,47,23,118,457,1338,11,3,16,12,5,8,5,3,3,15,67,158,7059,1217,321,6305,1282,3638,392,1183,330,1798,561,24086
CED105,70,254,8,2490,78,20,43,44,31,125,22,62,87,278,603,1380,11,0,13,6,7,9,3,7,24,65,246,379,2327,738,648,2158,967,3858,627,2181,1538,6984,960,22985
CED106,58,328,17,13433,240,48,14,184,48,143,18,33,27,96,700,1562,9,5,14,13,4,13,6,0,7,14,65,144,7401,1311,264,6056,1177,4794,389,1248,356,1964,799,25758
CED107,4,28,7,3097,273,36,15,268,43,86,18,50,22,99,787,1679,22,5,17,25,3,4,0,0,4,10,50,148,4737,658,173,5550,867,2134,275,677,209,1135,878,17294
CED108,55,145,15,4044,151,26,38,82,44,142,39,59,68,214,777,1635,15,0,21,3,5,16,0,4,18,32,153,267,6536,953,573,4256,1722,5187,745,1879,1078,3968,1048,27941
CED109,58,187,11,7641,175,39,36,169,43,97,33,50,30,92,434,1192,9,0,12,10,7,4,0,3,4,13,52,123,4391,1199,359,5160,1436,2659,605,1099,409,1587,523,19431
CED110,9,24,0,1884,186,47,21,172,31,73,13,60,21,106,515,1248,17,0,7,10,0,4,0,0,3,29,51,122,3377,1111,156,4444,580,1716,237,1022,213,1576,613,15044
CED111,30,102,4,5204,153,39,24,160,40,90,16,57,22,97,426,1123,3,0,9,17,7,7,0,0,3,10,47,112,3809,1018,298,5399,1388,2530,508,1014,331,1677,512,18465
CED112,24,50,3,3028,168,45,24,178,52,100,25,38,19,115,518,1296,10,4,15,13,6,7,7,3,7,10,51,138,3475,1087,359,5001,1387,2558,638,1021,396,1511,607,18035
CED113,21,73,5,4698,354,46,15,208,43,85,18,39,18,86,603,1516,17,3,10,11,3,5,0,0,0,11,51,116,5633,832,210,5197,894,2009,251,703,182,1018,690,17638
CED114,8,21,3,2210,350,26,17,337,31,113,11,42,15,82,683,1706,19,6,7,16,4,11,4,0,9,15,65,156,4548,683,148,5948,777,2208,231,705,188,1065,808,17319
CED115,87,300,0,2386,65,16,33,46,34,90,22,64,62,285,466,1174,5,0,7,4,5,6,8,0,16,71,134,256,2271,687,574,1882,884,3473,516,1845,1246,7318,693,21399
CED116,14,48,0,2177,155,53,13,179,31,72,18,59,14,129,572,1307,12,0,7,15,6,3,3,0,5,21,39,112,2969,1014,169,4589,696,1862,296,894,227,1518,643,14878
CED117,39,84,8,8587,128,12,12,67,21,56,15,18,12,59,285,692,9,0,10,4,0,0,0,4,3,13,22,71,4958,727,186,4046,1132,2241,291,674,242,1086,332,15905
CED118,70,142,6,8226,183,24,49,132,61,144,25,48,32,129,641,1463,21,3,26,14,3,11,0,8,6,21,129,244,9318,1178,672,6135,2203,5612,850,1534,790,2740,864,31890
CED119,47,122,3,7807,179,47,26,153,51,102,26,35,25,90,474,1214,16,0,11,16,14,14,3,5,7,13,59,148,5673,1132,403,6331,1773,2909,686,1005,432,1571,570,22491
CED120,46,64,8,4847,283,43,28,197,70,108,34,54,25,87,595,1520,14,0,21,25,8,11,0,0,12,18,82,191,5491,1183,472,6177,1652,2918,717,1011,476,1443,713,22259
CED121,24,44,4,3277,224,36,15,225,38,114,31,68,22,131,761,1673,12,0,12,16,12,5,0,0,10,17,53,134,4254,840,262,5962,1076,2783,409,885,302,1602,867,19241
CED122,37,154,4,8215,166,40,23,127,37,85,10,44,34,102,437,1106,25,5,9,22,3,10,3,3,3,9,61,159,5181,1059,282,4812,1366,3037,483,1059,396,1779,551,19998
CED123,35,74,7,4577,181,28,27,121,79,107,40,45,30,88,642,1392,17,3,19,12,15,4,0,0,12,16,89,197,5773,1113,478,5148,1837,3838,738,1297,619,1936,795,23569
CED124,9,42,8,1829,185,54,21,216,35,87,17,68,15,130,517,1342,11,0,12,13,6,6,0,0,0,21,49,128,3083,844,175,4262,599,1681,257,831,215,1583,612,14145
CED125,60,120,6,4493,170,42,39,108,54,142,31,69,65,184,736,1630,14,0,16,19,0,8,9,5,13,22,144,240,5825,1281,741,5286,2020,5051,918,1928,1061,3455,948,28499
CED126,51,181,14,9793,194,65,17,224,61,103,31,59,23,97,432,1312,8,3,10,12,3,6,0,3,0,15,49,121,5301,1336,278,6523,1420,2863,522,1028,307,1334,510,21405
CED127,28,68,3,4412,154,45,25,158,45,75,34,33,25,62,453,1107,23,0,13,12,7,10,4,3,10,18,39,125,3935,1136,356,4865,1354,2455,589,958,382,1277,513,17819
CED128,83,267,0,3395,105,22,34,71,43,109,21,60,81,279,487,1299,7,0,15,7,0,10,8,8,8,64,176,305,3336,715,576,2822,1103,3401,634,1729,1216,7092,765,23392
CED129,63,214,8,12544,272,48,35,178,46,122,30,40,38,108,628,1545,18,7,24,19,6,13,0,0,9,7,93,194,9727,1383,484,7044,2001,5026,718,1355,593,2239,774,31350
CED130,8,34,7,1886,283,34,16,192,24,67,14,46,12,72,626,1383,13,0,7,17,0,9,4,8,3,19,49,124,4251,602,167,4308,640,1863,207,655,178,1180,717,14762
CED131,27,70,5,4721,198,25,9,163,29,60,14,33,13,64,560,1171,12,0,6,18,3,5,5,0,0,9,32,78,4042,966,175,5881,882,2092,318,803,192,1112,621,17080
CED132,67,232,11,11850,176,40,16,131,22,112,8,40,22,60,471,1093,16,4,7,3,6,10,3,3,0,10,63,117,6048,885,222,4804,1239,3596,291,912,274,1221,570,20068
CED133,8,24,3,1611,206,68,16,203,21,81,19,62,21,107,623,1429,13,0,10,16,3,4,0,3,3,18,60,135,3517,1056,171,4584,553,1887,273,930,239,1510,745,15465
CED134,10,20,0,2069,410,22,27,232,25,75,21,35,10,84,757,1694,27,4,8,14,8,5,3,3,14,24,61,174,4327,458,171,4260,746,1769,193,461,170,998,875,14431
CED135,72,174,8,5085,91,18,37,70,29,87,26,51,48,158,648,1264,14,0,22,9,3,7,0,3,10,29,169,257,5796,1060,593,3871,1392,5484,618,1813,1043,3996,902,26562
CED136,17,45,6,2834,226,36,17,206,39,113,25,43,27,109,896,1737,15,0,9,13,3,4,6,3,9,15,61,135,4321,851,219,5960,1010,2825,357,952,310,1559,1011,19387
CED137,56,220,9,8197,129,39,18,90,31,81,21,44,28,129,542,1151,11,3,19,6,4,6,6,0,8,13,78,156,5419,1316,500,4441,1363,3962,545,1461,710,2704,685,23107
CED138,27,39,10,2560,159,70,20,206,32,91,24,64,19,98,621,1399,19,3,13,18,7,4,0,3,8,17,79,157,3086,1405,178,5007,678,1905,375,1091,242,1305,756,16028
CED139,7,21,7,2254,343,34,17,262,36,98,17,50,12,101,707,1667,13,0,15,23,5,8,0,0,6,24,50,149,4516,560,176,5217,744,1964,200,608,176,1169,810,16132
CED140,27,54,5,4074,161,48,16,170,38,78,28,46,18,98,413,1109,11,3,15,13,6,11,0,0,0,7,43,107,3372,1079,288,4834,1177,2397,558,1005,335,1339,481,16859
CED141,17,61,8,3636,183,27,14,189,29,85,31,43,16,96,558,1269,9,4,8,16,7,0,3,0,5,11,27,94,3731,892,204,5722,995,2025,376,805,261,1381,623,17022
CED142,31,91,12,4948,67,11,13,42,15,30,3,12,3,29,243,468,6,0,5,3,0,3,0,3,0,4,37,60,2840,574,189,2275,841,1663,259,613,212,927,303,10685
CED143,56,233,12,11571,236,34,13,201,44,132,9,53,12,72,425,1230,14,0,11,7,3,5,9,0,12,9,47,122,5338,919,203,5341,1206,3436,302,925,234,1016,494,19426
CED144,75,226,4,3671,63,37,36,58,29,79,20,63,92,247,571,1303,4,0,13,3,8,4,5,9,18,57,163,279,2787,956,671,2777,1108,3593,711,2169,1483,5964,821,23031
CED145,62,185,19,9241,154,37,19,153,37,126,14,46,20,65,385,1055,17,3,13,13,0,9,0,4,10,11,52,129,3922,745,193,3830,902,2698,235,754,179,765,461,14688
CED146,97,285,3,4659,124,26,57,89,46,141,28,70,81,291,664,1615,11,3,19,8,8,17,5,7,11,51,176,317,4951,1056,750,3957,1620,4764,879,2313,1443,6429,943,29103
CED147,41,70,5,3574,180,39,19,174,57,107,24,51,23,109,615,1406,6,0,12,13,4,10,8,0,7,17,65,136,3957,1015,307,5746,1454,2669,555,1025,452,1752,713,19639
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,22,84,0,4602,178,44,25,211,30,117,18,55,20,114,438,1246,15,0,16,16,9,7,4,3,0,18,37,126,5367,1088,207,7054,895,3596,297,1125,251,1628,513,22010
CED202,12,27,0,2581,185,39,17,220,22,104,12,36,20,58,504,1224,12,0,5,15,4,0,3,3,5,17,48,120,3346,863,154,5646,809,2338,258,797,202,1050,592,16046
CED203,9,23,9,2268,180,49,22,196,26,82,13,41,24,70,488,1187,13,0,18,14,4,3,6,3,9,20,40,131,3259,974,191,5497,793,2153,309,791,244,1054,569,15832
CED204,11,116,5,3174,201,45,29,178,28,147,21,82,41,175,594,1537,15,7,21,17,11,10,0,3,18,26,107,229,4844,1119,216,5832,831,4879,276,1847,401,3067,780,24093
CED205,18,146,9,2659,122,32,30,131,32,126,25,66,67,270,683,1574,13,5,16,20,9,18,11,6,23,67,208,379,4401,1131,222,5434,877,5699,333,2751,642,5513,1011,28006
CED206,20,58,9,3924,236,54,23,287,41,122,33,55,28,82,459,1425,21,4,22,30,7,16,0,0,4,9,66,179,4273,1057,241,7663,1155,3123,348,903,257,1196,558,20774
