CED_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
CED101,0,3,0,3,4,3,7,17,148,0,167,0,7,0,9,0,3,10,9,32,0,48,3,12,7,25,5,8,17,39,66,0,103,0,16,7,26,6,6,9,34,102,0,138,3,31,10,43,9,13,22,66,177,0,243,13,47,26,87,15,12,30,120,254,4,381,31,114,38,184,8,11,17,199,261,9,472,63,125,46,229,11,5,16,248,349,0,600,110,133,52,299,7,6,16,314,369,0,684,178,127,65,369,8,4,9,377,265,0,641,163,101,44,308,4,0,5,316,203,4,520,141,69,27,241,0,3,6,243,164,3,413,341,111,69,525,4,7,16,535,320,0,857,174,59,34,264,4,3,8,270,165,0,438,160,55,29,239,5,0,0,239,68,0,308,69,26,0,99,0,5,5,102,54,0,152,191,39,15,254,3,4,8,255,91,0,349,111,52,33,202,0,0,8,205,159,17,383,7,6
CED102,0,0,3,4,6,6,8,11,202,0,221,0,8,0,9,0,0,0,9,41,0,50,0,7,9,12,0,3,4,24,78,0,95,4,14,9,27,11,3,13,39,110,0,152,3,43,13,55,6,12,18,71,182,0,254,6,84,25,107,22,15,39,149,263,0,411,34,104,34,165,8,15,24,193,266,0,461,63,102,24,185,19,17,29,212,410,7,628,125,120,50,299,8,5,18,312,404,7,719,155,135,47,336,18,5,21,364,349,0,714,169,92,41,302,11,3,10,314,244,0,556,179,85,28,296,7,3,7,303,214,5,519,355,135,48,535,8,4,15,548,322,4,870,162,72,26,257,0,3,7,264,201,0,458,127,52,16,192,4,4,4,200,71,0,264,56,19,5,88,0,0,5,89,52,0,140,213,45,20,276,4,0,4,280,72,0,357,119,62,27,207,3,0,7,219,150,20,388,6,3
CED103,0,0,5,6,8,8,18,25,225,6,256,3,6,0,12,0,0,0,13,46,0,56,0,12,6,18,0,9,9,21,72,0,96,0,26,11,38,3,8,10,48,85,0,132,4,42,13,54,10,4,14,67,114,5,183,12,63,19,93,16,14,28,123,165,0,289,22,103,36,165,13,15,24,189,198,0,391,50,102,26,182,6,4,15,200,287,0,488,128,154,39,323,10,9,16,337,235,0,580,161,120,38,318,4,11,13,330,254,7,587,172,77,21,275,0,6,11,285,166,0,451,161,77,23,253,0,4,4,257,154,0,413,479,115,42,640,11,5,13,650,201,0,856,176,49,19,252,4,3,5,253,146,0,398,161,36,6,210,0,4,3,216,80,0,294,72,25,10,107,0,0,0,111,48,0,157,284,47,8,335,6,0,11,345,90,0,440,127,53,20,200,5,5,8,205,129,20,351,0,5
CED104,0,4,0,3,13,0,12,17,102,0,120,0,0,0,0,0,0,0,0,25,0,27,0,0,0,3,0,5,5,11,33,0,43,0,10,6,14,3,3,10,24,43,0,69,5,12,9,22,4,6,6,31,73,0,110,12,32,6,47,5,7,13,64,82,0,141,14,71,19,103,5,8,14,117,101,0,220,34,85,22,134,3,7,4,143,159,0,301,79,110,15,200,0,4,6,208,139,0,344,106,118,25,245,4,3,11,251,144,0,399,134,85,22,237,5,0,7,243,109,0,351,151,82,18,254,0,4,4,254,83,0,337,331,105,22,460,3,5,4,459,157,4,618,141,69,18,224,8,0,8,231,109,0,337,134,37,14,186,6,0,0,190,35,0,230,61,20,10,84,0,0,0,84,26,0,115,293,59,4,351,0,0,5,356,53,0,410,129,52,25,202,6,3,13,217,94,3,312,3,6
CED105,0,0,6,7,10,11,20,27,301,5,336,0,3,0,7,0,6,6,18,47,0,66,0,23,9,30,7,7,19,42,134,0,184,0,17,6,35,15,16,27,56,229,0,287,3,46,18,68,6,11,21,88,354,0,444,19,83,32,127,25,15,38,167,465,7,638,37,114,36,187,19,18,36,227,509,6,735,73,128,55,261,13,15,29,285,600,7,893,140,133,40,308,17,10,32,341,481,5,823,149,113,60,322,12,20,35,353,430,3,786,131,70,42,240,7,5,11,258,296,4,554,114,68,28,219,3,5,10,230,233,0,465,204,100,61,366,11,7,14,379,348,0,725,122,55,30,211,5,11,16,222,181,0,410,91,33,14,135,0,7,4,141,99,0,243,42,18,10,69,3,3,0,72,49,0,128,84,37,19,137,3,0,3,141,89,0,234,65,36,39,142,13,8,20,161,209,48,415,9,7
CED106,0,7,5,9,18,7,27,33,283,0,317,0,3,0,9,4,5,8,11,50,0,64,0,12,0,12,6,3,8,17,65,0,88,0,15,3,20,4,10,11,27,71,0,99,0,19,7,29,3,5,16,42,101,0,137,8,55,14,76,13,9,19,96,120,0,218,19,66,17,111,9,3,12,120,109,0,233,30,73,19,124,0,10,11,135,156,0,289,91,126,22,235,10,0,10,243,184,4,435,122,112,22,250,10,8,16,275,161,0,435,120,95,11,223,3,6,5,232,129,0,361,151,77,19,246,0,10,8,256,94,0,345,398,132,23,551,0,8,11,561,183,0,743,115,61,24,204,4,6,9,208,111,0,319,177,38,8,230,5,0,5,234,68,0,302,45,12,5,62,9,4,6,71,56,0,120,434,82,14,525,10,3,10,537,142,0,676,160,74,21,257,6,0,7,266,105,10,379,8,0
CED107,0,0,6,3,4,4,7,13,68,0,88,0,5,0,7,3,0,4,10,28,0,38,5,22,5,19,6,5,11,34,54,0,88,4,31,9,46,12,16,29,75,131,0,212,14,55,7,76,16,11,30,104,216,0,323,25,166,24,216,18,32,49,265,331,6,602,67,259,31,358,21,20,38,401,305,6,714,166,281,29,482,20,7,27,513,408,7,930,275,236,37,551,11,11,19,568,335,0,900,277,179,21,485,4,11,17,498,219,0,716,239,120,18,375,3,3,8,386,147,3,534,218,79,16,313,3,0,6,314,85,0,399,426,95,26,546,3,3,6,552,129,0,684,150,39,7,193,0,4,7,204,66,0,266,111,18,4,138,4,0,3,141,38,0,183,33,6,3,43,0,0,0,43,12,0,49,75,23,9,107,3,0,3,116,32,3,144,163,91,20,273,8,9,13,292,189,16,493,10,12
CED108,0,5,5,8,9,4,19,29,216,3,247,0,6,0,9,5,3,4,12,40,0,50,0,12,3,17,14,10,20,34,103,0,145,0,29,8,36,11,10,20,54,202,0,259,3,31,20,51,15,19,33,88,415,4,510,10,86,26,128,25,25,48,179,603,3,784,43,148,67,261,39,26,70,331,563,9,893,140,181,55,369,15,11,28,398,663,7,1074,232,181,62,475,24,11,30,511,495,3,1006,307,178,73,555,7,3,11,571,450,3,1019,239,94,43,367,14,6,13,384,305,0,688,192,87,49,327,8,7,14,337,236,3,574,389,133,75,604,7,4,11,616,334,0,951,218,56,41,316,9,0,9,316,149,3,469,153,44,24,226,6,0,6,232,83,0,312,88,11,8,110,0,0,0,114,39,0,153,116,22,19,156,5,0,0,161,68,0,231,122,59,61,242,8,7,15,252,246,23,521,8,3
CED109,0,3,0,3,9,5,12,13,92,0,101,0,3,0,3,0,0,0,3,16,0,25,0,14,8,19,4,3,4,24,37,0,67,0,21,10,23,3,4,4,34,33,0,66,0,22,7,28,3,5,8,40,86,0,127,5,68,29,92,0,7,13,102,158,0,260,18,90,34,144,4,11,16,159,154,0,314,52,109,32,187,7,5,15,204,229,0,434,100,132,31,263,11,7,18,282,239,0,519,142,123,49,316,4,6,9,326,185,5,514,164,111,22,299,7,5,10,310,147,0,454,180,89,24,289,0,0,4,291,103,0,395,386,145,50,584,10,0,7,594,188,0,778,170,74,30,273,7,0,4,280,111,0,385,163,54,14,232,3,3,3,235,47,0,287,75,19,11,108,0,0,0,111,36,0,142,260,59,20,333,3,0,3,336,62,0,404,161,79,21,266,6,8,14,280,111,5,395,9,0
CED110,0,4,3,10,5,8,13,21,87,6,109,0,3,0,10,0,5,0,10,46,0,54,7,18,0,20,10,8,15,37,70,0,108,0,38,12,50,23,9,29,83,123,3,204,9,75,17,98,21,18,41,141,274,3,421,29,216,30,275,25,26,51,324,429,10,764,78,307,44,427,24,24,50,478,408,6,894,166,328,26,522,12,15,28,551,530,4,1088,257,303,27,593,14,11,25,612,483,5,1103,331,250,37,614,16,10,27,643,346,6,997,247,131,23,403,3,0,5,408,178,4,590,207,116,20,342,7,6,8,350,88,0,441,346,117,19,482,3,4,3,491,145,0,632,113,36,8,156,4,0,4,157,44,0,204,61,20,10,91,0,0,0,95,22,0,116,33,5,0,33,0,0,0,35,3,0,40,66,19,6,89,3,0,3,85,45,0,135,198,151,38,383,16,11,20,402,224,32,656,13,8
