CED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED101,1821,1904,3722,141,218,359,0,0,0,4,0,3,48,34,78,13619,9312,22931,606,1303,1909,297,10,302,151,8,156,97,25,117,183,131,310,438,637,1067,17392,13575,30969,413,564,975,3,0,3,17,30,45,129,74,200,25,64,87,41,23,60,622,746,1369,0,0,0,0,0,0,5,3,11,9,26,35,9,3,11,23,40,60,146,93,241,792,882,1671,75,117,189,0,8,6,4,0,9,78,119,197,12690,14989,27683,6108,6141,12246,179,129,310,37241,35835,73074
CED102,3079,3016,6095,320,498,815,3,0,8,13,16,31,70,77,146,15839,9311,25150,676,1499,2170,361,10,375,379,38,414,225,61,282,269,184,453,913,1286,2199,22144,15997,38141,766,1032,1799,8,3,9,34,55,90,186,93,275,42,105,147,53,42,99,1097,1322,2418,0,0,0,0,4,5,17,13,29,9,51,64,8,18,23,39,90,130,169,89,260,1307,1496,2804,159,196,351,0,11,9,3,3,10,163,210,376,14361,16705,31066,5820,6475,12294,270,194,465,44058,41074,85136
CED103,1226,1325,2551,686,846,1527,14,17,29,7,6,11,31,52,86,15934,11052,26988,580,1466,2044,275,3,281,271,37,307,155,40,192,236,159,392,867,951,1814,20279,15961,36233,456,573,1023,14,0,10,12,22,30,116,69,187,36,77,110,40,30,76,664,774,1438,5,3,5,5,9,15,39,21,59,28,50,80,13,33,40,88,116,197,190,122,312,943,1006,1949,142,169,307,18,17,35,4,3,5,164,190,351,22195,22097,44290,4990,6706,11695,194,144,335,48761,46095,94855
CED104,660,605,1261,220,189,415,0,0,0,0,6,6,21,12,34,13791,10640,24436,571,974,1544,485,0,491,156,14,171,78,15,96,174,114,284,533,536,1066,16684,13108,29790,195,189,380,0,3,4,5,0,6,148,89,237,29,50,83,22,11,27,396,341,736,0,0,0,4,0,7,27,6,34,7,10,20,10,5,10,46,22,66,156,73,230,601,436,1034,81,68,147,0,4,7,6,0,6,87,73,161,17401,17160,34561,3714,5486,9204,117,104,222,38604,36370,74975
CED105,1691,1628,3321,187,247,437,0,0,0,3,5,10,75,69,140,15602,8753,24357,803,1517,2313,437,7,440,178,9,191,109,32,145,246,155,392,497,631,1128,19824,13044,32870,474,639,1114,0,3,3,21,20,43,120,68,185,45,79,125,37,24,57,698,836,1531,0,0,0,0,0,0,10,12,26,7,33,42,8,6,18,28,51,81,166,114,280,897,999,1893,170,140,311,4,4,6,8,0,7,181,150,327,6918,8096,15015,5655,4647,10307,308,161,471,33783,27092,60874
CED106,1338,1327,2666,175,247,423,6,0,6,3,0,0,24,33,59,11401,8726,20129,495,1128,1632,161,3,161,153,17,169,117,26,148,167,144,307,834,1069,1897,14878,12720,27592,229,332,562,0,0,0,14,12,22,137,100,240,32,66,98,37,19,57,449,520,972,0,0,0,0,6,6,20,12,30,7,11,20,3,3,5,28,32,65,105,73,179,583,633,1214,69,66,133,9,7,10,3,0,3,84,67,153,22235,20254,42497,3451,5467,8909,119,108,227,41347,39242,80589
CED107,17,11,26,137,102,242,16,4,16,0,0,0,70,94,163,26431,23401,49834,1883,1904,3785,756,18,777,209,34,250,148,39,182,205,102,302,1340,1195,2536,31199,26898,58099,5,3,10,0,0,0,0,0,0,8,11,17,0,0,0,0,3,4,9,18,29,0,0,0,0,0,0,17,5,21,11,11,24,0,8,8,24,27,53,294,154,455,335,197,533,0,4,5,4,7,6,20,3,20,20,13,30,3963,5059,9023,3288,4790,8084,256,236,496,39066,37199,76265
CED108,1061,1142,2200,254,418,672,0,0,3,4,0,3,88,100,182,22044,14520,36557,1352,2265,3621,548,15,566,176,16,199,87,12,97,265,188,457,258,339,599,26140,19014,45154,396,626,1020,0,0,0,6,3,13,243,131,373,39,103,141,31,20,48,714,875,1593,0,0,0,0,6,5,23,12,37,23,61,84,4,22,29,58,95,151,247,132,377,1017,1104,2123,172,232,405,9,14,25,7,5,10,188,250,442,10166,12020,22192,5919,5707,11620,279,208,489,43704,38318,82020
CED109,615,551,1167,82,136,215,0,0,4,0,0,0,37,26,66,17882,11892,29774,724,1135,1861,468,10,483,221,17,239,159,38,192,176,152,335,537,849,1383,20905,14808,35715,144,131,279,0,0,0,9,5,13,109,52,156,24,25,51,17,11,24,301,220,524,0,0,0,0,0,0,3,5,10,8,3,10,0,0,0,11,18,27,167,90,252,474,325,801,31,37,77,0,4,0,4,0,4,41,42,84,11553,15028,26580,4161,6152,10314,134,110,244,37270,36469,73740
CED110,11,3,17,135,136,275,4,3,9,0,0,0,38,62,99,22090,21931,44030,1610,1934,3547,645,14,658,329,46,378,288,88,381,172,95,262,969,1021,1988,26303,25342,51642,0,5,5,0,0,0,0,0,0,8,3,10,0,0,0,6,0,6,12,7,20,0,0,0,0,0,0,4,6,16,9,19,25,4,0,6,17,34,46,254,147,401,284,180,466,5,3,3,10,4,12,15,0,16,21,11,30,3546,4432,7974,2886,4613,7502,243,244,482,33278,34816,68093
