2004 Federal Election House of Representatives Distribution of Preferences By Division [12246 8/11/2005 11:09:59 PM]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
ACT,101,Canberra,0,1,15421,ELLERMAN,Sue,GRN,The Greens,,Preference Count,10243
ACT,101,Canberra,0,1,15421,ELLERMAN,Sue,GRN,The Greens,,Preference Percent,10.17
ACT,101,Canberra,0,1,15421,ELLERMAN,Sue,GRN,The Greens,,Transfer Count,0
ACT,101,Canberra,0,1,15421,ELLERMAN,Sue,GRN,The Greens,,Transfer Percent,0
ACT,101,Canberra,0,2,15166,BARNIER,Belinda,LP,Liberal,,Preference Count,37238
ACT,101,Canberra,0,2,15166,BARNIER,Belinda,LP,Liberal,,Preference Percent,36.99
ACT,101,Canberra,0,2,15166,BARNIER,Belinda,LP,Liberal,,Transfer Count,0
ACT,101,Canberra,0,2,15166,BARNIER,Belinda,LP,Liberal,,Transfer Percent,0
ACT,101,Canberra,0,3,14298,ARNOLD,Jim,CEC,Citizens Electoral Council,,Preference Count,765
ACT,101,Canberra,0,3,14298,ARNOLD,Jim,CEC,Citizens Electoral Council,,Preference Percent,0.76
ACT,101,Canberra,0,3,14298,ARNOLD,Jim,CEC,Citizens Electoral Council,,Transfer Count,0
ACT,101,Canberra,0,3,14298,ARNOLD,Jim,CEC,Citizens Electoral Council,,Transfer Percent,0
ACT,101,Canberra,0,4,15360,ELLIS,Annette,ALP,Australian Labor Party (ACT Branch),#,Preference Count,50214
ACT,101,Canberra,0,4,15360,ELLIS,Annette,ALP,Australian Labor Party (ACT Branch),#,Preference Percent,49.88
ACT,101,Canberra,0,4,15360,ELLIS,Annette,ALP,Australian Labor Party (ACT Branch),#,Transfer Count,0
ACT,101,Canberra,0,4,15360,ELLIS,Annette,ALP,Australian Labor Party (ACT Branch),#,Transfer Percent,0
ACT,101,Canberra,0,5,15158,MATTHEWS,Aaron,DEM,Australian Democrats,,Preference Count,2218
ACT,101,Canberra,0,5,15158,MATTHEWS,Aaron,DEM,Australian Democrats,,Preference Percent,2.2
ACT,101,Canberra,0,5,15158,MATTHEWS,Aaron,DEM,Australian Democrats,,Transfer Count,0
ACT,101,Canberra,0,5,15158,MATTHEWS,Aaron,DEM,Australian Democrats,,Transfer Percent,0
ACT,101,Canberra,1,1,15421,ELLERMAN,Sue,GRN,The Greens,,Preference Count,10392
ACT,101,Canberra,1,1,15421,ELLERMAN,Sue,GRN,The Greens,,Preference Percent,10.32
ACT,101,Canberra,1,1,15421,ELLERMAN,Sue,GRN,The Greens,,Transfer Count,149
ACT,101,Canberra,1,1,15421,ELLERMAN,Sue,GRN,The Greens,,Transfer Percent,19.48
ACT,101,Canberra,1,2,15166,BARNIER,Belinda,LP,Liberal,,Preference Count,37472
ACT,101,Canberra,1,2,15166,BARNIER,Belinda,LP,Liberal,,Preference Percent,37.22
