2007 Federal Election House of Representatives Distribution of Preferences By Division [Event:13745 Phase:FinalResults Generated:2008-09-03T12:44:18 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,101,Canberra,0,1,17277,BRESNAN,Amanda,GRN,The Greens,N,N,Preference Count,14878
ACT,101,Canberra,0,1,17277,BRESNAN,Amanda,GRN,The Greens,N,N,Preference Percent,12.95
ACT,101,Canberra,0,1,17277,BRESNAN,Amanda,GRN,The Greens,N,N,Transfer Count,0
ACT,101,Canberra,0,1,17277,BRESNAN,Amanda,GRN,The Greens,N,N,Transfer Percent,0
ACT,101,Canberra,0,2,18175,COLBERT,Natalie,LP,Liberal,N,N,Preference Count,40359
ACT,101,Canberra,0,2,18175,COLBERT,Natalie,LP,Liberal,N,N,Preference Percent,35.13
ACT,101,Canberra,0,2,18175,COLBERT,Natalie,LP,Liberal,N,N,Transfer Count,0
ACT,101,Canberra,0,2,18175,COLBERT,Natalie,LP,Liberal,N,N,Transfer Percent,0
ACT,101,Canberra,0,3,17614,ELLIS,Annette,ALP,Australian Labor Party,Y,Y,Preference Count,58711
ACT,101,Canberra,0,3,17614,ELLIS,Annette,ALP,Australian Labor Party,Y,Y,Preference Percent,51.1
ACT,101,Canberra,0,3,17614,ELLIS,Annette,ALP,Australian Labor Party,Y,Y,Transfer Count,0
ACT,101,Canberra,0,3,17614,ELLIS,Annette,ALP,Australian Labor Party,Y,Y,Transfer Percent,0
ACT,101,Canberra,0,4,17310,HOLDER,John,CEC,Citizens Electoral Council,N,N,Preference Count,953
ACT,101,Canberra,0,4,17310,HOLDER,John,CEC,Citizens Electoral Council,N,N,Preference Percent,0.83
ACT,101,Canberra,0,4,17310,HOLDER,John,CEC,Citizens Electoral Council,N,N,Transfer Count,0
ACT,101,Canberra,0,4,17310,HOLDER,John,CEC,Citizens Electoral Council,N,N,Transfer Percent,0
ACT,101,Canberra,1,1,17277,BRESNAN,Amanda,GRN,The Greens,N,N,Preference Count,15220
ACT,101,Canberra,1,1,17277,BRESNAN,Amanda,GRN,The Greens,N,N,Preference Percent,13.25
ACT,101,Canberra,1,1,17277,BRESNAN,Amanda,GRN,The Greens,N,N,Transfer Count,342
ACT,101,Canberra,1,1,17277,BRESNAN,Amanda,GRN,The Greens,N,N,Transfer Percent,35.89
ACT,101,Canberra,1,2,18175,COLBERT,Natalie,LP,Liberal,N,N,Preference Count,40651
ACT,101,Canberra,1,2,18175,COLBERT,Natalie,LP,Liberal,N,N,Preference Percent,35.38
ACT,101,Canberra,1,2,18175,COLBERT,Natalie,LP,Liberal,N,N,Transfer Count,292
ACT,101,Canberra,1,2,18175,COLBERT,Natalie,LP,Liberal,N,N,Transfer Percent,30.64
ACT,101,Canberra,1,3,17614,ELLIS,Annette,ALP,Australian Labor Party,Y,Y,Preference Count,59030
ACT,101,Canberra,1,3,17614,ELLIS,Annette,ALP,Australian Labor Party,Y,Y,Preference Percent,51.37
ACT,101,Canberra,1,3,17614,ELLIS,Annette,ALP,Australian Labor Party,Y,Y,Transfer Count,319
