2016 Federal Election House of Representatives Distribution of Preferences By Division [Event:20499 Phase:FinalResults Generated:2017-05-11T17:35:53 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,101,Canberra,0,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Preference Count,55091
ACT,101,Canberra,0,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Preference Percent,42.8
ACT,101,Canberra,0,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Transfer Count,0
ACT,101,Canberra,0,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Transfer Percent,0
ACT,101,Canberra,0,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Preference Count,19200
ACT,101,Canberra,0,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Preference Percent,14.92
ACT,101,Canberra,0,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Transfer Count,0
ACT,101,Canberra,0,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Transfer Percent,0
ACT,101,Canberra,0,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Preference Count,6013
ACT,101,Canberra,0,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Preference Percent,4.67
ACT,101,Canberra,0,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Transfer Count,0
ACT,101,Canberra,0,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Transfer Percent,0
ACT,101,Canberra,0,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Preference Count,48416
ACT,101,Canberra,0,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Preference Percent,37.61
ACT,101,Canberra,0,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Transfer Count,0
ACT,101,Canberra,0,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Transfer Percent,0
ACT,101,Canberra,1,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Preference Count,56996
ACT,101,Canberra,1,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Preference Percent,44.28
ACT,101,Canberra,1,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Transfer Count,1905
ACT,101,Canberra,1,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Transfer Percent,31.68
ACT,101,Canberra,1,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Preference Count,21277
ACT,101,Canberra,1,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Preference Percent,16.53
ACT,101,Canberra,1,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Transfer Count,2077
ACT,101,Canberra,1,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Transfer Percent,34.54
ACT,101,Canberra,1,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Preference Count,0
ACT,101,Canberra,1,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Preference Percent,0
ACT,101,Canberra,1,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Transfer Count,-6013
ACT,101,Canberra,1,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Transfer Percent,-100
ACT,101,Canberra,1,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Preference Count,50447
ACT,101,Canberra,1,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Preference Percent,39.19
ACT,101,Canberra,1,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Transfer Count,2031
ACT,101,Canberra,1,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Transfer Percent,33.78
ACT,101,Canberra,2,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Preference Count,75247
ACT,101,Canberra,2,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Preference Percent,58.46
ACT,101,Canberra,2,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Transfer Count,18251
ACT,101,Canberra,2,1,28189,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Transfer Percent,85.78
ACT,101,Canberra,2,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Preference Count,0
ACT,101,Canberra,2,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Preference Percent,0
ACT,101,Canberra,2,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Transfer Count,-21277
ACT,101,Canberra,2,2,28336,CAHILL,Patricia,GRN,The Greens,N,N,Transfer Percent,-100
ACT,101,Canberra,2,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Preference Count,0
ACT,101,Canberra,2,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Preference Percent,0
ACT,101,Canberra,2,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Transfer Count,0
ACT,101,Canberra,2,3,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,N,N,Transfer Percent,0
ACT,101,Canberra,2,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Preference Count,53473
ACT,101,Canberra,2,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Preference Percent,41.54
ACT,101,Canberra,2,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Transfer Count,3026
ACT,101,Canberra,2,4,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,N,N,Transfer Percent,14.22
ACT,102,Fenner,0,1,28190,LEIGH,Andrew Keith,ALP,Australian Labor Party,Y,Y,Preference Count,56796
ACT,102,Fenner,0,1,28190,LEIGH,Andrew Keith,ALP,Australian Labor Party,Y,Y,Preference Percent,45.8
ACT,102,Fenner,0,1,28190,LEIGH,Andrew Keith,ALP,Australian Labor Party,Y,Y,Transfer Count,0
ACT,102,Fenner,0,1,28190,LEIGH,Andrew Keith,ALP,Australian Labor Party,Y,Y,Transfer Percent,0
ACT,102,Fenner,0,2,28200,WOODMAN,Andrew,IND,Independent,N,N,Preference Count,4707
ACT,102,Fenner,0,2,28200,WOODMAN,Andrew,IND,Independent,N,N,Preference Percent,3.8
ACT,102,Fenner,0,2,28200,WOODMAN,Andrew,IND,Independent,N,N,Transfer Count,0
ACT,102,Fenner,0,2,28200,WOODMAN,Andrew,IND,Independent,N,N,Transfer Percent,0
ACT,102,Fenner,0,3,28983,GUNNING,Robert,LP,Liberal,N,N,Preference Count,38930
ACT,102,Fenner,0,3,28983,GUNNING,Robert,LP,Liberal,N,N,Preference Percent,31.39
ACT,102,Fenner,0,3,28983,GUNNING,Robert,LP,Liberal,N,N,Transfer Count,0
ACT,102,Fenner,0,3,28983,GUNNING,Robert,LP,Liberal,N,N,Transfer Percent,0
ACT,102,Fenner,0,4,28320,SAEEDI,Carly,GRN,The Greens,N,N,Preference Count,18929
ACT,102,Fenner,0,4,28320,SAEEDI,Carly,GRN,The Greens,N,N,Preference Percent,15.26
ACT,102,Fenner,0,4,28320,SAEEDI,Carly,GRN,The Greens,N,N,Transfer Count,0
ACT,102,Fenner,0,4,28320,SAEEDI,Carly,GRN,The Greens,N,N,Transfer Percent,0
ACT,102,Fenner,0,5,29372,BOHM,Tim,BTA,Bullet Train For Australia,N,N,Preference Count,4660
ACT,102,Fenner,0,5,29372,BOHM,Tim,BTA,Bullet Train For Australia,N,N,Preference Percent,3.76
ACT,102,Fenner,0,5,29372,BOHM,Tim,BTA,Bullet Train For Australia,N,N,Transfer Count,0
ACT,102,Fenner,0,5,29372,BOHM,Tim,BTA,Bullet Train For Australia,N,N,Transfer Percent,0
ACT,102,Fenner,1,1,28190,LEIGH,Andrew Keith,ALP,Australian Labor Party,Y,Y,Preference Count,57942
ACT,102,Fenner,1,1,28190,LEIGH,Andrew Keith,ALP,Australian Labor Party,Y,Y,Preference Percent,46.72
ACT,102,Fenner,1,1,28190,LEIGH,Andrew Keith,ALP,Australian Labor Party,Y,Y,Transfer Count,1146
ACT,102,Fenner,1,1,28190,LEIGH,Andrew Keith,ALP,Australian Labor Party,Y,Y,Transfer Percent,24.59
