2019 Federal Election House of Representatives Distribution of Preferences By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:53 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,318,Bean,0,1,33426,FAULKNER,Therese,AUP,Australian Progressives,N,N,Preference Count,2722
ACT,318,Bean,0,1,33426,FAULKNER,Therese,AUP,Australian Progressives,N,N,Preference Percent,2.93
ACT,318,Bean,0,1,33426,FAULKNER,Therese,AUP,Australian Progressives,N,N,Transfer Count,0
ACT,318,Bean,0,1,33426,FAULKNER,Therese,AUP,Australian Progressives,N,N,Transfer Percent,0
ACT,318,Bean,0,2,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Count,7683
ACT,318,Bean,0,2,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Percent,8.27
ACT,318,Bean,0,2,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Count,0
ACT,318,Bean,0,2,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Percent,0
ACT,318,Bean,0,3,33391,RUSHTON,Ben,GAP,The Great Australian Party,N,N,Preference Count,929
ACT,318,Bean,0,3,33391,RUSHTON,Ben,GAP,The Great Australian Party,N,N,Preference Percent,1
ACT,318,Bean,0,3,33391,RUSHTON,Ben,GAP,The Great Australian Party,N,N,Transfer Count,0
ACT,318,Bean,0,3,33391,RUSHTON,Ben,GAP,The Great Australian Party,N,N,Transfer Percent,0
ACT,318,Bean,0,4,32921,DONNELLY,Matt,LDP,Liberal Democrats,N,N,Preference Count,2540
ACT,318,Bean,0,4,32921,DONNELLY,Matt,LDP,Liberal Democrats,N,N,Preference Percent,2.73
ACT,318,Bean,0,4,32921,DONNELLY,Matt,LDP,Liberal Democrats,N,N,Transfer Count,0
ACT,318,Bean,0,4,32921,DONNELLY,Matt,LDP,Liberal Democrats,N,N,Transfer Percent,0
ACT,318,Bean,0,5,32261,HANLEY,Tony,UAPP,United Australia Party,N,N,Preference Count,2227
ACT,318,Bean,0,5,32261,HANLEY,Tony,UAPP,United Australia Party,N,N,Preference Percent,2.4
ACT,318,Bean,0,5,32261,HANLEY,Tony,UAPP,United Australia Party,N,N,Transfer Count,0
ACT,318,Bean,0,5,32261,HANLEY,Tony,UAPP,United Australia Party,N,N,Transfer Percent,0
ACT,318,Bean,0,6,33397,COCKS,Ed,LP,Liberal,N,N,Preference Count,29223
ACT,318,Bean,0,6,33397,COCKS,Ed,LP,Liberal,N,N,Preference Percent,31.44
ACT,318,Bean,0,6,33397,COCKS,Ed,LP,Liberal,N,N,Transfer Count,0
ACT,318,Bean,0,6,33397,COCKS,Ed,LP,Liberal,N,N,Transfer Percent,0
ACT,318,Bean,0,7,32253,SMITH,David,ALP,Australian Labor Party,Y,N,Preference Count,35447
ACT,318,Bean,0,7,32253,SMITH,David,ALP,Australian Labor Party,Y,N,Preference Percent,38.14
ACT,318,Bean,0,7,32253,SMITH,David,ALP,Australian Labor Party,Y,N,Transfer Count,0
