2022 Federal Election House of Representatives Distribution of Preferences By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:09 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,318,Bean,0,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Count,2831
ACT,318,Bean,0,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Percent,2.88
ACT,318,Bean,0,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Count,0
ACT,318,Bean,0,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Percent,0
ACT,318,Bean,0,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Preference Count,2680
ACT,318,Bean,0,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Preference Percent,2.72
ACT,318,Bean,0,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Transfer Count,0
ACT,318,Bean,0,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Transfer Percent,0
ACT,318,Bean,0,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Count,41060
ACT,318,Bean,0,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Percent,41.73
ACT,318,Bean,0,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Count,0
ACT,318,Bean,0,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Percent,0
ACT,318,Bean,0,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Count,8023
ACT,318,Bean,0,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Percent,8.15
ACT,318,Bean,0,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Count,0
ACT,318,Bean,0,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Percent,0
ACT,318,Bean,0,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Preference Count,14559
ACT,318,Bean,0,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Preference Percent,14.8
ACT,318,Bean,0,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Transfer Count,0
ACT,318,Bean,0,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Transfer Percent,0
ACT,318,Bean,0,6,37198,HIATT,Jane,LP,Liberal,N,N,Preference Count,29241
ACT,318,Bean,0,6,37198,HIATT,Jane,LP,Liberal,N,N,Preference Percent,29.72
ACT,318,Bean,0,6,37198,HIATT,Jane,LP,Liberal,N,N,Transfer Count,0
ACT,318,Bean,0,6,37198,HIATT,Jane,LP,Liberal,N,N,Transfer Percent,0
ACT,318,Bean,1,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Count,4226
ACT,318,Bean,1,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Percent,4.29
ACT,318,Bean,1,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Count,1395
ACT,318,Bean,1,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Percent,52.05
ACT,318,Bean,1,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Preference Count,0
ACT,318,Bean,1,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Preference Percent,0
ACT,318,Bean,1,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Transfer Count,-2680
ACT,318,Bean,1,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Transfer Percent,-100
ACT,318,Bean,1,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Count,41345
ACT,318,Bean,1,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Percent,42.02
ACT,318,Bean,1,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Count,285
ACT,318,Bean,1,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Percent,10.63
ACT,318,Bean,1,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Count,8448
ACT,318,Bean,1,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Percent,8.59
ACT,318,Bean,1,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Count,425
ACT,318,Bean,1,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Percent,15.86
ACT,318,Bean,1,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Preference Count,14668
ACT,318,Bean,1,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Preference Percent,14.91
ACT,318,Bean,1,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Transfer Count,109
ACT,318,Bean,1,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Transfer Percent,4.07
ACT,318,Bean,1,6,37198,HIATT,Jane,LP,Liberal,N,N,Preference Count,29707
ACT,318,Bean,1,6,37198,HIATT,Jane,LP,Liberal,N,N,Preference Percent,30.19
ACT,318,Bean,1,6,37198,HIATT,Jane,LP,Liberal,N,N,Transfer Count,466
ACT,318,Bean,1,6,37198,HIATT,Jane,LP,Liberal,N,N,Transfer Percent,17.39
ACT,318,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Count,0
ACT,318,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Percent,0
ACT,318,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Count,-4226
ACT,318,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Percent,-100
ACT,318,Bean,2,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Preference Count,0
