House of Representatives: Election 2001 - National,,,,,,,
Two Party Preferred Statistics,,,,,,,
By Division,,,,,,,
,,,,,,,
National Summary,,,,,,,
,,,Coalition,,,,
State,ALP,,(LP/NP/CLP),,Total,Swing,
,Votes,%,Votes,%,,,
New South Wales,1831469,48.34,1956991,51.66,3788460,-3.20,
Victoria,1540613,52.14,1414402,47.86,2955015,-1.39,
Queensland,950849,45.14,1155403,54.86,2106252,-1.80,
Western Australia,524825,48.38,559970,51.62,1084795,-1.08,
South Australia,430558,45.92,507149,54.08,937707,-0.97,
Tasmania,177833,57.73,130185,42.27,308018,0.42,
Australian Capital Territory,123786,61.08,78880,38.92,202666,-1.36,
Northern Territory,47852,52.49,43309,47.51,91161,1.92,
Australia,5627785,49.05,5846289,50.95,11474074,-1.87,
,,,,,,,
New South Wales,,,,,,,
Division,ALP,,LP/NP,,Total,Swing,
,Votes,%,Votes,%,,,
Banks,38952,52.89,34702,47.11,73654,-4.38,
Barton,41873,56.02,32873,43.98,74746,-3.77,
Bennelong,32877,42.29,44861,57.71,77738,-2.48,
Berowra,26731,34.35,51078,65.65,77809,-2.34,
Blaxland,45725,65.21,24395,34.79,70120,-6.50,
Bradfield,23493,28.84,57969,71.16,81462,0.13,
Calare,38302,48.27,41055,51.73,79357,2.74,
Charlton,43151,56.66,33011,43.34,76162,-5.54,
Chifley,46628,65.29,24785,34.71,71413,-5.98,
Cook,26866,36.00,47768,64.00,74634,-4.63,
Cowper,33094,45.27,40006,54.73,73100,0.98,
Cunningham,44904,60.65,29140,39.35,74044,-7.12,
Dobell,37005,49.62,37565,50.38,74570,-1.91,
Eden-Monaro,37918,48.31,40579,51.69,78497,-1.08,
Farrer,25399,33.63,50133,66.37,75532,-2.19,
Fowler,48174,71.49,19215,28.51,67389,-4.51,
Gilmore,27166,35.37,49634,64.63,76800,-10.07,
Grayndler,52770,71.29,21249,28.71,74019,-1.02,
Greenway,40310,53.11,35583,46.89,75893,-6.44,
