2010 Federal Election House of Representatives Two Party Preferred By Division [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:52 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
DivisionNm,DivisionID,StateAb,PartyAb,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
Adelaide,179,SA,ALP,50164,57.69,36793,42.31,86957,-0.84
Aston,197,VIC,LP,40916,48.24,43901,51.76,84817,3.29
Ballarat,198,VIC,ALP,55188,61.7,34251,38.3,89439,3.55
Banks,103,NSW,ALP,43150,51.45,40719,48.55,83869,-8.92
Barker,180,SA,LP,34992,37.12,59278,62.88,94270,-3.43
Barton,104,NSW,ALP,44742,56.86,33941,43.14,78683,-8.08
Bass,192,TAS,ALP,37165,56.74,28337,43.26,65502,5.71
Batman,199,VIC,ALP,58028,74.91,19435,25.09,77463,-1.04
Bendigo,200,VIC,ALP,54928,59.53,37337,40.47,92265,3.4
Bennelong,105,NSW,LP,40166,46.88,45518,53.12,85684,-4.52
Berowra,106,NSW,LP,28972,33.8,56752,66.2,85724,-6.19
Blair,304,QLD,ALP,39814,54.24,33595,45.76,73409,-2.74
Blaxland,107,NSW,ALP,45948,62.23,27882,37.77,73830,-4.42
Bonner,310,QLD,LNQ,38765,47.18,43400,52.82,82165,-7.35
Boothby,182,SA,LP,42042,49.25,43317,50.75,85359,2.18
Bowman,155,QLD,LNQ,32455,39.61,49490,60.39,81945,-10.39
Braddon,193,TAS,ALP,37650,57.48,27855,42.52,65505,5.16
Bradfield,108,NSW,LP,27719,31.82,59397,68.18,87116,-4.32
Brand,235,WA,ALP,41610,53.33,36418,46.67,78028,-2.65
Brisbane,156,QLD,LNQ,39609,48.87,41440,51.13,81049,-5.73
Bruce,201,VIC,ALP,44603,58.12,32144,41.88,76747,-0.2
Calare,109,NSW,NP,35033,39.26,54209,60.74,89242,-7.28
Calwell,203,VIC,ALP,61045,69.72,26509,30.28,87554,0.39
Canberra,101,ACT,ALP,66335,59.15,45821,40.85,112156,-2.67
Canning,236,WA,LP,38303,47.81,41818,52.19,80121,2.16
Capricornia,157,QLD,ALP,43150,53.68,37230,46.32,80380,-8.4
Casey,204,VIC,LP,38439,45.82,45458,54.18,83897,1.75
Charlton,110,NSW,ALP,52064,62.67,31016,37.33,83080,-0.24
Chifley,111,NSW,ALP,50103,62.34,30268,37.66,80371,-7.34
Chisholm,205,VIC,ALP,43459,56.11,33991,43.89,77450,-1.27
Cook,112,NSW,LP,33450,37.34,56138,62.66,89588,-6.32
Corangamite,207,VIC,ALP,47235,50.41,46464,49.59,93699,-0.44
Corio,208,VIC,ALP,53083,64.22,29578,35.78,82661,5.29
Cowan,237,WA,LP,34992,43.71,45062,56.29,80054,-5.01
Cowper,113,NSW,NP,34691,40.73,50477,59.27,85168,-8.03
Cunningham,114,NSW,ALP,56234,63.17,32780,36.83,89014,-3.7
Curtin,238,WA,LP,27669,33.81,54158,66.19,81827,-2.93
Dawson,158,QLD,LNQ,39455,47.57,43494,52.43,82949,-5.02
Deakin,209,VIC,ALP,41927,52.41,38073,47.59,80000,1
Denison,194,TAS,ALP,42692,65.82,22167,34.18,64859,0.53
Dickson,252,QLD,LNQ,36549,44.87,44902,55.13,81451,-5.89
