2013 Federal Election House of Representatives Two Party Preferred By Division [Event:17496 Phase:FinalResults Generated:2014-10-28T11:23:05 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
DivisionNm,DivisionID,StateAb,PartyAb,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
Adelaide,179,SA,ALP,49338,53.95,42118,46.05,91456,-3.57
Aston,197,VIC,LP,35669,41.8,49672,58.2,85341,-7.53
Ballarat,198,VIC,ALP,51411,54.89,42252,45.11,93663,-6.81
Banks,103,NSW,LP,40885,48.17,43990,51.83,84875,-3.28
Barker,180,SA,LP,30953,33.45,61571,66.55,92524,-3.54
Barton,104,NSW,LP,39756,49.69,40245,50.31,80001,-7.17
Bass,192,TAS,LP,30034,45.96,35310,54.04,65344,-10.78
Batman,199,VIC,ALP,63257,70.98,25857,29.02,89114,-3.82
Bendigo,200,VIC,ALP,47426,51.26,45093,48.74,92519,-8.16
Bennelong,105,NSW,LP,37383,42.23,51139,57.77,88522,-4.65
Berowra,106,NSW,LP,26800,30.93,59847,69.07,86647,-2.87
Blair,304,QLD,ALP,43642,55.26,35337,44.74,78979,1.02
Blaxland,107,NSW,ALP,48025,61.43,30152,38.57,78177,-0.8
Bonner,310,QLD,LNP,39766,46.31,46110,53.69,85876,-0.87
Boothby,182,SA,LP,40441,42.88,53866,57.12,94307,-6.5
Bowman,155,QLD,LNP,35755,41.14,51155,58.86,86910,1.53
Braddon,193,TAS,LP,31288,47.44,34668,52.56,65956,-10.04
Bradfield,108,NSW,LP,25913,29.22,62771,70.78,88684,-2.6
Brand,235,WA,ALP,45940,52.88,40936,47.12,86876,-0.45
Brisbane,156,QLD,LNP,39712,45.72,47145,54.28,86857,-3.15
Bruce,201,VIC,ALP,42812,51.8,39833,48.2,82645,-5.91
Calare,109,NSW,NP,31075,34.03,60248,65.97,91323,-5.23
Calwell,203,VIC,ALP,54906,63.86,31066,36.14,85972,-6.2
Canberra,101,ACT,ALP,66074,56.98,49894,43.02,115968,-2.17
Canning,236,WA,LP,33793,38.19,54700,61.81,88493,-9.62
Capricornia,157,QLD,LNP,41804,49.23,43109,50.77,84913,-4.45
Casey,204,VIC,LP,37914,42.83,50615,57.17,88529,-5.31
Charlton,110,NSW,ALP,51173,59.23,35227,40.77,86400,-3.44
Chifley,111,NSW,ALP,49831,60.55,32470,39.45,82301,-1.79
Chisholm,205,VIC,ALP,44431,51.6,41678,48.4,86109,-4.18
Cook,112,NSW,LP,31055,33.65,61244,66.35,92299,-3.69
Corangamite,207,VIC,LP,42744,46.06,50057,53.94,92801,-4.22
Corio,208,VIC,ALP,52117,57.75,38136,42.25,90253,-5.72
Cowan,237,WA,LP,35901,42.54,48487,57.46,84388,-1.17
Cowper,113,NSW,NP,33075,38.29,53303,61.71,86378,-2.44
Cunningham,114,NSW,ALP,54595,59.88,36582,40.12,91177,-3.29
Curtin,238,WA,LP,27629,32.58,57171,67.42,84800,-1.23
Dawson,158,QLD,LNP,37172,42.42,50451,57.58,87623,-5.15
Deakin,209,VIC,LP,41314,46.82,46926,53.18,88240,-3.78
Denison,194,TAS,ALP,38186,58.91,26639,41.09,64825,-6.91
Dickson,252,QLD,LNP,37101,43.28,48631,56.72,85732,-1.59
Dobell,115,NSW,LP,42487,49.32,43653,50.68,86140,-5.75
Dunkley,210,VIC,LP,39073,44.43,48861,55.57,87934,-4.53
Durack,312,WA,LP,26005,35.12,48031,64.88,74036,-1.21
Eden-Monaro,117,NSW,LP,44114,49.39,45199,50.61,89313,-4.85
Fadden,159,QLD,LNP,28563,35.64,51572,64.36,80135,-0.17
Fairfax,160,QLD,LNP,32423,38.32,52184,61.68,84607,-4.73
Farrer,118,NSW,LP,27035,32.57,55961,67.43,82996,-2.92
Fisher,161,QLD,LNP,31333,40.25,46522,59.75,77855,-5.62
Flinders,211,VIC,LP,35873,38.19,58048,61.81,93921,-2.67
Flynn,311,QLD,LNP,37178,43.47,48352,56.53,85530,-2.95
Forde,162,QLD,LNP,34604,45.62,41256,54.38,75860,-2.75
Forrest,239,WA,LP,32225,37.72,53198,62.28,85423,-3.54
Fowler,119,NSW,ALP,52526,66.8,26102,33.2,78628,8.04
Franklin,195,TAS,ALP,37103,55.09,30241,44.91,67344,-5.73
Fraser,102,ACT,ALP,78614,62.62,46921,37.38,125535,-1.58
Fremantle,240,WA,ALP,47705,54.77,39403,45.23,87108,-0.93
Gellibrand,212,VIC,ALP,58139,66.53,29249,33.47,87388,-7.6
Gilmore,120,NSW,LP,42951,47.35,47758,52.65,90709,2.67
Gippsland,213,VIC,NP,30201,34.16,58214,65.84,88415,-4.39
Goldstein,214,VIC,LP,35303,38.97,55288,61.03,90591,-5.02
Gorton,309,VIC,ALP,57933,66.12,29681,33.88,87614,-7.51
Grayndler,121,NSW,ALP,62613,70.34,26396,29.66,89009,-0.29
Greenway,122,NSW,ALP,45639,52.98,40502,47.02,86141,2.1
Grey,183,SA,LP,32321,36.46,56330,63.54,88651,-2.38
Griffith,163,QLD,ALP,45805,53.01,40604,46.99,86409,-5.45
Groom,164,QLD,LNP,29510,33.53,58493,66.47,88003,2.06
Hasluck,305,WA,LP,38706,45.13,47057,54.87,85763,-4.3
Herbert,165,QLD,LNP,37364,43.83,47889,56.17,85253,-4
Higgins,215,VIC,LP,34984,40.07,52323,59.93,87307,-4.53
Hindmarsh,185,SA,LP,45475,48.11,49048,51.89,94523,-7.97
Hinkler,166,QLD,LNP,34786,40.96,50142,59.04,84928,1.35
Holt,216,VIC,ALP,52836,59.09,36587,40.91,89423,-4.88
Hotham,217,VIC,ALP,49232,57.27,36727,42.73,85959,-6.69
Hughes,124,NSW,LP,34840,39.33,53735,60.67,88575,-5.5
Hume,125,NSW,LP,35056,38.53,55938,61.47,90994,-2.75
Hunter,126,NSW,ALP,46125,53.67,39816,46.33,85941,-8.81
Indi,218,VIC,LP,36418,40.9,52625,59.1,89043,-0.11
Isaacs,219,VIC,ALP,46704,53.86,40004,46.14,86708,-6.55
Jagajaga,220,VIC,ALP,48669,53.13,42936,46.87,91605,-8.02
Kennedy,167,QLD,LNP,27625,32.85,56476,67.15,84101,-5.21
Kingsford Smith,127,NSW,ALP,45411,52.74,40692,47.26,86103,-2.42
Kingston,186,SA,ALP,52504,59.7,35446,40.3,87950,-4.85
Kooyong,221,VIC,LP,34122,38.94,53504,61.06,87626,-3.61
La Trobe,223,VIC,LP,40868,45.99,47998,54.01,88866,-5.67
Lalor,222,VIC,ALP,58041,62.16,35340,37.84,93381,-9.96
Leichhardt,168,QLD,LNP,37991,44.32,47725,55.68,85716,-1.13
Lilley,169,QLD,ALP,46237,51.32,43864,48.68,90101,-1.86
Lindsay,128,NSW,LP,41212,47.01,46446,52.99,87658,-4.11
Lingiari,306,NT,ALP,23413,50.88,22606,49.12,46019,-2.82
Longman,302,QLD,LNP,36099,43.08,47691,56.92,83790,-5
Lyne,130,NSW,NP,30388,35.23,55857,64.77,86245,-2.32
Lyons,196,TAS,LP,32597,48.78,34228,51.22,66825,-13.51
Macarthur,131,NSW,LP,32848,38.64,52161,61.36,85009,-8.34
Mackellar,132,NSW,LP,28210,31.16,62322,68.84,90532,-3.12
Macquarie,133,NSW,LP,40937,45.52,48987,54.48,89924,-3.22
Makin,187,SA,ALP,50604,55.06,41304,44.94,91908,-6.94
Mallee,224,VIC,NP,22610,26.34,63224,73.66,85834,-0.4
Maranoa,170,QLD,LNP,24921,27.72,64987,72.28,89908,0.61
Maribyrnong,225,VIC,ALP,55320,61.39,34797,38.61,90117,-6.1
Mayo,188,SA,LP,34269,37.49,57141,62.51,91410,-5.22
McEwen,226,VIC,ALP,50787,50.15,50474,49.85,101261,-9.04
McMahon,315,NSW,ALP,45561,55.32,36798,44.68,82359,-2.49
McMillan,227,VIC,LP,35857,38.17,58095,61.83,93952,-7.62
McPherson,171,QLD,LNP,30683,37,52244,63,82927,-2.72
Melbourne,228,VIC,ALP,58555,69.25,25996,30.75,84551,-3.52
Melbourne Ports,230,VIC,ALP,43419,53.56,37654,46.44,81073,-4.33
Menzies,229,VIC,LP,31571,35.55,57235,64.45,88806,-5.8
Mitchell,134,NSW,LP,24183,27.92,62425,72.08,86608,-4.92
Moncrieff,172,QLD,LNP,25489,32.05,54051,67.95,79540,-0.46
Moore,242,WA,LP,32734,38.14,53100,61.86,85834,-0.67
Moreton,173,QLD,ALP,42503,51.55,39946,48.45,82449,0.42
Murray,231,VIC,LP,25850,29.13,62882,70.87,88732,-1.29
New England,135,NSW,NP,26738,29.29,64551,70.71,91289,-3.91
Newcastle,136,NSW,ALP,50298,58.83,35197,41.17,85495,-3.66
North Sydney,137,NSW,LP,30174,34.11,58274,65.89,88448,-1.83
O'Connor,243,WA,LP,27024,32.75,55486,67.25,82510,5.75
Oxley,174,QLD,ALP,40657,53.77,34961,46.23,75618,-2
Page,138,NSW,NP,40801,47.48,45134,52.52,85935,-6.71
Parkes,139,NSW,NP,25064,27.65,65575,72.35,90639,-3.49
Parramatta,140,NSW,ALP,40765,50.57,39850,49.43,80615,-3.8
Paterson,249,NSW,LP,35037,40.22,52080,59.78,87117,-4.45
Pearce,244,WA,LP,36985,41.94,51206,58.06,88191,0.8
Perth,245,WA,ALP,45079,54.35,37862,45.65,82941,-1.53
Petrie,175,QLD,LNP,40851,49.47,41722,50.53,82573,-3.04
Port Adelaide,189,SA,ALP,58261,64.02,32738,35.98,90999,-6.89
Rankin,176,QLD,ALP,45580,54.78,37622,45.22,83202,-0.63
Reid,144,NSW,LP,42182,49.15,43642,50.85,85824,-3.53
Richmond,145,NSW,ALP,45179,52.98,40099,47.02,85278,-4.01
Riverina,250,NSW,NP,25361,28.83,62612,71.17,87973,-3
Robertson,146,NSW,LP,41898,47,47242,53,89140,-4
Ryan,177,QLD,LNP,38001,41.46,53657,58.54,91658,-1.38
Scullin,232,VIC,ALP,58232,64.35,32264,35.65,90496,-6.18
Shortland,148,NSW,ALP,49230,57.21,36814,42.79,86044,-5.64
Solomon,307,NT,CLP,25961,48.6,27461,51.4,53422,0.35
Stirling,246,WA,LP,32977,39.7,50083,60.3,83060,-4.75
Sturt,190,SA,LP,36276,39.92,54591,60.08,90867,-6.48
