2016 Federal Election House of Representatives Two Party Preferred By Division [Event:20499 Phase:FinalResults Generated:2017-05-11T17:36:06 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Adelaide,179,SA,ALP,43325,45.35,52219,54.65,95544,-0.7
Aston,197,VIC,LP,50142,58.59,35444,41.41,85586,0.39
Ballarat,198,VIC,ALP,41705,42.68,56002,57.32,97707,-2.43
Banks,103,NSW,LP,46210,51.44,43622,48.56,89832,-1.36
Barker,180,SA,LP,61566,65.19,32879,34.81,94445,-1.36
Barton,104,NSW,ALP,36571,41.7,51131,58.3,87702,-3.91
Bass,192,TAS,ALP,29056,43.91,37119,56.09,66175,-10.13
Batman,199,VIC,ALP,25456,28.25,64645,71.75,90101,-0.77
Bendigo,200,VIC,ALP,45105,46.26,52398,53.74,97503,-2.48
Bennelong,105,NSW,LP,55077,59.72,37154,40.28,92231,1.95
Berowra,106,NSW,LP,62470,66.45,31547,33.55,94017,-2.6
Blair,304,QLD,ALP,35029,41.12,50158,58.88,85187,-3.62
Blaxland,107,NSW,ALP,24378,30.52,55507,69.48,79885,-8.24
Bonner,310,QLD,LNP,48002,53.39,41907,46.61,89909,-0.3
Boothby,182,SA,LP,50980,53.5,44308,46.5,95288,-3.62
Bowman,155,QLD,LNP,52690,57.07,39635,42.93,92325,-1.79
Braddon,193,TAS,ALP,30913,47.8,33759,52.2,64672,-4.76
Bradfield,108,NSW,LP,66513,71.04,27121,28.96,93634,0.1
Brand,235,WA,ALP,31516,38.57,50202,61.43,81718,-7.72
Brisbane,156,QLD,LNP,52693,55.92,41532,44.08,94225,1.64
Bruce,201,VIC,ALP,38118,45.92,44894,54.08,83012,-2.28
Burt,317,WA,ALP,36181,42.89,48177,57.11,84358,-13.2
Calare,109,NSW,NP,61978,61.81,38300,38.19,100278,-3.16
Calwell,203,VIC,ALP,28870,32.13,60978,67.87,89848,-4.01
Canberra,101,ACT,ALP,53473,41.54,75247,58.46,128720,-0.95
Canning,236,WA,LP,47987,56.79,36507,43.21,84494,-4.56
Capricornia,157,QLD,LNP,44633,50.63,43522,49.37,88155,-0.14
Casey,204,VIC,LP,51703,56.06,40528,43.94,92231,-1.11
Chifley,111,NSW,ALP,26367,30.81,59202,69.19,85569,-8.26
Chisholm,205,VIC,LP,44437,51.24,42283,48.76,86720,2.84
Cook,112,NSW,LP,59760,65.39,31625,34.61,91385,-0.32
Corangamite,207,VIC,LP,52291,53.13,46126,46.87,98417,-0.81
Corio,208,VIC,ALP,37779,40.01,56656,59.99,94435,-2.24
Cowan,237,WA,ALP,40195,49.32,41301,50.68,81496,-5.2
Cowper,113,NSW,NP,64743,62.58,38717,37.42,103460,-0.65
