2022 Federal Election House of Representatives Two Party Preferred By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:12 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Adelaide,179,SA,ALP,42948,38.09,69816,61.91,112764,-3.73
Aston,197,VIC,LP,51840,52.81,46320,47.19,98160,-7.32
Ballarat,198,VIC,ALP,35730,37.03,60770,62.97,96500,-2.74
Banks,103,NSW,LP,48969,53.2,43076,46.8,92045,-3.06
Barker,180,SA,LP,70483,66.62,35316,33.38,105799,-2.32
Barton,104,NSW,ALP,31569,34.46,60054,65.54,91623,-6.13
Bass,192,TAS,LP,35288,51.43,33321,48.57,68609,1.02
Bean,318,ACT,ALP,36459,37.05,61935,62.95,98394,-5.43
Bendigo,200,VIC,ALP,37811,37.89,61968,62.11,99779,-3.26
Bennelong,105,NSW,ALP,48847,49.02,50801,50.98,99648,-7.89
Berowra,106,NSW,LP,55771,59.77,37535,40.23,93306,-5.88
Blair,304,QLD,ALP,46672,44.77,57575,55.23,104247,-4.02
Blaxland,107,NSW,ALP,28638,35.06,53039,64.94,81677,-0.22
Bonner,310,QLD,LNP,51471,53.41,44903,46.59,96374,-4
Boothby,182,SA,ALP,53128,46.72,60579,53.28,113707,-4.66
Bowman,155,QLD,LNP,56447,55.51,45245,44.49,101692,-4.73
Braddon,193,TAS,LP,40968,58.03,29630,41.97,70598,4.94
Bradfield,108,NSW,LP,54685,56.55,42019,43.45,96704,-10.01
Brand,235,WA,ALP,31852,33.29,63829,66.71,95681,-10.05
Brisbane,156,QLD,ALP,49615,45.6,59183,54.4,108798,-9.32
Bruce,201,VIC,ALP,41370,43.41,53920,56.59,95290,0.69
Burt,317,WA,ALP,31846,34.79,59704,65.21,91550,-9.71
Calare,109,NSW,NP,70245,65.45,37074,34.55,107319,2.16
Calwell,203,VIC,ALP,31963,37.61,53032,62.39,84995,7.23
Canberra,101,ACT,ALP,25424,27.54,66898,72.46,92322,-5.38
Canning,236,WA,LP,50513,53.59,43751,46.41,94264,-7.97
Capricornia,157,QLD,LNP,51096,56.59,39196,43.41,90292,-5.76
Casey,204,VIC,LP,51283,51.48,48338,48.52,99621,-3.14
