State;Division;Enrolment;Formal Vote;Informal Vote;Total Vote;Formal Pc;Formal Swing;Informal Pc;Informal Swing;Turnout;Turnout Swing;ALP TPP Vote;Coalition TPP Vote;TPP Exhausted;ALP TPP Pc;ALP Swing
NSW;Banks;83122;73654;5398;79052;93.17;-2.89;6.83;2.89;95.10;-0.06;38952;34702;0;52.89;-4.38
NSW;Barton;84752;74746;5277;80023;93.41;-2.30;6.59;2.30;94.42;-0.24;41873;32873;0;56.02;-3.77
NSW;Bennelong;86896;77738;4457;82195;94.58;0.02;5.42;-0.02;94.59;-0.48;32877;44861;0;42.29;-2.48
NSW;Berowra;85766;77809;3544;81353;95.64;-1.28;4.36;1.28;94.85;-0.31;26731;51078;0;34.35;-2.34
NSW;Blaxland;82779;70120;7605;77725;90.22;-4.26;9.78;4.26;93.89;-0.42;45725;24395;0;65.21;-6.50
NSW;Bradfield;89832;81462;3179;84641;96.24;-0.81;3.76;0.81;94.22;-0.38;23493;57969;0;28.84;0.13
NSW;Calare;85310;79357;2690;82047;96.72;0.24;3.28;-0.24;96.18;-0.02;38302;41055;0;48.27;48.27
NSW;Charlton;83459;76162;3651;79813;95.43;-1.58;4.57;1.58;95.63;-0.57;43151;33011;0;56.66;-5.54
NSW;Chifley;83474;71413;7232;78645;90.80;-3.14;9.20;3.14;94.21;-0.46;46628;24785;0;65.29;-5.98
NSW;Cook;82150;74634;3640;78274;95.35;-0.62;4.65;0.62;95.28;0.00;26866;47768;0;36.00;-4.63
NSW;Cowper;79982;73100;3131;76231;95.89;-1.34;4.11;1.34;95.31;0.12;33094;40006;0;45.27;0.98
NSW;Cunningham;81540;74044;3763;77807;95.16;-1.39;4.84;1.39;95.42;0.15;44904;29140;0;60.65;-7.12
NSW;Dobell;82002;74570;3318;77888;95.74;-1.22;4.26;1.22;94.98;-0.70;37005;37565;0;49.62;-1.91
NSW;Eden-Monaro;85815;78497;3628;82125;95.58;-1.21;4.42;1.21;95.70;-0.09;37918;40579;0;48.31;-1.08
NSW;Farrer;84423;75532;5156;80688;93.61;-2.37;6.39;2.37;95.58;-0.34;25399;50133;0;33.63;-2.19
