State;Division;Ballot Position;Member;Candidate;Party;Gender;Vote;Vote Percent;Swing
NSW;Banks;1;;O'LEARY, Ken;AFI;M;2522;3.42;3.42
NSW;Banks;2;;WILCOX, David;GRN;M;2066;2.81;1.32
NSW;Banks;3;;ABRAHAMS, Lynn;HAN;M;4649;6.31;-4.46
NSW;Banks;4;;HANNOUN, Nazim;IND;M;418;0.57;0.57
NSW;Banks;5;;WATZLAFF, Marcus;LP;M;26358;35.79;1.97
NSW;Banks;6;;MURPHY, Lynne;UNI;F;731;0.99;-2.15
NSW;Banks;7;;COLE, Stephen;DEM;M;2350;3.19;-1.06
NSW;Banks;8;#;MELHAM, Daryl;ALP;M;32592;44.25;-0.34
NSW;Banks;9;;BAISSARI, Sam;CTA;M;1968;2.67;0.72
NSW;Barton;1;;BRENNAN, Jan;LP;F;28198;37.73;2.76
NSW;Barton;2;;LAU, John;UNI;M;1375;1.84;-2.40
NSW;Barton;3;;RYDSTRAND, David;HAN;M;2725;3.65;-3.18
NSW;Barton;4;;HARRIS, Chris;GRN;M;2168;2.90;1.35
NSW;Barton;5;;BARKER, David;CTA;M;1081;1.45;1.43
NSW;Barton;6;#;MCCLELLAND, Robert;ALP;M;35871;47.99;-1.71
NSW;Barton;7;;ADAIR, Michele;DEM;F;3328;4.45;1.74
NSW;Bennelong;1;;WEBECK, Robert;HAN;M;2126;2.73;-1.56
NSW;Bennelong;2;;CAMPBELL, Nicole;ALP;F;24053;30.94;-1.42
NSW;Bennelong;3;;HARKNESS, Bruce;NGST;M;535;0.69;0.47
NSW;Bennelong;4;;PLUMB, Noel;SAS;M;205;0.26;0.26
NSW;Bennelong;5;;DAWSON, John;IND;M;458;0.59;0.38
NSW;Bennelong;6;;SHAW, Jimmy;GRN;M;3133;4.03;1.05
NSW;Bennelong;7;;GOLDFINCH, Peter Lloyd;DEM;M;4415;5.68;0.98
NSW;Bennelong;8;;MARSH, Peter;NCP;M;84;0.11;0.11
NSW;Bennelong;9;;LAW, May;UNI;F;1474;1.90;-2.01
NSW;Bennelong;10;#;HOWARD, John Winston;LP;M;41255;53.07;4.30
NSW;Bennelong;909;;;NLP;;0;0.00;-0.16
NSW;Bennelong;913;;;NAN;;0;0.00;-0.26
NSW;Bennelong;915;;;CTA;;0;0.00;-0.22
NSW;Bennelong;916;;;RPA;;0;0.00;-0.01
NSW;Bennelong;997;;;OTH;;0;0.00;-1.92
NSW;Berowra;1;;SPARKS, Philip;DEM;M;5047;6.49;-0.04
NSW;Berowra;2;;BALL, Harry;HAN;M;1537;1.98;-4.37
NSW;Berowra;3;;CHOI, Daniel;UNI;M;1124;1.44;1.11
NSW;Berowra;4;;SLATER, Richard;ALP;M;17748;22.81;-3.94
NSW;Berowra;5;#;RUDDOCK, Philip Maxwell;LP;M;45575;58.57;4.10
NSW;Berowra;6;;GALE, Maureen;GRN;F;4029;5.18;1.98
NSW;Berowra;7;;NANNELLI, Owen;CTA;M;1632;2.10;-0.25
NSW;Berowra;8;;GALLAGHER, P J;NGST;M;1117;1.44;1.44
NSW;Berowra;909;;;NLP;;0;0.00;-0.02
NSW;Blaxland;1;;MCDERMOTT, Colin;DEM;M;3461;4.94;2.53
NSW;Blaxland;2;;VINNICOMBE, Bob;HAN;M;4248;6.06;-0.94
NSW;Blaxland;3;;ANNY, Munther;IND;M;443;0.63;0.63
NSW;Blaxland;4;#;HATTON, Michael;ALP;M;37956;54.13;-6.40
NSW;Blaxland;5;;SAYEGH, Peter;IND;M;975;1.39;1.39
NSW;Blaxland;6;;PETERSON, Janne;CTA;F;1535;2.19;-0.03
NSW;Blaxland;7;;HAWAT, Dario;UNI;M;1493;2.13;-1.35
NSW;Blaxland;8;;MCKAY, Sonya;GRN;F;1839;2.62;1.07
NSW;Blaxland;9;;OSMOND, Les;LP;M;18170;25.91;3.78
NSW;Blaxland;910;;;NAN;;0;0.00;-0.04
NSW;Blaxland;912;;;NLP;;0;0.00;-0.00
NSW;Blaxland;997;;;OTH;;0;0.00;-0.65
NSW;Bradfield;1;;BELL, David;GRN;M;5451;6.69;3.56
NSW;Bradfield;2;;BLUNT, Kathie;ALP;F;15489;19.01;-1.01
NSW;Bradfield;3;;WEBECK, John;HAN;M;1247;1.53;-2.05
NSW;Bradfield;4;#;NELSON, Brendan;LP;M;52628;64.60;2.00
NSW;Bradfield;5;;WISZNIEWSKI, Witold;CTA;M;1204;1.48;-0.04
NSW;Bradfield;6;;BYRNE, Peter;DEM;M;5443;6.68;-0.99
NSW;Bradfield;907;;;NLP;;0;0.00;-0.49
NSW;Bradfield;909;;;UNI;;0;0.00;-0.99
NSW;Calare;1;;MARSHALL, Don;DEM;M;1191;1.50;0.51
NSW;Calare;2;;WATTS, Ian;GRN;M;1217;1.53;0.43
NSW;Calare;3;#;ANDREN, Peter;IND;M;40786;51.40;15.12
NSW;Calare;4;;SIMPSON, David;CEC;M;311;0.39;0.17
NSW;Calare;5;;SHEARING, Dave;NP;M;16289;20.53;8.58
NSW;Calare;6;;NIXON, Terry;HAN;M;3249;4.09;-6.95
NSW;Calare;7;;KNOWLES, Kath;ALP;F;16314;20.56;-4.00
NSW;Calare;905;;;UNI;;0;0.00;-0.37
NSW;Calare;906;;;LP;;0;0.00;-13.14
NSW;Calare;913;;;CTA;;0;0.00;-0.01
NSW;Calare;997;;;OTH;;0;0.00;-0.34
NSW;Charlton;1;#;HOARE, Kelly;ALP;F;35079;46.06;-2.53
NSW;Charlton;2;;BLYTH, David;GRN;M;3765;4.94;1.63
NSW;Charlton;3;;KENDALL, Jim;CTA;M;1859;2.44;-0.62
NSW;Charlton;4;;PATERSON, Lindsay;LP;M;25371;33.31;5.07
NSW;Charlton;5;;BELL, Joshua;DEM;M;3865;5.07;0.44
NSW;Charlton;6;;JOHNSON, Bob;HAN;M;5884;7.73;-4.28
NSW;Charlton;7;;THORPE, John;UNI;M;339;0.45;0.45
NSW;Charlton;908;;;SEP;;0;0.00;0.00
NSW;Charlton;909;;;NP;;0;0.00;-0.01
NSW;Charlton;910;;;CEC;;0;0.00;-0.01
NSW;Charlton;911;;;FST;;0;0.00;-0.01
NSW;Charlton;997;;;OTH;;0;0.00;-0.13
NSW;Chifley;1;;ASARLOGLOU, Costa;LP;M;18225;25.52;6.53
NSW;Chifley;2;;BUTLER, Lindsey;AFI;M;1262;1.77;1.77
NSW;Chifley;3;;HYLAND, Wayne;IND;M;565;0.79;0.79
NSW;Chifley;4;;DAMJANOVIC, Joe;HAN;M;4442;6.22;-4.07
NSW;Chifley;5;;BATES, Barbie;SAS;F;2347;3.29;3.29
NSW;Chifley;6;;CLACK, S J;DEM;M;1365;1.91;-2.63
NSW;Chifley;7;;CUNNINGHAM, David;GRN;M;1220;1.71;0.25
NSW;Chifley;8;#;PRICE, Roger;ALP;M;40203;56.30;-3.48
NSW;Chifley;9;;WYNESS, Joseph;CTA;M;1784;2.50;0.19
NSW;Chifley;904;;;NLP;;0;0.00;-0.22
NSW;Chifley;905;;;UNI;;0;0.00;-1.38
NSW;Chifley;997;;;OTH;;0;0.00;-1.04
NSW;Cook;1;;FREW, Andy;HAN;M;4453;5.97;-2.36
NSW;Cook;2;;POULOS, Patricia;;F;453;0.61;0.61
NSW;Cook;3;;STRANG, Graeme;IND;M;423;0.57;0.57
NSW;Cook;4;;PETERS-POWER, Cathy;GRN;F;2655;3.56;1.38
NSW;Cook;5;#;BAIRD, Bruce;LP;M;41959;56.22;6.14
NSW;Cook;6;;BAILEY, Alison;DEM;F;2815;3.77;-0.50
NSW;Cook;7;;YOUNG, Peri;ALP;F;19768;26.49;-4.60
NSW;Cook;8;;SMITH, Malcolm;CTA;M;1256;1.68;0.43
NSW;Cook;9;;JAMES, Peter;AFI;M;852;1.14;1.14
NSW;Cook;905;;;UNI;;0;0.00;-1.47
NSW;Cook;910;;;RPA;;0;0.00;-0.01
NSW;Cook;911;;;NGST;;0;0.00;-0.00
NSW;Cook;997;;;OTH;;0;0.00;-1.33
NSW;Cowper;1;;MAGUIRE, John;LEF;M;1904;2.60;2.60
NSW;Cowper;2;;BONFIELD, Jenny;ALP;F;23615;32.31;-1.90
NSW;Cowper;3;;WILLEY, John;IND;M;973;1.33;1.33
NSW;Cowper;4;;NEUSS, Phillip;LP;M;11663;15.95;15.95
NSW;Cowper;5;#;HARTSUYKER, Luke;NP;M;21846;29.89;-11.87
NSW;Cowper;6;;VAN BLADEL, Paul;IND;M;452;0.62;0.62
NSW;Cowper;7;;CRANNY, Jillian;GRN;F;4033;5.52;1.48
NSW;Cowper;8;;FENTON, Michael;DEM;M;1978;2.71;-0.71
NSW;Cowper;9;;KORN, Bruce;CTA;M;1472;2.01;1.79
NSW;Cowper;10;;STOKES, Allan;HAN;M;5164;7.06;-7.18
NSW;Cowper;908;;;DSL;;0;0.00;-0.04
NSW;Cowper;997;;;OTH;;0;0.00;-2.06
NSW;Cunningham;1;;CURTIS, John;HAN;M;3425;4.63;-3.11
NSW;Cunningham;2;;PINK, J Edwin;NGST;M;840;1.13;1.12
NSW;Cunningham;3;;FIELDS, Jeremy;LP;M;20760;28.04;2.97
NSW;Cunningham;4;;BERRY, Carol;GRN;F;4914;6.64;2.22
NSW;Cunningham;5;;MOTT, Trevor;IND;M;4235;5.72;5.72
NSW;Cunningham;6;#;MARTIN, Stephen;ALP;M;32722;44.19;-8.13
NSW;Cunningham;7;;NEWMAN, Michael;DEM;M;5307;7.17;1.44
NSW;Cunningham;8;;SKINNER, Paul;CTA;M;1841;2.49;0.17
NSW;Cunningham;906;;;UNI;;0;0.00;-0.75
NSW;Cunningham;908;;;DSL;;0;0.00;-0.86
NSW;Cunningham;911;;;SEP;;0;0.00;-0.01
NSW;Cunningham;912;;;RPA;;0;0.00;-0.01
NSW;Cunningham;997;;;OTH;;0;0.00;-0.77
NSW;Dobell;1;;LEE, Michael;ALP;M;31824;42.68;-1.94
NSW;Dobell;2;;HENNIG, Luke;CTA;M;1420;1.90;-0.12
NSW;Dobell;3;;KER, Samantha;GRN;F;2200;2.95;0.80
NSW;Dobell;4;#;TICEHURST, Ken;LP;M;32761;43.93;5.51
NSW;Dobell;5;;FALCONER, Ron;HAN;M;3223;4.32;-5.05
NSW;Dobell;6;;HASTIE, Carolyn;DEM;F;3142;4.21;0.79
NSW;Eden-Monaro;1;;WHAN, Steve;ALP;M;28842;36.74;-2.32
NSW;Eden-Monaro;2;;CHAPMAN, Linda;DEM;F;2584;3.29;-1.32
NSW;Eden-Monaro;3;;PHILLIPS, Frank;CTA;M;1032;1.31;1.31
NSW;Eden-Monaro;4;;BEAUMONT, Rosemary;GRN;F;3911;4.98;1.80
NSW;Eden-Monaro;5;;SWIFT, Matthew;IND;M;211;0.27;0.27
NSW;Eden-Monaro;6;;VLUG, Peter;NCP;M;94;0.12;0.12
NSW;Eden-Monaro;7;;URQUHART, Steve;IND;M;319;0.41;0.41
NSW;Eden-Monaro;8;;COCHRAN, Peter;IND;M;6436;8.20;8.20
NSW;Eden-Monaro;9;#;NAIRN, Gary;LP;M;32247;41.08;-2.16
NSW;Eden-Monaro;10;;BRIDGES, Barry;HAN;M;2821;3.59;-5.97
NSW;Eden-Monaro;905;;;CEC;;0;0.00;-0.25
NSW;Eden-Monaro;909;;;NP;;0;0.00;-0.07
NSW;Eden-Monaro;997;;;OTH;;0;0.00;-0.02
NSW;Farrer;1;;SOBEY, Chris;GRN;F;2583;3.42;3.23
NSW;Farrer;2;;WEYRICH, Tom;IND;M;485;0.64;0.64
NSW;Farrer;3;;BOTT, Bill;NP;M;17641;23.36;-24.73
NSW;Farrer;4;;WILKINSON, Max;HAN;M;4795;6.35;-7.61
NSW;Farrer;5;;WATSON, Stuart;IND;M;1068;1.41;1.41
NSW;Farrer;6;;KREUTZBERGER, Keith;;M;696;0.92;0.92
NSW;Farrer;7;;MILLEN, Frank;ALP;M;15830;20.96;-3.79
NSW;Farrer;8;#;LEY, Sussan;LP;F;28449;37.66;33.30
NSW;Farrer;9;;CORBETT, David;IND;M;356;0.47;0.47
NSW;Farrer;10;;PATERSON, Brett;DEM;M;1959;2.59;-1.42
NSW;Farrer;11;;TAYLOR, Sue;IND;F;1254;1.66;1.66
NSW;Farrer;12;;GIBSON, Andrew;IND;M;416;0.55;0.55
NSW;Farrer;902;;;NGST;;0;0.00;-0.31
NSW;Farrer;906;;;FST;;0;0.00;-0.94
NSW;Farrer;907;;;CEC;;0;0.00;-0.43
NSW;Farrer;997;;;OTH;;0;0.00;-2.96
NSW;Fowler;1;;JOHNSON, Hal;CEC;M;2166;3.21;3.21
NSW;Fowler;2;;GRANT, Lee;GRN;F;1654;2.45;2.35
NSW;Fowler;3;;POULARAS, Manny;CTA;M;1110;1.65;1.65
NSW;Fowler;4;;WATSON, Glenn;LP;M;12154;18.04;1.83
NSW;Fowler;5;;BRAZENALL, Max;AFI;M;853;1.27;1.27
NSW;Fowler;6;;CHUNG, Steve;UNI;M;3476;5.16;-5.81
NSW;Fowler;7;;ROSSO, Oscar;HAN;M;2357;3.50;-3.70
NSW;Fowler;8;;GASKELL, Robin;NGST;M;1395;2.07;2.07
NSW;Fowler;9;;MENDELSSOHN, David;DEM;M;1320;1.96;-1.22
NSW;Fowler;10;#;IRWIN, Julia;ALP;F;40904;60.70;-1.61
NSW;Fowler;907;;;NLP;;0;0.00;-0.02
NSW;Fowler;997;;;OTH;;0;0.00;-0.02
NSW;Gilmore;1;;KNOTT, Peter;ALP;M;20011;26.06;-9.78
NSW;Gilmore;2;#;GASH, Joanna;LP;F;43089;56.11;10.97
NSW;Gilmore;3;;RYAN, Steve;CTA;M;1253;1.63;-0.36
NSW;Gilmore;4;;MCCLUNG, Jean;CEC;F;113;0.15;0.15
NSW;Gilmore;5;;BANGE, Jane;GRN;F;4218;5.49;2.78
NSW;Gilmore;6;;HAYES, Michael;DEM;M;3323;4.33;1.04
NSW;Gilmore;7;;MCLEOD, Paul;UNI;M;339;0.44;0.44
NSW;Gilmore;8;;CROCKER, Geoff;HAN;M;4454;5.80;-5.24
NSW;Grayndler;1;;BAIRD, Matthew;DEM;M;6750;9.12;3.34
NSW;Grayndler;2;;O'CONNOR, Kane;HAN;M;1485;2.01;-1.06
NSW;Grayndler;3;;JOHNSON, Sue;;F;954;1.29;1.29
NSW;Grayndler;4;#;ALBANESE, Anthony;ALP;M;36379;49.15;-6.56
NSW;Grayndler;5;;KENWORTHY, Brett;LP;M;16971;22.93;2.16
NSW;Grayndler;6;;HALE, Sylvia;GRN;F;9666;13.06;8.42
NSW;Grayndler;7;;WAN, Guang Hua;UNI;M;1009;1.36;-3.14
NSW;Grayndler;8;;HERDEN, Chris;CTA;M;805;1.09;0.35
NSW;Grayndler;905;;;NAN;;0;0.00;-3.78
NSW;Grayndler;906;;;DSL;;0;0.00;-0.73
NSW;Grayndler;910;;;NLP;;0;0.00;-0.25
NSW;Grayndler;997;;;OTH;;0;0.00;-0.05
NSW;Greenway;1;;BAWDEN, Bob;CTA;M;4272;5.63;1.43
NSW;Greenway;2;;SHERWOOD, Ted;AFI;M;1608;2.12;2.12
NSW;Greenway;3;;PETTITT, Tony;HAN;M;4155;5.47;-4.48
NSW;Greenway;4;#;MOSSFIELD, Frank;ALP;M;32380;42.67;-3.34
NSW;Greenway;5;;VLATKO, Tony;GRN;M;2002;2.64;0.77
NSW;Greenway;6;;FRANCIS, Joseph;DEM;M;2818;3.71;-0.83
NSW;Greenway;7;;TANDA, Amarjit Singh;IND;M;620;0.82;0.82
NSW;Greenway;8;;HOLDER, Rick;LP;M;28038;36.94;5.68
NSW;Greenway;907;;;UNI;;0;0.00;-1.40
NSW;Greenway;910;;;NLP;;0;0.00;0.00
NSW;Greenway;997;;;OTH;;0;0.00;-0.75
NSW;Gwydir;1;;WITTEN, Richard;CEC;M;1197;1.56;1.48
NSW;Gwydir;2;;HAIGH, Bruce;IND;M;4637;6.04;6.04
